InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit LLA gyroX
-22;-186.0;-131.0;-288.0;225.0;-325.0;-23;-17.0
-28;-241.0;-296.0;-4.0;40.0;-137.0;-44;-91.0
-30;-309.0;-112.0;-49.0;-28.0;99.0;-40;-90.0
-75;-281.0;98.0;216.0;-226.0;137.0;-36;-95.0
-27;-281.0;-67.0;-10.0;-59.0;11.0;-37;-97.0
-31;-278.0;-57.0;-34.0;42.0;-64.0;-36;-27.0
-27;-268.0;-154.0;0.0;33.0;-15.0;-37;-111.0
-27;-265.0;-151.0;-11.0;33.0;-47.0;-37;-203.0
-27;-269.0;-121.0;-9.0;28.0;24.0;-37;-147.0
-27;-258.0;-139.0;38.0;-75.0;-2.0;-37;-55.0
-22;-266.0;41.0;16.0;-157.0;-116.0;-29;-366.0
-26;-265.0;-69.0;6.0;18.0;-2.0;-37;-25.0
-25;-267.0;-39.0;-39.0;-6.0;-6.0;-35;79.0
-26;-259.0;-63.0;-15.0;6.0;0.0;-37;-116.0
-25;-312.0;132.0;28.0;-27.0;103.0;-35;287.0
-25;-303.0;-176.0;15.0;48.0;83.0;-35;335.0
-27;-294.0;-240.0;-51.0;18.0;-8.0;-37;6.0
-27;-268.0;-71.0;6.0;31.0;-8.0;-37;613.0
-27;-286.0;-201.0;28.0;-48.0;19.0;-37;-145.0
-27;-280.0;-199.0;-28.0;-15.0;-8.0;-37;-65.0
-27;-280.0;-199.0;17.0;-8.0;8.0;-37;-80.0
-28;-279.0;-199.0;8.0;-10.0;23.0;-37;-70.0
-28;-273.0;-199.0;23.0;-62.0;46.0;-37;-116.0
-29;-267.0;-198.0;1.0;-45.0;39.0;-37;-81.0
-42;-268.0;-234.0;197.0;167.0;225.0;-26;-67.0
-25;-318.0;-266.0;105.0;-58.0;166.0;-35;-90.0
-25;-285.0;-160.0;24.0;356.0;195.0;-35;84.0
-27;-117.0;-175.0;-214.0;281.0;-98.0;-44;473.0
-26;-200.0;-164.0;-41.0;112.0;-99.0;-37;-22.0
-26;-202.0;-158.0;-61.0;110.0;-36.0;-37;1.0
-26;-220.0;-135.0;-92.0;25.0;-131.0;-37;-124.0
-27;-347.0;163.0;-159.0;292.0;-367.0;-24;-167.0
-26;-220.0;-179.0;91.0;-108.0;10.0;-37;-76.0
-30;-258.0;-89.0;37.0;-15.0;7.0;-37;-55.0
-30;-245.0;-76.0;47.0;80.0;4.0;-37;-30.0
-30;-239.0;-40.0;4.0;28.0;50.0;-37;-29.0
-29;-270.0;-140.0;0.0;-30.0;15.0;-37;-85.0
-29;-273.0;-139.0;2.0;-17.0;31.0;-37;-93.0
-29;-272.0;-136.0;-15.0;-45.0;29.0;-37;-70.0
-29;-282.0;-137.0;8.0;-23.0;7.0;-37;-78.0
-29;-281.0;-139.0;-8.0;-36.0;57.0;-37;-51.0
-29;-270.0;-142.0;-6.0;-26.0;37.0;-37;-75.0
-29;-263.0;-151.0;-19.0;-26.0;-9.0;-37;-104.0
-29;-457.0;154.0;75.0;-47.0;42.0;-36;-691.0
-29;-316.0;-179.0;19.0;31.0;-22.0;-37;-151.0
-29;-315.0;-181.0;-22.0;7.0;-32.0;-37;-61.0
