InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA magneticX
-251.0;378.0;194.0;482.0;377.0;144.0;-88.0;605.0
664.0;130.0;265.0;696.0;898.0;-445.0;316.0;551.0
117.0;506.0;136.0;477.0;429.0;-419.0;-139.0;497.0
324.0;209.0;428.0;438.0;136.0;0.0;544.0;310.0
114.0;170.0;443.0;393.0;113.0;-27.0;543.0;437.0
82.0;183.0;444.0;398.0;148.0;-14.0;544.0;416.0
-102.0;607.0;191.0;205.0;410.0;-68.0;-4.0;405.0
-151.0;596.0;171.0;198.0;376.0;-45.0;-51.0;372.0
-159.0;595.0;170.0;195.0;376.0;-56.0;-63.0;378.0
-473.0;471.0;248.0;157.0;541.0;-216.0;-65.0;788.0
-782.0;420.0;273.0;-130.0;319.0;-160.0;-301.0;687.0
280.0;575.0;-594.0;455.0;797.0;-615.0;-690.0;736.0
630.0;481.0;-615.0;599.0;723.0;-940.0;-774.0;889.0
96.0;594.0;-622.0;195.0;773.0;-383.0;-736.0;449.0
133.0;419.0;98.0;466.0;536.0;-431.0;-137.0;600.0
147.0;395.0;114.0;453.0;538.0;-407.0;-118.0;669.0
432.0;303.0;477.0;544.0;-39.0;124.0;595.0;201.0
289.0;175.0;393.0;578.0;-40.0;41.0;560.0;274.0
310.0;90.0;424.0;537.0;95.0;-134.0;604.0;364.0
240.0;131.0;443.0;531.0;105.0;-151.0;602.0;322.0
-219.0;-165.0;199.0;732.0;-143.0;235.0;344.0;261.0
-180.0;-181.0;192.0;751.0;-159.0;234.0;335.0;260.0
-97.0;-264.0;128.0;810.0;-202.0;172.0;260.0;196.0
-79.0;-290.0;95.0;781.0;-217.0;128.0;256.0;206.0
-62.0;-321.0;34.0;704.0;-238.0;93.0;243.0;217.0
-122.0;-390.0;-50.0;553.0;-291.0;44.0;202.0;223.0
-324.0;-466.0;-98.0;470.0;-338.0;37.0;164.0;197.0
195.0;-381.0;-9.0;898.0;-497.0;-435.0;46.0;383.0
304.0;-211.0;125.0;646.0;-268.0;-349.0;321.0;372.0
219.0;-242.0;105.0;600.0;-262.0;-332.0;319.0;355.0
-456.0;220.0;-76.0;336.0;198.0;-113.0;-301.0;388.0
-34.0;200.0;-11.0;420.0;248.0;-5.0;-202.0;422.0
2.0;235.0;27.0;429.0;297.0;-4.0;-171.0;443.0
-68.0;31.0;303.0;523.0;90.0;279.0;538.0;181.0
-5.0;-177.0;213.0;513.0;-210.0;-20.0;393.0;387.0
3.0;-183.0;197.0;497.0;-226.0;-61.0;362.0;374.0
-83.0;-234.0;86.0;398.0;-227.0;20.0;268.0;280.0
-57.0;-239.0;77.0;402.0;-225.0;13.0;267.0;281.0
-15.0;-252.0;62.0;422.0;-225.0;-9.0;286.0;300.0
179.0;199.0;467.0;452.0;190.0;51.0;586.0;385.0
205.0;200.0;469.0;452.0;192.0;46.0;587.0;386.0
194.0;203.0;471.0;456.0;198.0;46.0;591.0;386.0
225.0;190.0;466.0;463.0;207.0;43.0;609.0;381.0
235.0;186.0;465.0;465.0;211.0;43.0;613.0;378.0
-234.0;-262.0;76.0;433.0;-226.0;-73.0;309.0;339.0
-230.0;-263.0;79.0;433.0;-231.0;-79.0;307.0;339.0
-229.0;-264.0;83.0;433.0;-234.0;-73.0;305.0;340.0
-224.0;-260.0;89.0;445.0;-257.0;-78.0;283.0;348.0
-227.0;-262.0;89.0;446.0;-262.0;-83.0;279.0;350.0
-228.0;-265.0;89.0;448.0;-266.0;-87.0;275.0;350.0
-225.0;-272.0;91.0;447.0;-271.0;-86.0;271.0;352.0
-226.0;-275.0;92.0;452.0;-271.0;-84.0;266.0;352.0
-227.0;-280.0;95.0;455.0;-271.0;-78.0;261.0;348.0
-255.0;-287.0;100.0;471.0;-275.0;-54.0;241.0;344.0
-157.0;-271.0;76.0;513.0;-241.0;-28.0;265.0;387.0
-157.0;-267.0;73.0;521.0;-240.0;-9.0;263.0;385.0
-190.0;-218.0;64.0;534.0;-263.0;9.0;249.0;387.0
-264.0;-194.0;51.0;507.0;-337.0;-45.0;250.0;421.0
245.0;-458.0;-235.0;430.0;-579.0;-87.0;27.0;735.0
245.0;-514.0;-347.0;286.0;-502.0;-153.0;-1.0;702.0
240.0;-519.0;-360.0;251.0;-508.0;-163.0;-9.0;700.0
331.0;-571.0;-234.0;269.0;-495.0;-332.0;9.0;551.0
35.0;-583.0;-245.0;511.0;-628.0;-656.0;-140.0;568.0
417.0;-511.0;-211.0;461.0;-529.0;-502.0;-29.0;493.0
-405.0;-636.0;-257.0;59.0;-593.0;-483.0;-252.0;615.0
67.0;-407.0;-128.0;521.0;-435.0;-61.0;39.0;291.0
127.0;-387.0;-82.0;568.0;-387.0;3.0;81.0;262.0
310.0;-376.0;84.0;954.0;-360.0;232.0;118.0;139.0
19.0;-504.0;-88.0;694.0;-540.0;-89.0;12.0;355.0
-38.0;-548.0;-124.0;642.0;-576.0;-223.0;-2.0;433.0
-68.0;-580.0;-153.0;575.0;-598.0;-344.0;-12.0;519.0
-695.0;-471.0;-665.0;19.0;-365.0;384.0;-744.0;-338.0
45.0;-214.0;206.0;388.0;-203.0;184.0;388.0;188.0
82.0;-177.0;230.0;406.0;-163.0;179.0;419.0;188.0
434.0;-386.0;-477.0;969.0;-137.0;-33.0;-648.0;368.0
-23.0;-81.0;-435.0;776.0;-243.0;200.0;-566.0;315.0
-102.0;248.0;-82.0;703.0;226.0;339.0;-240.0;249.0
-95.0;262.0;-64.0;690.0;251.0;323.0;-219.0;255.0
-72.0;302.0;-16.0;657.0;313.0;261.0;-162.0;287.0
-89.0;343.0;53.0;622.0;373.0;107.0;-98.0;309.0
