InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA magneticX
-251.0;378.0;194.0;482.0;377.0;144.0;-88.0;605.0
256.0;395.0;169.0;462.0;532.0;-377.0;-36.0;513.0
117.0;506.0;136.0;477.0;429.0;-419.0;-139.0;497.0
324.0;209.0;428.0;438.0;136.0;0.0;544.0;310.0
114.0;170.0;443.0;393.0;113.0;-27.0;543.0;437.0
82.0;183.0;444.0;398.0;148.0;-14.0;544.0;416.0
-102.0;607.0;191.0;205.0;410.0;-68.0;-4.0;405.0
-151.0;596.0;171.0;198.0;376.0;-45.0;-51.0;372.0
-159.0;595.0;170.0;195.0;376.0;-56.0;-63.0;378.0
-286.0;304.0;104.0;318.0;493.0;-277.0;-150.0;726.0
-467.0;304.0;64.0;280.0;444.0;33.0;-108.0;449.0
310.0;542.0;-579.0;375.0;813.0;-565.0;-721.0;653.0
277.0;560.0;-562.0;487.0;813.0;-643.0;-703.0;751.0
96.0;594.0;-622.0;195.0;773.0;-383.0;-736.0;449.0
133.0;419.0;98.0;466.0;536.0;-431.0;-137.0;600.0
147.0;395.0;114.0;453.0;538.0;-407.0;-118.0;669.0
289.0;175.0;393.0;578.0;-40.0;41.0;560.0;274.0
296.0;168.0;396.0;592.0;-16.0;0.0;563.0;308.0
310.0;90.0;424.0;537.0;95.0;-134.0;604.0;364.0
240.0;131.0;443.0;531.0;105.0;-151.0;602.0;322.0
-219.0;-165.0;199.0;732.0;-143.0;235.0;344.0;261.0
-180.0;-181.0;192.0;751.0;-159.0;234.0;335.0;260.0
-97.0;-264.0;128.0;810.0;-202.0;172.0;260.0;196.0
-79.0;-290.0;95.0;781.0;-217.0;128.0;256.0;206.0
-62.0;-321.0;34.0;704.0;-238.0;93.0;243.0;217.0
-122.0;-390.0;-50.0;553.0;-291.0;44.0;202.0;223.0
-324.0;-466.0;-98.0;470.0;-338.0;37.0;164.0;197.0
228.0;-318.0;41.0;922.0;-422.0;-330.0;108.0;292.0
304.0;-211.0;125.0;646.0;-268.0;-349.0;321.0;372.0
219.0;-242.0;105.0;600.0;-262.0;-332.0;319.0;355.0
-456.0;220.0;-76.0;336.0;198.0;-113.0;-301.0;388.0
-34.0;200.0;-11.0;420.0;248.0;-5.0;-202.0;422.0
2.0;235.0;27.0;429.0;297.0;-4.0;-171.0;443.0
-68.0;31.0;303.0;523.0;90.0;279.0;538.0;181.0
-5.0;-177.0;213.0;513.0;-210.0;-20.0;393.0;387.0
3.0;-183.0;197.0;497.0;-226.0;-61.0;362.0;374.0
-83.0;-234.0;86.0;398.0;-227.0;20.0;268.0;280.0
-57.0;-239.0;77.0;402.0;-225.0;13.0;267.0;281.0
-15.0;-252.0;62.0;422.0;-225.0;-9.0;286.0;300.0
179.0;199.0;467.0;452.0;190.0;51.0;586.0;385.0
