InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion2
-247.0;1;0.0;-8;8;184.0;1;455.0;91.0
-368.0;-15;-421.0;44;-44;104.0;-15;420.0;55.0
523.0;-20;94.0;-153;153;-140.0;-20;-166.0;-46.0
498.0;-48;68.0;-92;92;-128.0;-48;-185.0;-59.0
472.0;-26;66.0;118;-118;-144.0;-26;-197.0;-63.0
520.0;-16;-417.0;-18;18;-142.0;-16;-148.0;-52.0
657.0;57;8.0;-16;16;-140.0;57;-163.0;-62.0
663.0;-6;66.0;-1;1;-139.0;-6;-165.0;-62.0
666.0;14;190.0;-4;4;-141.0;14;-157.0;-60.0
661.0;36;32.0;-32;32;-142.0;36;-156.0;-61.0
660.0;13;17.0;-10;10;-142.0;13;-156.0;-60.0
669.0;17;12.0;9;-9;-145.0;17;-156.0;-57.0
676.0;9;-33.0;6;-6;-141.0;9;-155.0;-59.0
682.0;27;-125.0;-14;14;-140.0;27;-152.0;-59.0
697.0;18;-138.0;1;-1;-137.0;18;-146.0;-62.0
660.0;-2;41.0;-4;4;385.0;-2;-504.0;-566.0
708.0;21;127.0;33;-33;-136.0;21;-143.0;-67.0
646.0;7;2.0;32;-32;-118.0;7;-95.0;-76.0
654.0;17;-31.0;29;-29;-118.0;17;-71.0;-75.0
502.0;-59;-166.0;-6;6;445.0;-59;-82.0;-563.0
654.0;20;-48.0;21;-21;-117.0;20;-71.0;-75.0
653.0;-57;589.0;13;-13;-124.0;-57;-101.0;-74.0
647.0;36;723.0;7;-7;-128.0;36;-151.0;-75.0
647.0;30;747.0;-11;11;-127.0;30;-157.0;-75.0
652.0;23;381.0;-15;15;-127.0;23;-168.0;-75.0
480.0;15;353.0;-11;11;416.0;15;-75.0;-553.0
496.0;-36;205.0;-16;16;423.0;-36;-72.0;-551.0
653.0;5;-279.0;16;-16;-126.0;5;-166.0;-76.0
653.0;-8;-302.0;1;-1;-126.0;-8;-164.0;-77.0
666.0;3;401.0;-10;10;-125.0;3;-170.0;-78.0
671.0;-22;345.0;-26;26;-124.0;-22;-194.0;-80.0
672.0;-12;77.0;0;0;-124.0;-12;-198.0;-79.0
673.0;-19;-61.0;-5;5;-125.0;-19;-199.0;-79.0
668.0;-8;-85.0;-27;27;-132.0;-8;-204.0;-77.0
666.0;-5;-177.0;7;-7;-132.0;-5;-204.0;-76.0
659.0;-6;-96.0;-51;51;-134.0;-6;-205.0;-77.0
690.0;-11;32.0;26;-26;-132.0;-11;-163.0;-70.0
682.0;12;224.0;9;-9;-134.0;12;-153.0;-65.0
670.0;-26;285.0;-33;33;-136.0;-26;-152.0;-64.0
615.0;-7;540.0;-11;11;-138.0;-7;-169.0;-64.0
500.0;15;19.0;-10;10;-143.0;15;-281.0;-60.0
522.0;29;-6.0;19;-19;-146.0;29;-274.0;-69.0
497.0;6;14.0;3;-3;-154.0;6;-289.0;-69.0
497.0;7;-18.0;-1;1;-154.0;7;-291.0;-68.0
704.0;7;-70.0;97;-97;-76.0;7;-103.0;-85.0
702.0;6;-137.0;66;-66;-75.0;6;-93.0;-81.0
700.0;9;-249.0;-40;40;-73.0;9;-79.0;-79.0
700.0;-31;-369.0;-8;8;-74.0;-31;-76.0;-75.0
660.0;-8;-460.0;22;-22;-127.0;-8;40.0;-45.0
654.0;-12;-177.0;-30;30;-121.0;-12;63.0;-48.0
706.0;4;-14.0;196;-196;313.0;4;-524.0;-370.0
656.0;-1;118.0;55;-55;-119.0;-1;70.0;-47.0
657.0;16;112.0;5;-5;-119.0;16;69.0;-47.0
707.0;-26;-1.0;-99;99;315.0;-26;-564.0;-428.0
658.0;-5;67.0;18;-18;-120.0;-5;65.0;-47.0
701.0;39;43.0;-76;76;312.0;39;-553.0;-431.0
705.0;-55;-19.0;13;-13;311.0;-55;-588.0;-472.0
660.0;-22;61.0;44;-44;-121.0;-22;60.0;-47.0
673.0;6;110.0;-17;17;-123.0;6;32.0;-53.0
705.0;-58;54.0;23;-23;302.0;-58;-553.0;-422.0
699.0;6;105.0;9;-9;299.0;6;-553.0;-422.0
685.0;-15;21.0;23;-23;284.0;-15;-571.0;-444.0
695.0;-19;131.0;5;-5;292.0;-19;-582.0;-462.0
695.0;-6;-22.0;-5;5;293.0;-6;-583.0;-467.0
696.0;3;79.0;9;-9;296.0;3;-582.0;-470.0
693.0;-26;-69.0;-21;21;299.0;-26;-589.0;-478.0
694.0;10;83.0;12;-12;298.0;10;-587.0;-482.0
682.0;24;-192.0;28;-28;-79.0;24;-128.0;-66.0
678.0;-9;-187.0;-14;14;-82.0;-9;-121.0;-66.0
599.0;-15;-130.0;-68;68;-146.0;-15;-119.0;-39.0
546.0;-17;790.0;-63;63;-150.0;-17;-162.0;-44.0
464.0;26;18.0;-2;2;-150.0;26;-248.0;-51.0
468.0;-32;-1.0;18;-18;-148.0;-32;-247.0;-55.0
472.0;43;-6.0;37;-37;-144.0;43;-247.0;-57.0
473.0;-16;-1.0;-15;15;-144.0;-16;-248.0;-57.0
473.0;-16;-17.0;-22;22;-142.0;-16;-251.0;-60.0
473.0;-43;-66.0;-3;3;-140.0;-43;-256.0;-63.0
655.0;-21;220.0;-25;25;-134.0;-21;-184.0;-90.0
