InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroZ
250.0;56;323;?;-101;381.0;-56;142.0
333.0;-198;605;907.0;367;607.0;198;308.0
467.0;-336;300;937.0;183;?;336;453.0
468.0;-57;372;?;65;1704.0;57;452.0
442.0;-297;744;930.0;77;2075.0;297;332.0
393.0;-482;710;914.0;?;2266.0;482;65.0
?;-132;332;?;143;?;132;?
129.0;434;?;905.0;?;2254.0;-434;-596.0
-65.0;467;483;927.0;54;?;?;?
-233.0;83;?;919.0;-44;2165.0;-83;-1117.0
-385.0;15;493;895.0;-84;?;-15;?
-550.0;?;488;952.0;-125;1885.0;?;-1832.0
-681.0;7;499;940.0;?;1629.0;-7;-1999.0
-777.0;32;?;907.0;-59;1253.0;-32;-2047.0
?;-31;465;?;?;884.0;31;-1920.0
-661.0;-31;?;909.0;-87;161.0;?;-1610.0
-415.0;5;472;?;-108;?;-5;-1328.0
-156.0;-27;488;?;-95;130.0;?;-1016.0
?;42;469;937.0;?;255.0;-42;-563.0
?;?;535;963.0;?;268.0;-93;13.0
186.0;-269;513;?;?;188.0;269;536.0
169.0;-397;?;937.0;?;?;?;?
201.0;28;417;985.0;-10;-174.0;?;1480.0
305.0;?;?;902.0;?;-46.0;-204;1640.0
254.0;?;?;867.0;-92;116.0;?;1600.0
?;277;523;903.0;-99;-266.0;-277;1294.0
221.0;125;507;915.0;-122;-612.0;-125;?
?;36;491;924.0;-118;-523.0;-36;902.0
230.0;38;?;936.0;-118;?;-38;736.0
208.0;11;483;934.0;-105;-419.0;-11;603.0
212.0;-30;476;923.0;-99;?;?;?
?;?;485;933.0;-88;-463.0;-12;272.0
167.0;16;491;936.0;-90;-515.0;?;102.0
62.0;-3;490;?;?;-569.0;3;?
-73.0;38;491;?;-90;-734.0;-38;-555.0
-155.0;?;487;?;?;-596.0;16;-982.0
-412.0;-4;484;885.0;-96;-117.0;4;-1364.0
-522.0;30;487;894.0;-97;-630.0;-30;-1948.0
?;18;490;926.0;-103;-1366.0;-18;-2358.0
-1251.0;37;?;?;-93;-1417.0;?;-3011.0
-1504.0;?;488;912.0;-96;-1543.0;-16;-3580.0
-1943.0;?;485;873.0;?;-1608.0;?;-3850.0
-1933.0;61;492;878.0;?;?;-61;?
-1682.0;?;491;908.0;-84;-244.0;27;-3610.0
-1466.0;-18;488;920.0;-95;-868.0;18;-2686.0
-722.0;16;493;900.0;-103;-1129.0;-16;?
-596.0;?;490;919.0;?;?;-18;-1893.0
-369.0;2;490;?;-91;-3240.0;-2;-1845.0
-376.0;-18;493;?;-93;?;?;-1550.0
35.0;-33;499;?;-109;?;33;-910.0
-18.0;-39;494;901.0;?;-4786.0;?;-292.0
240.0;?;481;876.0;-73;-3551.0;39;-84.0
338.0;-39;483;884.0;-96;-1929.0;?;?
272.0;-34;477;890.0;-87;-1417.0;34;152.0
435.0;-15;477;917.0;-83;-397.0;?;159.0
392.0;16;?;920.0;-96;527.0;-16;124.0
?;?;?;?;-94;-113.0;7;?
65.0;10;497;924.0;-93;-12.0;-10;130.0
18.0;10;493;911.0;-95;?;?;270.0
-10.0;-16;491;906.0;-104;213.0;16;?
?;-15;?;901.0;?;-4.0;?;547.0
217.0;-6;490;922.0;-97;-521.0;6;740.0
163.0;12;490;908.0;-93;?;-12;?
264.0;17;493;914.0;-96;-1040.0;-17;1417.0
412.0;-25;492;897.0;-91;-1252.0;25;1782.0
559.0;?;495;915.0;-91;-1186.0;34;?
819.0;-18;?;905.0;-91;?;18;2337.0
?;-50;489;916.0;-81;-1509.0;50;2464.0
1044.0;-56;?;912.0;?;-1526.0;?;2507.0
?;?;495;918.0;-96;?;24;2495.0
?;-17;496;921.0;-90;?;17;2242.0
1183.0;-13;493;911.0;-88;-2496.0;?;1921.0
?;10;?;?;-85;-2950.0;?;1856.0
1074.0;37;493;909.0;-93;-3158.0;-37;1921.0
1100.0;43;493;888.0;-96;-3217.0;?;1944.0
920.0;7;491;883.0;-80;?;?;?
786.0;-9;483;913.0;-80;-2383.0;9;?
551.0;?;480;?;-89;-1555.0;9;1272.0
291.0;-31;486;905.0;-84;-992.0;?;1030.0
?;-29;486;?;?;?;29;?
171.0;-8;488;924.0;-89;33.0;8;727.0
10.0;-21;489;895.0;-90;28.0;?;475.0
-108.0;-58;483;899.0;-98;?;58;243.0
-156.0;-51;479;914.0;?;291.0;51;6.0
-170.0;-14;482;932.0;-91;251.0;?;-112.0
-128.0;-16;480;?;-95;?;16;?
-28.0;?;477;?;-94;315.0;23;-127.0
27.0;?;?;895.0;?;293.0;?;-30.0
-60.0;17;485;898.0;-83;349.0;?;91.0
-93.0;18;482;915.0;-79;632.0;-18;?
?;27;477;922.0;-83;?;?;-10.0
-184.0;?;477;?;-82;1128.0;-26;-197.0
94.0;0;485;903.0;-90;-72.0;0;?
?;-15;483;?;-89;-109.0;15;258.0
94.0;14;?;904.0;-107;-17.0;-14;298.0
52.0;?;487;901.0;-105;?;?;425.0
-11.0;-28;487;918.0;?;-72.0;28;529.0
-26.0;3;487;904.0;-108;-41.0;?;?
-1.0;-5;491;897.0;-90;?;5;1083.0
214.0;-44;?;?;-96;168.0;44;?
538.0;-15;483;924.0;-103;99.0;?;1994.0
950.0;5;485;919.0;-91;?;-5;?
1274.0;-5;483;898.0;-99;-653.0;5;3077.0
1840.0;14;489;911.0;-104;?;-14;?
2211.0;20;491;916.0;-105;-1662.0;-20;?
2253.0;?;?;896.0;-94;-2098.0;3;4044.0
2408.0;?;482;916.0;-84;?;?;4029.0
2470.0;-3;479;912.0;-89;-2932.0;3;?
2234.0;26;476;896.0;-91;-3119.0;-26;?
?;?;487;909.0;-93;-2914.0;13;2675.0
?;-19;484;912.0;-96;-3631.0;19;2280.0
1607.0;23;479;903.0;-83;-3905.0;?;1722.0
1318.0;?;484;915.0;?;-3554.0;-17;?
1079.0;5;484;937.0;-94;-3218.0;-5;?
743.0;3;481;895.0;?;-2001.0;-3;100.0
419.0;-34;485;908.0;-92;-933.0;34;-30.0
100.0;-27;?;923.0;?;-417.0;?;12.0
-83.0;34;483;905.0;-96;-42.0;-34;-153.0
-155.0;19;483;?;-92;15.0;-19;-255.0
-240.0;-6;?;916.0;?;-192.0;6;-265.0
?;4;481;906.0;?;-106.0;-4;-240.0
?;-24;475;915.0;-91;76.0;24;-163.0
-157.0;-25;481;?;-91;67.0;?;?
-107.0;?;478;926.0;?;3.0;0;-183.0
-82.0;?;482;909.0;-87;?;-29;-190.0
-116.0;?;?;914.0;-82;216.0;-15;-322.0
?;-39;480;931.0;-81;595.0;?;?
-258.0;?;492;923.0;?;1106.0;?;-954.0
139.0;?;?;912.0;?;-72.0;?;81.0
97.0;-22;489;?;-94;-69.0;22;68.0
94.0;-10;489;925.0;-96;-62.0;10;136.0
78.0;29;489;915.0;-94;-18.0;-29;131.0
63.0;4;489;924.0;-90;-9.0;-4;179.0
12.0;?;?;922.0;-92;8.0;18;195.0
39.0;-17;488;929.0;-97;-152.0;17;244.0
158.0;-23;485;?;-92;?;?;390.0
162.0;-40;488;897.0;?;?;40;?
299.0;-26;488;917.0;-99;-1319.0;26;1047.0
829.0;?;485;918.0;-93;-1491.0;-16;?
1181.0;38;490;919.0;-92;-1983.0;-38;2098.0
1424.0;21;492;919.0;?;-2200.0;-21;?
1788.0;-21;?;912.0;?;-2629.0;21;3210.0
1860.0;-24;481;921.0;-86;?;?;3621.0
2104.0;-16;482;925.0;-87;-3140.0;?;3613.0
1994.0;-15;484;915.0;-101;-3832.0;15;3330.0
1766.0;?;485;?;-101;-4095.0;6;2688.0
?;?;484;?;-88;?;-1;?
1529.0;26;481;924.0;?;-3916.0;-26;?
?;13;481;923.0;?;-3740.0;-13;?
1281.0;8;478;925.0;-92;-2828.0;-8;752.0
822.0;-3;483;921.0;-96;?;?;?
472.0;-16;485;?;-99;-606.0;16;?
322.0;33;474;?;-100;-455.0;-33;343.0
46.0;14;484;899.0;-93;?;-14;?
-213.0;19;494;907.0;-92;127.0;-19;153.0
-299.0;33;485;924.0;-100;522.0;-33;?
-233.0;3;484;909.0;-98;648.0;-3;-67.0
-140.0;16;489;919.0;?;447.0;-16;-180.0
-62.0;6;488;911.0;-93;?;-6;-195.0
-16.0;26;485;912.0;-95;?;-26;-137.0
-63.0;30;?;893.0;-98;41.0;-30;-102.0
-115.0;0;?;892.0;?;215.0;?;-143.0
-185.0;34;481;907.0;-87;495.0;?;-334.0
?;39;485;?;-97;817.0;-39;-588.0
-486.0;?;485;923.0;?;1271.0;-30;-912.0
77.0;-21;487;905.0;-105;-11.0;21;108.0
91.0;2;?;920.0;-97;-110.0;-2;270.0
111.0;19;495;891.0;?;-105.0;-19;378.0
174.0;14;?;900.0;?;?;-14;432.0
159.0;4;489;922.0;-89;-310.0;-4;450.0
166.0;-7;489;933.0;-98;?;?;548.0
216.0;5;488;906.0;-94;-850.0;-5;?
317.0;-9;488;916.0;-97;-1159.0;9;792.0
468.0;-10;488;911.0;-113;-1410.0;10;947.0
?;19;?;887.0;?;-1671.0;-19;1183.0
909.0;5;485;913.0;?;-1653.0;-5;1446.0
?;-24;481;921.0;-107;-1861.0;24;1754.0
1186.0;-33;476;?;-105;-2199.0;33;2172.0
1473.0;?;481;901.0;-83;-2467.0;?;2462.0
1907.0;-10;485;917.0;-89;-2416.0;10;2703.0
?;-30;480;?;-101;-2865.0;?;2997.0
2377.0;-28;474;935.0;-89;-4521.0;28;2742.0
?;-27;473;?;-87;-4688.0;27;?
