Accelerometer RWR accX;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit RLA accZ;Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA^ accX;Accelerometer RUA_ accZ
-334.0;261.0;-963.0;-982.0;460.0;9;1;338.0;986.0;-148.0;-4.0;-396.0;332.0
-940.0;356.0;-976.0;-1135.0;-479.0;-3;229;288.0;956.0;643.0;-191.0;-362.0;330.0
-403.0;594.0;-953.0;-989.0;-610.0;3;20;741.0;989.0;252.0;-98.0;-513.0;804.0
-658.0;198.0;-950.0;-983.0;-48.0;-4;3;730.0;985.0;282.0;-101.0;-216.0;914.0
-717.0;284.0;-952.0;-1010.0;-52.0;-4;3;705.0;978.0;282.0;-60.0;-202.0;940.0
-583.0;354.0;-954.0;-857.0;-350.0;-4;-2;826.0;876.0;257.0;143.0;-145.0;927.0
-640.0;351.0;-961.0;-857.0;-349.0;-4;0;824.0;918.0;259.0;87.0;-283.0;923.0
-692.0;371.0;-956.0;-858.0;-352.0;-4;2;849.0;849.0;269.0;-39.0;-209.0;976.0
-192.0;329.0;-875.0;-947.0;-390.0;3;3;844.0;985.0;233.0;403.0;-420.0;631.0
-487.0;390.0;-958.0;-865.0;-325.0;-4;8;933.0;881.0;247.0;-48.0;-250.0;1002.0
-592.0;446.0;-595.0;-810.0;-100.0;-6;-31;788.0;763.0;259.0;95.0;-492.0;784.0
-428.0;189.0;-963.0;-694.0;-101.0;-4;-3;565.0;773.0;209.0;-100.0;-104.0;815.0
-150.0;193.0;-957.0;-666.0;-93.0;-4;3;577.0;696.0;209.0;-105.0;-132.0;780.0
-579.0;-1.0;-856.0;-991.0;-94.0;7;10;269.0;1018.0;322.0;-294.0;-303.0;276.0
-65.0;205.0;-960.0;-671.0;-42.0;-4;0;568.0;666.0;197.0;-17.0;-104.0;766.0
-1224.0;458.0;-981.0;-932.0;-304.0;-13;-324;674.0;786.0;540.0;-552.0;-561.0;853.0
-462.0;46.0;-994.0;-1024.0;221.0;7;110;464.0;787.0;-154.0;392.0;-199.0;515.0
-287.0;-70.0;-816.0;-818.0;182.0;10;8;397.0;843.0;-206.0;-62.0;-394.0;840.0
-648.0;125.0;-872.0;-920.0;-201.0;4;33;513.0;1053.0;-3.0;109.0;-649.0;808.0
-87.0;211.0;-975.0;-725.0;-55.0;-4;-1;627.0;664.0;200.0;122.0;-116.0;746.0
