InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA magneticX
305.0;-516.0;-341.0;215.0;-565.0;-51.0;-126.0;683.0
-35.0;313.0;41.0;566.0;422.0;-207.0;-150.0;734.0
-259.0;201.0;-100.0;330.0;217.0;58.0;-271.0;483.0
-256.0;196.0;-104.0;331.0;209.0;63.0;-282.0;478.0
-270.0;183.0;-108.0;330.0;192.0;82.0;-306.0;479.0
-312.0;150.0;-107.0;337.0;152.0;73.0;-324.0;476.0
-354.0;112.0;-128.0;355.0;134.0;1.0;-367.0;486.0
-313.0;22.0;-155.0;374.0;105.0;-385.0;-393.0;512.0
252.0;-601.0;-382.0;384.0;-788.0;-1355.0;-593.0;1039.0
-95.0;-49.0;-399.0;254.0;15.0;-236.0;-573.0;392.0
-111.0;104.0;-140.0;646.0;-40.0;124.0;-364.0;445.0
-211.0;-45.0;-309.0;371.0;-188.0;254.0;-469.0;429.0
157.0;-365.0;-617.0;744.0;-528.0;-186.0;-731.0;735.0
465.0;-469.0;-527.0;404.0;-756.0;-598.0;-830.0;542.0
-73.0;468.0;-493.0;662.0;549.0;-191.0;-748.0;818.0
635.0;-441.0;-653.0;455.0;-610.0;-625.0;-724.0;401.0
626.0;-321.0;-610.0;1011.0;-402.0;-572.0;-710.0;975.0
552.0;-387.0;-622.0;579.0;-561.0;-244.0;-722.0;335.0
-625.0;-613.0;-670.0;39.0;-374.0;618.0;-735.0;-380.0
-376.0;529.0;674.0;-331.0;465.0;288.0;724.0;-12.0
-429.0;135.0;28.0;324.0;-78.0;-85.0;287.0;353.0
284.0;263.0;-493.0;905.0;223.0;-103.0;-748.0;857.0
-442.0;110.0;13.0;326.0;-102.0;-77.0;268.0;375.0
-70.0;58.0;-280.0;626.0;17.0;323.0;-439.0;432.0
-377.0;224.0;52.0;353.0;254.0;220.0;-158.0;415.0
521.0;-429.0;-508.0;836.0;-330.0;-116.0;-647.0;571.0
-498.0;-514.0;-653.0;82.0;-674.0;-20.0;-741.0;450.0
333.0;543.0;-584.0;433.0;807.0;-580.0;-719.0;690.0
-314.0;193.0;-99.0;393.0;-75.0;-290.0;150.0;84.0
168.0;-234.0;272.0;717.0;-262.0;-538.0;449.0;398.0
-339.0;197.0;-110.0;379.0;-93.0;-279.0;134.0;105.0
-34.0;200.0;-11.0;420.0;248.0;-5.0;-202.0;422.0
2.0;235.0;27.0;429.0;297.0;-4.0;-171.0;443.0
-355.0;203.0;-116.0;378.0;-107.0;-273.0;125.0;103.0
291.0;246.0;494.0;432.0;265.0;-82.0;586.0;369.0
-45.0;40.0;426.0;394.0;148.0;-243.0;697.0;311.0
504.0;211.0;497.0;618.0;178.0;361.0;697.0;146.0
-57.0;-239.0;77.0;402.0;-225.0;13.0;267.0;281.0
3.0;-183.0;197.0;497.0;-226.0;-61.0;362.0;374.0
36.0;-362.0;0.0;644.0;-281.0;-75.0;223.0;595.0
127.0;-387.0;-82.0;568.0;-387.0;3.0;81.0;262.0
-282.0;-617.0;-291.0;201.0;-681.0;-534.0;-285.0;660.0
25.0;-246.0;16.0;714.0;-371.0;-170.0;175.0;802.0
347.0;-509.0;-284.0;427.0;-578.0;-527.0;-100.0;596.0
-234.0;-262.0;76.0;433.0;-226.0;-73.0;309.0;339.0
-230.0;-263.0;79.0;433.0;-231.0;-79.0;307.0;339.0
-229.0;-264.0;83.0;433.0;-234.0;-73.0;305.0;340.0
-224.0;-260.0;89.0;445.0;-257.0;-78.0;283.0;348.0
-227.0;-262.0;89.0;446.0;-262.0;-83.0;279.0;350.0
-228.0;-265.0;89.0;448.0;-266.0;-87.0;275.0;350.0
-225.0;-272.0;91.0;447.0;-271.0;-86.0;271.0;352.0
-226.0;-275.0;92.0;452.0;-271.0;-84.0;266.0;352.0
-227.0;-280.0;95.0;455.0;-271.0;-78.0;261.0;348.0
-255.0;-287.0;100.0;471.0;-275.0;-54.0;241.0;344.0
-157.0;-271.0;76.0;513.0;-241.0;-28.0;265.0;387.0
-157.0;-267.0;73.0;521.0;-240.0;-9.0;263.0;385.0
-389.0;228.0;157.0;264.0;-166.0;639.0;317.0;-6.0
-597.0;-459.0;-287.0;335.0;-515.0;-171.0;36.0;812.0
214.0;322.0;-410.0;834.0;371.0;-391.0;-639.0;989.0
-376.0;206.0;-121.0;376.0;-125.0;-248.0;113.0;102.0
-512.0;502.0;275.0;96.0;512.0;-212.0;-57.0;759.0
-38.0;-425.0;-72.0;519.0;-352.0;49.0;172.0;443.0
-35.0;-455.0;-80.0;488.0;-349.0;43.0;179.0;392.0
-234.0;-467.0;-330.0;552.0;-656.0;-227.0;-240.0;612.0
-396.0;224.0;-77.0;323.0;281.0;69.0;-216.0;500.0
61.0;-78.0;-407.0;994.0;-115.0;-137.0;-590.0;941.0
-378.0;590.0;760.0;-471.0;599.0;123.0;609.0;347.0
-29.0;-427.0;-69.0;516.0;-355.0;50.0;178.0;442.0
-199.0;410.0;230.0;323.0;515.0;3.0;77.0;477.0
-718.0;-450.0;-672.0;-22.0;-281.0;133.0;-735.0;-402.0
-8.0;-374.0;-3.0;636.0;-256.0;25.0;224.0;557.0
3.0;-377.0;-5.0;632.0;-255.0;49.0;216.0;546.0
-35.0;-456.0;-80.0;490.0;-350.0;44.0;179.0;393.0
640.0;504.0;601.0;603.0;779.0;-745.0;649.0;635.0
-374.0;578.0;661.0;6.0;617.0;38.0;734.0;348.0
-51.0;-388.0;-14.0;659.0;-288.0;62.0;193.0;578.0
-301.0;236.0;109.0;354.0;-38.0;-200.0;398.0;260.0
-367.0;567.0;667.0;-10.0;486.0;265.0;734.0;-145.0
-474.0;-243.0;-68.0;335.0;-468.0;332.0;162.0;467.0
168.0;413.0;46.0;777.0;387.0;322.0;-109.0;322.0
-24.0;-424.0;-57.0;539.0;-369.0;-19.0;212.0;502.0
-28.0;-388.0;-12.0;627.0;-260.0;65.0;203.0;537.0
-24.0;-390.0;-40.0;594.0;-389.0;-34.0;233.0;592.0
350.0;567.0;216.0;739.0;738.0;-957.0;323.0;809.0
310.0;-376.0;84.0;954.0;-360.0;232.0;118.0;139.0
-180.0;-181.0;192.0;751.0;-159.0;234.0;335.0;260.0
-411.0;-183.0;101.0;331.0;181.0;671.0;-139.0;-129.0
-699.0;-437.0;-670.0;4.0;-403.0;341.0;-739.0;-273.0
-577.0;515.0;145.0;358.0;379.0;386.0;-125.0;243.0
95.0;-358.0;-342.0;437.0;-77.0;335.0;-539.0;-138.0
-332.0;458.0;286.0;531.0;571.0;52.0;155.0;506.0
-186.0;510.0;385.0;701.0;651.0;-304.0;273.0;949.0
-136.0;592.0;286.0;396.0;647.0;-457.0;202.0;634.0
-782.0;420.0;273.0;-130.0;319.0;-160.0;-301.0;687.0
-512.0;-368.0;-229.0;322.0;-489.0;-298.0;132.0;857.0
684.0;235.0;540.0;622.0;499.0;-261.0;790.0;390.0
-416.0;225.0;-41.0;438.0;313.0;-55.0;-226.0;563.0
-375.0;392.0;173.0;188.0;522.0;-2.0;24.0;436.0
37.0;-380.0;-95.0;863.0;-454.0;-252.0;-268.0;934.0
397.0;385.0;43.0;607.0;171.0;-27.0;-449.0;550.0
