InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit LLA gyroX
-25;-303.0;-223.0;43.0;-183.0;-159.0;-35;142.0
-38;-174.0;-400.0;65.0;24.0;105.0;-24;236.0
-27;-60.0;-437.0;-177.0;24.0;-202.0;-27;187.0
-26;-142.0;-231.0;35.0;-79.0;71.0;-44;-99.0
-29;-309.0;-187.0;-13.0;-10.0;-50.0;-37;67.0
-31;-158.0;-207.0;-10.0;-18.0;-9.0;-45;-62.0
-44;-256.0;-357.0;-46.0;123.0;138.0;-46;-77.0
-19;-80.0;-176.0;-325.0;223.0;-188.0;-38;-390.0
-25;-198.0;-335.0;-18.0;77.0;23.0;-36;-268.0
-26;-178.0;-257.0;-30.0;-33.0;35.0;-43;34.0
-19;-201.0;-613.0;48.0;-253.0;82.0;-49;236.0
-26;-183.0;-290.0;-17.0;-88.0;48.0;-42;-82.0
-25;-346.0;-331.0;-11.0;10.0;0.0;-35;-73.0
-25;-246.0;-772.0;-39.0;84.0;46.0;-27;-459.0
-24;-293.0;-386.0;0.0;-2.0;-4.0;-27;-59.0
-42;-269.0;-813.0;-142.0;267.0;-141.0;-27;93.0
-30;-106.0;-351.0;-20.0;-77.0;7.0;-45;-21.0
-37;-234.0;-189.0;21.0;-154.0;50.0;-43;-83.0
-30;-268.0;-205.0;-24.0;-30.0;14.0;-37;-88.0
-38;-291.0;-204.0;-25.0;32.0;-35.0;-44;-30.0
-28;-279.0;-199.0;8.0;-10.0;23.0;-37;-70.0
-38;-312.0;-80.0;7.0;4.0;26.0;-44;-93.0
-30;-260.0;-204.0;-19.0;-29.0;-19.0;-37;-75.0
-29;-270.0;-142.0;-6.0;-26.0;37.0;-37;-75.0
-25;-359.0;-300.0;32.0;-36.0;-174.0;-35;134.0
-38;-298.0;-204.0;26.0;-78.0;22.0;-44;-59.0
-21;-213.0;-666.0;-98.0;-847.0;-804.0;-29;947.0
-30;-121.0;-356.0;5.0;142.0;13.0;-45;-33.0
-25;-226.0;-297.0;-36.0;87.0;-40.0;-35;-230.0
-29;-90.0;-335.0;110.0;465.0;147.0;-43;-233.0
-25;-340.0;-155.0;11.0;-294.0;-16.0;-35;-34.0
-29;-267.0;-112.0;81.0;134.0;185.0;-38;-225.0
-27;-172.0;-253.0;27.0;66.0;12.0;-43;-91.0
-24;-56.0;-429.0;-78.0;1.0;-103.0;-29;-12.0
-39;-179.0;-370.0;216.0;-86.0;609.0;-28;-306.0
-26;-105.0;-237.0;-100.0;-162.0;-221.0;-37;2116.0
-24;-314.0;-281.0;54.0;-26.0;72.0;-27;-128.0
-25;-308.0;-298.0;53.0;-80.0;58.0;-35;-40.0
-67;-351.0;-459.0;270.0;-262.0;271.0;-28;149.0
-28;-79.0;-507.0;-5.0;-5.0;36.0;-28;-130.0
-25;-344.0;-144.0;140.0;-122.0;52.0;-34;-79.0
-29;-295.0;-249.0;-11.0;64.0;28.0;-37;-217.0
-25;-282.0;-157.0;-11.0;14.0;-10.0;-35;-146.0
-73;-175.0;539.0;80.0;-59.0;64.0;-17;209.0
-25;-320.0;-358.0;76.0;-282.0;77.0;-27;-167.0
-36;-324.0;-87.0;-57.0;8.0;-53.0;-42;-23.0
-25;-357.0;-319.0;6.0;-88.0;-61.0;-35;-131.0
-26;-141.0;-223.0;6.0;18.0;22.0;-44;-58.0
-25;-284.0;-290.0;32.0;-890.0;-54.0;-35;-11.0
-26;-333.0;-120.0;8.0;52.0;30.0;-33;464.0
-33;-159.0;-153.0;-57.0;-166.0;14.0;-44;-3.0
-20;-164.0;-311.0;-19.0;-194.0;-70.0;-29;581.0
-26;-146.0;-168.0;-62.0;136.0;-30.0;-44;-45.0
-36;-362.0;-138.0;-222.0;194.0;-213.0;-42;89.0
-26;-326.0;-202.0;-82.0;-147.0;-131.0;-33;151.0
-28;-273.0;-199.0;23.0;-62.0;46.0;-37;-116.0
-29;-250.0;-154.0;35.0;-31.0;70.0;-37;-383.0
-20;-322.0;-229.0;102.0;40.0;77.0;-27;-60.0
-27;-286.0;-201.0;28.0;-48.0;19.0;-37;-145.0
-25;-234.0;31.0;115.0;-285.0;114.0;-35;96.0
-27;-275.0;-68.0;-39.0;-43.0;14.0;-37;-880.0
-29;-282.0;-137.0;8.0;-23.0;7.0;-37;-78.0
-20;-335.0;-198.0;106.0;-508.0;178.0;-27;-234.0
-66;-225.0;-582.0;188.0;143.0;252.0;-30;-1055.0
