InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LUA Quaternion1
709.0;352.0;-416.0;292.0;405.0;430.0;233.0
75.0;598.0;-917.0;584.0;-140.0;-185.0;582.0
750.0;-157.0;374.0;-405.0;-60.0;137.0;-259.0
326.0;629.0;-859.0;659.0;37.0;-220.0;550.0
765.0;-103.0;333.0;-344.0;-22.0;174.0;-210.0
791.0;65.0;257.0;-138.0;57.0;240.0;-89.0
845.0;241.0;31.0;106.0;232.0;376.0;109.0
848.0;266.0;-41.0;191.0;312.0;457.0;174.0
848.0;361.0;-34.0;370.0;463.0;629.0;385.0
841.0;370.0;-38.0;379.0;497.0;659.0;430.0
322.0;630.0;-839.0;660.0;60.0;-221.0;548.0
276.0;633.0;-815.0;663.0;114.0;-233.0;544.0
281.0;632.0;-817.0;662.0;112.0;-232.0;544.0
287.0;632.0;-818.0;662.0;109.0;-231.0;544.0
674.0;584.0;-312.0;603.0;528.0;742.0;541.0
731.0;440.0;-375.0;314.0;546.0;675.0;452.0
793.0;363.0;-216.0;253.0;507.0;604.0;324.0
803.0;328.0;-148.0;209.0;504.0;576.0;277.0
296.0;630.0;-822.0;661.0;102.0;-229.0;545.0
811.0;584.0;-282.0;176.0;-175.0;-66.0;616.0
797.0;560.0;-343.0;173.0;-176.0;1.0;657.0
339.0;626.0;-816.0;659.0;78.0;-223.0;546.0
375.0;619.0;-804.0;655.0;34.0;-214.0;551.0
384.0;618.0;-802.0;654.0;24.0;-214.0;552.0
425.0;607.0;-780.0;650.0;-19.0;-208.0;569.0
438.0;601.0;-757.0;646.0;-41.0;-203.0;576.0
457.0;597.0;-743.0;643.0;-60.0;-200.0;578.0
660.0;459.0;-635.0;157.0;-234.0;242.0;753.0
517.0;594.0;-713.0;640.0;-139.0;-196.0;577.0
105.0;580.0;-921.0;568.0;-118.0;-183.0;584.0
100.0;578.0;-917.0;548.0;-123.0;-191.0;593.0
563.0;599.0;-687.0;575.0;-336.0;-223.0;562.0
327.0;600.0;-795.0;645.0;8.0;-234.0;611.0
800.0;549.0;-418.0;270.0;-178.0;39.0;682.0
493.0;324.0;-840.0;155.0;76.0;839.0;859.0
317.0;609.0;-804.0;654.0;18.0;-247.0;604.0
265.0;627.0;-824.0;665.0;26.0;-270.0;580.0
310.0;638.0;-780.0;665.0;31.0;-290.0;555.0
83.0;588.0;-914.0;564.0;-141.0;-189.0;585.0
-306.0;90.0;-638.0;563.0;-251.0;-263.0;226.0
82.0;590.0;-914.0;572.0;-136.0;-192.0;585.0
821.0;598.0;-231.0;295.0;-62.0;-124.0;560.0
829.0;598.0;-233.0;309.0;-46.0;-115.0;578.0
299.0;352.0;-869.0;-15.0;-309.0;553.0;711.0
301.0;580.0;-817.0;652.0;-24.0;-309.0;587.0
82.0;591.0;-914.0;573.0;-136.0;-192.0;585.0
480.0;618.0;-782.0;589.0;-20.0;-245.0;551.0
462.0;624.0;-796.0;595.0;4.0;-248.0;548.0
450.0;627.0;-805.0;599.0;17.0;-251.0;545.0
497.0;586.0;-810.0;645.0;64.0;-285.0;518.0
408.0;632.0;-826.0;606.0;38.0;-259.0;537.0
348.0;638.0;-834.0;612.0;88.0;-259.0;536.0
328.0;640.0;-839.0;614.0;106.0;-260.0;535.0
314.0;643.0;-841.0;617.0;121.0;-262.0;533.0
296.0;644.0;-839.0;619.0;136.0;-263.0;531.0
412.0;-39.0;628.0;-488.0;381.0;191.0;-143.0
438.0;-6.0;610.0;-453.0;398.0;198.0;-118.0
462.0;24.0;592.0;-418.0;414.0;205.0;-92.0
694.0;100.0;596.0;-379.0;367.0;477.0;99.0
701.0;251.0;440.0;-111.0;479.0;305.0;210.0
812.0;270.0;286.0;-87.0;428.0;317.0;251.0
829.0;271.0;255.0;-87.0;411.0;317.0;255.0
854.0;263.0;232.0;-91.0;248.0;324.0;243.0
860.0;299.0;278.0;-42.0;146.0;317.0;220.0
872.0;305.0;254.0;-34.0;138.0;317.0;221.0
891.0;315.0;205.0;-22.0;122.0;319.0;220.0
893.0;316.0;198.0;-20.0;119.0;319.0;220.0
894.0;316.0;190.0;-19.0;121.0;319.0;220.0
895.0;316.0;183.0;-18.0;125.0;319.0;220.0
897.0;315.0;172.0;-17.0;133.0;323.0;220.0
910.0;317.0;133.0;-11.0;128.0;333.0;235.0
924.0;355.0;97.0;52.0;154.0;351.0;290.0
934.0;418.0;102.0;146.0;213.0;360.0;365.0
933.0;420.0;107.0;148.0;210.0;360.0;366.0
931.0;421.0;111.0;150.0;209.0;360.0;368.0
928.0;429.0;113.0;167.0;213.0;365.0;379.0
927.0;432.0;116.0;176.0;217.0;368.0;387.0
927.0;435.0;129.0;184.0;214.0;369.0;401.0
929.0;428.0;132.0;176.0;214.0;370.0;401.0
924.0;416.0;147.0;155.0;211.0;362.0;388.0
921.0;401.0;156.0;131.0;218.0;360.0;372.0
928.0;373.0;116.0;82.0;222.0;344.0;340.0
927.0;320.0;162.0;9.0;241.0;345.0;295.0
899.0;331.0;208.0;34.0;317.0;366.0;320.0
890.0;338.0;205.0;44.0;352.0;367.0;329.0
889.0;348.0;176.0;51.0;380.0;362.0;332.0
879.0;356.0;121.0;55.0;433.0;356.0;335.0
768.0;394.0;-76.0;112.0;635.0;364.0;359.0
748.0;396.0;-50.0;113.0;658.0;368.0;367.0
919.0;408.0;51.0;131.0;368.0;376.0;370.0
943.0;411.0;79.0;151.0;215.0;390.0;385.0
941.0;413.0;68.0;155.0;207.0;391.0;389.0
931.0;418.0;38.0;167.0;246.0;394.0;395.0
928.0;422.0;38.0;172.0;256.0;395.0;398.0
893.0;448.0;23.0;201.0;434.0;385.0;413.0
601.0;442.0;-141.0;206.0;714.0;388.0;432.0
593.0;440.0;-147.0;202.0;718.0;388.0;432.0
585.0;434.0;-128.0;194.0;717.0;389.0;436.0
585.0;431.0;-120.0;189.0;715.0;387.0;435.0
586.0;428.0;-99.0;181.0;709.0;383.0;428.0
615.0;331.0;-65.0;37.0;713.0;377.0;370.0
620.0;322.0;-70.0;30.0;715.0;380.0;368.0
620.0;308.0;-92.0;31.0;741.0;379.0;365.0
671.0;380.0;40.0;62.0;689.0;321.0;321.0
688.0;388.0;81.0;62.0;655.0;320.0;309.0
635.0;403.0;146.0;60.0;584.0;296.0;259.0
584.0;402.0;125.0;35.0;546.0;261.0;172.0
618.0;401.0;122.0;28.0;510.0;254.0;154.0
832.0;371.0;33.0;-32.0;240.0;226.0;62.0
848.0;366.0;11.0;-22.0;183.0;242.0;63.0
849.0;368.0;8.0;-17.0;185.0;242.0;67.0
846.0;379.0;4.0;-9.0;228.0;235.0;75.0
843.0;386.0;2.0;-7.0;256.0;231.0;77.0
804.0;415.0;-59.0;53.0;355.0;262.0;134.0
272.0;646.0;-839.0;619.0;143.0;-263.0;528.0
270.0;649.0;-858.0;616.0;131.0;-259.0;521.0
734.0;452.0;-133.0;132.0;465.0;304.0;184.0
721.0;458.0;-149.0;143.0;485.0;310.0;192.0
637.0;485.0;-238.0;203.0;615.0;331.0;248.0
618.0;500.0;-262.0;237.0;637.0;342.0;279.0
602.0;516.0;-294.0;264.0;645.0;346.0;305.0
728.0;539.0;-19.0;250.0;446.0;323.0;296.0
708.0;539.0;398.0;237.0;292.0;320.0;270.0
709.0;545.0;429.0;236.0;269.0;301.0;265.0
693.0;562.0;476.0;242.0;235.0;230.0;257.0
721.0;567.0;444.0;183.0;209.0;125.0;206.0
794.0;520.0;241.0;225.0;245.0;382.0;202.0
807.0;504.0;173.0;224.0;219.0;459.0;173.0
800.0;470.0;107.0;221.0;152.0;523.0;136.0
767.0;426.0;119.0;182.0;23.0;477.0;-42.0
747.0;407.0;203.0;159.0;-23.0;426.0;-167.0
753.0;414.0;197.0;160.0;17.0;422.0;-169.0
711.0;425.0;277.0;170.0;-55.0;404.0;-153.0
700.0;431.0;313.0;186.0;-79.0;411.0;-132.0
692.0;437.0;324.0;197.0;-83.0;419.0;-114.0
695.0;441.0;320.0;203.0;-71.0;423.0;-105.0
705.0;449.0;306.0;215.0;-41.0;433.0;-84.0
745.0;451.0;189.0;237.0;135.0;493.0;10.0
746.0;445.0;175.0;237.0;150.0;500.0;15.0
798.0;497.0;82.0;339.0;176.0;469.0;37.0
787.0;499.0;98.0;341.0;150.0;468.0;37.0
752.0;502.0;104.0;346.0;100.0;472.0;52.0
748.0;500.0;100.0;344.0;92.0;473.0;58.0
751.0;494.0;100.0;338.0;71.0;493.0;77.0
753.0;494.0;102.0;340.0;68.0;504.0;83.0
751.0;494.0;59.0;346.0;84.0;521.0;107.0
815.0;382.0;-75.0;357.0;328.0;549.0;139.0
