InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion2
475.0;-11;-18.0;-11;11;-110.0;-11;-229.0;-92.0
-282.0;-43;-73.0;38;-38;89.0;-43;329.0;117.0
-451.0;6;359.0;0;0;156.0;6;453.0;102.0
456.0;-1562;224.0;-727;727;-57.0;-1562;-397.0;-113.0
647.0;-35;235.0;257;-257;-177.0;-35;-224.0;-71.0
454.0;28;58.0;-1;1;-259.0;28;-193.0;37.0
479.0;-7;22.0;-13;13;-237.0;-7;-193.0;15.0
480.0;-23;48.0;-6;6;-234.0;-23;-187.0;14.0
481.0;16;88.0;-6;6;-233.0;16;-189.0;13.0
491.0;-1;-31.0;-13;13;-236.0;-1;-203.0;7.0
489.0;18;-7.0;-15;15;-235.0;18;-202.0;5.0
490.0;9;6.0;-35;35;-234.0;9;-204.0;4.0
-257.0;22;364.0;-22;22;315.0;22;411.0;-54.0
-448.0;-15;46.0;-53;53;157.0;-15;264.0;179.0
110.0;33;-697.0;95;-95;-439.0;33;-212.0;223.0
466.0;-1;-13.0;20;-20;-160.0;-1;-271.0;-328.0
-488.0;-33;2.0;-212;212;125.0;-33;208.0;121.0
-501.0;-3;49.0;12;-12;137.0;-3;203.0;83.0
651.0;11;2070.0;11;-11;-69.0;11;-57.0;-57.0
147.0;83;990.0;573;-573;328.0;83;-187.0;-78.0
130.0;-2360;-758.0;-2339;2339;-422.0;-2360;-108.0;170.0
-491.0;6;18.0;-14;14;123.0;6;205.0;119.0
-491.0;-8;1.0;43;-43;123.0;-8;205.0;118.0
-491.0;-9;-2.0;50;-50;123.0;-9;205.0;118.0
605.0;-1;277.0;-10;10;-148.0;-1;-226.0;-109.0
875.0;31;885.0;58;-58;544.0;31;-451.0;-503.0
472.0;-26;66.0;118;-118;-144.0;-26;-197.0;-63.0
470.0;-15;53.0;3;-3;-132.0;-15;-206.0;-97.0
435.0;34;-49.0;-4;4;-138.0;34;-204.0;-97.0
-453.0;-42;47.0;98;-98;31.0;-42;387.0;209.0
557.0;-12;-274.0;17;-17;-125.0;-12;-235.0;-70.0
407.0;-32;48.0;-27;27;-154.0;-32;-209.0;-88.0
637.0;-55;-1525.0;-153;153;742.0;-55;-470.0;-607.0
426.0;-30;-224.0;-70;70;-133.0;-30;-184.0;-107.0
-491.0;-20;20.0;-43;43;126.0;-20;205.0;116.0
