InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroZ
138.0;28;554;888.0;-17;-207.0;-28;142.0
23.0;7;707;866.0;87;-50.0;-7;31.0
-109.0;-5;623;933.0;9;162.0;5;99.0
-7.0;21;616;953.0;21;-220.0;-21;25.0
-7.0;19;613;924.0;20;-274.0;-19;9.0
23.0;11;615;939.0;14;7.0;-11;34.0
29.0;-9;616;933.0;14;-87.0;9;86.0
65.0;10;497;924.0;-93;-12.0;-10;130.0
26.0;-9;621;939.0;15;-81.0;9;85.0
132.0;6;617;942.0;20;-125.0;-6;66.0
-47.0;26;613;938.0;18;-119.0;-26;88.0
0.0;3;618;916.0;11;-99.0;-3;135.0
25.0;1;616;934.0;14;-3.0;-1;138.0
51.0;-20;615;929.0;11;-50.0;20;274.0
24.0;-20;613;933.0;15;14.0;20;-5.0
-83.0;34;483;905.0;-96;-42.0;-34;-153.0
94.0;-10;489;925.0;-96;-62.0;10;136.0
78.0;29;489;915.0;-94;-18.0;-29;131.0
63.0;4;489;924.0;-90;-9.0;-4;179.0
39.0;-17;488;929.0;-97;-152.0;17;244.0
-33.0;-5;620;932.0;15;11.0;5;108.0
12.0;-18;621;922.0;13;-22.0;18;3.0
-67.0;-21;614;937.0;19;168.0;21;85.0
-95.0;-18;621;952.0;19;151.0;18;83.0
-48.0;22;618;937.0;17;78.0;-22;79.0
63.0;9;617;933.0;15;-79.0;-9;-87.0
77.0;-21;487;905.0;-105;-11.0;21;108.0
26.0;12;614;942.0;16;-22.0;-12;12.0
225.0;1;617;942.0;16;19.0;-1;7.0
242.0;9;618;942.0;19;40.0;-9;135.0
-29.0;7;617;933.0;20;43.0;-7;12.0
-12.0;30;612;935.0;14;7.0;-30;55.0
-62.0;-42;623;925.0;16;-5.0;42;47.0
37.0;3;613;933.0;13;12.0;-3;124.0
25.0;0;615;932.0;13;-83.0;0;-168.0
50.0;6;614;947.0;10;-92.0;-6;142.0
15.0;12;617;945.0;21;99.0;-12;208.0
-102.0;1;612;923.0;21;-163.0;-1;-121.0
-107.0;-8;615;934.0;13;-59.0;8;39.0
-52.0;1;619;933.0;19;-166.0;-1;72.0
96.0;11;615;941.0;15;5.0;-11;177.0
-128.0;28;491;909.0;-84;86.0;-28;-169.0
-55.0;28;492;915.0;-98;-59.0;-28;-153.0
-33.0;20;496;936.0;-118;-133.0;-20;-80.0
12.0;3;499;923.0;-108;-68.0;-3;-18.0
90.0;-23;621;935.0;17;-73.0;23;88.0
