InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit LLA gyroX
-29;-289.0;-251.0;10.0;-41.0;-31.0;-37;0.0
-22;-245.0;-374.0;-9.0;49.0;-34.0;-29;123.0
-31;-192.0;-280.0;-54.0;28.0;-17.0;-45;-11.0
-31;-172.0;-248.0;-2.0;-57.0;32.0;-45;-62.0
-38;-288.0;-202.0;-2.0;-27.0;14.0;-44;-58.0
-27;-189.0;-215.0;-29.0;-7.0;11.0;-43;-82.0
-27;-181.0;-234.0;-17.0;13.0;25.0;-43;-72.0
-27;-173.0;-283.0;-10.0;45.0;-2.0;-43;-98.0
-25;-198.0;-335.0;-18.0;77.0;23.0;-36;-268.0
-26;-172.0;-290.0;-17.0;-42.0;11.0;-42;-6.0
-26;-188.0;-294.0;-22.0;-69.0;32.0;-42;15.0
-26;-183.0;-290.0;-17.0;-88.0;48.0;-42;-82.0
-25;-346.0;-331.0;-11.0;10.0;0.0;-35;-73.0
-25;-418.0;-534.0;-48.0;-35.0;-21.0;-27;-124.0
-24;-293.0;-386.0;0.0;-2.0;-4.0;-27;-59.0
-27;-283.0;-698.0;-171.0;284.0;-246.0;-27;139.0
-31;-153.0;-314.0;-28.0;-62.0;30.0;-43;-55.0
-29;-278.0;-207.0;-1.0;-72.0;27.0;-37;-62.0
-30;-268.0;-205.0;-24.0;-30.0;14.0;-37;-88.0
-27;-280.0;-199.0;-28.0;-15.0;-8.0;-37;-65.0
-27;-280.0;-199.0;17.0;-8.0;8.0;-37;-80.0
-28;-279.0;-199.0;8.0;-10.0;23.0;-37;-70.0
-30;-260.0;-204.0;-19.0;-29.0;-19.0;-37;-75.0
-29;-267.0;-198.0;1.0;-45.0;39.0;-37;-81.0
-29;-291.0;-276.0;0.0;-2.0;-50.0;-37;-1.0
-37;-291.0;-209.0;34.0;-59.0;11.0;-44;-67.0
-35;-213.0;-108.0;-6.0;-8.0;1.0;-45;-65.0
-84;-292.0;-175.0;140.0;-141.0;2.0;-26;0.0
-25;-226.0;-297.0;-36.0;87.0;-40.0;-35;-230.0
-63;-440.0;-90.0;371.0;-310.0;284.0;-42;156.0
-38;-298.0;-204.0;26.0;-78.0;22.0;-44;-59.0
-37;-238.0;-241.0;30.0;-2.0;80.0;-43;-126.0
-23;-352.0;221.0;443.0;-419.0;347.0;-32;-425.0
-30;-135.0;-338.0;-187.0;-457.0;-142.0;-45;85.0
