InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion2
-282.0;-43;-73.0;38;-38;89.0;-43;329.0;117.0
-247.0;1;0.0;-8;8;184.0;1;455.0;91.0
523.0;-20;94.0;-153;153;-140.0;-20;-166.0;-46.0
498.0;-48;68.0;-92;92;-128.0;-48;-185.0;-59.0
472.0;-26;66.0;118;-118;-144.0;-26;-197.0;-63.0
-297.0;-48;-200.0;53;-53;148.0;-48;489.0;154.0
657.0;57;8.0;-16;16;-140.0;57;-163.0;-62.0
663.0;-6;66.0;-1;1;-139.0;-6;-165.0;-62.0
-306.0;-52;-69.0;65;-65;140.0;-52;496.0;162.0
661.0;36;32.0;-32;32;-142.0;36;-156.0;-61.0
660.0;13;17.0;-10;10;-142.0;13;-156.0;-60.0
669.0;17;12.0;9;-9;-145.0;17;-156.0;-57.0
676.0;9;-33.0;6;-6;-141.0;9;-155.0;-59.0
-399.0;-50;-32.0;38;-38;37.0;-50;511.0;187.0
-405.0;-76;4.0;35;-35;31.0;-76;512.0;187.0
-420.0;5;133.0;33;-33;17.0;5;514.0;187.0
-426.0;71;25.0;-119;119;8.0;71;516.0;187.0
646.0;7;2.0;32;-32;-118.0;7;-95.0;-76.0
654.0;17;-31.0;29;-29;-118.0;17;-71.0;-75.0
-430.0;1;-70.0;-14;14;4.0;1;522.0;190.0
654.0;20;-48.0;21;-21;-117.0;20;-71.0;-75.0
-432.0;25;-86.0;11;-11;4.0;25;522.0;191.0
-434.0;26;7.0;-45;45;3.0;26;523.0;192.0
-480.0;-52;100.0;-36;36;-1.0;-52;444.0;219.0
-491.0;-43;162.0;-45;45;-11.0;-43;441.0;233.0
-490.0;-35;30.0;-22;22;-19.0;-35;442.0;244.0
-492.0;38;-86.0;-28;28;-18.0;38;447.0;247.0
-502.0;16;-35.0;31;-31;-25.0;16;459.0;258.0
-513.0;39;-7.0;-30;30;-32.0;39;443.0;239.0
-471.0;-52;10.0;35;-35;1.0;-52;391.0;221.0
-453.0;-42;47.0;98;-98;31.0;-42;387.0;209.0
-533.0;-14;-23.0;33;-33;-58.0;-14;464.0;242.0
-536.0;0;5.0;61;-61;-60.0;0;462.0;245.0
