InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroZ
-3.0;-5;481;939.0;-42;447.0;5;-125.0
95.0;11;589;906.0;1;-63.0;-11;71.0
15.0;-6;594;909.0;-8;-20.0;6;160.0
112.0;-4;706;895.0;160;-139.0;4;231.0
-546.0;-23;568;906.0;-30;230.0;23;-192.0
2.0;8;616;932.0;19;61.0;-8;82.0
-19.0;3;579;901.0;-29;-141.0;-3;-78.0
-7.0;20;595;917.0;-20;-73.0;-20;75.0
36.0;13;588;895.0;-5;-18.0;-13;41.0
12.0;3;594;916.0;-2;-43.0;-3;45.0
14.0;2;592;925.0;-10;-31.0;-2;61.0
94.0;11;579;906.0;-22;-166.0;-11;48.0
14.0;23;597;923.0;-4;-47.0;-23;37.0
6.0;12;596;911.0;-5;-18.0;-12;23.0
-65.0;-403;491;871.0;-59;203.0;403;-23.0
-140.0;-1;584;899.0;-14;-80.0;1;11.0
-17.0;21;597;877.0;7;-44.0;-21;77.0
25.0;-2;595;923.0;-7;-25.0;2;39.0
33.0;-8;594;914.0;-2;-37.0;8;36.0
-9.0;-7;597;913.0;-12;-49.0;7;25.0
26.0;20;595;910.0;0;-27.0;-20;38.0
12.0;-18;621;922.0;13;-22.0;18;3.0
116.0;11;582;885.0;-15;56.0;-11;106.0
-92.0;-11;590;915.0;-10;5.0;11;-195.0
29.0;0;619;932.0;15;-11.0;0;43.0
-64.0;-20;615;936.0;18;0.0;20;34.0
-2.0;-17;728;882.0;162;-33.0;17;198.0
21.0;36;631;937.0;-2;8.0;-36;-23.0
47.0;668;564;922.0;-2;-124.0;-668;208.0
24.0;-21;711;907.0;139;-10.0;21;85.0
17.0;5;733;869.0;177;-50.0;-5;-62.0
48.0;-5;721;919.0;109;9.0;5;43.0
-91.0;101;494;1723.0;-99;-174.0;-101;55.0
-20.0;-7;632;941.0;30;-38.0;7;24.0
120.0;-15;602;915.0;5;45.0;15;6.0
130.0;-74;720;903.0;155;-5.0;74;114.0
8.0;-20;616;929.0;19;-20.0;20;66.0
163.0;3;485;943.0;-60;-261.0;-3;-102.0
28.0;20;612;944.0;17;-36.0;-20;38.0
-609.0;-1176;456;906.0;-4;619.0;1176;35.0
62.0;16;702;869.0;80;-23.0;-16;30.0
28.0;5;628;934.0;20;-35.0;-5;49.0
22.0;-24;618;933.0;18;-36.0;24;43.0
9.0;-28;581;904.0;-18;29.0;28;42.0
-193.0;480;483;458.0;-62;278.0;-480;-666.0
108.0;-1;619;932.0;16;-87.0;1;92.0
6.0;-12;605;881.0;9;-73.0;12;28.0
204.0;1;626;914.0;25;-23.0;-1;6.0
-150.0;-7;607;875.0;19;22.0;7;-17.0
96.0;95;496;360.0;-181;-155.0;-95;-297.0
-134.0;-13;588;931.0;-19;-243.0;13;-251.0
20.0;18;583;879.0;-8;-15.0;-18;33.0
163.0;-540;563;909.0;-197;-507.0;540;-266.0
-10.0;-1521;739;893.0;12;474.0;1521;676.0
-7.0;19;483;924.0;-94;34.0;-19;-61.0
-516.0;-4835;1271;827.0;306;119.0;4835;1141.0
504.0;-24;484;1031.0;-82;-311.0;24;1429.0
-535.0;-6;621;933.0;21;345.0;6;-1141.0
-66.0;14;580;893.0;-13;155.0;-14;-330.0
-7.0;19;613;924.0;20;-274.0;-19;9.0
562.0;-3;592;918.0;1;-693.0;3;680.0
249.0;12;500;839.0;-78;218.0;-12;599.0
-46.0;-18;459;896.0;-1;4.0;18;14.0
-1.0;5;501;918.0;-95;-136.0;-5;8.0
-269.0;29;513;906.0;-57;1131.0;-29;-371.0
41.0;5;500;915.0;-86;-30.0;-5;135.0
30.0;3;467;981.0;-68;679.0;-3;354.0
271.0;5;493;931.0;-99;-121.0;-5;249.0
93.0;18;479;926.0;-72;-1190.0;-18;-18.0
-29.0;-17;730;878.0;167;-11.0;17;21.0
4.0;27;724;897.0;144;-22.0;-27;24.0
56.0;39;710;909.0;140;-51.0;-39;44.0
19.0;-14;719;888.0;150;-16.0;14;24.0
80.0;1881;541;874.0;-132;-340.0;-1881;-85.0
24.0;-153;637;932.0;18;-53.0;153;36.0
36.0;-5;719;890.0;147;-68.0;5;22.0
322.0;-20;475;951.0;-82;-374.0;20;46.0
29.0;-5;622;950.0;20;-26.0;5;13.0
-123.0;7;617;912.0;-21;-298.0;-7;323.0
-162.0;5;490;997.0;-104;-433.0;-5;-575.0
-52.0;11;593;921.0;-1;93.0;-11;63.0
37.0;3;613;933.0;13;12.0;-3;124.0
-117.0;-45;625;922.0;23;-114.0;45;96.0
92.0;-3;594;910.0;-7;-110.0;3;247.0
20.0;-11;629;955.0;14;-18.0;11;65.0
158.0;4791;817;559.0;-389;14.0;-4791;-580.0
222.0;-31;583;894.0;-9;51.0;31;196.0
27.0;0;473;912.0;-113;15.0;0;50.0
80.0;12;497;933.0;-90;186.0;-12;155.0
197.0;27;638;882.0;30;-101.0;-27;-413.0
-197.0;-23;602;920.0;-9;89.0;23;174.0
329.0;6;689;897.0;128;-163.0;-6;-19.0
-183.0;-3382;228;853.0;199;127.0;3382;47.0
46.0;-15;600;897.0;15;-90.0;15;14.0
233.0;40;523;933.0;-68;-660.0;-40;-282.0
-10.0;5;706;869.0;72;-7.0;-5;56.0
-20.0;-31;701;862.0;75;103.0;31;44.0
157.0;-26;496;776.0;-10;-167.0;26;112.0
