InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-297.0;893.0;177;-36.0;-188.0;230.0;-842.0
-222.0;1020.0;119;17.0;-65.0;414.0;-971.0
-306.0;901.0;95;70.0;-479.0;286.0;-881.0
-458.0;990.0;-57;584.0;177.0;364.0;-966.0
-156.0;1027.0;-57;-435.0;247.0;362.0;-970.0
-286.0;808.0;93;186.0;-462.0;398.0;-865.0
-209.0;865.0;-2;265.0;-310.0;286.0;-554.0
-148.0;724.0;-160;-283.0;-390.0;917.0;-623.0
-287.0;848.0;93;-190.0;-306.0;473.0;-1242.0
-316.0;1009.0;93;104.0;-352.0;248.0;-777.0
97.0;947.0;-81;-487.0;-106.0;883.0;-908.0
-611.0;873.0;129;-331.0;417.0;448.0;-1134.0
-98.0;980.0;88;8.0;-547.0;462.0;-670.0
102.0;703.0;-166;-341.0;290.0;1017.0;-629.0
114.0;796.0;86;-64.0;53.0;661.0;-678.0
-157.0;920.0;-57;-385.0;250.0;374.0;-947.0
-449.0;1004.0;94;75.0;-142.0;290.0;-915.0
-699.0;815.0;150;48.0;23.0;312.0;-917.0
-278.0;765.0;90;-578.0;-528.0;806.0;-949.0
-374.0;979.0;114;31.0;-181.0;370.0;-771.0
-383.0;878.0;114;7.0;-133.0;293.0;-1044.0
285.0;813.0;86;61.0;-20.0;288.0;-767.0
-396.0;819.0;115;14.0;-109.0;367.0;-1154.0
-412.0;786.0;116;89.0;-106.0;444.0;-1139.0
-486.0;942.0;95;292.0;-163.0;204.0;-939.0
-496.0;1171.0;95;269.0;-152.0;498.0;-1126.0
-336.0;870.0;101;32.0;-281.0;225.0;-799.0
300.0;831.0;86;-25.0;-50.0;330.0;-836.0
-282.0;1196.0;101;177.0;-179.0;201.0;-972.0
-211.0;1150.0;-113;300.0;197.0;48.0;-849.0
-265.0;1171.0;101;206.0;-173.0;554.0;-917.0
14.0;825.0;-113;-516.0;-248.0;642.0;-911.0
-403.0;980.0;169;126.0;-272.0;573.0;-855.0
-25.0;899.0;-113;-359.0;-248.0;735.0;-997.0
-200.0;744.0;122;206.0;-34.0;244.0;-812.0
-437.0;863.0;57;583.0;58.0;372.0;-1110.0
198.0;893.0;-82;190.0;-90.0;333.0;-911.0
243.0;925.0;156;-742.0;36.0;442.0;-977.0
-31.0;959.0;-113;-402.0;-237.0;718.0;-910.0
149.0;837.0;-82;-5.0;-115.0;311.0;-902.0
-72.0;1023.0;-113;-327.0;-189.0;737.0;-1029.0
278.0;991.0;-167;-10.0;-540.0;736.0;-913.0
-81.0;995.0;-113;-378.0;-176.0;751.0;-1058.0
-109.0;1030.0;-113;-139.0;-120.0;773.0;-945.0
337.0;791.0;-167;-312.0;-564.0;962.0;-788.0
-59.0;1060.0;-81;-265.0;-154.0;959.0;-955.0
163.0;874.0;-168;-135.0;-373.0;540.0;-752.0
149.0;857.0;-168;-225.0;-357.0;612.0;-744.0
-371.0;1042.0;100;-20.0;-13.0;730.0;-1055.0
-11.0;863.0;-168;-356.0;-200.0;827.0;-785.0
-349.0;995.0;-164;-424.0;-358.0;1012.0;-798.0
22.0;1044.0;-81;-461.0;-327.0;779.0;-1063.0
-1.0;800.0;-168;-537.0;-304.0;918.0;-729.0
-427.0;1009.0;75;48.0;-137.0;665.0;-1050.0
125.0;1090.0;-81;-248.0;-565.0;859.0;-820.0
-365.0;960.0;122;-204.0;24.0;450.0;-1034.0
-445.0;1028.0;74;160.0;-160.0;706.0;-972.0
-510.0;1038.0;128;-317.0;-32.0;430.0;-978.0
-408.0;654.0;172;-114.0;29.0;340.0;-770.0
-261.0;750.0;-167;-468.0;46.0;1060.0;-727.0
-37.0;877.0;-168;-420.0;25.0;750.0;-713.0
-22.0;870.0;-91;-342.0;0.0;389.0;-1086.0
-119.0;951.0;-81;373.0;-70.0;587.0;-858.0
-271.0;951.0;-57;528.0;187.0;408.0;-1013.0
-129.0;921.0;-104;195.0;85.0;459.0;-892.0
-233.0;1009.0;-118;156.0;147.0;467.0;-869.0
67.0;904.0;-157;-345.0;-587.0;445.0;-798.0
69.0;1029.0;-81;-71.0;-319.0;746.0;-904.0
-378.0;1012.0;-166;336.0;422.0;748.0;-1026.0
173.0;676.0;-166;-190.0;-684.0;952.0;-675.0
-254.0;1040.0;152;-501.0;-106.0;469.0;-896.0
-172.0;1008.0;-145;-190.0;-162.0;326.0;-888.0
106.0;956.0;-166;320.0;-398.0;877.0;-879.0
404.0;640.0;-158;-146.0;-377.0;467.0;-760.0
85.0;935.0;-101;-105.0;-111.0;252.0;-771.0
89.0;916.0;-101;-164.0;-107.0;171.0;-787.0
122.0;948.0;-102;-213.0;-42.0;179.0;-794.0
221.0;747.0;-107;-45.0;-318.0;382.0;-957.0
27.0;881.0;-71;214.0;-3.0;166.0;-863.0
-44.0;911.0;-69;185.0;25.0;189.0;-894.0
386.0;778.0;-38;-114.0;-346.0;340.0;-1169.0
39.0;970.0;-166;-29.0;-550.0;1005.0;-869.0
50.0;1075.0;10;-116.0;-1012.0;314.0;-1275.0
-65.0;971.0;-81;90.0;-279.0;795.0;-953.0
20.0;821.0;-168;-446.0;-198.0;624.0;-736.0
-64.0;858.0;-81;108.0;-263.0;741.0;-932.0
-46.0;588.0;-167;-706.0;118.0;483.0;-561.0
180.0;825.0;-168;-570.0;-417.0;271.0;-765.0
18.0;854.0;-168;-439.0;-281.0;290.0;-759.0
99.0;911.0;-97;537.0;-365.0;638.0;-859.0
283.0;822.0;-169;-229.0;-213.0;640.0;-870.0
-449.0;279.0;73;-434.0;-793.0;1049.0;-193.0
-26.0;1093.0;-153;563.0;33.0;762.0;-889.0
-4.0;802.0;-44;-544.0;284.0;493.0;-704.0
288.0;910.0;-169;-62.0;-229.0;791.0;-938.0
-255.0;811.0;14;139.0;-211.0;479.0;-1211.0
-356.0;930.0;29;-210.0;-215.0;520.0;-1110.0
306.0;837.0;-169;-381.0;-351.0;606.0;-954.0
-72.0;948.0;-69;397.0;18.0;222.0;-832.0
80.0;1006.0;-91;101.0;-46.0;628.0;-980.0
83.0;1209.0;-121;-217.0;-120.0;713.0;-1011.0
-353.0;1059.0;29;-257.0;-227.0;389.0;-961.0
-510.0;1267.0;27;-306.0;-61.0;449.0;-944.0
80.0;939.0;-136;329.0;-230.0;740.0;-794.0
-394.0;922.0;38;-266.0;-118.0;444.0;-718.0
-493.0;712.0;11;-218.0;-8.0;97.0;-854.0
-450.0;1002.0;40;-197.0;-70.0;371.0;-955.0
279.0;1022.0;-123;-218.0;-413.0;773.0;-1067.0
-456.0;932.0;41;-103.0;-37.0;396.0;-994.0
-135.0;547.0;-152;-25.0;-208.0;758.0;-807.0
-453.0;959.0;33;-149.0;-18.0;437.0;-939.0
-458.0;938.0;29;-194.0;3.0;380.0;-924.0
-457.0;918.0;25;-59.0;14.0;302.0;-992.0
27.0;1022.0;172;-78.0;-239.0;911.0;-949.0
83.0;1031.0;167;-320.0;157.0;808.0;-997.0
-69.0;748.0;-166;-241.0;-590.0;743.0;-721.0
155.0;969.0;-166;536.0;-561.0;929.0;-837.0
