InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-28.0;1070.0;83;13.0;204.0;310.0;-982.0
-285.0;920.0;164;83.0;-187.0;163.0;-805.0
-280.0;763.0;54;-256.0;-161.0;444.0;-929.0
-547.0;1018.0;83;494.0;517.0;339.0;-1037.0
-287.0;925.0;53;-183.0;-125.0;381.0;-952.0
-264.0;892.0;53;-46.0;-160.0;452.0;-1116.0
-137.0;1209.0;19;329.0;-325.0;181.0;-982.0
-111.0;815.0;-61;92.0;-414.0;327.0;-1210.0
-170.0;637.0;22;-209.0;-291.0;311.0;-828.0
-199.0;865.0;20;-77.0;-214.0;573.0;-1005.0
-436.0;1167.0;163;27.0;-23.0;372.0;-1368.0
-91.0;992.0;89;96.0;-619.0;139.0;-785.0
-285.0;931.0;56;27.0;-130.0;318.0;-1029.0
102.0;703.0;-166;-341.0;290.0;1017.0;-629.0
114.0;796.0;86;-64.0;53.0;661.0;-678.0
-281.0;901.0;56;-75.0;-138.0;427.0;-955.0
-486.0;942.0;95;292.0;-163.0;204.0;-939.0
-126.0;875.0;-34;302.0;-568.0;255.0;-905.0
-470.0;862.0;15;-114.0;-23.0;-50.0;-981.0
-531.0;867.0;150;155.0;-172.0;331.0;-623.0
-445.0;796.0;129;215.0;-154.0;174.0;-1036.0
-374.0;911.0;53;-251.0;-123.0;389.0;-1027.0
-17.0;819.0;-68;-65.0;-254.0;638.0;-1001.0
9.0;1014.0;-68;-3.0;-229.0;325.0;-946.0
35.0;991.0;-66;94.0;-203.0;162.0;-810.0
220.0;968.0;-154;173.0;-31.0;179.0;-942.0
-336.0;870.0;101;32.0;-281.0;225.0;-799.0
120.0;906.0;-82;408.0;-135.0;212.0;-828.0
-349.0;1213.0;43;184.0;-204.0;255.0;-972.0
-155.0;1097.0;-57;98.0;254.0;372.0;-952.0
-61.0;1138.0;-78;60.0;110.0;387.0;-948.0
93.0;890.0;-166;-831.0;-380.0;585.0;-862.0
-203.0;1049.0;-1;39.0;-222.0;250.0;-743.0
-31.0;959.0;-113;-402.0;-237.0;718.0;-910.0
-346.0;866.0;9;42.0;-346.0;362.0;-672.0
-458.0;990.0;-57;584.0;177.0;364.0;-966.0
-580.0;990.0;27;151.0;384.0;379.0;-1060.0
-200.0;824.0;50;-92.0;-52.0;598.0;-1156.0
-58.0;914.0;-156;-848.0;-288.0;896.0;-591.0
353.0;840.0;-153;35.0;-188.0;236.0;-914.0
-72.0;1023.0;-113;-327.0;-189.0;737.0;-1029.0
-131.0;1103.0;54;-114.0;-138.0;411.0;-991.0
-81.0;995.0;-113;-378.0;-176.0;751.0;-1058.0
-109.0;1030.0;-113;-139.0;-120.0;773.0;-945.0
132.0;1092.0;34;-255.0;-200.0;249.0;-992.0
-341.0;958.0;145;-601.0;58.0;722.0;-923.0
273.0;912.0;-166;76.0;-400.0;491.0;-764.0
286.0;640.0;-166;-327.0;-648.0;751.0;-504.0
-371.0;1042.0;100;-20.0;-13.0;730.0;-1055.0
-97.0;735.0;-167;-503.0;-483.0;969.0;-679.0
359.0;1286.0;-37;-132.0;-365.0;243.0;-697.0
371.0;1165.0;-65;296.0;-629.0;141.0;-1067.0
-1.0;800.0;-168;-537.0;-304.0;918.0;-729.0
-445.0;1028.0;74;160.0;-160.0;706.0;-972.0
167.0;992.0;-52;-162.0;2.0;288.0;-991.0
-365.0;960.0;122;-204.0;24.0;450.0;-1034.0
229.0;757.0;-160;-74.0;176.0;235.0;-707.0
37.0;1061.0;2;-235.0;-379.0;459.0;-837.0
135.0;855.0;-118;-95.0;-512.0;12.0;-808.0
-321.0;726.0;-167;-547.0;5.0;1076.0;-703.0
-35.0;547.0;-167;-900.0;-33.0;882.0;-512.0
-22.0;870.0;-91;-342.0;0.0;389.0;-1086.0
90.0;997.0;-57;695.0;182.0;377.0;-970.0
-469.0;852.0;132;-80.0;230.0;246.0;-1137.0
-233.0;1009.0;-118;156.0;147.0;467.0;-869.0
-378.0;1012.0;-166;336.0;422.0;748.0;-1026.0
-563.0;922.0;86;-196.0;322.0;761.0;-959.0
196.0;1144.0;-55;78.0;-269.0;848.0;-998.0
-84.0;965.0;118;-257.0;172.0;206.0;-956.0
-208.0;611.0;-73;65.0;100.0;151.0;-479.0
-448.0;822.0;-48;-906.0;-27.0;441.0;-800.0
-172.0;1008.0;-145;-190.0;-162.0;326.0;-888.0
-542.0;952.0;84;87.0;601.0;230.0;-946.0
286.0;771.0;-166;-271.0;-498.0;343.0;-660.0
85.0;935.0;-101;-105.0;-111.0;252.0;-771.0
89.0;916.0;-101;-164.0;-107.0;171.0;-787.0
143.0;1135.0;-69;-370.0;-63.0;64.0;-667.0
351.0;839.0;-2;88.0;-627.0;206.0;-872.0
-203.0;1024.0;119;78.0;-68.0;97.0;-982.0
-72.0;948.0;-69;397.0;18.0;222.0;-832.0
409.0;931.0;-63;-17.0;-591.0;430.0;-1058.0
-197.0;1040.0;119;21.0;-83.0;344.0;-944.0
64.0;749.0;-38;-55.0;-721.0;140.0;-1021.0
106.0;956.0;-166;320.0;-398.0;877.0;-879.0
57.0;431.0;-166;-989.0;-180.0;931.0;-428.0
-114.0;943.0;-81;406.0;-105.0;573.0;-957.0
-46.0;623.0;-167;-727.0;-60.0;370.0;-558.0
180.0;825.0;-168;-570.0;-417.0;271.0;-765.0
280.0;760.0;-166;-381.0;-484.0;345.0;-652.0
139.0;898.0;83;91.0;-167.0;252.0;-762.0
283.0;822.0;-169;-229.0;-213.0;640.0;-870.0
-447.0;914.0;-140;108.0;-33.0;403.0;-746.0
199.0;920.0;153;-144.0;-202.0;366.0;-885.0
-89.0;1005.0;70;-642.0;369.0;756.0;-894.0
-203.0;1021.0;119;65.0;-82.0;488.0;-975.0
-223.0;1039.0;119;83.0;-66.0;610.0;-976.0
-287.0;848.0;93;-190.0;-306.0;473.0;-1242.0
-403.0;1026.0;-77;35.0;-28.0;534.0;-891.0
-390.0;950.0;-159;-16.0;-77.0;314.0;-943.0
199.0;1030.0;173;263.0;-133.0;819.0;-891.0
83.0;1209.0;-121;-217.0;-120.0;713.0;-1011.0
-353.0;1059.0;29;-257.0;-227.0;389.0;-961.0
207.0;914.0;153;14.0;-195.0;321.0;-886.0
219.0;920.0;153;39.0;-179.0;348.0;-877.0
-530.0;841.0;34;-302.0;-105.0;551.0;-799.0
-894.0;636.0;35;-879.0;478.0;210.0;-617.0
-502.0;1001.0;-7;-256.0;-123.0;293.0;-1083.0
-322.0;1060.0;176;242.0;-50.0;137.0;-923.0
-456.0;932.0;41;-103.0;-37.0;396.0;-994.0
-216.0;1039.0;119;68.0;-52.0;283.0;-974.0
-453.0;959.0;33;-149.0;-18.0;437.0;-939.0
-458.0;938.0;29;-194.0;3.0;380.0;-924.0
-669.0;1023.0;22;112.0;236.0;219.0;-938.0
-209.0;1059.0;119;47.0;-36.0;358.0;-990.0
73.0;949.0;167;-366.0;163.0;880.0;-923.0
-126.0;812.0;-167;-289.0;-664.0;936.0;-709.0
351.0;965.0;175;-204.0;-141.0;772.0;-993.0
273.0;558.0;-152;-414.0;-287.0;921.0;-392.0
-29.0;949.0;-59;-87.0;-541.0;649.0;-830.0
-253.0;998.0;125;76.0;201.0;95.0;-889.0
-208.0;957.0;119;8.0;-4.0;359.0;-995.0
34.0;1116.0;165;-207.0;-126.0;550.0;-914.0
-137.0;967.0;141;-156.0;291.0;441.0;-957.0
-139.0;1000.0;141;-145.0;295.0;439.0;-949.0
-398.0;988.0;-94;-232.0;454.0;406.0;-961.0
-131.0;991.0;141;-102.0;290.0;417.0;-960.0
-398.0;1221.0;164;206.0;65.0;303.0;-691.0
-144.0;1005.0;70;-66.0;262.0;903.0;-848.0
-130.0;1011.0;141;-128.0;289.0;437.0;-959.0
-113.0;1011.0;141;-155.0;287.0;437.0;-950.0
-81.0;982.0;141;-245.0;267.0;408.0;-943.0
-76.0;999.0;141;-69.0;270.0;429.0;-945.0
-403.0;770.0;131;78.0;-244.0;688.0;-1059.0
-384.0;856.0;6;30.0;-152.0;178.0;-870.0
-132.0;1003.0;12;20.0;-262.0;631.0;-819.0
-345.0;1452.0;-135;-137.0;-284.0;95.0;-972.0
-89.0;968.0;141;-170.0;266.0;432.0;-946.0
-28.0;1203.0;-62;-9.0;-120.0;656.0;-775.0
-88.0;970.0;141;-219.0;266.0;482.0;-945.0
136.0;826.0;125;147.0;-142.0;162.0;-715.0
-60.0;980.0;-151;101.0;-248.0;697.0;-947.0
-39.0;903.0;74;-76.0;-193.0;585.0;-851.0
-53.0;1108.0;74;-132.0;-206.0;336.0;-1150.0
-50.0;1052.0;73;-218.0;-236.0;176.0;-974.0
-187.0;1074.0;53;43.0;-319.0;174.0;-1107.0
-34.0;1010.0;110;24.0;213.0;205.0;-962.0
-25.0;1013.0;109;10.0;216.0;201.0;-960.0
-580.0;710.0;59;84.0;-248.0;615.0;-735.0
116.0;1123.0;127;99.0;-423.0;-29.0;-971.0
-18.0;1008.0;109;-29.0;210.0;195.0;-965.0
-14.0;1010.0;109;38.0;206.0;224.0;-967.0
