InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LLA Quaternion4;Accelerometer LWR accX;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LUA Quaternion2
91.0;-84.0;73;16;-222.0;-66.0;42;174;-150.0;44.0;-139.0
39.0;-40.0;22;37;-254.0;-138.0;-86;-117;-102.0;347.0;30.0
164.0;-21.0;-182;-32;-143.0;-18.0;-43;-52;-148.0;116.0;-4.0
-130.0;54.0;10;18;-429.0;-72.0;-83;-30;-122.0;-149.0;205.0
252.0;-189.0;-10;21;-153.0;-167.0;-89;-65;76.0;219.0;36.0
-434.0;-317.0;4;19;-580.0;-107.0;-90;127;-214.0;-97.0;-154.0
-339.0;263.0;66;22;35.0;47.0;44;-119;9.0;634.0;231.0
679.0;-866.0;23;19;245.0;-719.0;-47;8;339.0;-71.0;-398.0
-245.0;142.0;-8;25;134.0;-65.0;108;-106;150.0;-97.0;90.0
-111.0;100.0;2;23;-387.0;-117.0;-110;-144;-240.0;52.0;174.0
125.0;-101.0;1;29;-229.0;-162.0;-91;-193;-60.0;94.0;7.0
191.0;-69.0;169;49;-204.0;-83.0;68;-47;-91.0;100.0;-22.0
-17.0;-71.0;61;29;314.0;-292.0;174;-145;169.0;-703.0;-141.0
170.0;-127.0;74;16;-130.0;-92.0;42;174;-28.0;46.0;-175.0
583.0;-545.0;35;25;340.0;-272.0;-93;75;-257.0;-192.0;-506.0
-388.0;22.0;105;22;165.0;-176.0;57;-9;-285.0;129.0;31.0
755.0;-626.0;13;34;664.0;-78.0;-63;-6;595.0;-452.0;-618.0
-61.0;102.0;-8;28;-380.0;-66.0;-96;-77;-166.0;78.0;162.0
143.0;-97.0;73;16;-161.0;-104.0;42;174;-44.0;-24.0;-146.0
128.0;-86.0;73;16;-176.0;-81.0;42;174;-54.0;-69.0;-138.0
