InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LLA Quaternion4;Accelerometer LWR accX;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LUA Quaternion2
253.0;17.0;52;-52;-77.0;30.0;-42;-87;-139.0;11.0;-75.0
217.0;-78.0;-47;18;-111.0;-205.0;17;-151;-87.0;-101.0;28.0
10.0;-57.0;50;27;348.0;-150.0;165;-165;175.0;-92.0;-148.0
81.0;-212.0;144;18;-215.0;-25.0;55;174;-159.0;105.0;-181.0
166.0;-202.0;145;18;-102.0;19.0;55;173;-45.0;-360.0;-205.0
-229.0;251.0;8;16;-498.0;-107.0;-90;-153;-284.0;0.0;278.0
-218.0;248.0;9;16;-487.0;-85.0;-90;-141;-275.0;-48.0;273.0
266.0;-208.0;-10;15;-138.0;-167.0;-83;-65;72.0;59.0;15.0
252.0;-189.0;-10;21;-153.0;-167.0;-89;-65;76.0;219.0;36.0
240.0;-167.0;-9;27;-173.0;-108.0;-93;-66;75.0;311.0;54.0
-165.0;241.0;7;16;-441.0;-65.0;-90;-137;-291.0;-83.0;257.0
-30.0;122.0;-19;157;-407.0;-86.0;7;149;-270.0;205.0;153.0
-155.0;237.0;3;16;-432.0;-67.0;-89;-138;-296.0;-31.0;250.0
-151.0;235.0;-2;17;-430.0;-82.0;-89;-138;-300.0;-8.0;248.0
-149.0;233.0;-5;17;-429.0;-98.0;-89;-138;-299.0;11.0;247.0
-203.0;239.0;-2;18;-485.0;-73.0;-94;-138;-301.0;-54.0;286.0
-163.0;155.0;-29;16;203.0;-203.0;147;-77;204.0;11.0;10.0
183.0;139.0;-171;14;182.0;-175.0;106;-164;118.0;-141.0;-110.0
-228.0;242.0;9;16;-500.0;-100.0;-90;-154;-290.0;17.0;269.0
-86.0;31.0;15;36;277.0;-86.0;51;-111;203.0;180.0;20.0
-222.0;221.0;9;16;-503.0;-62.0;-90;-157;-283.0;-97.0;239.0
-207.0;224.0;10;16;-489.0;-111.0;-90;-157;-302.0;97.0;233.0
142.0;-83.0;145;18;-144.0;201.0;55;173;-26.0;18.0;-193.0
-229.0;202.0;1;16;-516.0;-75.0;-85;-129;-271.0;-23.0;228.0
144.0;6.0;145;25;-178.0;-204.0;53;173;-35.0;248.0;-23.0
145.0;13.0;145;25;-176.0;-205.0;53;174;-33.0;311.0;-7.0
121.0;56.0;144;26;-199.0;-144.0;54;174;-43.0;97.0;52.0
71.0;68.0;141;32;-232.0;-195.0;58;173;-76.0;312.0;82.0
-238.0;236.0;0;16;-517.0;-50.0;-97;-129;-276.0;18.0;267.0
58.0;42.0;109;29;-236.0;-28.0;55;174;-99.0;-318.0;32.0
55.0;37.0;111;29;-233.0;-257.0;55;174;-86.0;33.0;31.0
58.0;31.0;111;29;-238.0;-170.0;55;174;-85.0;192.0;25.0
62.0;24.0;116;29;-235.0;3.0;53;174;-86.0;29.0;16.0
78.0;-7.0;108;31;-221.0;-137.0;49;174;-92.0;-39.0;1.0
84.0;-19.0;101;20;-193.0;-115.0;53;174;-94.0;-7.0;-3.0
87.0;-49.0;94;20;-196.0;-98.0;53;174;-94.0;-42.0;-34.0
89.0;-54.0;140;20;-201.0;-113.0;44;174;-100.0;-5.0;-44.0
98.0;-8.0;72;16;-195.0;-195.0;42;174;-98.0;79.0;2.0
65.0;17.0;73;16;-229.0;-107.0;42;174;-115.0;203.0;16.0
65.0;15.0;73;16;-234.0;-4.0;42;174;-114.0;22.0;10.0
69.0;-13.0;74;16;-228.0;-122.0;42;174;-112.0;19.0;-16.0
71.0;-35.0;76;16;-227.0;-116.0;42;174;-118.0;23.0;-39.0
74.0;-43.0;74;16;-226.0;-75.0;42;174;-119.0;-10.0;-50.0
74.0;-53.0;74;16;-222.0;-143.0;42;174;-125.0;-14.0;-58.0
88.0;-53.0;72;16;-213.0;-78.0;42;174;-124.0;-118.0;-77.0
84.0;-82.0;72;16;-225.0;-138.0;42;174;-152.0;126.0;-115.0
82.0;-79.0;72;16;-234.0;-93.0;42;174;-152.0;160.0;-111.0
84.0;-79.0;72;16;-233.0;-68.0;42;174;-151.0;70.0;-114.0
86.0;-80.0;73;16;-230.0;-21.0;42;174;-153.0;-44.0;-122.0
76.0;-84.0;73;16;-244.0;-60.0;42;174;-157.0;101.0;-144.0
69.0;-81.0;72;16;-250.0;-127.0;42;174;-153.0;74.0;-139.0
69.0;-82.0;72;16;-251.0;-97.0;42;174;-150.0;30.0;-137.0
88.0;-86.0;72;16;-227.0;-74.0;42;174;-143.0;40.0;-146.0
92.0;-85.0;74;16;-221.0;-126.0;42;174;-147.0;64.0;-141.0
91.0;-84.0;73;16;-222.0;-66.0;42;174;-150.0;44.0;-139.0
65.0;-66.0;72;16;-238.0;-116.0;42;174;-141.0;47.0;-107.0
84.0;-90.0;71;16;-220.0;-107.0;42;173;-132.0;121.0;-130.0
82.0;-87.0;72;16;-221.0;-92.0;42;174;-140.0;5.0;-125.0
89.0;-83.0;73;16;-212.0;-114.0;42;174;-132.0;42.0;-126.0
87.0;-92.0;73;16;-224.0;-75.0;42;174;-132.0;-69.0;-146.0
108.0;-103.0;73;16;-201.0;-76.0;42;174;-102.0;90.0;-163.0
109.0;-101.0;73;16;-200.0;-54.0;42;174;-104.0;92.0;-160.0
119.0;-86.0;74;16;-183.0;-71.0;42;174;-117.0;-178.0;-113.0
120.0;-95.0;73;16;-183.0;-119.0;42;174;-117.0;-87.0;-119.0
109.0;-77.0;73;16;-202.0;-29.0;42;174;-118.0;-189.0;-115.0
112.0;-80.0;73;16;-194.0;-105.0;42;174;-111.0;-233.0;-119.0
96.0;-90.0;73;16;-211.0;-58.0;42;174;-115.0;97.0;-128.0
96.0;-85.0;73;16;-212.0;-101.0;42;174;-117.0;52.0;-130.0
90.0;-83.0;73;16;-221.0;-107.0;42;174;-122.0;35.0;-130.0
90.0;-65.0;73;16;-223.0;-133.0;42;174;-111.0;136.0;-110.0
86.0;-63.0;72;16;-229.0;-111.0;42;174;-113.0;141.0;-107.0
53.0;-56.0;73;16;-257.0;-151.0;42;174;-120.0;214.0;-100.0
58.0;-48.0;74;16;-245.0;-99.0;42;174;-113.0;22.0;-93.0
68.0;-50.0;73;16;-236.0;-109.0;42;174;-106.0;36.0;-96.0
70.0;-51.0;74;16;-236.0;-112.0;42;174;-102.0;11.0;-99.0
81.0;-63.0;74;16;-225.0;-119.0;42;174;-92.0;-89.0;-114.0
115.0;-79.0;73;16;-188.0;-87.0;42;174;-65.0;-83.0;-132.0
118.0;-82.0;73;16;-185.0;-118.0;42;174;-62.0;8.0;-135.0
128.0;-86.0;73;16;-176.0;-81.0;42;174;-54.0;-69.0;-138.0
143.0;-97.0;73;16;-161.0;-104.0;42;174;-44.0;-24.0;-146.0
154.0;-108.0;74;16;-149.0;-98.0;42;174;-36.0;-67.0;-156.0
168.0;-129.0;74;16;-133.0;-115.0;42;174;-28.0;14.0;-176.0
170.0;-127.0;74;16;-130.0;-92.0;42;174;-28.0;46.0;-175.0
619.0;-395.0;48;20;172.0;0.0;10;-15;523.0;143.0;-353.0
-409.0;267.0;79;-2;-107.0;-90.0;-109;-143;119.0;-170.0;193.0
-237.0;236.0;0;16;-516.0;-88.0;-97;-129;-274.0;45.0;269.0
-99.0;107.0;-13;25;-463.0;30.0;142;-117;-241.0;92.0;236.0
-237.0;238.0;0;15;-516.0;-107.0;-97;-130;-275.0;19.0;273.0
-237.0;238.0;0;15;-517.0;-90.0;-97;-130;-276.0;-3.0;273.0
-244.0;242.0;0;15;-520.0;-68.0;-97;-130;-279.0;24.0;274.0
-245.0;239.0;0;15;-521.0;-51.0;-97;-130;-278.0;16.0;271.0
202.0;-164.0;-1;21;-230.0;52.0;46;-38;-174.0;-301.0;57.0
-237.0;232.0;0;16;-514.0;-74.0;-97;-130;-277.0;83.0;265.0
