InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit LUA magneticY;Accelerometer RUA^ accZ
-450.0;195.0;574.0;-245.0;-189.0;-451.0;366.0;-584.0;506.0;12.0
-598.0;481.0;642.0;44.0;-407.0;-484.0;588.0;-490.0;464.0;203.0
-399.0;170.0;969.0;28.0;231.0;430.0;932.0;-904.0;-181.0;161.0
-489.0;216.0;642.0;80.0;221.0;287.0;428.0;-789.0;-150.0;348.0
-125.0;-133.0;522.0;189.0;171.0;424.0;537.0;-469.0;-325.0;454.0
-111.0;12.0;875.0;-232.0;211.0;-129.0;739.0;-849.0;285.0;-73.0
-804.0;474.0;990.0;-61.0;454.0;970.0;1011.0;-764.0;-162.0;129.0
-488.0;488.0;730.0;-142.0;-9.0;437.0;547.0;-773.0;371.0;117.0
-389.0;215.0;328.0;155.0;65.0;372.0;457.0;-262.0;-196.0;281.0
-420.0;354.0;301.0;-44.0;-158.0;309.0;249.0;-468.0;10.0;299.0
-505.0;443.0;652.0;208.0;-306.0;237.0;439.0;-336.0;82.0;109.0
-580.0;494.0;483.0;9.0;-317.0;180.0;313.0;-321.0;308.0;-39.0
-619.0;500.0;877.0;-49.0;-355.0;-237.0;686.0;-648.0;530.0;-8.0
-675.0;494.0;216.0;151.0;-500.0;273.0;-152.0;-18.0;215.0;256.0
-595.0;492.0;301.0;-59.0;-503.0;301.0;671.0;-285.0;196.0;226.0
-631.0;799.0;102.0;589.0;-522.0;-1003.0;-3.0;96.0;848.0;759.0
-655.0;508.0;494.0;176.0;-334.0;151.0;216.0;-463.0;280.0;326.0
-24.0;167.0;767.0;-310.0;596.0;357.0;699.0;-992.0;258.0;-27.0
284.0;71.0;924.0;-202.0;448.0;269.0;882.0;-904.0;230.0;-59.0
-656.0;501.0;767.0;183.0;-342.0;168.0;455.0;-483.0;266.0;107.0
-311.0;121.0;667.0;-236.0;-93.0;457.0;606.0;-688.0;-160.0;10.0
-469.0;455.0;560.0;-85.0;-396.0;-312.0;258.0;-246.0;249.0;-68.0
-638.0;473.0;599.0;100.0;-341.0;188.0;175.0;-382.0;224.0;134.0
-556.0;457.0;518.0;-163.0;-409.0;-2.0;299.0;-359.0;456.0;-55.0
-319.0;97.0;599.0;-129.0;-105.0;-35.0;236.0;-560.0;39.0;236.0
-610.0;466.0;548.0;58.0;-291.0;181.0;99.0;-492.0;232.0;210.0
-603.0;459.0;474.0;-2.0;-328.0;193.0;479.0;-490.0;232.0;198.0
-17.0;-54.0;741.0;147.0;192.0;13.0;759.0;-455.0;-186.0;57.0
-564.0;494.0;959.0;-213.0;205.0;146.0;636.0;-859.0;726.0;-147.0
-540.0;465.0;689.0;42.0;-136.0;291.0;617.0;-503.0;314.0;-69.0
-368.0;266.0;330.0;-30.0;-209.0;-354.0;168.0;-57.0;193.0;253.0
-359.0;271.0;294.0;-56.0;-206.0;-363.0;195.0;-84.0;204.0;167.0
-547.0;445.0;595.0;-74.0;-163.0;299.0;576.0;-551.0;308.0;166.0
-481.0;503.0;380.0;-503.0;-532.0;205.0;691.0;-584.0;323.0;388.0
-556.0;418.0;565.0;-83.0;-219.0;305.0;603.0;-551.0;286.0;114.0
-563.0;388.0;517.0;41.0;-276.0;343.0;498.0;-376.0;242.0;117.0
-563.0;365.0;516.0;120.0;-305.0;354.0;492.0;-276.0;224.0;134.0
-364.0;297.0;238.0;-128.0;-177.0;-357.0;151.0;-214.0;224.0;126.0
-391.0;327.0;351.0;-160.0;-205.0;-354.0;161.0;-224.0;227.0;100.0
-562.0;363.0;481.0;39.0;-307.0;353.0;552.0;-329.0;231.0;108.0
-559.0;363.0;507.0;-7.0;-303.0;352.0;544.0;-355.0;227.0;117.0
-590.0;374.0;442.0;99.0;-323.0;354.0;461.0;-307.0;236.0;162.0
-610.0;391.0;463.0;39.0;-341.0;343.0;369.0;-344.0;254.0;101.0
-604.0;398.0;517.0;-4.0;-335.0;334.0;361.0;-336.0;267.0;55.0
-265.0;403.0;800.0;-130.0;292.0;-32.0;795.0;-767.0;471.0;-39.0
-395.0;336.0;1013.0;-462.0;239.0;417.0;999.0;-989.0;198.0;-326.0
-598.0;403.0;586.0;-30.0;-334.0;334.0;386.0;-344.0;271.0;-10.0
112.0;-193.0;945.0;-181.0;933.0;820.0;968.0;-926.0;-334.0;-1.0
-580.0;409.0;554.0;-158.0;-328.0;308.0;338.0;-429.0;283.0;-99.0
-607.0;458.0;565.0;95.0;-339.0;200.0;540.0;-356.0;227.0;145.0
-282.0;129.0;749.0;109.0;-28.0;-189.0;418.0;-182.0;346.0;36.0
-281.0;318.0;133.0;-51.0;-496.0;-107.0;124.0;-83.0;299.0;283.0
599.0;-634.0;787.0;-231.0;697.0;773.0;714.0;-693.0;-521.0;-92.0
-608.0;460.0;630.0;108.0;-341.0;201.0;369.0;-348.0;225.0;79.0
-70.0;186.0;872.0;-43.0;659.0;484.0;1087.0;-1087.0;114.0;-85.0
-611.0;458.0;580.0;86.0;-345.0;199.0;580.0;-386.0;228.0;36.0
-611.0;457.0;537.0;0.0;-347.0;201.0;666.0;-479.0;227.0;67.0
-482.0;576.0;643.0;-68.0;197.0;247.0;735.0;-655.0;470.0;101.0
-888.0;-45.0;47.0;544.0;-550.0;766.0;15.0;108.0;-275.0;692.0
-522.0;598.0;611.0;-22.0;-29.0;52.0;721.0;-571.0;473.0;97.0
-261.0;316.0;277.0;-110.0;-488.0;-52.0;239.0;-190.0;415.0;130.0
-465.0;199.0;622.0;-219.0;-159.0;-419.0;326.0;-468.0;565.0;-148.0
-65.0;-106.0;402.0;-127.0;232.0;-439.0;-29.0;-388.0;166.0;20.0
-160.0;317.0;450.0;75.0;-447.0;-113.0;351.0;-31.0;443.0;78.0
-73.0;243.0;413.0;33.0;-237.0;-190.0;388.0;-160.0;433.0;35.0
-353.0;172.0;350.0;-121.0;-111.0;-63.0;542.0;-524.0;226.0;212.0
-339.0;183.0;461.0;-5.0;-88.0;-11.0;451.0;-443.0;259.0;281.0
-513.0;122.0;427.0;147.0;-45.0;451.0;628.0;-566.0;-231.0;305.0
-403.0;494.0;221.0;-61.0;-443.0;-447.0;307.0;-185.0;457.0;126.0
-895.0;678.0;-149.0;472.0;-660.0;-354.0;169.0;385.0;767.0;546.0
-264.0;125.0;811.0;116.0;-52.0;-179.0;695.0;-131.0;341.0;-18.0
-669.0;844.0;-632.0;842.0;-277.0;-1027.0;-718.0;730.0;822.0;907.0
-555.0;41.0;11.0;364.0;-416.0;717.0;-741.0;163.0;-161.0;516.0
-377.0;479.0;390.0;-137.0;-504.0;37.0;602.0;-185.0;416.0;138.0
-542.0;658.0;788.0;33.0;-54.0;162.0;702.0;-583.0;488.0;38.0
-315.0;117.0;424.0;-98.0;-124.0;-528.0;-103.0;-216.0;262.0;50.0
-98.0;5.0;831.0;-130.0;153.0;-135.0;490.0;-626.0;149.0;-18.0
-461.0;242.0;1088.0;-607.0;503.0;478.0;984.0;-1108.0;678.0;-347.0
-683.0;152.0;68.0;246.0;-391.0;635.0;1053.0;-134.0;-71.0;247.0
-341.0;172.0;604.0;-396.0;-120.0;-428.0;137.0;-535.0;422.0;-280.0
-636.0;490.0;1415.0;8.0;-202.0;136.0;1572.0;-1192.0;109.0;-160.0
-227.0;366.0;444.0;-105.0;-440.0;208.0;351.0;-173.0;417.0;-36.0
-391.0;186.0;709.0;-353.0;-138.0;-485.0;304.0;-648.0;542.0;-119.0
-605.0;548.0;964.0;-68.0;-326.0;210.0;934.0;-900.0;254.0;119.0
-756.0;688.0;915.0;-103.0;-201.0;-162.0;53.0;-823.0;569.0;65.0
-259.0;298.0;661.0;-13.0;-491.0;-79.0;581.0;-3.0;282.0;-259.0
-595.0;514.0;522.0;320.0;-625.0;-242.0;347.0;-177.0;390.0;247.0
-585.0;425.0;728.0;63.0;-300.0;194.0;-121.0;-497.0;210.0;79.0
201.0;-186.0;373.0;-82.0;824.0;835.0;327.0;-676.0;-333.0;117.0
-620.0;479.0;452.0;-4.0;-538.0;243.0;275.0;-235.0;254.0;65.0
-503.0;156.0;630.0;-402.0;-532.0;-266.0;234.0;-530.0;315.0;-183.0
-728.0;748.0;-202.0;340.0;-871.0;-655.0;-249.0;377.0;794.0;441.0
245.0;-295.0;1199.0;-78.0;649.0;561.0;1319.0;-1103.0;-326.0;46.0
7.0;-275.0;920.0;-301.0;363.0;651.0;768.0;-849.0;-503.0;-115.0
-643.0;346.0;390.0;-393.0;-669.0;-313.0;-62.0;-540.0;492.0;125.0
-653.0;482.0;485.0;-46.0;-351.0;190.0;110.0;-624.0;233.0;344.0
-253.0;-444.0;-378.0;644.0;-111.0;746.0;-394.0;159.0;-372.0;694.0
97.0;10.0;291.0;131.0;-207.0;257.0;95.0;64.0;38.0;147.0
-567.0;559.0;955.0;-71.0;-77.0;198.0;962.0;-907.0;370.0;86.0
-851.0;807.0;-327.0;489.0;-597.0;-248.0;-444.0;446.0;518.0;575.0
