InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LLA Quaternion4;Accelerometer LWR accX;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LUA Quaternion2
116.0;-77.0;7;25;-333.0;145.0;-52;-53;-359.0;181.0;16.0
85.0;-266.0;145;18;-251.0;-187.0;55;174;-147.0;452.0;-192.0
79.0;-242.0;144;18;-250.0;-110.0;55;174;-183.0;322.0;-183.0
81.0;-212.0;144;18;-215.0;-25.0;55;174;-159.0;105.0;-181.0
82.0;-204.0;144;18;-186.0;-16.0;55;174;-136.0;-213.0;-179.0
97.0;-192.0;145;18;-116.0;25.0;55;173;-112.0;-437.0;-176.0
166.0;-202.0;145;18;-102.0;19.0;55;173;-45.0;-360.0;-205.0
698.0;34.0;-1;17;500.0;83.0;-101;-75;342.0;42.0;-293.0
518.0;-93.0;-2;18;510.0;-146.0;-132;-74;168.0;388.0;-352.0
523.0;-110.0;-2;20;655.0;-12.0;-154;-75;233.0;209.0;-399.0
406.0;45.0;-2;21;725.0;-7.0;-156;-74;33.0;79.0;-141.0
406.0;33.0;-2;21;721.0;-91.0;-156;-74;-19.0;2.0;-144.0
406.0;28.0;-2;21;721.0;-152.0;-156;-74;-20.0;1.0;-147.0
411.0;17.0;-2;21;711.0;-97.0;-156;-74;-20.0;-65.0;-156.0
434.0;22.0;-2;21;713.0;-86.0;-156;-74;18.0;-124.0;-149.0
492.0;-10.0;-2;21;709.0;-68.0;-156;-74;149.0;-144.0;-185.0
-163.0;155.0;-29;16;203.0;-203.0;147;-77;204.0;11.0;10.0
183.0;139.0;-171;14;182.0;-175.0;106;-164;118.0;-141.0;-110.0
165.0;178.0;-171;15;170.0;-338.0;106;-163;157.0;-111.0;-88.0
170.0;-80.0;-164;13;682.0;-120.0;-173;-142;267.0;41.0;-209.0
150.0;-60.0;-164;13;678.0;47.0;-173;-131;245.0;240.0;-218.0
423.0;-38.0;-6;23;442.0;-372.0;-171;-124;249.0;266.0;-300.0
142.0;-83.0;145;18;-144.0;201.0;55;173;-26.0;18.0;-193.0
135.0;-27.0;148;23;-205.0;-70.0;50;173;-34.0;431.0;-82.0
144.0;6.0;145;25;-178.0;-204.0;53;173;-35.0;248.0;-23.0
145.0;13.0;145;25;-176.0;-205.0;53;174;-33.0;311.0;-7.0
121.0;56.0;144;26;-199.0;-144.0;54;174;-43.0;97.0;52.0
71.0;68.0;141;32;-232.0;-195.0;58;173;-76.0;312.0;82.0
65.0;64.0;109;29;-236.0;-164.0;55;174;-102.0;-351.0;84.0
58.0;42.0;109;29;-236.0;-28.0;55;174;-99.0;-318.0;32.0
55.0;37.0;111;29;-233.0;-257.0;55;174;-86.0;33.0;31.0
58.0;31.0;111;29;-238.0;-170.0;55;174;-85.0;192.0;25.0
62.0;24.0;116;29;-235.0;3.0;53;174;-86.0;29.0;16.0
78.0;-7.0;108;31;-221.0;-137.0;49;174;-92.0;-39.0;1.0
84.0;-19.0;101;20;-193.0;-115.0;53;174;-94.0;-7.0;-3.0
87.0;-49.0;94;20;-196.0;-98.0;53;174;-94.0;-42.0;-34.0
89.0;-54.0;140;20;-201.0;-113.0;44;174;-100.0;-5.0;-44.0
98.0;-8.0;72;16;-195.0;-195.0;42;174;-98.0;79.0;2.0
65.0;17.0;73;16;-229.0;-107.0;42;174;-115.0;203.0;16.0
65.0;15.0;73;16;-234.0;-4.0;42;174;-114.0;22.0;10.0
69.0;-13.0;74;16;-228.0;-122.0;42;174;-112.0;19.0;-16.0
71.0;-35.0;76;16;-227.0;-116.0;42;174;-118.0;23.0;-39.0
74.0;-43.0;74;16;-226.0;-75.0;42;174;-119.0;-10.0;-50.0
74.0;-53.0;74;16;-222.0;-143.0;42;174;-125.0;-14.0;-58.0
88.0;-53.0;72;16;-213.0;-78.0;42;174;-124.0;-118.0;-77.0
84.0;-82.0;72;16;-225.0;-138.0;42;174;-152.0;126.0;-115.0
82.0;-79.0;72;16;-234.0;-93.0;42;174;-152.0;160.0;-111.0
84.0;-79.0;72;16;-233.0;-68.0;42;174;-151.0;70.0;-114.0
86.0;-80.0;73;16;-230.0;-21.0;42;174;-153.0;-44.0;-122.0
76.0;-84.0;73;16;-244.0;-60.0;42;174;-157.0;101.0;-144.0
69.0;-81.0;72;16;-250.0;-127.0;42;174;-153.0;74.0;-139.0
69.0;-82.0;72;16;-251.0;-97.0;42;174;-150.0;30.0;-137.0
88.0;-86.0;72;16;-227.0;-74.0;42;174;-143.0;40.0;-146.0
92.0;-85.0;74;16;-221.0;-126.0;42;174;-147.0;64.0;-141.0
91.0;-84.0;73;16;-222.0;-66.0;42;174;-150.0;44.0;-139.0
65.0;-66.0;72;16;-238.0;-116.0;42;174;-141.0;47.0;-107.0
84.0;-90.0;71;16;-220.0;-107.0;42;173;-132.0;121.0;-130.0
82.0;-87.0;72;16;-221.0;-92.0;42;174;-140.0;5.0;-125.0
89.0;-83.0;73;16;-212.0;-114.0;42;174;-132.0;42.0;-126.0
87.0;-92.0;73;16;-224.0;-75.0;42;174;-132.0;-69.0;-146.0
108.0;-103.0;73;16;-201.0;-76.0;42;174;-102.0;90.0;-163.0
109.0;-101.0;73;16;-200.0;-54.0;42;174;-104.0;92.0;-160.0
119.0;-86.0;74;16;-183.0;-71.0;42;174;-117.0;-178.0;-113.0
120.0;-95.0;73;16;-183.0;-119.0;42;174;-117.0;-87.0;-119.0
109.0;-77.0;73;16;-202.0;-29.0;42;174;-118.0;-189.0;-115.0
