Accelerometer LUA^ accX;InertialMeasurementUnit LUA accY;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit LLA accY;Accelerometer LUA_ accX;Accelerometer LUA^ accZ;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX;Accelerometer LUA_ accZ
230.0;95.0;902.0;968.0;-527.0;-390.0;-63.0;887.0;479.0;-863.0;428.0
449.0;140.0;650.0;828.0;-548.0;-93.0;29.0;746.0;477.0;-736.0;574.0
11.0;72.0;913.0;675.0;-268.0;-425.0;-60.0;785.0;369.0;-781.0;193.0
3.0;-38.0;887.0;705.0;-707.0;-581.0;1.0;764.0;530.0;-748.0;227.0
-60.0;-8.0;912.0;596.0;-575.0;-609.0;22.0;726.0;583.0;-727.0;243.0
-81.0;-22.0;857.0;599.0;-588.0;-609.0;51.0;690.0;463.0;-686.0;189.0
-70.0;-9.0;924.0;902.0;-638.0;-450.0;82.0;804.0;368.0;-731.0;256.0
-52.0;19.0;781.0;910.0;-562.0;-174.0;-78.0;851.0;409.0;-748.0;207.0
83.0;218.0;662.0;757.0;-389.0;-420.0;15.0;624.0;441.0;-1002.0;370.0
186.0;154.0;886.0;877.0;-317.0;-378.0;-3.0;839.0;418.0;-659.0;477.0
209.0;146.0;692.0;746.0;-514.0;-235.0;-96.0;644.0;375.0;-1047.0;288.0
171.0;201.0;771.0;824.0;-484.0;-349.0;-50.0;682.0;296.0;-946.0;319.0
136.0;313.0;632.0;731.0;-384.0;-275.0;46.0;681.0;374.0;-879.0;449.0
286.0;112.0;916.0;957.0;-608.0;-189.0;-82.0;971.0;330.0;-766.0;451.0
116.0;-4.0;822.0;884.0;-433.0;-328.0;-6.0;819.0;454.0;-806.0;400.0
211.0;-1.0;893.0;910.0;-494.0;-312.0;-110.0;909.0;450.0;-791.0;412.0
306.0;148.0;939.0;989.0;-474.0;-218.0;-175.0;965.0;475.0;-829.0;390.0
226.0;161.0;900.0;921.0;-503.0;-259.0;-80.0;890.0;317.0;-907.0;409.0
257.0;174.0;912.0;956.0;-435.0;-253.0;-119.0;938.0;358.0;-883.0;436.0
95.0;232.0;684.0;785.0;-458.0;-321.0;-196.0;663.0;266.0;-990.0;229.0
