InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN^ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
0;2;-13;-832;2;-22;-131.0;-13
2;5;-7;-815;5;-22;-99.0;-7
3;-4;-6;-824;-4;-17;-91.0;-6
4;-2;1;-827;-2;-22;-121.0;1
-3;-10;-10;-830;-10;-22;-122.0;-10
0;-10;20;-823;-10;-18;-108.0;20
-8;-2;7;-833;-2;-22;-119.0;7
2;9;8;-827;9;-23;-117.0;8
4;5;1;-882;5;-16;-90.0;1
0;-1;14;-827;-1;-21;-123.0;14
7;-3;13;-823;-3;-22;-120.0;13
3;-7;-13;-822;-7;-18;-121.0;-13
7;-16;-2;-822;-16;-20;-110.0;-2
2;25;10;-831;25;-19;-133.0;10
8;23;8;-827;23;-16;-134.0;8
8;-3;4;-816;-3;-27;-114.0;4
1;11;10;-822;11;-24;-109.0;10
-5;15;15;-822;15;-20;-110.0;15
3;-12;14;-818;-12;-21;-108.0;14
-4;-16;-3;-843;-16;-15;-132.0;-3
-2;4;9;-842;4;-21;-126.0;9
2;16;-6;-843;16;-22;-146.0;-6
-2;1;7;-842;1;-20;-96.0;7
6;3;10;-837;3;-19;-150.0;10
-1;0;8;-844;0;-23;-121.0;8
0;-18;8;-845;-18;-25;-116.0;8
-1;18;26;-842;18;-19;-126.0;26
6;21;13;-839;21;-17;-110.0;13
-8;10;1;-849;10;-22;-153.0;1
0;-14;8;-842;-14;-17;-94.0;8
6;-3;4;-847;-3;-24;-79.0;4
0;15;2;-886;15;-14;-105.0;2
3;1;6;-820;1;-24;-147.0;6
2;1;10;-848;1;-24;-74.0;10
3;-5;9;-845;-5;-22;-93.0;9
-3;-12;-14;-852;-12;-22;-90.0;-14
8;-9;-12;-842;-9;-22;-142.0;-12
0;6;-11;-831;6;-18;-130.0;-11
-1;19;16;-837;19;-24;-145.0;16
-5;-2;9;-851;-2;-23;-79.0;9
12;25;6;-840;25;-17;-81.0;6
