InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;Accelerometer RKN^ accY;Accelerometer HIP accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit RLA gyroY;Accelerometer RKN_ accX
-830;302.0;25.0;1014.0;5.0;-253;349;3;1025.0;65;-788.0;417.0
-835;351.0;-46.0;985.0;-115.0;-241;358;-5;996.0;60;1184.0;367.0
-829;185.0;-30.0;1042.0;-30.0;-237;340;7;999.0;74;-141.0;284.0
-836;317.0;-85.0;978.0;-33.0;-237;349;3;983.0;64;-242.0;446.0
-823;261.0;-91.0;1036.0;-62.0;-248;359;5;1203.0;68;-3721.0;353.0
-827;201.0;-84.0;1029.0;-146.0;-234;354;0;1003.0;70;86.0;326.0
-839;180.0;-49.0;1022.0;-112.0;-239;340;10;1042.0;64;-2052.0;357.0
-837;215.0;-49.0;1044.0;-145.0;-244;348;3;980.0;61;3.0;371.0
-823;218.0;-73.0;1025.0;-153.0;-262;356;12;981.0;66;220.0;345.0
-831;220.0;-64.0;1026.0;-127.0;-250;353;3;1005.0;63;-1784.0;361.0
-828;265.0;-63.0;1023.0;-154.0;-251;348;5;1010.0;68;-115.0;359.0
-827;182.0;-38.0;1024.0;-147.0;-257;355;5;985.0;64;3.0;337.0
-826;265.0;-81.0;994.0;-132.0;-256;357;2;1007.0;65;474.0;362.0
-829;192.0;-90.0;1038.0;-118.0;-244;353;-6;1006.0;67;-84.0;343.0
-822;192.0;-71.0;1023.0;-90.0;-255;355;4;1010.0;69;-29.0;329.0
-825;218.0;-70.0;1026.0;-95.0;-251;356;-1;1033.0;67;895.0;322.0
-828;245.0;-71.0;1028.0;-50.0;-239;357;-8;1021.0;68;1162.0;325.0
-825;217.0;-40.0;1034.0;-98.0;-248;354;1;993.0;69;1145.0;308.0
-825;243.0;-27.0;996.0;-98.0;-250;357;0;1022.0;67;823.0;308.0
-829;231.0;-68.0;1017.0;-65.0;-253;360;0;1011.0;61;34.0;328.0
-811;220.0;-40.0;1011.0;-90.0;-258;347;13;1015.0;79;-68.0;336.0
-834;195.0;-52.0;1022.0;-116.0;-241;347;-3;1014.0;60;-26.0;335.0
-714;222.0;-55.0;1026.0;-127.0;-420;-34;168;1023.0;203;71.0;317.0
-810;315.0;-70.0;1024.0;-517.0;-285;310;-137;1458.0;98;195.0;165.0
-971;414.0;-19.0;1029.0;-192.0;-340;551;-239;951.0;-139;-133.0;167.0
-868;397.0;-76.0;985.0;-117.0;-333;173;123;1017.0;86;20.0;268.0
-705;328.0;-63.0;973.0;-129.0;-378;-141;302;1006.0;293;32.0;242.0
-753;393.0;-57.0;975.0;-146.0;-354;-183;278;1017.0;253;-21.0;261.0
-869;430.0;8.0;963.0;-114.0;-197;313;81;887.0;109;52.0;149.0
-846;399.0;-52.0;927.0;-420.0;-222;373;75;1346.0;85;198.0;242.0
-839;322.0;-86.0;1012.0;-62.0;-230;344;72;1018.0;81;9.0;325.0
-835;506.0;-379.0;690.0;-275.0;-238;348;51;931.0;67;184.0;-767.0
-831;-873.0;-366.0;1860.0;-170.0;-237;354;43;953.0;67;-178.0;-38.0
-836;338.0;-70.0;972.0;-80.0;-242;345;20;986.0;64;30.0;284.0
-848;308.0;-73.0;969.0;-79.0;-232;338;12;1011.0;58;-6.0;270.0
-834;293.0;-58.0;1015.0;-92.0;-243;345;6;1011.0;66;-23.0;271.0
-817;272.0;-29.0;1019.0;-49.0;-242;368;-1;1003.0;72;19.0;312.0
-822;245.0;-19.0;1020.0;-79.0;-247;369;1;984.0;66;74.0;352.0
-812;280.0;-77.0;1010.0;-98.0;-252;372;-5;1024.0;72;88.0;366.0
-798;278.0;-42.0;991.0;-44.0;-247;386;-4;1025.0;80;6.0;353.0
-813;262.0;-49.0;1028.0;-10.0;-238;383;7;1043.0;70;0.0;336.0
-806;290.0;-43.0;1024.0;-92.0;-240;384;4;978.0;76;115.0;338.0
-812;238.0;-30.0;1011.0;-85.0;-254;377;5;1002.0;69;-144.0;363.0
-821;318.0;-30.0;1005.0;-24.0;-245;361;2;1011.0;71;-23.0;312.0
-824;303.0;-66.0;990.0;-27.0;-257;360;0;1034.0;65;43.0;339.0
-829;289.0;-42.0;1017.0;-39.0;-235;364;7;1023.0;65;187.0;338.0
-820;288.0;-60.0;992.0;-81.0;-261;360;0;1025.0;68;70.0;353.0
-821;287.0;-71.0;1021.0;-90.0;-261;361;-1;1017.0;66;160.0;336.0
-820;291.0;-14.0;1007.0;-94.0;-250;360;0;1026.0;70;-41.0;357.0
-821;321.0;-39.0;1013.0;-90.0;-252;361;-2;1012.0;68;-7.0;317.0
-819;306.0;-32.0;996.0;-84.0;-257;359;-2;1017.0;70;24.0;345.0
-815;311.0;-18.0;1014.0;-86.0;-255;363;-7;1009.0;72;13.0;316.0
-823;308.0;-20.0;1001.0;-91.0;-252;359;0;1013.0;67;-32.0;335.0
-825;316.0;-22.0;1004.0;-90.0;-250;364;1;1015.0;64;-52.0;301.0
-825;328.0;-3.0;1003.0;-91.0;-253;357;4;995.0;66;-107.0;311.0
-816;288.0;-40.0;1022.0;-37.0;-265;366;-3;1012.0;69;113.0;314.0
-827;270.0;12.0;1022.0;-69.0;-247;361;7;998.0;64;-46.0;348.0
-819;320.0;-18.0;992.0;-47.0;-246;365;0;986.0;70;-13.0;334.0
-821;288.0;-50.0;1000.0;-76.0;-255;364;-2;1004.0;67;-28.0;345.0
-826;278.0;-20.0;1011.0;-81.0;-249;367;-2;1015.0;62;12.0;327.0
-823;287.0;-42.0;1010.0;-74.0;-253;363;-1;1016.0;65;32.0;328.0
-826;277.0;-43.0;999.0;-86.0;-245;358;3;1015.0;67;42.0;325.0
-821;314.0;-14.0;997.0;-104.0;-253;356;-3;1024.0;71;137.0;326.0
-822;307.0;-50.0;991.0;-103.0;-248;355;0;1013.0;70;116.0;317.0
-821;325.0;-27.0;990.0;-110.0;-249;358;-3;1013.0;70;-39.0;325.0
-822;277.0;-50.0;999.0;-119.0;-251;360;-2;1021.0;68;89.0;336.0
-841;264.0;-19.0;1010.0;-222.0;-224;371;6;988.0;55;190.0;309.0
-855;283.0;-55.0;1008.0;-243.0;-282;349;19;980.0;35;265.0;333.0
-233;590.0;-55.0;868.0;-285.0;-197;849;-714;909.0;554;-253.0;359.0
-817;455.0;-281.0;549.0;-358.0;-261;358;10;1009.0;70;-427.0;-400.0
-929;121.0;-212.0;475.0;-406.0;-237;320;-58;1012.0;13;179.0;-601.0
-825;730.0;-300.0;151.0;-349.0;-222;328;-77;1007.0;101;0.0;1644.0
-852;253.0;37.0;982.0;-291.0;-232;375;-89;911.0;54;-295.0;307.0
-618;453.0;-102.0;921.0;-204.0;-569;557;-340;883.0;263;-37.0;378.0
-856;434.0;-119.0;964.0;-145.0;582;-162;878;850.0;414;-134.0;427.0
-1254;251.0;-57.0;1030.0;-485.0;546;1573;-143;941.0;-708;-681.0;443.0
-817;623.0;-191.0;610.0;-248.0;-298;407;-73;476.0;51;932.0;60.0
-816;880.0;302.0;-449.0;-108.0;-337;263;-72;968.0;84;-795.0;-68.0
-837;602.0;308.0;-546.0;-79.0;-557;244;-83;1062.0;-7;-376.0;43.0
-929;694.0;268.0;-479.0;40.0;-303;178;-79;1004.0;10;-347.0;-99.0
-396;23.0;-294.0;-639.0;-233.0;-213;-314;576;346.0;829;-1074.0;-705.0
-826;226.0;-1594.0;-24.0;81.0;-138;471;-226;199.0;65;352.0;-953.0
-831;883.0;-151.0;334.0;-110.0;-154;276;-57;66.0;115;153.0;-752.0
-913;480.0;-357.0;-42.0;-123.0;444;-263;-169;232.0;-57;302.0;-784.0
-714;386.0;-450.0;-10.0;-120.0;64;309;28;150.0;221;-183.0;-675.0
-897;447.0;-417.0;-21.0;-113.0;66;357;-10;107.0;33;-154.0;-651.0
-974;277.0;-599.0;46.0;-134.0;52;431;19;53.0;-66;156.0;-785.0
-969;398.0;-393.0;6.0;-144.0;31;329;-43;29.0;-24;-618.0;-607.0
-1117;385.0;-347.0;-18.0;-93.0;132;427;70;62.0;-198;-338.0;-719.0
-992;401.0;-439.0;-3.0;-117.0;-157;222;-104;88.0;-16;224.0;-624.0
-599;195.0;-504.0;-180.0;-194.0;258;49;-243;859.0;430;893.0;-843.0
-870;668.0;-52.0;-89.0;-108.0;-319;336;-15;950.0;35;-30.0;-477.0
-846;612.0;-193.0;-196.0;-57.0;-47;175;-133;954.0;145;134.0;-797.0
-960;759.0;-216.0;-22.0;-100.0;-15;289;-152;949.0;144;-160.0;-652.0
-1228;234.0;-450.0;1087.0;-180.0;-90;768;563;902.0;-340;-229.0;544.0
-471;146.0;-399.0;1239.0;-245.0;-476;242;-193;848.0;332;-298.0;346.0
-884;457.0;202.0;684.0;-405.0;-181;340;76;1248.0;44;191.0;82.0
-249;2012.0;-483.0;844.0;-378.0;361;1804;-1213;1176.0;652;-132.0;-485.0
-2217;1252.0;-666.0;750.0;-187.0;-1613;804;371;967.0;-1691;-169.0;368.0
-2298;550.0;-2243.0;1975.0;-13.0;-24;1;1377;774.0;-665;-96.0;873.0
-735;-905.0;-683.0;2376.0;-33.0;-1018;516;-131;703.0;-305;-82.0;704.0
-806;-84.0;88.0;481.0;-679.0;-245;390;180;1629.0;96;182.0;186.0
-1416;259.0;231.0;1014.0;-42.0;-809;1823;1071;938.0;-1266;-1517.0;428.0
-959;406.0;-32.0;972.0;-26.0;-960;-646;1215;1234.0;1887;-779.0;458.0
-2061;400.0;281.0;946.0;22.0;-986;3028;1022;995.0;-2659;-508.0;286.0
-1142;334.0;95.0;876.0;-362.0;38;189;140;1238.0;625;-234.0;283.0
