InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit LUA magneticY;Accelerometer RUA^ accZ
-219.0;82.0;493.0;-286.0;114.0;-325.0;451.0;-753.0;237.0;-144.0
-282.0;129.0;749.0;109.0;-28.0;-189.0;418.0;-182.0;346.0;36.0
-264.0;125.0;811.0;116.0;-52.0;-179.0;695.0;-131.0;341.0;-18.0
-296.0;45.0;899.0;35.0;287.0;509.0;841.0;-860.0;-245.0;157.0
-298.0;128.0;743.0;355.0;-13.0;-201.0;1084.0;-75.0;346.0;107.0
-129.0;56.0;698.0;-181.0;174.0;-17.0;770.0;-568.0;257.0;-46.0
18.0;-21.0;437.0;-34.0;320.0;103.0;966.0;-285.0;174.0;145.0
-209.0;-70.0;847.0;277.0;290.0;534.0;446.0;-645.0;-334.0;406.0
-596.0;215.0;654.0;-244.0;-140.0;-125.0;750.0;-766.0;334.0;265.0
306.0;-126.0;796.0;-165.0;552.0;155.0;672.0;-547.0;145.0;-72.0
-366.0;453.0;363.0;48.0;-371.0;-426.0;458.0;-131.0;446.0;-2.0
-633.0;362.0;434.0;-329.0;-680.0;-336.0;57.0;-492.0;492.0;131.0
-483.0;576.0;413.0;69.0;-539.0;-330.0;289.0;-303.0;564.0;379.0
-450.0;472.0;786.0;-136.0;-388.0;-589.0;433.0;-548.0;589.0;-127.0
-656.0;545.0;621.0;100.0;-635.0;-261.0;473.0;-427.0;319.0;256.0
-651.0;542.0;595.0;3.0;-643.0;-257.0;438.0;-426.0;326.0;202.0
-595.0;514.0;522.0;320.0;-625.0;-242.0;347.0;-177.0;390.0;247.0
-573.0;495.0;572.0;340.0;-594.0;-241.0;384.0;-160.0;415.0;152.0
-472.0;463.0;365.0;70.0;-498.0;-175.0;181.0;-292.0;558.0;396.0
-418.0;488.0;586.0;-126.0;-486.0;-102.0;365.0;-345.0;607.0;-38.0
-634.0;308.0;284.0;-120.0;-666.0;-215.0;-104.0;-363.0;466.0;132.0
-556.0;457.0;518.0;-163.0;-409.0;-2.0;299.0;-359.0;456.0;-55.0
-560.0;450.0;510.0;-242.0;-395.0;58.0;373.0;-400.0;419.0;-51.0
-573.0;428.0;492.0;-173.0;-347.0;227.0;297.0;-439.0;321.0;-113.0
-362.0;109.0;995.0;54.0;259.0;518.0;941.0;-911.0;-257.0;152.0
-352.0;114.0;983.0;-37.0;261.0;486.0;958.0;-939.0;-245.0;85.0
-342.0;112.0;1042.0;-49.0;265.0;451.0;946.0;-936.0;-234.0;79.0
-337.0;108.0;1004.0;-78.0;269.0;424.0;932.0;-966.0;-211.0;70.0
-354.0;122.0;1004.0;-106.0;257.0;434.0;900.0;-908.0;-215.0;46.0
-403.0;191.0;1027.0;-163.0;235.0;399.0;905.0;-951.0;-135.0;0.0
-394.0;164.0;1024.0;-170.0;241.0;394.0;970.0;-984.0;-171.0;-8.0
-440.0;231.0;1008.0;-112.0;202.0;361.0;984.0;-926.0;-103.0;21.0
-461.0;262.0;970.0;-89.0;188.0;350.0;879.0;-913.0;-69.0;68.0
-467.0;275.0;960.0;-92.0;186.0;348.0;894.0;-897.0;-57.0;57.0
-456.0;268.0;968.0;-91.0;203.0;361.0;894.0;-889.0;-63.0;83.0
-424.0;204.0;961.0;-72.0;222.0;373.0;940.0;-923.0;-103.0;69.0
-421.0;192.0;1030.0;-109.0;226.0;376.0;971.0;-950.0;-134.0;32.0
-425.0;189.0;984.0;-78.0;224.0;380.0;932.0;-944.0;-139.0;67.0
-424.0;186.0;1002.0;-59.0;223.0;382.0;936.0;-928.0;-142.0;68.0
-429.0;223.0;1027.0;-114.0;225.0;369.0;981.0;-963.0;-133.0;10.0
-438.0;233.0;954.0;-82.0;211.0;364.0;870.0;-838.0;-132.0;67.0
-413.0;231.0;922.0;-132.0;248.0;396.0;785.0;-768.0;-133.0;1.0
-416.0;223.0;1040.0;-118.0;242.0;413.0;966.0;-949.0;-122.0;14.0
-413.0;212.0;1015.0;-96.0;233.0;398.0;972.0;-950.0;-133.0;40.0
-406.0;193.0;1020.0;-75.0;253.0;401.0;986.0;-990.0;-158.0;46.0
-402.0;196.0;1105.0;-104.0;256.0;402.0;1000.0;-1009.0;-161.0;57.0
-407.0;220.0;980.0;-116.0;240.0;403.0;929.0;-925.0;-154.0;41.0
-426.0;242.0;755.0;-83.0;238.0;400.0;604.0;-651.0;-140.0;57.0
-580.0;409.0;554.0;-158.0;-328.0;308.0;338.0;-429.0;283.0;-99.0
-436.0;254.0;999.0;-72.0;250.0;393.0;962.0;-928.0;-107.0;79.0
-442.0;250.0;996.0;-37.0;234.0;393.0;883.0;-901.0;-121.0;116.0
-437.0;251.0;999.0;-31.0;228.0;397.0;962.0;-913.0;-123.0;125.0
-440.0;253.0;962.0;5.0;230.0;402.0;918.0;-902.0;-122.0;139.0
-424.0;229.0;998.0;-61.0;244.0;432.0;952.0;-930.0;-144.0;94.0
-421.0;213.0;997.0;-77.0;227.0;422.0;943.0;-928.0;-165.0;66.0
-457.0;246.0;988.0;40.0;206.0;411.0;956.0;-891.0;-173.0;161.0
-445.0;249.0;999.0;61.0;216.0;413.0;930.0;-877.0;-166.0;165.0
-440.0;227.0;963.0;72.0;217.0;418.0;898.0;-895.0;-183.0;191.0
-441.0;216.0;981.0;52.0;225.0;417.0;912.0;-878.0;-181.0;169.0
-423.0;233.0;971.0;9.0;231.0;410.0;892.0;-900.0;-178.0;132.0
-415.0;245.0;985.0;16.0;249.0;411.0;982.0;-916.0;-176.0;180.0
-454.0;292.0;973.0;67.0;216.0;391.0;924.0;-897.0;-121.0;233.0
-432.0;242.0;986.0;51.0;224.0;383.0;919.0;-901.0;-138.0;135.0
-431.0;239.0;966.0;50.0;225.0;385.0;896.0;-887.0;-145.0;150.0
-423.0;262.0;971.0;42.0;228.0;413.0;900.0;-890.0;-171.0;161.0
-434.0;219.0;962.0;53.0;228.0;406.0;869.0;-888.0;-171.0;182.0
-440.0;223.0;965.0;82.0;227.0;410.0;859.0;-882.0;-166.0;198.0
-443.0;219.0;930.0;67.0;217.0;407.0;1016.0;-858.0;-159.0;171.0
-441.0;219.0;948.0;83.0;221.0;410.0;929.0;-878.0;-168.0;217.0
-404.0;175.0;999.0;45.0;239.0;433.0;893.0;-915.0;-207.0;157.0
-400.0;162.0;938.0;33.0;243.0;431.0;956.0;-863.0;-213.0;150.0
-398.0;159.0;914.0;-22.0;245.0;421.0;907.0;-854.0;-191.0;88.0
-395.0;157.0;973.0;-17.0;239.0;442.0;940.0;-894.0;-206.0;133.0
-391.0;158.0;990.0;-13.0;246.0;446.0;944.0;-910.0;-209.0;123.0
-399.0;170.0;969.0;28.0;231.0;430.0;932.0;-904.0;-181.0;161.0
-417.0;189.0;982.0;80.0;223.0;417.0;909.0;-898.0;-169.0;188.0
-420.0;199.0;952.0;27.0;210.0;406.0;933.0;-886.0;-175.0;170.0
-424.0;206.0;969.0;56.0;211.0;420.0;951.0;-900.0;-176.0;177.0
-431.0;244.0;976.0;67.0;206.0;398.0;942.0;-897.0;-142.0;175.0
-437.0;256.0;970.0;67.0;201.0;390.0;938.0;-872.0;-132.0;184.0
-436.0;267.0;965.0;100.0;197.0;366.0;961.0;-897.0;-104.0;218.0
-408.0;244.0;970.0;40.0;226.0;370.0;937.0;-895.0;-111.0;158.0
-401.0;242.0;974.0;12.0;233.0;372.0;966.0;-919.0;-108.0;143.0
-407.0;223.0;943.0;116.0;224.0;381.0;885.0;-863.0;-115.0;220.0
-409.0;220.0;952.0;101.0;226.0;383.0;890.0;-877.0;-118.0;207.0
-410.0;216.0;963.0;48.0;229.0;383.0;951.0;-896.0;-118.0;162.0
-422.0;209.0;970.0;58.0;228.0;386.0;905.0;-890.0;-118.0;174.0
-410.0;203.0;980.0;39.0;237.0;394.0;951.0;-904.0;-135.0;190.0
-408.0;195.0;955.0;61.0;239.0;392.0;945.0;-887.0;-139.0;176.0
-377.0;162.0;952.0;40.0;252.0;418.0;907.0;-881.0;-176.0;164.0
-345.0;130.0;991.0;18.0;280.0;442.0;935.0;-916.0;-212.0;157.0
-337.0;122.0;990.0;4.0;286.0;447.0;955.0;-917.0;-221.0;141.0
-319.0;100.0;965.0;15.0;297.0;451.0;897.0;-906.0;-231.0;128.0
-278.0;49.0;990.0;3.0;312.0;474.0;962.0;-916.0;-278.0;161.0
-280.0;49.0;990.0;10.0;312.0;474.0;918.0;-916.0;-278.0;136.0
-272.0;36.0;997.0;-7.0;315.0;482.0;932.0;-914.0;-291.0;121.0
-271.0;32.0;989.0;16.0;318.0;477.0;900.0;-904.0;-280.0;138.0
-270.0;28.0;988.0;19.0;319.0;478.0;944.0;-915.0;-283.0;131.0
-257.0;16.0;986.0;0.0;328.0;480.0;951.0;-917.0;-289.0;109.0
-248.0;6.0;995.0;-29.0;330.0;481.0;980.0;-943.0;-295.0;100.0
-598.0;403.0;586.0;-30.0;-334.0;334.0;386.0;-344.0;271.0;-10.0
-604.0;398.0;517.0;-4.0;-335.0;334.0;361.0;-336.0;267.0;55.0
-610.0;391.0;463.0;39.0;-341.0;343.0;369.0;-344.0;254.0;101.0
-590.0;374.0;442.0;99.0;-323.0;354.0;461.0;-307.0;236.0;162.0
-559.0;363.0;507.0;-7.0;-303.0;352.0;544.0;-355.0;227.0;117.0
-562.0;363.0;481.0;39.0;-307.0;353.0;552.0;-329.0;231.0;108.0
-266.0;-35.0;881.0;-137.0;272.0;628.0;876.0;-842.0;-405.0;-43.0
-563.0;365.0;516.0;120.0;-305.0;354.0;492.0;-276.0;224.0;134.0
-563.0;388.0;517.0;41.0;-276.0;343.0;498.0;-376.0;242.0;117.0
-556.0;418.0;565.0;-83.0;-219.0;305.0;603.0;-551.0;286.0;114.0
-551.0;434.0;514.0;-121.0;-189.0;299.0;642.0;-564.0;301.0;171.0
-547.0;445.0;595.0;-74.0;-163.0;299.0;576.0;-551.0;308.0;166.0
-540.0;465.0;689.0;42.0;-136.0;291.0;617.0;-503.0;314.0;-69.0
-531.0;440.0;868.0;-207.0;-188.0;308.0;801.0;-772.0;243.0;-133.0
-568.0;536.0;991.0;-116.0;-79.0;223.0;959.0;-920.0;339.0;107.0
-568.0;560.0;962.0;-71.0;-86.0;198.0;960.0;-898.0;365.0;82.0
-569.0;560.0;970.0;-69.0;-84.0;197.0;975.0;-905.0;366.0;73.0
-567.0;560.0;956.0;-71.0;-82.0;196.0;948.0;-895.0;370.0;66.0
-362.0;81.0;917.0;-42.0;356.0;-457.0;286.0;-827.0;393.0;130.0
-383.0;100.0;848.0;47.0;330.0;-523.0;466.0;-813.0;409.0;219.0
-568.0;560.0;965.0;-72.0;-84.0;196.0;969.0;-902.0;369.0;85.0
-570.0;561.0;943.0;-66.0;-83.0;198.0;941.0;-898.0;371.0;78.0
-570.0;563.0;949.0;-66.0;-85.0;193.0;989.0;-905.0;373.0;82.0
-571.0;561.0;961.0;-67.0;-83.0;195.0;967.0;-900.0;370.0;86.0
-570.0;561.0;963.0;-70.0;-85.0;196.0;958.0;-909.0;369.0;76.0
-571.0;560.0;959.0;-76.0;-83.0;197.0;941.0;-902.0;366.0;89.0
-568.0;560.0;968.0;-67.0;-84.0;196.0;971.0;-901.0;368.0;53.0
-272.0;61.0;1019.0;26.0;195.0;666.0;827.0;-632.0;-280.0;-160.0
-567.0;562.0;975.0;-67.0;-82.0;194.0;924.0;-898.0;370.0;91.0
-296.0;83.0;978.0;36.0;183.0;639.0;945.0;-737.0;-243.0;49.0
-569.0;557.0;970.0;-75.0;-80.0;201.0;979.0;-905.0;364.0;58.0
-570.0;559.0;980.0;-74.0;-84.0;202.0;979.0;-906.0;361.0;80.0
-571.0;556.0;962.0;-69.0;-81.0;201.0;947.0;-903.0;361.0;59.0
-572.0;557.0;970.0;-76.0;-84.0;200.0;948.0;-903.0;361.0;79.0
-570.0;557.0;976.0;-69.0;-85.0;200.0;976.0;-898.0;359.0;106.0
-569.0;556.0;976.0;-74.0;-82.0;202.0;943.0;-904.0;359.0;77.0
-569.0;554.0;977.0;-66.0;-81.0;202.0;943.0;-905.0;356.0;96.0
-569.0;556.0;980.0;-71.0;-77.0;204.0;957.0;-901.0;360.0;81.0
-568.0;554.0;945.0;-68.0;-79.0;202.0;978.0;-901.0;361.0;91.0
-592.0;498.0;1014.0;-133.0;194.0;5.0;747.0;-736.0;713.0;11.0
-569.0;557.0;952.0;-67.0;-77.0;203.0;949.0;-900.0;366.0;72.0
-564.0;494.0;959.0;-213.0;205.0;146.0;636.0;-859.0;726.0;-147.0
-570.0;555.0;960.0;-73.0;-80.0;200.0;948.0;-900.0;366.0;98.0
-585.0;473.0;433.0;-260.0;-104.0;388.0;430.0;-972.0;132.0;289.0
-545.0;367.0;865.0;3.0;253.0;-51.0;444.0;-749.0;732.0;58.0
-568.0;557.0;973.0;-76.0;-76.0;200.0;952.0;-906.0;369.0;65.0
-563.0;452.0;867.0;221.0;-70.0;151.0;886.0;-343.0;121.0;329.0
-569.0;558.0;966.0;-75.0;-75.0;201.0;971.0;-904.0;369.0;93.0
-454.0;306.0;531.0;-85.0;99.0;377.0;563.0;-1117.0;-48.0;90.0
-567.0;559.0;955.0;-71.0;-77.0;198.0;962.0;-907.0;370.0;86.0
-400.0;140.0;801.0;-380.0;283.0;450.0;803.0;-862.0;240.0;-245.0
-604.0;574.0;844.0;121.0;97.0;109.0;845.0;-778.0;478.0;162.0
-565.0;557.0;961.0;-64.0;-78.0;198.0;991.0;-899.0;371.0;79.0
-568.0;556.0;970.0;-80.0;-77.0;199.0;954.0;-904.0;362.0;88.0
-567.0;554.0;971.0;-69.0;-77.0;202.0;974.0;-898.0;360.0;68.0
238.0;139.0;863.0;72.0;502.0;80.0;806.0;-886.0;382.0;156.0
-565.0;560.0;962.0;-82.0;-69.0;202.0;985.0;-904.0;364.0;59.0
-565.0;557.0;959.0;-71.0;-73.0;198.0;943.0;-898.0;366.0;83.0
-565.0;559.0;970.0;-77.0;-76.0;198.0;979.0;-902.0;369.0;80.0
-567.0;561.0;960.0;-77.0;-72.0;202.0;982.0;-910.0;370.0;80.0
-565.0;560.0;952.0;-69.0;-79.0;196.0;950.0;-895.0;370.0;65.0
-396.0;228.0;696.0;-155.0;162.0;383.0;669.0;-813.0;-167.0;252.0
-362.0;163.0;988.0;38.0;148.0;426.0;1069.0;-503.0;-255.0;-136.0
-330.0;124.0;303.0;-73.0;159.0;405.0;281.0;-648.0;-214.0;228.0
-422.0;124.0;350.0;107.0;46.0;288.0;267.0;-283.0;-100.0;552.0
-513.0;122.0;427.0;147.0;-45.0;451.0;628.0;-566.0;-231.0;305.0
-568.0;560.0;961.0;-69.0;-78.0;201.0;964.0;-904.0;370.0;98.0
-565.0;563.0;962.0;-71.0;-79.0;192.0;942.0;-901.0;374.0;94.0
-446.0;406.0;919.0;-156.0;283.0;415.0;875.0;-857.0;279.0;-59.0
-446.0;450.0;897.0;-107.0;339.0;189.0;754.0;-869.0;345.0;23.0
-453.0;509.0;880.0;120.0;263.0;105.0;998.0;-773.0;432.0;80.0
-565.0;565.0;965.0;-65.0;-79.0;191.0;961.0;-895.0;380.0;76.0
-602.0;609.0;778.0;-135.0;159.0;207.0;605.0;-737.0;362.0;-68.0
-366.0;210.0;374.0;168.0;96.0;386.0;457.0;-291.0;-212.0;290.0
-389.0;215.0;328.0;155.0;65.0;372.0;457.0;-262.0;-196.0;281.0
-435.0;-127.0;-39.0;499.0;-39.0;507.0;267.0;153.0;-450.0;545.0
-568.0;275.0;-37.0;193.0;-380.0;220.0;100.0;-27.0;-28.0;542.0
-596.0;316.0;-80.0;502.0;-366.0;234.0;-28.0;177.0;-47.0;513.0
-568.0;562.0;951.0;-62.0;-79.0;196.0;937.0;-901.0;379.0;77.0
-566.0;565.0;961.0;-72.0;-78.0;192.0;934.0;-902.0;378.0;91.0
-565.0;570.0;966.0;-79.0;-79.0;188.0;972.0;-912.0;384.0;98.0
-566.0;553.0;976.0;-72.0;-82.0;196.0;975.0;-911.0;357.0;102.0
-567.0;555.0;956.0;-73.0;-76.0;204.0;973.0;-915.0;359.0;89.0
-565.0;550.0;967.0;-66.0;-78.0;207.0;953.0;-894.0;351.0;80.0
-565.0;551.0;942.0;-80.0;-75.0;213.0;946.0;-910.0;354.0;61.0
-563.0;554.0;973.0;-91.0;-75.0;201.0;935.0;-880.0;357.0;79.0
-771.0;549.0;560.0;497.0;-632.0;89.0;395.0;165.0;591.0;284.0
-562.0;557.0;982.0;-76.0;-68.0;201.0;996.0;-888.0;361.0;68.0
-561.0;560.0;941.0;-75.0;-64.0;198.0;936.0;-885.0;378.0;64.0
-557.0;561.0;969.0;-85.0;-64.0;196.0;998.0;-899.0;381.0;114.0
-554.0;562.0;961.0;-67.0;-59.0;194.0;951.0;-891.0;385.0;88.0
-555.0;570.0;939.0;-72.0;-63.0;194.0;932.0;-904.0;394.0;87.0
-557.0;570.0;955.0;-62.0;-63.0;189.0;970.0;-892.0;391.0;84.0
-556.0;566.0;956.0;-53.0;-61.0;184.0;950.0;-885.0;387.0;63.0
-580.0;534.0;950.0;-76.0;-144.0;219.0;953.0;-893.0;317.0;101.0
-578.0;507.0;937.0;-111.0;-135.0;234.0;940.0;-886.0;282.0;105.0
-575.0;493.0;943.0;-156.0;-128.0;232.0;913.0;-920.0;276.0;85.0
-571.0;480.0;963.0;-158.0;-126.0;228.0;970.0;-916.0;270.0;20.0
-567.0;477.0;992.0;-176.0;-120.0;232.0;967.0;-951.0;279.0;22.0
-568.0;484.0;988.0;-141.0;-122.0;234.0;1006.0;-895.0;284.0;-11.0
-570.0;548.0;965.0;0.0;-108.0;207.0;958.0;-876.0;323.0;-43.0
-572.0;548.0;953.0;-112.0;-108.0;201.0;932.0;-919.0;315.0;156.0
-570.0;550.0;965.0;-89.0;-128.0;225.0;1025.0;-864.0;315.0;52.0
-565.0;554.0;902.0;-97.0;-111.0;225.0;929.0;-915.0;312.0;116.0
-541.0;583.0;933.0;-62.0;-20.0;176.0;909.0;-930.0;371.0;124.0
-547.0;582.0;948.0;-20.0;-102.0;147.0;919.0;-813.0;421.0;54.0
-514.0;538.0;851.0;-270.0;-28.0;191.0;900.0;-1089.0;404.0;126.0
-453.0;494.0;1089.0;-224.0;87.0;248.0;1054.0;-856.0;396.0;70.0
-356.0;420.0;948.0;-280.0;232.0;327.0;866.0;-941.0;361.0;-95.0
-485.0;457.0;1007.0;-276.0;85.0;324.0;958.0;-959.0;297.0;-203.0
-568.0;567.0;967.0;-106.0;-92.0;195.0;1001.0;-917.0;392.0;-42.0
-575.0;585.0;982.0;-70.0;-75.0;176.0;933.0;-930.0;401.0;42.0
-575.0;584.0;999.0;-44.0;-80.0;176.0;979.0;-898.0;398.0;84.0
-581.0;567.0;991.0;-133.0;-99.0;191.0;1009.0;-926.0;367.0;70.0
-579.0;572.0;987.0;11.0;-100.0;196.0;965.0;-849.0;372.0;66.0
-562.0;584.0;944.0;-111.0;-42.0;161.0;970.0;-975.0;423.0;18.0
-574.0;595.0;955.0;13.0;-53.0;209.0;932.0;-865.0;379.0;148.0
-591.0;588.0;947.0;-9.0;-59.0;196.0;959.0;-850.0;369.0;133.0
-151.0;153.0;310.0;-27.0;-437.0;169.0;252.0;-38.0;282.0;85.0
-261.0;316.0;277.0;-110.0;-488.0;-52.0;239.0;-190.0;415.0;130.0
-585.0;574.0;917.0;15.0;-42.0;223.0;977.0;-802.0;358.0;93.0
-594.0;573.0;1020.0;9.0;-33.0;218.0;1041.0;-868.0;356.0;91.0
-600.0;574.0;994.0;-4.0;-45.0;211.0;980.0;-890.0;360.0;110.0
-601.0;573.0;946.0;-10.0;-60.0;209.0;912.0;-892.0;354.0;96.0
-585.0;574.0;960.0;-13.0;-21.0;214.0;1012.0;-893.0;382.0;96.0
-562.0;571.0;962.0;-12.0;14.0;221.0;956.0;-896.0;397.0;123.0
-564.0;572.0;958.0;-17.0;0.0;214.0;924.0;-885.0;396.0;126.0
-568.0;574.0;941.0;-17.0;-1.0;213.0;910.0;-886.0;396.0;158.0
-567.0;568.0;979.0;-2.0;9.0;228.0;949.0;-878.0;385.0;69.0
-567.0;566.0;952.0;-38.0;10.0;227.0;935.0;-894.0;384.0;132.0
-188.0;294.0;405.0;115.0;-475.0;-106.0;529.0;10.0;442.0;219.0
-565.0;563.0;968.0;-30.0;2.0;225.0;943.0;-886.0;381.0;115.0
-566.0;567.0;958.0;-52.0;8.0;231.0;956.0;-896.0;379.0;124.0
-575.0;569.0;962.0;-22.0;-12.0;227.0;979.0;-904.0;379.0;65.0
-182.0;298.0;486.0;111.0;-467.0;-108.0;285.0;7.0;442.0;173.0
-579.0;571.0;971.0;-45.0;-9.0;226.0;943.0;-888.0;374.0;111.0
-160.0;317.0;450.0;75.0;-447.0;-113.0;351.0;-31.0;443.0;78.0
-265.0;403.0;800.0;-130.0;292.0;-32.0;795.0;-767.0;471.0;-39.0
-579.0;557.0;971.0;-36.0;-5.0;231.0;956.0;-900.0;356.0;108.0
-482.0;576.0;643.0;-68.0;197.0;247.0;735.0;-655.0;470.0;101.0
-554.0;568.0;1012.0;-142.0;109.0;131.0;1064.0;-873.0;511.0;178.0
-522.0;598.0;611.0;-22.0;-29.0;52.0;721.0;-571.0;473.0;97.0
-577.0;555.0;972.0;-25.0;-2.0;231.0;943.0;-901.0;358.0;110.0
-524.0;255.0;392.0;444.0;47.0;571.0;386.0;-446.0;76.0;700.0
-578.0;553.0;960.0;-34.0;2.0;234.0;954.0;-903.0;357.0;131.0
-578.0;554.0;960.0;-29.0;-1.0;234.0;942.0;-905.0;359.0;107.0
-580.0;554.0;961.0;-23.0;1.0;234.0;946.0;-894.0;360.0;109.0
-154.0;328.0;592.0;-19.0;-442.0;-107.0;469.0;-54.0;440.0;25.0
-141.0;336.0;346.0;-36.0;-429.0;-70.0;323.0;-128.0;420.0;255.0
-576.0;556.0;968.0;-21.0;-3.0;234.0;944.0;-895.0;362.0;109.0
-579.0;556.0;984.0;-32.0;-3.0;230.0;965.0;-902.0;365.0;129.0
-579.0;557.0;954.0;-37.0;-3.0;233.0;982.0;-900.0;365.0;114.0
-117.0;348.0;86.0;87.0;-408.0;-47.0;158.0;-119.0;419.0;217.0
-578.0;558.0;961.0;-33.0;-3.0;230.0;935.0;-906.0;367.0;137.0
-576.0;561.0;959.0;-29.0;1.0;231.0;906.0;-900.0;367.0;137.0
-575.0;562.0;942.0;-29.0;2.0;231.0;918.0;-897.0;367.0;133.0
-580.0;566.0;954.0;-18.0;-12.0;226.0;911.0;-895.0;369.0;128.0
-581.0;567.0;974.0;-14.0;-13.0;224.0;950.0;-888.0;370.0;110.0
-581.0;565.0;969.0;-21.0;-10.0;227.0;930.0;-892.0;370.0;128.0
-581.0;563.0;950.0;-3.0;-14.0;226.0;952.0;-897.0;368.0;129.0
-163.0;365.0;128.0;-102.0;-419.0;-74.0;123.0;-123.0;429.0;154.0
-581.0;561.0;965.0;-40.0;-11.0;227.0;971.0;-905.0;357.0;93.0
-585.0;558.0;942.0;-15.0;-20.0;226.0;946.0;-902.0;351.0;123.0
-585.0;561.0;959.0;2.0;-23.0;222.0;942.0;-885.0;361.0;154.0
-589.0;565.0;957.0;-14.0;-28.0;225.0;934.0;-901.0;362.0;151.0
-587.0;568.0;950.0;-11.0;-33.0;222.0;915.0;-897.0;361.0;155.0
-588.0;571.0;963.0;-12.0;-34.0;214.0;981.0;-891.0;377.0;145.0
-586.0;575.0;961.0;-8.0;-34.0;213.0;955.0;-906.0;382.0;111.0
-580.0;578.0;953.0;16.0;-25.0;212.0;932.0;-878.0;389.0;114.0
-597.0;570.0;937.0;35.0;-96.0;256.0;962.0;-849.0;322.0;142.0
-600.0;566.0;948.0;7.0;-118.0;263.0;969.0;-791.0;301.0;179.0
-580.0;559.0;851.0;112.0;-94.0;189.0;830.0;-800.0;335.0;169.0
-570.0;578.0;858.0;124.0;-85.0;183.0;1011.0;-913.0;350.0;255.0
-567.0;584.0;883.0;202.0;-81.0;243.0;923.0;-718.0;342.0;151.0
-617.0;579.0;846.0;-80.0;-294.0;252.0;871.0;-974.0;294.0;130.0
-603.0;539.0;923.0;-91.0;-258.0;44.0;906.0;-958.0;317.0;120.0
-600.0;538.0;955.0;-107.0;-197.0;292.0;923.0;-930.0;250.0;46.0
-564.0;383.0;955.0;20.0;-67.0;-270.0;867.0;-848.0;247.0;171.0
-534.0;379.0;1000.0;-61.0;15.0;-216.0;987.0;-900.0;240.0;36.0
-536.0;376.0;950.0;-9.0;8.0;250.0;968.0;-849.0;71.0;95.0
-536.0;372.0;914.0;-53.0;9.0;343.0;920.0;-897.0;48.0;110.0
