Accelerometer HIP accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit BACK magneticX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;Accelerometer BACK accZ;Accelerometer BACK accX
291.0;120.0;508.0;99.0;56.0;935.0;258.0;50.0;156.0;-382.0;104.0
20.0;149.0;632.0;316.0;-54.0;978.0;435.0;-47.0;87.0;-310.0;96.0
21.0;638.0;630.0;93.0;-71.0;947.0;298.0;165.0;-320.0;-316.0;87.0
10.0;337.0;618.0;493.0;88.0;983.0;617.0;36.0;-550.0;-257.0;65.0
-6.0;326.0;626.0;420.0;130.0;968.0;677.0;65.0;-567.0;-188.0;116.0
41.0;335.0;597.0;292.0;149.0;979.0;597.0;100.0;-550.0;-271.0;117.0
35.0;343.0;595.0;272.0;137.0;978.0;605.0;97.0;-550.0;-281.0;98.0
21.0;345.0;593.0;280.0;139.0;989.0;623.0;107.0;-548.0;-280.0;86.0
-12.0;369.0;584.0;325.0;132.0;959.0;680.0;109.0;-574.0;-311.0;114.0
61.0;555.0;566.0;437.0;110.0;962.0;542.0;147.0;-588.0;-291.0;129.0
40.0;162.0;597.0;180.0;67.0;999.0;272.0;184.0;-576.0;-216.0;64.0
29.0;387.0;607.0;115.0;90.0;984.0;166.0;81.0;-260.0;-262.0;86.0
41.0;392.0;608.0;98.0;84.0;985.0;150.0;75.0;-336.0;-269.0;82.0
3.0;509.0;703.0;-114.0;-198.0;1014.0;-25.0;139.0;-162.0;-50.0;49.0
25.0;350.0;614.0;-6.0;85.0;975.0;126.0;64.0;-291.0;-260.0;79.0
30.0;336.0;608.0;9.0;85.0;982.0;294.0;110.0;-208.0;-245.0;86.0
48.0;-409.0;708.0;377.0;152.0;972.0;718.0;182.0;560.0;-356.0;-15.0
20.0;322.0;599.0;281.0;92.0;952.0;495.0;141.0;-110.0;-263.0;105.0
101.0;119.0;627.0;419.0;-38.0;979.0;840.0;77.0;-193.0;-171.0;68.0
4.0;227.0;604.0;291.0;104.0;975.0;487.0;150.0;-128.0;-280.0;109.0
101.0;171.0;625.0;482.0;-16.0;994.0;866.0;109.0;-5.0;-157.0;67.0
146.0;311.0;629.0;219.0;-2.0;962.0;348.0;65.0;241.0;-223.0;107.0
142.0;437.0;633.0;15.0;-54.0;983.0;218.0;85.0;-272.0;-220.0;137.0
118.0;449.0;633.0;87.0;-24.0;979.0;289.0;124.0;-367.0;-218.0;106.0
101.0;166.0;629.0;133.0;39.0;979.0;275.0;87.0;-32.0;-324.0;161.0
228.0;14.0;635.0;28.0;241.0;838.0;221.0;134.0;58.0;-580.0;87.0
226.0;36.0;639.0;29.0;241.0;817.0;224.0;132.0;89.0;-563.0;117.0
205.0;34.0;635.0;20.0;154.0;875.0;152.0;71.0;103.0;-480.0;107.0
76.0;-6.0;666.0;134.0;177.0;869.0;237.0;198.0;-68.0;-473.0;202.0
155.0;62.0;647.0;96.0;125.0;910.0;273.0;105.0;5.0;-459.0;128.0
162.0;5.0;634.0;1.0;205.0;867.0;215.0;92.0;111.0;-561.0;30.0
171.0;30.0;632.0;15.0;223.0;768.0;224.0;99.0;118.0;-539.0;17.0
63.0;63.0;651.0;40.0;102.0;917.0;211.0;97.0;88.0;-471.0;143.0
171.0;46.0;650.0;68.0;112.0;911.0;232.0;84.0;101.0;-433.0;105.0
182.0;44.0;645.0;19.0;93.0;916.0;201.0;58.0;74.0;-449.0;118.0
110.0;105.0;664.0;115.0;0.0;939.0;292.0;104.0;69.0;-354.0;171.0
-279.0;80.0;671.0;73.0;310.0;809.0;105.0;94.0;3.0;-459.0;281.0
103.0;16.0;674.0;146.0;150.0;827.0;189.0;9.0;-42.0;-446.0;118.0
92.0;-20.0;674.0;48.0;109.0;848.0;208.0;56.0;-151.0;-460.0;109.0
48.0;167.0;674.0;116.0;66.0;887.0;264.0;97.0;56.0;-430.0;165.0
87.0;128.0;669.0;164.0;16.0;925.0;307.0;90.0;86.0;-373.0;175.0
56.0;143.0;665.0;193.0;-1.0;952.0;339.0;77.0;9.0;-381.0;155.0
61.0;133.0;668.0;151.0;-27.0;953.0;333.0;62.0;27.0;-333.0;151.0
56.0;150.0;660.0;189.0;-1.0;970.0;354.0;105.0;-1.0;-261.0;154.0
70.0;153.0;660.0;181.0;-52.0;967.0;345.0;61.0;-19.0;-336.0;164.0
-15.0;152.0;658.0;234.0;-66.0;960.0;390.0;77.0;82.0;-262.0;144.0
13.0;182.0;653.0;240.0;-122.0;951.0;381.0;23.0;48.0;-258.0;103.0
-17.0;132.0;656.0;243.0;-184.0;962.0;389.0;9.0;88.0;-206.0;138.0
-27.0;140.0;670.0;270.0;-110.0;976.0;421.0;27.0;109.0;-210.0;136.0
-12.0;184.0;677.0;274.0;-177.0;998.0;436.0;-2.0;17.0;-218.0;122.0
26.0;163.0;670.0;285.0;-133.0;1017.0;446.0;61.0;50.0;-170.0;132.0
-9.0;151.0;674.0;214.0;-121.0;985.0;387.0;29.0;89.0;-241.0;125.0
18.0;153.0;667.0;222.0;-132.0;999.0;406.0;-18.0;49.0;-211.0;88.0
14.0;152.0;661.0;241.0;-146.0;1001.0;398.0;32.0;89.0;-217.0;95.0
46.0;140.0;673.0;242.0;-103.0;989.0;385.0;-15.0;42.0;-200.0;135.0
45.0;158.0;693.0;194.0;-79.0;998.0;367.0;22.0;122.0;-173.0;84.0
41.0;163.0;697.0;221.0;-106.0;989.0;415.0;5.0;18.0;-193.0;115.0
17.0;158.0;687.0;235.0;-90.0;997.0;426.0;67.0;105.0;-196.0;118.0
21.0;161.0;668.0;233.0;-101.0;983.0;386.0;34.0;41.0;-206.0;124.0
45.0;158.0;652.0;214.0;-112.0;983.0;377.0;5.0;57.0;-202.0;84.0
93.0;183.0;643.0;232.0;-148.0;981.0;415.0;-14.0;49.0;-204.0;84.0
47.0;182.0;659.0;191.0;-70.0;978.0;352.0;32.0;20.0;-194.0;160.0
74.0;167.0;663.0;190.0;-32.0;945.0;325.0;-6.0;-30.0;-262.0;50.0
53.0;166.0;663.0;173.0;-92.0;971.0;297.0;-11.0;-22.0;-280.0;69.0
37.0;168.0;671.0;177.0;-100.0;988.0;328.0;22.0;55.0;-246.0;124.0
28.0;165.0;665.0;213.0;-106.0;971.0;385.0;20.0;44.0;-236.0;115.0
33.0;152.0;667.0;205.0;-138.0;987.0;379.0;1.0;51.0;-220.0;105.0
30.0;163.0;668.0;219.0;-128.0;992.0;391.0;7.0;59.0;-221.0;108.0
25.0;168.0;670.0;215.0;-138.0;988.0;385.0;7.0;32.0;-250.0;112.0
36.0;132.0;670.0;182.0;-69.0;970.0;348.0;2.0;76.0;-241.0;103.0
37.0;136.0;670.0;229.0;-78.0;951.0;380.0;30.0;102.0;-260.0;97.0
72.0;105.0;668.0;193.0;-99.0;1027.0;365.0;-40.0;115.0;-256.0;87.0
76.0;87.0;664.0;194.0;-30.0;992.0;359.0;-44.0;139.0;-210.0;69.0
59.0;140.0;657.0;216.0;-50.0;977.0;373.0;-39.0;98.0;-250.0;41.0
54.0;95.0;653.0;218.0;-107.0;1049.0;403.0;-69.0;108.0;-183.0;85.0
56.0;128.0;652.0;159.0;-96.0;990.0;340.0;-35.0;51.0;-181.0;65.0
52.0;135.0;657.0;148.0;-69.0;991.0;300.0;-68.0;86.0;-195.0;62.0
62.0;149.0;659.0;185.0;-55.0;987.0;351.0;-38.0;81.0;-202.0;95.0
81.0;114.0;661.0;199.0;-47.0;987.0;368.0;-30.0;96.0;-216.0;95.0
55.0;127.0;657.0;186.0;-44.0;964.0;357.0;-20.0;96.0;-230.0;91.0
71.0;154.0;668.0;193.0;-9.0;965.0;341.0;25.0;33.0;-299.0;95.0
78.0;149.0;669.0;145.0;-13.0;961.0;315.0;43.0;43.0;-311.0;135.0
57.0;127.0;667.0;136.0;-7.0;961.0;308.0;26.0;73.0;-290.0;96.0
85.0;136.0;666.0;174.0;-7.0;970.0;331.0;25.0;79.0;-280.0;106.0
16.0;160.0;668.0;194.0;37.0;984.0;349.0;70.0;50.0;-295.0;131.0
44.0;86.0;604.0;53.0;196.0;761.0;210.0;179.0;97.0;-608.0;170.0
158.0;314.0;636.0;159.0;193.0;1010.0;336.0;55.0;-83.0;-722.0;258.0
0.0;174.0;641.0;183.0;295.0;858.0;338.0;166.0;-15.0;-576.0;251.0
30.0;299.0;642.0;125.0;142.0;788.0;313.0;446.0;-31.0;-415.0;190.0
145.0;145.0;540.0;105.0;216.0;796.0;310.0;174.0;-49.0;-491.0;45.0
45.0;104.0;541.0;215.0;146.0;803.0;378.0;63.0;70.0;-398.0;49.0
79.0;5.0;498.0;42.0;-14.0;840.0;160.0;55.0;72.0;-339.0;9.0
11.0;402.0;589.0;204.0;91.0;968.0;718.0;180.0;-259.0;-286.0;98.0
-23.0;248.0;445.0;-21.0;222.0;680.0;91.0;341.0;-17.0;-561.0;235.0
-47.0;274.0;436.0;131.0;171.0;827.0;200.0;287.0;-260.0;-500.0;250.0
99.0;118.0;470.0;-13.0;374.0;646.0;208.0;192.0;-9.0;-797.0;24.0
10.0;530.0;585.0;278.0;104.0;998.0;557.0;190.0;-280.0;-240.0;106.0
-1.0;488.0;590.0;395.0;124.0;971.0;621.0;196.0;-568.0;-296.0;111.0
39.0;296.0;655.0;243.0;146.0;998.0;773.0;56.0;-575.0;-254.0;66.0
35.0;285.0;663.0;345.0;131.0;979.0;785.0;66.0;-569.0;-284.0;60.0
-1.0;355.0;578.0;629.0;85.0;930.0;463.0;27.0;-553.0;-327.0;-16.0
0.0;344.0;576.0;396.0;96.0;949.0;482.0;19.0;-511.0;-357.0;-7.0
50.0;481.0;570.0;552.0;18.0;932.0;752.0;107.0;-719.0;-395.0;114.0
30.0;360.0;572.0;484.0;85.0;965.0;737.0;56.0;-602.0;-311.0;94.0
20.0;367.0;572.0;485.0;89.0;963.0;756.0;48.0;-589.0;-326.0;104.0
-12.0;436.0;602.0;106.0;105.0;947.0;609.0;158.0;-273.0;-320.0;118.0
-19.0;442.0;601.0;429.0;108.0;961.0;559.0;213.0;-218.0;-316.0;125.0
-21.0;510.0;590.0;392.0;127.0;962.0;800.0;167.0;-346.0;-299.0;116.0
-15.0;439.0;589.0;400.0;118.0;964.0;575.0;198.0;-598.0;-342.0;126.0
-29.0;338.0;587.0;421.0;111.0;970.0;666.0;214.0;-513.0;-315.0;116.0
-28.0;583.0;553.0;323.0;70.0;954.0;459.0;199.0;-725.0;-342.0;152.0
-11.0;537.0;587.0;299.0;-19.0;960.0;526.0;187.0;-506.0;-344.0;109.0
-86.0;279.0;448.0;271.0;-93.0;910.0;112.0;122.0;-370.0;-381.0;164.0
-105.0;300.0;453.0;-38.0;-96.0;945.0;92.0;105.0;-101.0;-389.0;116.0
-110.0;312.0;453.0;-62.0;-93.0;931.0;80.0;93.0;-269.0;-390.0;129.0
-82.0;375.0;442.0;-34.0;-107.0;927.0;152.0;107.0;-248.0;-374.0;137.0
-78.0;21.0;683.0;219.0;285.0;999.0;156.0;86.0;79.0;-522.0;225.0
143.0;98.0;611.0;100.0;18.0;774.0;288.0;170.0;15.0;-502.0;24.0
-59.0;199.0;485.0;118.0;230.0;896.0;357.0;315.0;-98.0;-645.0;423.0
-90.0;384.0;438.0;-17.0;-101.0;932.0;156.0;106.0;-377.0;-387.0;125.0
-41.0;257.0;217.0;-56.0;287.0;848.0;264.0;59.0;-303.0;-384.0;109.0
18.0;202.0;259.0;329.0;78.0;897.0;317.0;100.0;0.0;-308.0;31.0
51.0;89.0;259.0;455.0;3.0;864.0;536.0;60.0;111.0;-269.0;141.0
323.0;98.0;297.0;125.0;205.0;1005.0;395.0;244.0;216.0;-640.0;9.0
259.0;154.0;371.0;292.0;109.0;855.0;364.0;-89.0;-204.0;-312.0;-75.0
224.0;185.0;372.0;258.0;99.0;986.0;431.0;46.0;-208.0;-401.0;61.0
-8.0;232.0;371.0;209.0;92.0;907.0;431.0;143.0;-225.0;-379.0;163.0
