InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN^ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
1;3;-17;-838;3;-23;-144.0;-17
-4;28;14;-691;28;-26;-84.0;14
5;2;6;-813;2;-22;-20.0;6
4;-2;1;-827;-2;-22;-121.0;1
2;-65;-30;-890;-65;-14;-111.0;-30
-130;-934;714;-380;-934;328;-89.0;714
-8;-2;7;-833;-2;-22;-119.0;7
-5;15;15;-822;15;-20;-110.0;15
-1;10;-6;-886;10;-15;-46.0;-6
0;-1;14;-827;-1;-21;-123.0;14
0;-10;20;-823;-10;-18;-108.0;20
30;-285;-454;-760;-285;-10;-216.0;-454
140;-972;-819;-703;-972;237;-246.0;-819
-1;27;17;-831;27;-22;-135.0;17
226;157;44;-935;157;-8;-26.0;44
2;-4;11;-706;-4;-20;-143.0;11
-8;47;25;-847;47;-21;-90.0;25
0;14;42;-718;14;-17;-163.0;42
-2;-35;15;-660;-35;-12;-120.0;15
-6;-216;-30;-911;-216;-28;-217.0;-30
-2;4;9;-842;4;-21;-126.0;9
-2;17;-16;-831;17;-19;-179.0;-16
2;14;17;-851;14;-22;-55.0;17
148;-24;-55;-866;-24;2;-101.0;-55
-1;0;8;-844;0;-23;-121.0;8
440;-5092;212;-1164;-5092;-87;-294.0;212
-328;1870;1428;-1078;1870;-283;-173.0;1428
3;78;50;-899;78;-27;-58.0;50
-4;2;-9;-894;2;-22;-248.0;-9
11;-97;-39;-890;-97;-14;116.0;-39
-1;-12;-16;-815;-12;-26;-13.0;-16
3;27;-8;-887;27;-15;-93.0;-8
-2;-2;2;-706;-2;-16;-168.0;2
0;10;0;-898;10;-22;117.0;0
6;-3;4;-847;-3;-24;-79.0;4
1;-132;-97;-888;-132;-8;-10.0;-97
18;-88;-58;-887;-88;-14;-211.0;-58
1;15;-23;-831;15;-20;-123.0;-23
-15;63;31;-890;63;-24;-247.0;31
-414;26;34;-840;26;69;33.0;34
-4;149;68;-899;149;-11;39.0;68
0;15;27;-835;15;-24;-143.0;27
-19;687;-825;-884;687;-42;-23.0;-825
6;16;-3;-837;16;-20;-126.0;-3
6;-25;-12;-839;-25;-26;-176.0;-12
-1;6;45;-815;6;-21;-21.0;45
1;7;0;-839;7;-21;-120.0;0
250;-763;1554;-853;-763;63;105.0;1554
3;-13;-23;-833;-13;-24;-137.0;-23
2;21;7;-690;21;-18;-164.0;7
22;2111;-1675;-943;2111;-165;-12.0;-1675
-5;5;8;-832;5;-21;-151.0;8
3;31;25;-713;31;-16;-167.0;25
-2;-4;22;-831;-4;-17;-152.0;22
-134;230;-2175;-830;230;212;90.0;-2175
2;5;-7;-815;5;-22;-99.0;-7
1;15;20;-888;15;-16;-105.0;20
-3;-10;-10;-830;-10;-22;-122.0;-10
1;-55;1;-832;-55;-22;-160.0;1
2;20;9;-833;20;-21;-161.0;9
0;-8;-2;-897;-8;-24;-107.0;-2
-4;-26;1;-830;-26;-21;-120.0;1
-2;-5;14;-834;-5;-20;-135.0;14
1;-13;7;-833;-13;-20;-144.0;7
1;37;7;-835;37;-23;-174.0;7
-144;685;443;-941;685;-64;111.0;443
3;17;-2;-833;17;-22;-137.0;-2
5;20;3;-828;20;-22;-130.0;3
1;1;10;-829;1;-21;-123.0;10
7;1;-5;-823;1;-16;-167.0;-5
2;-5;7;-839;-5;-26;-169.0;7
2;-9;-3;-833;-9;-20;-139.0;-3
3;0;-4;-832;0;-25;-132.0;-4
0;2;-2;-833;2;-22;-139.0;-2
5;-7;18;-832;-7;-25;-131.0;18
-1;3;-1;-833;3;-20;-130.0;-1
0;21;-12;-829;21;-20;-150.0;-12
-9;18;38;-840;18;-13;-90.0;38
1;-23;26;-826;-23;-19;-157.0;26
6;40;-13;-831;40;-21;-125.0;-13
-2;4;11;-833;4;-21;-130.0;11
3;80;104;-687;80;-17;-161.0;104
9;10;5;-821;10;-17;-135.0;5
0;-9;-24;-716;-9;-15;-151.0;-24
-2;-8;-47;-837;-8;-16;-191.0;-47
7;-4;-30;-830;-4;-21;-204.0;-30
-3;-16;-5;-886;-16;-21;0.0;-5
3;-34;-17;-710;-34;-14;-171.0;-17
4;6;-3;-876;6;-15;-493.0;-3
0;-14;17;-887;-14;-20;-67.0;17
1;-15;0;-890;-15;-18;-150.0;0
8;30;27;-886;30;-15;10.0;27
0;8;11;-729;8;-15;-251.0;11
1;-30;4;-827;-30;-18;-224.0;4
5;6;9;-835;6;-19;-199.0;9
-34;217;144;-890;217;-8;-176.0;144
345;-2172;3863;-642;-2172;365;44.0;3863
-5;46;46;-849;46;-25;-170.0;46
103;34;50;-864;34;2;-229.0;50
-4;40;11;-891;40;-22;-132.0;11
