Accelerometer LUA^ accX;InertialMeasurementUnit LUA accY;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit LLA accY;Accelerometer LUA_ accX;Accelerometer LUA^ accZ;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX;Accelerometer LUA_ accZ
155.0;174.0;889.0;952.0;-384.0;-415.0;-171.0;865.0;503.0;-733.0;338.0
129.0;247.0;726.0;500.0;-802.0;-678.0;-223.0;584.0;713.0;-569.0;270.0
80.0;24.0;830.0;790.0;-558.0;-470.0;-120.0;751.0;385.0;-668.0;227.0
173.0;54.0;748.0;844.0;-381.0;-211.0;-52.0;808.0;318.0;-669.0;368.0
66.0;-87.0;729.0;828.0;-521.0;-350.0;102.0;750.0;346.0;-624.0;416.0
201.0;195.0;910.0;875.0;-517.0;-321.0;-61.0;840.0;346.0;-846.0;377.0
119.0;118.0;868.0;899.0;-474.0;-359.0;-107.0;814.0;357.0;-750.0;312.0
141.0;19.0;781.0;868.0;-361.0;-221.0;-13.0;842.0;273.0;-795.0;371.0
286.0;112.0;916.0;957.0;-608.0;-189.0;-82.0;971.0;330.0;-766.0;451.0
186.0;154.0;886.0;877.0;-317.0;-378.0;-3.0;839.0;418.0;-659.0;477.0
188.0;135.0;879.0;948.0;-379.0;-175.0;-59.0;886.0;296.0;-877.0;432.0
110.0;209.0;638.0;682.0;-543.0;-195.0;-112.0;641.0;238.0;-982.0;200.0
126.0;110.0;766.0;843.0;-404.0;-214.0;-96.0;797.0;301.0;-808.0;325.0
354.0;-20.0;691.0;715.0;-560.0;-256.0;302.0;705.0;644.0;-668.0;800.0
116.0;-4.0;822.0;884.0;-433.0;-328.0;-6.0;819.0;454.0;-806.0;400.0
137.0;-59.0;895.0;968.0;-472.0;-344.0;-63.0;940.0;446.0;-742.0;486.0
145.0;162.0;881.0;936.0;-534.0;-337.0;-145.0;840.0;389.0;-826.0;292.0
197.0;232.0;759.0;865.0;-540.0;-322.0;30.0;764.0;420.0;-827.0;424.0
65.0;-32.0;724.0;543.0;-667.0;-427.0;41.0;722.0;579.0;-644.0;525.0
-7.0;88.0;664.0;763.0;-485.0;-449.0;-27.0;640.0;411.0;-641.0;292.0
378.0;293.0;652.0;336.0;-849.0;-501.0;114.0;560.0;817.0;-518.0;701.0
96.0;131.0;787.0;906.0;-291.0;-296.0;-98.0;729.0;247.0;-745.0;262.0
61.0;136.0;704.0;748.0;-364.0;-243.0;-59.0;680.0;230.0;-725.0;288.0
126.0;84.0;786.0;883.0;-359.0;-234.0;-39.0;818.0;361.0;-750.0;399.0
794.0;350.0;463.0;422.0;-524.0;-44.0;71.0;578.0;640.0;-496.0;897.0
533.0;462.0;894.0;828.0;-351.0;-7.0;-151.0;935.0;242.0;-915.0;401.0
203.0;-49.0;771.0;799.0;-433.0;-148.0;6.0;850.0;365.0;-525.0;428.0
226.0;170.0;877.0;878.0;-499.0;-265.0;-172.0;819.0;643.0;-792.0;353.0
114.0;106.0;880.0;765.0;-690.0;-550.0;-93.0;735.0;640.0;-710.0;336.0
123.0;-26.0;775.0;865.0;-481.0;-318.0;61.0;825.0;508.0;-681.0;540.0
-11.0;201.0;542.0;633.0;-286.0;-189.0;-105.0;536.0;204.0;-544.0;175.0
72.0;-42.0;759.0;960.0;-464.0;-186.0;-74.0;821.0;420.0;-791.0;367.0
-122.0;5.0;572.0;666.0;-521.0;-439.0;99.0;487.0;260.0;-651.0;347.0
83.0;218.0;662.0;757.0;-389.0;-420.0;15.0;624.0;441.0;-1002.0;370.0
99.0;-26.0;739.0;758.0;-348.0;-152.0;-94.0;765.0;236.0;-510.0;257.0
380.0;258.0;921.0;1041.0;-390.0;-171.0;-143.0;946.0;359.0;-906.0;457.0
83.0;182.0;816.0;787.0;-642.0;-568.0;-138.0;746.0;591.0;-691.0;391.0
-84.0;357.0;622.0;769.0;-653.0;-731.0;-304.0;484.0;643.0;-880.0;96.0
179.0;-12.0;642.0;765.0;-427.0;-164.0;51.0;705.0;204.0;-572.0;387.0
131.0;90.0;653.0;794.0;-600.0;-501.0;136.0;654.0;454.0;-725.0;427.0
117.0;-38.0;626.0;919.0;-335.0;-431.0;54.0;721.0;506.0;-658.0;339.0
38.0;122.0;615.0;753.0;-396.0;-429.0;82.0;603.0;351.0;-529.0;363.0
120.0;265.0;772.0;825.0;-151.0;-260.0;-46.0;765.0;315.0;-987.0;325.0
144.0;128.0;770.0;857.0;-352.0;-169.0;-40.0;810.0;310.0;-752.0;366.0
122.0;93.0;810.0;901.0;-548.0;-328.0;13.0;793.0;409.0;-750.0;388.0
39.0;132.0;737.0;750.0;-376.0;-346.0;90.0;761.0;369.0;-677.0;408.0
104.0;89.0;887.0;859.0;-492.0;-524.0;-224.0;796.0;589.0;-931.0;243.0
-19.0;-7.0;712.0;745.0;-451.0;-494.0;25.0;610.0;370.0;-553.0;352.0
-114.0;-70.0;753.0;571.0;-742.0;-638.0;-22.0;589.0;614.0;-592.0;147.0
128.0;-40.0;769.0;919.0;-544.0;-250.0;-52.0;830.0;415.0;-621.0;348.0
249.0;37.0;793.0;846.0;-377.0;-332.0;76.0;776.0;303.0;-742.0;479.0
117.0;-39.0;624.0;677.0;-412.0;-498.0;197.0;644.0;548.0;-626.0;534.0
347.0;31.0;831.0;902.0;-513.0;-385.0;-222.0;748.0;491.0;-844.0;393.0
1.0;-48.0;928.0;1000.0;-376.0;-201.0;-40.0;940.0;290.0;-903.0;312.0
189.0;392.0;997.0;997.0;-96.0;19.0;-428.0;979.0;-1.0;-979.0;125.0
170.0;115.0;695.0;846.0;-451.0;-310.0;66.0;750.0;378.0;-669.0;485.0
180.0;-48.0;790.0;940.0;-632.0;-370.0;54.0;871.0;569.0;-741.0;546.0
-302.0;414.0;947.0;1119.0;-516.0;-708.0;-155.0;925.0;461.0;-1335.0;264.0
187.0;145.0;622.0;717.0;-563.0;-488.0;158.0;650.0;630.0;-744.0;457.0
201.0;103.0;683.0;772.0;-642.0;-325.0;64.0;749.0;570.0;-957.0;412.0
627.0;114.0;871.0;948.0;-450.0;-99.0;-66.0;981.0;381.0;-671.0;572.0
157.0;20.0;736.0;911.0;-450.0;-239.0;57.0;773.0;282.0;-706.0;452.0
173.0;27.0;740.0;890.0;-395.0;-249.0;56.0;756.0;266.0;-687.0;479.0
510.0;177.0;717.0;802.0;-607.0;-78.0;48.0;850.0;503.0;-689.0;691.0
3.0;-38.0;887.0;705.0;-707.0;-581.0;1.0;764.0;530.0;-748.0;227.0
495.0;380.0;661.0;477.0;-620.0;-272.0;-61.0;705.0;751.0;-749.0;646.0
126.0;152.0;901.0;700.0;-341.0;-422.0;-201.0;829.0;535.0;-689.0;242.0
-138.0;-277.0;-88.0;-169.0;-900.0;-820.0;324.0;-159.0;919.0;249.0;557.0
508.0;542.0;968.0;658.0;-426.0;-332.0;-447.0;755.0;303.0;-886.0;135.0
234.0;211.0;1105.0;1187.0;-598.0;-337.0;-284.0;1110.0;543.0;-1012.0;399.0
-21.0;120.0;825.0;914.0;-429.0;-317.0;-12.0;808.0;239.0;-775.0;338.0
225.0;345.0;852.0;825.0;-595.0;-530.0;-31.0;815.0;722.0;-883.0;463.0
102.0;82.0;942.0;1019.0;-338.0;-203.0;-164.0;975.0;259.0;-932.0;324.0
