InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroZ
76.0;11;596;905.0;-3;-48.0;-11;33.0
12.0;-16;603;888.0;11;-41.0;16;37.0
27.0;4;482;906.0;-125;-19.0;-4;42.0
12.0;-25;470;887.0;-110;-11.0;25;42.0
39.0;-21;473;898.0;-115;10.0;21;44.0
23.0;11;615;939.0;14;7.0;-11;34.0
29.0;-9;616;933.0;14;-87.0;9;86.0
63.0;4;489;924.0;-90;-9.0;-4;179.0
26.0;-9;621;939.0;15;-81.0;9;85.0
-2.0;-31;476;914.0;-73;6.0;31;18.0
10.0;-17;471;913.0;-119;-24.0;17;54.0
17.0;-17;728;882.0;164;-63.0;17;194.0
25.0;1;616;934.0;14;-3.0;-1;138.0
27.0;0;473;912.0;-113;15.0;0;50.0
24.0;-20;613;933.0;15;14.0;20;-5.0
24.0;6;475;895.0;-116;21.0;-6;34.0
20.0;6;474;913.0;-114;-32.0;-6;37.0
51.0;-20;490;893.0;-109;-45.0;20;71.0
19.0;4;477;897.0;-127;-12.0;-4;34.0
78.0;1;481;895.0;-94;-59.0;-1;49.0
-93.0;-21;616;953.0;12;-40.0;21;129.0
12.0;-18;621;922.0;13;-22.0;18;3.0
-40.0;16;485;947.0;-6;20.0;-16;40.0
48.0;-28;469;935.0;-67;-62.0;28;92.0
30.0;-4;483;946.0;-64;-13.0;4;53.0
14.0;-27;474;917.0;-69;-36.0;27;46.0
10.0;3;479;910.0;-71;-101.0;-3;34.0
26.0;12;614;942.0;16;-22.0;-12;12.0
40.0;-18;477;943.0;-68;-46.0;18;123.0
24.0;15;476;953.0;-67;4.0;-15;31.0
-29.0;7;617;933.0;20;43.0;-7;12.0
-12.0;30;612;935.0;14;7.0;-30;55.0
-62.0;-42;623;925.0;16;-5.0;42;47.0
37.0;3;613;933.0;13;12.0;-3;124.0
-9.0;12;478;959.0;-66;-31.0;-12;26.0
16.0;7;473;929.0;-66;13.0;-7;47.0
-9.0;-3;471;944.0;-68;-27.0;3;48.0
-5.0;-1;478;941.0;-57;-5.0;1;8.0
42.0;-6;479;951.0;-62;-38.0;6;42.0
32.0;-27;483;923.0;-60;-25.0;27;82.0
9.0;-20;477;938.0;-59;-44.0;20;30.0
15.0;11;476;938.0;-56;-49.0;-11;73.0
34.0;-8;479;949.0;-55;-36.0;8;53.0
26.0;26;484;952.0;-56;-15.0;-26;73.0
12.0;3;499;923.0;-108;-68.0;-3;-18.0
90.0;-23;621;935.0;17;-73.0;23;88.0
31.0;5;485;934.0;-58;0.0;-5;55.0
17.0;-5;485;942.0;-59;7.0;5;23.0
30.0;-21;621;994.0;22;-23.0;21;47.0
12.0;8;483;942.0;-59;-10.0;-8;19.0
30.0;-4;482;941.0;-59;-21.0;4;40.0
94.0;14;484;931.0;-68;-39.0;-14;79.0
35.0;17;479;932.0;-58;-11.0;-17;34.0
6.0;-13;482;945.0;-58;-33.0;13;42.0
-92.0;-27;621;930.0;24;-35.0;27;35.0
56.0;16;618;944.0;19;48.0;-16;103.0
