InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion2
762.0;0;104.0;?;-31;579.0;0;-636.0;-716.0
?;-7;228.0;44;-44;?;-7;-638.0;-710.0
?;25;319.0;21;-21;562.0;25;?;?
764.0;13;298.0;-49;49;552.0;13;-642.0;-692.0
?;-4;183.0;-23;?;540.0;-4;?;-682.0
766.0;-17;4.0;-15;?;525.0;-17;-641.0;?
?;27;-167.0;?;0;511.0;27;-632.0;-661.0
777.0;48;-183.0;?;28;496.0;48;?;-647.0
785.0;-5;?;?;10;482.0;-5;?;-635.0
?;-8;-348.0;47;-47;470.0;-8;-586.0;?
807.0;37;-114.0;?;2;460.0;37;-568.0;?
815.0;20;17.0;?;0;453.0;20;-555.0;-602.0
?;-34;138.0;15;-15;449.0;?;?;-595.0
819.0;-12;271.0;25;-25;445.0;-12;?;-591.0
?;1;?;15;-15;440.0;1;-550.0;-590.0
807.0;?;208.0;-26;26;437.0;-26;-558.0;?
795.0;-5;271.0;?;?;?;-5;-570.0;-583.0
781.0;7;241.0;-34;?;434.0;7;-583.0;-583.0
?;16;132.0;-4;4;431.0;16;?;-584.0
?;35;44.0;22;-22;428.0;?;-606.0;-583.0
743.0;22;-217.0;4;-4;426.0;22;-621.0;-582.0
731.0;43;-613.0;?;?;423.0;43;?;-581.0
?;50;-925.0;?;-87;421.0;?;-648.0;?
720.0;-14;-974.0;45;-45;418.0;-14;-658.0;-581.0
715.0;-12;-925.0;-8;8;416.0;-12;-666.0;?
713.0;12;?;?;?;415.0;12;-670.0;-582.0
?;6;-634.0;-18;18;415.0;6;-671.0;-581.0
