InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
4;-21.0;13;-30.0;-4.0;13;6.0
-1;21.0;34;3.0;98.0;34;76.0
0;-18.0;-59;-12.0;-127.0;-59;26.0
1318;-125.0;452;50.0;-395.0;452;-40.0
10;23.0;-202;125.0;78.0;-202;16.0
-216;38.0;1892;282.0;1764.0;1892;701.0
2;-17.0;4;-27.0;-40.0;4;-46.0
-2;2.0;30;5.0;12.0;30;9.0
0;125.0;-29;-111.0;-16.0;-29;-81.0
6;38.0;13;24.0;-32.0;13;-177.0
1;19.0;8;72.0;-258.0;8;222.0
7;-16.0;-13;2.0;109.0;-13;3.0
-1;27.0;-13;167.0;290.0;-13;266.0
-5;0.0;8;-17.0;55.0;8;-13.0
0;9.0;-13;-29.0;0.0;-13;-7.0
-2;-44.0;14;7.0;122.0;14;119.0
4;68.0;0;-101.0;20.0;0;22.0
-2;-9.0;0;-401.0;292.0;0;-741.0
-2;-10.0;-13;-4.0;-31.0;-13;14.0
2;56.0;-52;-24.0;129.0;-52;133.0
-1;-28.0;2;-11.0;-14.0;2;-5.0
3;166.0;20;131.0;-28.0;20;63.0
0;-2.0;12;6.0;3.0;12;22.0
2;-23.0;-10;48.0;-7.0;-10;4.0
-5;-50.0;-14;251.0;-269.0;-14;-44.0
-6;-69.0;26;12.0;4.0;26;1.0
-3;-26.0;12;-27.0;-37.0;12;-6.0
-9;6.0;14;-482.0;263.0;14;-62.0
-3;-22.0;26;-100.0;-68.0;26;-85.0
2;7.0;6;-13.0;13.0;6;-3.0
-141;-650.0;-36;-1283.0;109.0;-36;-509.0
3;79.0;1;-19.0;-39.0;1;1.0
0;-31.0;-35;-41.0;-12.0;-35;-12.0
0;-11.0;-10;-40.0;3.0;-10;-15.0
0;-10.0;15;-6.0;-23.0;15;14.0
-3;9.0;-2;-12.0;-16.0;-2;10.0
-404;24.0;821;479.0;385.0;821;411.0
22;367.0;-20;1333.0;1702.0;-20;1794.0
8;-12.0;3;-19.0;-12.0;3;4.0
-4;-30.0;-20;-30.0;-15.0;-20;17.0
1;-28.0;-11;-25.0;36.0;-11;17.0
2;1.0;-1;-2.0;-20.0;-1;-4.0
3;-27.0;-20;13.0;4.0;-20;-6.0
-8;-5.0;-9;-11.0;-298.0;-9;-29.0
-1;-15.0;-2;40.0;-14.0;-2;78.0
-6;-2.0;2;39.0;42.0;2;39.0
8;-1.0;-21;-23.0;18.0;-21;10.0
-3;255.0;-5;577.0;146.0;-5;141.0
0;-14.0;0;-7.0;-8.0;0;-2.0
2;0.0;-41;-50.0;-35.0;-41;-1.0
-4;-32.0;-35;-25.0;11.0;-35;22.0
1;2.0;-7;-49.0;29.0;-7;28.0
1;10.0;1;-3.0;-99.0;1;85.0
-3;-53.0;-64;-59.0;-43.0;-64;-105.0
14;-206.0;13;-130.0;-53.0;13;-18.0
1;-29.0;-10;-11.0;510.0;-10;569.0
5;-96.0;-31;196.0;69.0;-31;139.0
0;15.0;-31;-12.0;-20.0;-31;43.0
1;-49.0;-5;3.0;-12.0;-5;0.0
1;-87.0;-13;42.0;-98.0;-13;-3.0
-1;-34.0;6;-22.0;-67.0;6;-10.0
-4;-38.0;30;-63.0;8.0;30;2.0
3;-3.0;0;-19.0;-18.0;0;9.0
5;7.0;4;-14.0;-17.0;4;32.0
3;22.0;-37;-15.0;-12.0;-37;-3.0
-9;-46.0;8;-3.0;-55.0;8;399.0
-1;-11.0;-16;-4.0;-12.0;-16;8.0
-32;798.0;-17;-384.0;-75.0;-17;38.0
-441;-56.0;-762;-32.0;-924.0;-762;-395.0
3;-22.0;21;-57.0;7.0;21;101.0
-1250;-60.0;-164;179.0;-201.0;-164;111.0
3;-70.0;1;81.0;437.0;1;-442.0
4;-278.0;74;-502.0;-37.0;74;188.0
-2;-78.0;5;72.0;-90.0;5;-160.0
-1;-44.0;11;32.0;90.0;11;-137.0
154;-54.0;-26;-188.0;2224.0;-26;165.0
-133;129.0;-3157;708.0;134.0;-3157;388.0
1;-10.0;-46;-10.0;698.0;-46;-37.0
18;-25.0;18;-232.0;260.0;18;183.0
-54;24.0;-1047;271.0;-62.0;-1047;16.0
4;416.0;7;465.0;-409.0;7;-83.0
-3;12.0;17;-92.0;-229.0;17;-137.0
-1;-99.0;-27;12.0;-454.0;-27;-277.0
-103;-10.0;750;-110.0;-218.0;750;-339.0
-5;54.0;-42;-16.0;281.0;-42;-64.0
44;-170.0;1891;-456.0;-306.0;1891;-387.0
-18;-11.0;23;145.0;-1694.0;23;177.0
-264;76.0;-886;261.0;257.0;-886;381.0
60;-392.0;29;-187.0;-104.0;29;-364.0
8;-121.0;24;-106.0;241.0;24;-71.0
532;30.0;-1563;14.0;-328.0;-1563;-80.0
7;143.0;6;601.0;836.0;6;811.0
143;-105.0;419;-142.0;-6.0;419;67.0
2;-196.0;8;-286.0;-729.0;8;-517.0
-3;14.0;6;-43.0;404.0;6;-1195.0
4;-39.0;1;-279.0;-147.0;1;-220.0
-32;-144.0;-133;-721.0;-459.0;-133;-704.0
-70;-90.0;-145;-1122.0;-1722.0;-145;-1762.0
-5;87.0;-29;414.0;-409.0;-29;904.0
4;65.0;-37;-71.0;-568.0;-37;435.0
