InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;Accelerometer RKN^ accY;Accelerometer HIP accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit RLA gyroY;Accelerometer RKN_ accX
-822;486.0;126.0;941.0;-368.0;-271;354;-3;931.0;65;77.0;302.0
-829;677.0;-179.0;676.0;-347.0;-308;336;-19;948.0;55;-160.0;144.0
-803;874.0;-240.0;523.0;-348.0;-232;400;-2;937.0;74;-8.0;376.0
-769;892.0;-203.0;479.0;-195.0;-274;424;-4;974.0;80;55.0;349.0
-804;477.0;-183.0;912.0;-315.0;-255;388;-9;967.0;72;152.0;268.0
-814;371.0;82.0;981.0;-269.0;-269;361;-2;966.0;70;-70.0;377.0
-844;575.0;-85.0;838.0;-122.0;-219;354;21;995.0;59;35.0;236.0
-845;571.0;-133.0;858.0;-127.0;-253;336;7;1013.0;56;28.0;198.0
-845;631.0;-175.0;827.0;-163.0;-246;286;43;1019.0;74;-13.0;298.0
-837;261.0;-57.0;1001.0;-195.0;-505;843;147;977.0;-291;169.0;457.0
-845;613.0;-170.0;812.0;-136.0;-230;331;4;1017.0;63;27.0;244.0
-853;621.0;-154.0;808.0;-125.0;-220;330;14;1002.0;59;4.0;238.0
-850;623.0;-171.0;804.0;-129.0;-205;334;32;1013.0;65;22.0;226.0
-850;641.0;-142.0;806.0;-124.0;-233;319;8;1003.0;63;-26.0;226.0
-844;652.0;-155.0;807.0;-110.0;-231;330;1;983.0;65;34.0;237.0
-781;537.0;-149.0;847.0;-76.0;-345;244;-73;1074.0;116;203.0;227.0
-907;545.0;-129.0;951.0;-192.0;-447;297;-213;1032.0;-28;-11.0;221.0
-835;532.0;-228.0;873.0;-232.0;-230;357;2;990.0;64;35.0;284.0
-834;556.0;-230.0;862.0;-238.0;-233;360;-2;998.0;62;62.0;291.0
-850;514.0;-135.0;867.0;-265.0;-233;329;0;984.0;60;424.0;231.0
-847;617.0;-162.0;812.0;-254.0;-218;337;10;959.0;63;-51.0;226.0
-842;614.0;-179.0;824.0;-264.0;-224;339;2;965.0;66;92.0;229.0
-842;717.0;-324.0;797.0;-418.0;-251;345;7;969.0;56;643.0;330.0
-841;587.0;-162.0;833.0;-269.0;-228;347;4;956.0;63;203.0;224.0
-847;589.0;-155.0;846.0;-344.0;-211;333;-6;900.0;66;12.0;196.0
-849;591.0;-141.0;842.0;-354.0;-219;335;-7;939.0;61;41.0;200.0
-767;360.0;-71.0;990.0;-353.0;-307;404;-2;972.0;80;241.0;309.0
-815;532.0;124.0;911.0;-381.0;-284;356;-71;958.0;74;21.0;342.0
-816;685.0;-57.0;795.0;-248.0;-287;343;11;992.0;70;18.0;166.0
-813;638.0;-69.0;796.0;-278.0;-288;346;8;941.0;70;-215.0;191.0
-810;457.0;44.0;925.0;-364.0;-296;347;-11;959.0;71;733.0;343.0
-786;420.0;-60.0;935.0;-285.0;-324;373;-14;956.0;72;-70.0;137.0
-781;592.0;-72.0;837.0;-274.0;-318;354;-6;932.0;86;55.0;121.0
-783;626.0;-119.0;794.0;-253.0;-300;378;5;960.0;80;-80.0;148.0
-826;422.0;69.0;976.0;-308.0;-264;346;36;923.0;67;-58.0;407.0
-837;505.0;68.0;911.0;-208.0;-237;340;38;1012.0;67;156.0;323.0
-897;447.0;-417.0;-21.0;-113.0;66;357;-10;107.0;33;-154.0;-651.0
-815;480.0;36.0;937.0;-410.0;-268;368;4;927.0;66;188.0;235.0
-804;390.0;69.0;958.0;-373.0;-275;371;-3;852.0;73;50.0;275.0
-782;491.0;-139.0;905.0;-503.0;-255;433;-28;841.0;70;28.0;370.0
-812;387.0;12.0;980.0;-382.0;-278;367;1;928.0;67;50.0;270.0
-787;463.0;76.0;947.0;-451.0;-279;387;10;898.0;79;489.0;261.0
-823;468.0;37.0;933.0;-324.0;-263;363;-11;937.0;63;-4.0;237.0
-815;436.0;25.0;962.0;-410.0;-265;360;-6;933.0;71;30.0;260.0
-821;633.0;48.0;829.0;-245.0;-239;367;-9;962.0;69;18.0;173.0
-825;494.0;0.0;689.0;-265.0;-267;360;8;885.0;68;-9.0;320.0
-944;498.0;86.0;943.0;-73.0;-648;837;-37;964.0;-426;-469.0;117.0
-804;881.0;-206.0;530.0;-368.0;-230;397;3;939.0;74;-4.0;399.0
-799;905.0;-262.0;477.0;-383.0;-269;384;1;954.0;74;15.0;355.0
-807;586.0;-4.0;846.0;-511.0;-266;364;106;758.0;82;-4.0;340.0
-823;287.0;-42.0;1010.0;-74.0;-253;363;-1;1016.0;65;32.0;328.0
-798;278.0;-42.0;991.0;-44.0;-247;386;-4;1025.0;80;6.0;353.0
-820;291.0;-14.0;1007.0;-94.0;-250;360;0;1026.0;70;-41.0;357.0
-825;316.0;-22.0;1004.0;-90.0;-250;364;1;1015.0;64;-52.0;301.0
-812;238.0;-30.0;1011.0;-85.0;-254;377;5;1002.0;69;-144.0;363.0
-805;891.0;-224.0;520.0;-365.0;-231;400;3;930.0;72;26.0;392.0
-807;876.0;-212.0;533.0;-382.0;-231;399;5;946.0;71;-60.0;400.0
-819;320.0;-18.0;992.0;-47.0;-246;365;0;986.0;70;-13.0;334.0
-804;876.0;-220.0;512.0;-385.0;-236;399;-2;958.0;72;32.0;389.0
-803;885.0;-204.0;521.0;-383.0;-233;403;0;928.0;72;-179.0;384.0
-809;852.0;-232.0;514.0;-373.0;-226;394;1;956.0;73;-12.0;391.0
-807;877.0;-244.0;528.0;-348.0;-226;403;6;934.0;70;-132.0;380.0
-800;890.0;-241.0;549.0;-294.0;-234;404;-3;962.0;74;-281.0;397.0
-822;307.0;-50.0;991.0;-103.0;-248;355;0;1013.0;70;116.0;317.0
-821;325.0;-27.0;990.0;-110.0;-249;358;-3;1013.0;70;-39.0;325.0
-810;881.0;-232.0;514.0;-349.0;-224;398;7;963.0;70;-187.0;390.0
-797;893.0;-224.0;522.0;-350.0;-229;410;0;974.0;74;117.0;398.0
-801;880.0;-218.0;510.0;-333.0;-231;410;1;942.0;71;69.0;404.0
-729;913.0;-193.0;402.0;-256.0;-267;469;-2;983.0;93;14.0;340.0
-730;910.0;-190.0;425.0;-256.0;-262;483;6;1012.0;87;73.0;332.0
-802;840.0;-223.0;491.0;-402.0;-219;423;15;918.0;68;-116.0;371.0
-788;882.0;-203.0;500.0;-372.0;-246;416;3;937.0;75;29.0;364.0
