PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT);NMHC(GT)
743.0;66.1;8.9;19.0;1.4415;1057.0;934.0;1525.0;1041.0;1.9;57.0;206.0;-200.0
841.0;50.1;6.0;26.3;1.6889;955.0;811.0;1562.0;759.0;1.1;59.0;61.0;-200.0
797.0;45.9;6.1;28.2;1.7272;979.0;818.0;1590.0;732.0;1.2;72.0;57.0;-200.0
779.0;41.8;7.3;29.8;1.7269;1005.0;868.0;1633.0;771.0;1.4;85.0;71.0;-200.0
784.0;34.4;8.2;28.4;1.314;982.0;906.0;1561.0;1002.0;1.6;91.0;79.0;-200.0
759.0;44.4;8.7;30.5;1.9076;1031.0;929.0;1722.0;809.0;1.4;77.0;79.0;-200.0
722.0;40.8;10.9;23.6;1.1746;973.0;1010.0;1616.0;1014.0;1.6;65.0;102.0;-200.0
785.0;39.2;7.2;33.2;1.9642;1069.0;867.0;1717.0;880.0;1.6;65.0;92.0;-200.0
794.0;60.6;6.3;26.7;2.0942;1003.0;825.0;1716.0;801.0;1.2;65.0;68.0;-200.0
764.0;54.1;7.6;28.1;2.029;1074.0;884.0;1726.0;838.0;1.5;57.0;63.0;-200.0
770.0;50.0;7.7;29.4;2.0181;1050.0;887.0;1696.0;820.0;1.4;54.0;59.0;-200.0
736.0;45.0;8.4;30.8;1.9733;1068.0;917.0;1728.0;916.0;1.5;59.0;70.0;-200.0
792.0;34.9;6.0;36.2;2.0578;1066.0;813.0;1657.0;764.0;1.3;56.0;63.0;-200.0
797.0;60.7;5.3;26.7;2.0977;991.0;778.0;1665.0;910.0;0.8;36.0;29.0;-200.0
697.0;55.0;8.8;28.2;2.0697;1118.0;930.0;1748.0;1027.0;1.5;60.0;65.0;-200.0
725.0;48.1;8.6;30.7;2.0821;1106.0;924.0;1757.0;910.0;1.6;62.0;58.0;-200.0
720.0;24.7;10.9;38.8;1.6772;1110.0;1012.0;1725.0;905.0;1.8;96.0;91.0;-200.0
760.0;23.3;9.7;39.6;1.6535;1082.0;965.0;1649.0;844.0;1.8;126.0;105.0;-200.0
764.0;23.7;9.2;39.0;1.6346;1048.0;949.0;1607.0;831.0;1.5;86.0;88.0;-200.0
796.0;20.1;10.6;33.4;1.0142;979.0;999.0;1515.0;1027.0;2.0;110.0;148.0;-200.0
718.0;65.7;7.6;23.4;1.872;1032.0;883.0;1742.0;1051.0;1.2;42.0;106.0;-200.0
830.0;67.4;4.7;23.5;1.9305;927.0;747.0;1633.0;910.0;0.7;34.0;58.0;-200.0
824.0;51.6;4.9;28.1;1.9269;942.0;758.0;1567.0;856.0;0.7;29.0;17.0;-200.0
730.0;41.7;8.6;29.8;1.7167;1091.0;925.0;1685.0;1020.0;1.9;95.0;81.0;-200.0
787.0;31.5;7.7;34.2;1.6675;1019.0;889.0;1630.0;745.0;1.4;65.0;54.0;-200.0
800.0;34.1;8.0;32.7;1.6592;983.0;897.0;1608.0;804.0;1.2;39.0;42.0;-200.0
756.0;67.5;7.4;23.2;1.899;996.0;872.0;1727.0;990.0;1.2;55.0;87.0;-200.0
771.0;60.4;6.5;25.8;1.9759;1001.0;836.0;1662.0;821.0;1.2;57.0;49.0;-200.0
760.0;34.0;8.4;33.5;1.73;1012.0;914.0;1653.0;858.0;1.7;88.0;80.0;-200.0
742.0;61.8;7.7;23.3;1.7504;951.0;886.0;1705.0;988.0;1.2;51.0;74.0;-200.0
840.0;62.6;5.1;22.9;1.7253;868.0;771.0;1608.0;860.0;0.9;43.0;51.0;-200.0
761.0;40.6;7.9;32.5;1.9481;970.0;894.0;1649.0;756.0;1.1;64.0;57.0;-200.0
711.0;33.3;10.7;34.1;1.7509;1051.0;1003.0;1715.0;909.0;1.9;110.0;102.0;-200.0
735.0;33.4;10.2;33.7;1.7186;1054.0;985.0;1742.0;940.0;1.7;104.0;108.0;-200.0
854.0;34.9;5.7;28.0;1.2989;960.0;798.0;1459.0;780.0;1.3;84.0;73.0;-200.0
847.0;75.5;4.4;21.4;1.9069;938.0;734.0;1607.0;947.0;0.7;57.0;65.0;-200.0
830.0;40.7;5.5;26.5;1.3873;959.0;787.0;1460.0;821.0;0.9;54.0;45.0;-200.0
832.0;37.3;5.8;32.4;1.7808;1012.0;804.0;1638.0;766.0;0.9;48.0;53.0;-200.0
698.0;50.7;9.8;25.7;1.6491;1065.0;970.0;1724.0;1049.0;1.8;70.0;77.0;-200.0
724.0;34.5;10.7;31.8;1.5911;1080.0;1004.0;1704.0;899.0;1.8;114.0;90.0;-200.0
716.0;41.6;10.7;27.0;1.4596;1052.0;1002.0;1667.0;908.0;-200.0;85.0;81.0;-200.0
841.0;51.3;5.6;23.5;1.467;942.0;791.0;1551.0;859.0;-200.0;69.0;55.0;-200.0
747.0;46.3;8.0;25.1;1.4486;1005.0;900.0;1620.0;1000.0;-200.0;81.0;62.0;-200.0
776.0;30.1;9.0;25.4;0.9602;954.0;940.0;1518.0;959.0;-200.0;88.0;78.0;-200.0
765.0;38.5;9.1;26.2;1.2932;991.0;944.0;1608.0;868.0;-200.0;104.0;116.0;-200.0
796.0;48.8;6.9;23.1;1.3638;996.0;853.0;1621.0;1023.0;-200.0;92.0;135.0;-200.0
815.0;33.1;9.4;29.1;1.3126;991.0;953.0;1616.0;924.0;-200.0;106.0;82.0;-200.0
834.0;24.8;8.6;35.4;1.4017;964.0;923.0;1590.0;782.0;-200.0;92.0;87.0;-200.0
834.0;26.5;8.3;34.7;1.4408;998.0;913.0;1635.0;826.0;-200.0;90.0;90.0;-200.0
861.0;31.5;6.8;31.7;1.4487;962.0;849.0;1559.0;804.0;-200.0;97.0;111.0;-200.0
832.0;38.9;7.2;28.8;1.5184;993.0;866.0;1637.0;823.0;-200.0;98.0;111.0;-200.0
830.0;48.5;6.8;25.4;1.5507;1023.0;847.0;1663.0;916.0;-200.0;102.0;120.0;-200.0
876.0;47.2;5.9;26.6;1.616;1007.0;809.0;1611.0;770.0;1.5;93.0;81.0;-200.0
831.0;44.1;6.8;27.3;1.5751;1034.0;850.0;1643.0;803.0;1.5;88.0;84.0;-200.0
833.0;43.4;7.3;27.7;1.5833;1035.0;868.0;1653.0;775.0;1.5;86.0;77.0;-200.0
853.0;41.3;6.3;28.8;1.6164;1048.0;826.0;1637.0;747.0;1.6;90.0;89.0;-200.0
785.0;27.1;7.4;36.4;1.6226;1023.0;875.0;1590.0;711.0;1.4;71.0;83.0;-200.0
735.0;26.2;9.1;36.8;1.5984;1064.0;942.0;1650.0;801.0;1.7;78.0;94.0;-200.0
759.0;26.8;8.9;36.4;1.6038;1042.0;936.0;1630.0;770.0;1.5;72.0;84.0;-200.0
738.0;44.7;7.9;29.9;1.8511;1025.0;896.0;1693.0;823.0;1.4;55.0;70.0;-200.0
804.0;48.4;6.1;29.1;1.9186;1029.0;816.0;1624.0;778.0;1.4;54.0;75.0;-200.0
737.0;26.5;9.2;36.6;1.599;1103.0;946.0;1686.0;934.0;1.7;89.0;87.0;-200.0
784.0;33.9;8.6;30.1;1.4257;1055.0;922.0;1634.0;990.0;1.4;79.0;95.0;-200.0
803.0;42.9;6.3;31.0;1.8909;1012.0;824.0;1612.0;710.0;1.0;39.0;31.0;-200.0
723.0;13.8;13.2;42.8;1.1681;1085.0;1091.0;1638.0;1010.0;1.8;129.0;130.0;-200.0
733.0;13.8;12.3;43.1;1.1803;1080.0;1059.0;1622.0;908.0;1.5;123.0;107.0;-200.0
793.0;39.4;6.5;32.5;1.8982;1031.0;834.0;1640.0;737.0;1.2;47.0;47.0;-200.0
846.0;39.8;6.0;28.0;1.4803;956.0;813.0;1544.0;1094.0;0.8;59.0;42.0;-200.0
813.0;23.8;6.8;39.9;1.7127;1022.0;849.0;1583.0;732.0;1.2;44.0;32.0;-200.0
723.0;24.3;9.3;39.6;1.7255;1091.0;953.0;1688.0;853.0;1.7;63.0;51.0;-200.0
735.0;29.1;8.5;37.2;1.8185;1063.0;919.0;1676.0;821.0;1.7;60.0;46.0;-200.0
749.0;14.3;11.1;42.8;1.2003;1079.0;1019.0;1559.0;929.0;1.5;113.0;108.0;-200.0
702.0;37.1;9.3;33.9;1.9264;1116.0;952.0;1759.0;895.0;1.7;66.0;62.0;-200.0
767.0;14.4;10.2;42.7;1.2092;1105.0;984.0;1532.0;868.0;-200.0;106.0;97.0;-200.0
784.0;38.2;7.6;27.6;1.3911;1057.0;881.0;1574.0;1081.0;-200.0;67.0;53.0;-200.0
771.0;14.2;10.4;41.4;1.1128;1083.0;994.0;1544.0;927.0;-200.0;101.0;106.0;-200.0
777.0;16.4;10.8;39.2;1.1439;1102.0;1007.0;1534.0;880.0;-200.0;131.0;120.0;-200.0
855.0;30.6;6.0;28.0;1.1396;976.0;814.0;1448.0;1018.0;0.5;77.0;66.0;-200.0
831.0;23.8;7.4;31.6;1.0842;1065.0;872.0;1481.0;927.0;0.9;97.0;82.0;-200.0
869.0;33.1;5.5;26.3;1.1199;986.0;790.0;1422.0;853.0;1.2;70.0;57.0;-200.0
810.0;21.6;9.6;31.7;0.9959;1050.0;962.0;1496.0;879.0;2.0;120.0;107.0;-200.0
849.0;17.0;8.0;37.4;1.0757;1046.0;901.0;1464.0;722.0;1.6;94.0;69.0;-200.0
840.0;17.2;8.3;36.9;1.0576;1019.0;913.0;1428.0;759.0;1.5;94.0;78.0;-200.0
816.0;43.0;8.3;22.2;1.1363;949.0;910.0;1552.0;1015.0;1.2;77.0;71.0;-200.0
765.0;39.2;9.4;23.6;1.1306;977.0;956.0;1581.0;1114.0;1.6;93.0;93.0;-200.0
764.0;14.3;13.2;37.5;0.9099;1021.0;1092.0;1606.0;908.0;2.2;150.0;161.0;-200.0
769.0;16.7;11.9;36.5;1.0045;1003.0;1047.0;1578.0;782.0;2.1;120.0;120.0;-200.0
904.0;36.9;6.5;23.8;1.0748;886.0;834.0;1440.0;767.0;1.0;67.0;48.0;-200.0
779.0;36.3;10.2;24.3;1.0852;981.0;985.0;1572.0;1020.0;1.7;97.0;99.0;-200.0
779.0;35.7;10.8;24.5;1.0807;1010.0;1006.0;1589.0;1000.0;1.9;100.0;102.0;-200.0
773.0;17.7;12.6;37.1;1.094;1039.0;1069.0;1646.0;880.0;2.0;135.0;138.0;-200.0
822.0;29.6;8.0;31.1;1.318;1027.0;899.0;1563.0;810.0;1.6;116.0;132.0;-200.0
796.0;38.0;8.4;27.6;1.3818;1057.0;914.0;1665.0;954.0;1.6;116.0;157.0;-200.0
744.0;34.9;12.1;24.0;1.0271;1038.0;1053.0;1631.0;1095.0;2.1;116.0;122.0;-200.0
849.0;30.0;9.0;25.3;0.9508;951.0;939.0;1488.0;868.0;1.4;101.0;96.0;-200.0
787.0;27.3;11.2;26.3;0.9238;970.0;1023.0;1552.0;1074.0;1.9;123.0;134.0;-200.0
925.0;33.8;6.7;23.0;0.9406;868.0;846.0;1448.0;836.0;1.1;69.0;72.0;-200.0
840.0;33.8;8.8;23.6;0.9685;927.0;930.0;1522.0;1026.0;1.4;89.0;108.0;-200.0
876.0;21.3;8.8;28.3;0.8054;905.0;931.0;1460.0;776.0;1.7;90.0;124.0;-200.0
837.0;47.7;7.6;19.8;1.093;945.0;883.0;1563.0;1015.0;1.5;94.0;132.0;-200.0
890.0;36.8;7.5;22.5;0.988;904.0;877.0;1488.0;781.0;1.5;95.0;117.0;-200.0
868.0;36.9;7.4;24.2;1.0966;958.0;873.0;1550.0;750.0;1.6;80.0;122.0;-200.0
779.0;27.3;12.1;28.5;1.0479;1024.0;1052.0;1690.0;952.0;2.1;104.0;183.0;-200.0
891.0;33.0;7.4;25.7;1.0763;957.0;875.0;1525.0;871.0;1.6;102.0;172.0;-200.0
907.0;39.4;6.8;23.4;1.1172;942.0;849.0;1496.0;894.0;1.5;107.0;177.0;-200.0
802.0;65.5;6.3;19.3;1.45;948.0;826.0;1382.0;897.0;1.1;57.0;137.0;-200.0
781.0;44.2;10.4;23.1;1.2317;1075.0;993.0;1682.0;946.0;1.9;110.0;139.0;-200.0
846.0;43.2;8.0;23.4;1.229;1022.0;899.0;1588.0;820.0;1.4;97.0;100.0;-200.0
822.0;24.9;8.2;32.9;1.2269;937.0;908.0;1466.0;826.0;1.6;83.0;86.0;-200.0
845.0;51.9;6.7;21.6;1.3254;940.0;845.0;1539.0;704.0;1.0;70.0;57.0;-200.0
794.0;43.4;9.5;23.7;1.2495;1049.0;958.0;1648.0;861.0;1.5;104.0;98.0;-200.0
776.0;36.8;10.2;24.8;1.1357;1036.0;986.0;1614.0;868.0;1.7;112.0;113.0;-200.0
829.0;24.7;9.4;30.5;1.0592;1036.0;955.0;1527.0;840.0;1.8;130.0;166.0;-200.0
785.0;32.0;9.7;27.4;1.1545;1079.0;966.0;1640.0;927.0;1.8;115.0;154.0;-200.0
750.0;70.1;8.0;17.0;1.3512;1019.0;901.0;1438.0;960.0;1.3;64.0;231.0;-200.0
847.0;40.3;7.2;26.9;1.4041;1020.0;866.0;1636.0;744.0;1.0;83.0;92.0;-200.0
798.0;61.1;6.8;20.4;1.4495;936.0;849.0;1381.0;947.0;1.1;56.0;127.0;-200.0
823.0;41.6;6.2;27.9;1.5425;1023.0;822.0;1585.0;1050.0;1.0;74.0;65.0;-200.0
808.0;30.7;6.5;27.0;1.079;928.0;837.0;1410.0;871.0;1.4;80.0;62.0;-200.0
852.0;37.9;5.8;24.1;1.1204;904.0;801.0;1400.0;862.0;1.1;53.0;44.0;-200.0
844.0;43.1;5.7;22.2;1.1396;919.0;799.0;1409.0;881.0;1.2;50.0;29.0;-200.0
819.0;15.0;9.9;41.8;1.1989;1076.0;972.0;1525.0;923.0;1.3;109.0;111.0;-200.0
853.0;34.0;5.8;27.5;1.231;962.0;803.0;1507.0;1066.0;0.6;60.0;43.0;-200.0
725.0;45.5;10.0;20.6;1.0925;965.0;977.0;1515.0;1014.0;1.6;94.0;149.0;-200.0
799.0;13.0;10.8;41.3;1.0154;1098.0;1007.0;1546.0;937.0;1.8;116.0;120.0;-200.0
792.0;11.6;11.3;41.0;0.8872;1056.0;1024.0;1555.0;1068.0;1.8;121.0;159.0;-200.0
770.0;19.5;9.1;36.3;1.1539;1036.0;943.0;1509.0;770.0;1.6;118.0;109.0;-200.0
723.0;17.9;10.4;38.3;1.181;1076.0;994.0;1549.0;938.0;2.0;129.0;133.0;-200.0
704.0;48.0;6.9;28.1;1.7933;1070.0;852.0;1639.0;867.0;1.6;85.0;97.0;-200.0
789.0;13.9;12.7;40.2;1.02;1037.0;1075.0;1604.0;917.0;2.0;151.0;172.0;-200.0
677.0;49.6;7.8;26.9;1.7299;1093.0;893.0;1678.0;927.0;1.8;83.0;90.0;-200.0
756.0;50.6;6.3;24.9;1.5747;988.0;825.0;1559.0;848.0;1.3;71.0;71.0;-200.0
931.0;52.3;4.6;21.8;1.3539;913.0;743.0;1540.0;884.0;0.7;66.0;65.0;-200.0
776.0;39.7;9.6;26.2;1.3249;1062.0;962.0;1674.0;1030.0;1.9;104.0;108.0;-200.0
920.0;55.1;7.9;16.4;1.0198;1211.0;896.0;1624.0;1066.0;1.9;93.0;112.0;-200.0
776.0;32.8;10.7;28.8;1.2776;1058.0;1004.0;1684.0;947.0;1.8;98.0;92.0;-200.0
791.0;16.1;11.1;40.1;1.1699;1087.0;1018.0;1624.0;883.0;1.8;132.0;130.0;-200.0
778.0;18.0;12.2;36.2;1.0636;1076.0;1057.0;1633.0;1076.0;2.2;140.0;189.0;-200.0
790.0;38.7;9.0;24.7;1.1845;1025.0;939.0;1635.0;1103.0;1.5;93.0;107.0;-200.0
866.0;23.5;9.1;30.1;0.9869;985.0;944.0;1541.0;833.0;1.6;97.0;102.0;-200.0
1026.0;36.7;7.3;18.5;0.7764;1090.0;868.0;1509.0;766.0;1.6;87.0;124.0;-200.0
952.0;26.1;11.2;21.3;0.6539;1100.0;1021.0;1607.0;822.0;2.2;99.0;133.0;-200.0
965.0;26.8;10.7;21.3;0.6681;1094.0;1003.0;1574.0;813.0;2.1;99.0;130.0;-200.0
900.0;19.7;9.1;32.3;0.9345;971.0;942.0;1541.0;776.0;1.6;103.0;104.0;-200.0
707.0;36.0;8.7;33.9;1.8692;1111.0;927.0;1715.0;922.0;1.7;78.0;90.0;-200.0
736.0;34.1;7.9;33.9;1.7754;1058.0;894.0;1648.0;825.0;1.6;76.0;84.0;-200.0
859.0;49.3;6.0;25.4;1.5732;1009.0;810.0;1634.0;772.0;1.0;65.0;56.0;-200.0
835.0;54.3;6.1;23.7;1.5731;1022.0;817.0;1669.0;821.0;1.1;69.0;64.0;-200.0
816.0;51.0;7.2;22.6;1.3805;1007.0;864.0;1639.0;987.0;1.1;71.0;65.0;-200.0
822.0;33.4;9.0;27.4;1.2022;1045.0;940.0;1658.0;920.0;1.5;94.0;90.0;-200.0
872.0;21.3;8.8;33.9;1.1067;974.0;930.0;1536.0;712.0;1.3;97.0;104.0;-200.0
912.0;49.3;5.9;20.5;1.176;914.0;809.0;1530.0;807.0;0.7;69.0;69.0;-200.0
817.0;27.1;10.7;27.4;0.9736;1008.0;1004.0;1588.0;1125.0;1.9;124.0;133.0;-200.0
777.0;27.7;10.1;34.6;1.4991;1105.0;980.0;1745.0;980.0;1.8;112.0;164.0;-200.0
762.0;79.0;7.8;16.8;1.4978;989.0;891.0;1453.0;901.0;1.4;82.0;237.0;-200.0
888.0;50.6;5.6;24.8;1.5654;993.0;795.0;1629.0;770.0;0.8;63.0;60.0;-200.0
778.0;34.7;10.2;28.7;1.3457;1078.0;985.0;1697.0;925.0;1.9;111.0;106.0;-200.0
801.0;22.4;10.4;38.5;1.5018;1089.0;993.0;1675.0;825.0;1.9;143.0;131.0;-200.0
797.0;53.1;7.4;26.4;1.7987;1009.0;875.0;1738.0;1060.0;0.9;61.0;81.0;-200.0
892.0;59.1;4.6;24.6;1.8013;952.0;742.0;1656.0;953.0;0.7;57.0;49.0;-200.0
850.0;54.9;5.8;26.0;1.8141;961.0;801.0;1683.0;798.0;0.8;44.0;33.0;-200.0
844.0;52.4;6.1;26.8;1.8141;965.0;818.0;1681.0;777.0;0.9;47.0;35.0;-200.0
744.0;41.8;8.3;24.7;1.2839;977.0;913.0;1512.0;977.0;1.7;81.0;104.0;-200.0
793.0;19.3;11.1;40.1;1.4013;1079.0;1018.0;1739.0;850.0;1.6;97.0;93.0;-200.0
735.0;57.7;8.4;23.5;1.6515;1039.0;917.0;1467.0;934.0;1.4;77.0;169.0;-200.0
916.0;15.5;7.9;41.4;1.2089;1042.0;894.0;1537.0;800.0;1.6;109.0;95.0;-200.0
873.0;47.8;6.4;25.2;1.5076;948.0;829.0;1638.0;937.0;1.0;53.0;40.0;-200.0
827.0;40.6;9.5;27.7;1.4828;1085.0;959.0;1747.0;963.0;1.7;88.0;75.0;-200.0
917.0;30.4;6.7;32.3;1.445;1030.0;844.0;1599.0;747.0;1.5;78.0;90.0;-200.0
955.0;26.4;6.1;34.0;1.3781;1010.0;816.0;1567.0;741.0;1.3;73.0;80.0;-200.0
935.0;20.5;6.7;37.2;1.2813;1019.0;842.0;1565.0;729.0;1.2;73.0;70.0;-200.0
918.0;17.5;8.5;36.3;1.0411;985.0;919.0;1540.0;737.0;1.4;90.0;89.0;-200.0
826.0;22.6;9.8;34.7;1.2297;1014.0;970.0;1684.0;763.0;1.9;93.0;95.0;-200.0
808.0;25.6;10.0;34.0;1.3363;1070.0;976.0;1688.0;819.0;2.1;108.0;130.0;-200.0
818.0;57.0;8.9;20.1;1.3216;1028.0;934.0;1743.0;987.0;1.6;88.0;141.0;-200.0
750.0;48.1;10.9;23.0;1.3322;1035.0;1011.0;1752.0;1039.0;2.0;94.0;95.0;-200.0
874.0;32.4;7.2;31.1;1.4351;1029.0;866.0;1651.0;727.0;1.5;83.0;93.0;-200.0
