InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
17;-8;-159;13;-275.0;-149.0;5;44.0;-2;662
-44;1895;178;119;-934.0;-137.0;-393;511.0;441;514
-15;13;-153;17;-89.0;-28.0;21;31.0;7;662
-46;22;-160;23;-1229.0;-1261.0;-48;199.0;52;645
-7;17;-160;18;-43.0;14.0;-18;28.0;0;659
749;208;-159;-2;43.0;-4.0;-15;63.0;-37;714
-15;13;-158;19;-35.0;-8.0;-6;2.0;34;660
-8;8;-159;21;-93.0;61.0;-20;79.0;-3;658
-38;19;-159;21;-32.0;-99.0;6;231.0;27;660
5;-15;-159;18;-306.0;-807.0;-1038;73.0;108;660
-40;-1986;-159;88;-366.0;86.0;-44;321.0;17;526
-17;15;-156;21;43.0;62.0;51;-502.0;-25;672
-14;5;-162;18;-21.0;-119.0;-6;13.0;-2;659
-12;1;-175;19;-116.0;-90.0;-13;74.0;-6;667
-8;-19;-162;18;-66.0;-4.0;17;7.0;34;655
20;2;-159;18;-16.0;37.0;-4;54.0;-11;656
14;-1;-156;16;130.0;-59.0;-12;-233.0;-16;668
5;8;-174;15;-318.0;174.0;21;-66.0;7;677
-2355;3099;-156;-231;319.0;512.0;-2368;-917.0;-695;-87
2530;-1741;-179;184;-1115.0;-1323.0;-62;31.0;-120;696
-8;-24;-159;19;-853.0;-579.0;-36;-1132.0;-21;657
-11;11;-159;13;-106.0;142.0;-10;362.0;-40;657
68;180;12;0;149.0;428.0;-2238;-61.0;195;655
-29;-656;180;-45;14.0;-13.0;-16;61.0;-24;721
6;23;-163;16;-49.0;-253.0;192;91.0;1092;668
-14;20;-157;23;-66.0;18.0;1;27.0;16;647
-6;9;-157;20;-59.0;18.0;15;14.0;-11;651
2075;-4284;-173;-399;1662.0;1004.0;-46;-1502.0;-26;926
-46;16;-161;15;117.0;-30.0;-11;27.0;-15;682
31;2;-159;21;-98.0;-210.0;-1;-12.0;18;653
-9;0;-133;13;-56.0;8.0;20;12.0;9;752
6;-11;-159;14;361.0;330.0;-27;-43.0;-15;660
1795;-1925;-155;-9;447.0;139.0;-24;-904.0;7;716
-8;-19;-133;8;-96.0;-1512.0;-15;-7.0;10;758
12;-20;-164;16;-327.0;-30.0;738;-134.0;676;662
-269;2893;-173;-1028;804.0;677.0;-7544;-499.0;-876;1216
-37;-13;-157;18;-25.0;6.0;36;-27.0;-11;656
-20;-13;-159;16;-77.0;-44.0;-36;-10.0;-25;656
15;-31;-153;15;-49.0;643.0;864;229.0;-1744;688
29;-55;-157;32;430.0;-368.0;12;-143.0;15;684
6;-18;-159;20;-78.0;7.0;-24;23.0;11;656
2776;-5079;-166;-1307;731.0;760.0;-295;-1070.0;68;2519
-918;1670;-177;1100;-274.0;-658.0;-1834;54.0;-545;606
45;-21;-155;40;-258.0;47.0;-770;158.0;1213;673
-105;2774;-157;-16;-182.0;-301.0;-2032;398.0;-467;635
14;21;-162;17;43.0;38.0;9;-48.0;15;664
19;-2;-152;57;342.0;70.0;899;164.0;-47;652
-13;6;-157;20;2.0;0.0;15;12.0;4;651
-236;-166;-160;61;76.0;-54.0;-44;-179.0;-11;190
-1163;86;-164;416;9.0;149.0;6;-14.0;12;487
11;-13;-159;19;-117.0;51.0;10;-53.0;7;655
3253;-85;-158;50;-51.0;-81.0;26;100.0;-38;484
10;-22;-156;22;369.0;152.0;-42;117.0;31;648
-1;4;-133;12;-28.0;21.0;-26;19.0;3;755
-13;15;-159;21;-54.0;-16.0;-26;18.0;10;653
-437;1142;69;-489;-372.0;-574.0;-6565;-390.0;-1380;1464
-1;26;-149;16;174.0;-64.0;-91;-37.0;45;668
-30;-10;-165;23;-222.0;123.0;-44;155.0;-21;660
8;35;-157;16;-17.0;-315.0;11;-269.0;4;647
-1288;3609;-159;-1011;-345.0;-12.0;149;634.0;55;1929
-21;2792;-169;70;-746.0;-295.0;-2507;620.0;962;564
-16;-8;-133;11;619.0;91.0;2;-992.0;-14;754
-19;22;-155;20;549.0;-17.0;388;-235.0;-1372;678
-94;-52;-166;19;-1265.0;-964.0;-564;565.0;2538;661
-14;-11;-154;20;190.0;109.0;16;-43.0;-41;663
-25;3;-131;15;14.0;951.0;-7;-46.0;12;756
-17;25;-174;28;-813.0;63.0;15;134.0;-17;648
4;15;-157;23;-42.0;70.0;1;1.0;0;645
-7;2;-156;20;-43.0;-3.0;22;33.0;17;662
-1744;38;-170;7;1354.0;1191.0;-11;-438.0;-88;685
16;44;-141;141;-360.0;-176.0;12;145.0;-701;693
2;3;-162;16;-14.0;-25.0;-6;-7.0;-9;655
16;-8;-170;14;-113.0;282.0;-16;83.0;10;670
-159;213;-60;101;226.0;235.0;-5408;300.0;-268;875
-12;-23;-153;17;-14.0;9.0;-44;-7.0;-33;670
-13;26;-162;18;16.0;-292.0;-38;-27.0;18;661
-6;-3;-155;16;-859.0;68.0;-39;1302.0;-20;671
