Accelerometer RKN_ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Compass;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Body_Ax
-127.0;50;182.0;-177;50;306.0;-7;5;16;42.0;64.0;-9.0;305
36.0;351;308.0;-172;351;597.0;6;23;-5;143.0;206.0;25.0;-84
-82.0;-47;165.0;164;-47;370.0;-5;0;81;62.0;25.0;21.0;260
-363.0;-21;-11.0;-176;-21;296.0;19;-2;135;-355.0;18.0;-186.0;209
-831.0;155;300.0;-178;155;367.0;0;3;41;169.0;68.0;120.0;247
-110.0;25;169.0;-177;25;332.0;-8;-1;16;49.0;22.0;8.0;314
-125.0;-20;164.0;-178;-20;448.0;-16;12;168;-218.0;57.0;326.0;272
-129.0;-11;365.0;-178;-11;534.0;-8;3;113;-19.0;143.0;136.0;273
-179.0;90;295.0;-179;90;313.0;-7;-77;16;195.0;-33.0;156.0;339
-68.0;-22;173.0;174;-22;394.0;0;-6;104;-113.0;-421.0;-451.0;237
3.0;-13;217.0;-178;-13;448.0;-142;-3;-146;190.0;-299.0;-286.0;280
-98.0;3;436.0;-178;3;470.0;-165;2;-177;682.0;-433.0;-275.0;158
-131.0;-5;89.0;-178;-5;413.0;-7;3;27;371.0;-51.0;-166.0;304
-120.0;10;162.0;-176;10;361.0;-7;0;16;100.0;38.0;1.0;307
-155.0;72;-30.0;166;72;272.0;-44;-34;-36;326.0;-177.0;-89.0;274
17.0;-5;296.0;-176;-5;546.0;-142;0;-146;19.0;-115.0;-71.0;295
-67.0;513;301.0;-177;513;482.0;-13;-29;16;35.0;185.0;73.0;391
-109.0;9;211.0;-176;9;344.0;-7;4;16;66.0;26.0;25.0;303
25.0;11;187.0;-176;11;382.0;-6;-6;139;-1.0;-323.0;-341.0;295
-80.0;32;186.0;164;32;353.0;-5;-14;81;61.0;29.0;24.0;252
