Accelerometer LH accX;Accelerometer LUA_ accZ;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer RWR accZ;Accelerometer LUA_ accY
525.0;352.0;495.0;398.0;697;908.0;-239.0;196.0;503.0;934.0
550.0;397.0;389.0;384.0;782;756.0;-337.0;202.0;705.0;889.0
593.0;440.0;453.0;253.0;778;807.0;-433.0;215.0;678.0;944.0
565.0;413.0;446.0;276.0;777;822.0;-349.0;203.0;682.0;929.0
550.0;441.0;471.0;239.0;779;831.0;-452.0;204.0;696.0;947.0
514.0;392.0;459.0;234.0;779;818.0;-436.0;224.0;697.0;940.0
557.0;387.0;445.0;283.0;781;812.0;-384.0;243.0;683.0;962.0
653.0;322.0;414.0;9.0;841;766.0;-346.0;285.0;666.0;822.0
509.0;409.0;549.0;250.0;777;846.0;-429.0;223.0;685.0;962.0
161.0;289.0;543.0;521.0;796;638.0;-154.0;129.0;407.0;710.0
294.0;309.0;924.0;234.0;814;980.0;-259.0;191.0;759.0;992.0
307.0;345.0;686.0;246.0;805;902.0;-323.0;204.0;712.0;944.0
369.0;296.0;430.0;12.0;872;658.0;-442.0;244.0;372.0;706.0
138.0;529.0;832.0;108.0;812;857.0;-254.0;215.0;619.0;998.0
491.0;486.0;561.0;367.0;754;873.0;-323.0;189.0;628.0;809.0
351.0;379.0;429.0;200.0;777;896.0;-865.0;112.0;581.0;1059.0
596.0;361.0;382.0;289.0;809;955.0;-468.0;255.0;647.0;1012.0
146.0;218.0;671.0;349.0;780;910.0;-379.0;10.0;474.0;920.0
207.0;459.0;473.0;327.0;852;773.0;-384.0;235.0;515.0;845.0
496.0;454.0;301.0;236.0;812;722.0;-703.0;285.0;571.0;808.0
286.0;418.0;329.0;236.0;764;858.0;-420.0;263.0;721.0;931.0
262.0;403.0;312.0;241.0;745;871.0;-400.0;239.0;710.0;928.0
426.0;321.0;586.0;252.0;801;881.0;-323.0;158.0;755.0;1017.0
552.0;148.0;346.0;306.0;685;744.0;-323.0;157.0;607.0;848.0
414.0;424.0;371.0;347.0;808;874.0;-348.0;117.0;748.0;917.0
493.0;348.0;461.0;275.0;792;767.0;-384.0;246.0;732.0;935.0
427.0;442.0;418.0;378.0;800;874.0;-349.0;149.0;622.0;917.0
175.0;448.0;404.0;-3.0;822;1186.0;-288.0;297.0;650.0;1260.0
406.0;342.0;432.0;256.0;808;916.0;-287.0;213.0;702.0;983.0
392.0;263.0;246.0;213.0;803;926.0;-299.0;110.0;656.0;1155.0
332.0;330.0;482.0;259.0;811;889.0;-331.0;159.0;705.0;986.0
276.0;338.0;404.0;254.0;810;897.0;-329.0;206.0;667.0;958.0
576.0;388.0;468.0;276.0;791;833.0;-403.0;193.0;736.0;987.0
239.0;340.0;487.0;235.0;809;883.0;-317.0;196.0;650.0;952.0
271.0;333.0;463.0;258.0;814;882.0;-283.0;242.0;704.0;933.0
272.0;351.0;460.0;260.0;810;898.0;-283.0;223.0;625.0;947.0
137.0;311.0;490.0;175.0;807;880.0;-304.0;210.0;860.0;923.0
520.0;388.0;535.0;226.0;790;891.0;-379.0;267.0;609.0;1005.0
562.0;406.0;641.0;230.0;799;960.0;-379.0;234.0;444.0;909.0
489.0;388.0;560.0;228.0;800;879.0;-457.0;225.0;576.0;963.0
281.0;330.0;509.0;234.0;813;876.0;-291.0;238.0;637.0;955.0
213.0;288.0;332.0;163.0;811;898.0;-280.0;193.0;753.0;985.0
258.0;343.0;545.0;210.0;812;858.0;-297.0;212.0;752.0;909.0
315.0;348.0;565.0;277.0;809;889.0;-290.0;185.0;671.0;938.0
336.0;407.0;469.0;164.0;797;863.0;-415.0;363.0;617.0;917.0
282.0;428.0;505.0;44.0;819;867.0;-298.0;316.0;620.0;929.0
364.0;274.0;483.0;298.0;911;1201.0;-383.0;235.0;616.0;1225.0
455.0;396.0;566.0;98.0;799;875.0;-358.0;294.0;659.0;950.0
433.0;366.0;501.0;157.0;793;830.0;-411.0;312.0;608.0;935.0
412.0;367.0;491.0;152.0;799;839.0;-413.0;322.0;595.0;917.0
358.0;370.0;478.0;126.0;797;848.0;-405.0;301.0;570.0;948.0
292.0;349.0;503.0;159.0;800;869.0;-347.0;254.0;570.0;1000.0
320.0;284.0;624.0;-50.0;816;962.0;-460.0;118.0;509.0;979.0
305.0;410.0;490.0;219.0;801;849.0;-310.0;235.0;555.0;936.0
494.0;353.0;499.0;158.0;822;886.0;-201.0;235.0;478.0;1051.0
398.0;381.0;484.0;141.0;802;879.0;-355.0;249.0;558.0;949.0
407.0;395.0;484.0;145.0;804;870.0;-360.0;233.0;533.0;883.0
418.0;337.0;479.0;156.0;806;871.0;-355.0;252.0;547.0;779.0
322.0;249.0;449.0;164.0;813;968.0;-207.0;81.0;731.0;1011.0
40.0;173.0;499.0;160.0;809;935.0;-268.0;16.0;1002.0;956.0
505.0;368.0;478.0;179.0;786;759.0;-365.0;252.0;579.0;898.0
209.0;357.0;450.0;342.0;589;920.0;-318.0;156.0;605.0;947.0
252.0;337.0;783.0;318.0;905;1034.0;-474.0;136.0;701.0;1116.0
634.0;350.0;440.0;308.0;1235;762.0;0.0;270.0;593.0;906.0
441.0;340.0;248.0;347.0;601;892.0;-316.0;229.0;677.0;952.0
138.0;323.0;321.0;148.0;797;813.0;-357.0;106.0;432.0;1004.0
388.0;425.0;477.0;190.0;795;848.0;-345.0;249.0;586.0;962.0
382.0;413.0;483.0;173.0;801;848.0;-364.0;228.0;598.0;894.0
418.0;428.0;519.0;154.0;798;821.0;-372.0;275.0;602.0;908.0
400.0;379.0;441.0;229.0;807;878.0;-345.0;250.0;659.0;961.0
212.0;300.0;305.0;417.0;810;912.0;-261.0;34.0;713.0;946.0
285.0;319.0;459.0;172.0;793;905.0;-315.0;240.0;530.0;992.0
255.0;372.0;497.0;178.0;803;884.0;-290.0;238.0;562.0;962.0
370.0;386.0;467.0;221.0;811;858.0;-311.0;272.0;661.0;942.0
356.0;414.0;471.0;180.0;783;626.0;-315.0;222.0;571.0;1429.0
343.0;402.0;526.0;124.0;810;864.0;-334.0;247.0;656.0;960.0
321.0;388.0;485.0;147.0;811;876.0;-327.0;263.0;640.0;944.0
573.0;306.0;478.0;140.0;809;938.0;-241.0;188.0;505.0;1101.0
256.0;355.0;399.0;215.0;799;838.0;-283.0;168.0;526.0;931.0
336.0;417.0;428.0;275.0;793;846.0;-302.0;214.0;562.0;946.0
334.0;398.0;437.0;253.0;797;868.0;-291.0;212.0;561.0;931.0
397.0;446.0;497.0;200.0;799;849.0;-331.0;207.0;587.0;958.0
379.0;390.0;525.0;209.0;812;873.0;-338.0;215.0;619.0;936.0
399.0;397.0;522.0;209.0;810;882.0;-350.0;240.0;622.0;923.0
437.0;362.0;521.0;172.0;811;844.0;-396.0;319.0;547.0;952.0
100.0;370.0;473.0;150.0;787;848.0;-254.0;192.0;543.0;861.0
320.0;353.0;550.0;191.0;812;886.0;-341.0;252.0;618.0;960.0
275.0;407.0;537.0;164.0;807;888.0;-378.0;212.0;736.0;977.0
320.0;393.0;564.0;159.0;812;874.0;-360.0;249.0;592.0;953.0
244.0;600.0;818.0;88.0;816;734.0;-285.0;197.0;573.0;881.0
348.0;400.0;643.0;151.0;808;854.0;-327.0;253.0;544.0;950.0
570.0;413.0;951.0;105.0;771;857.0;-238.0;286.0;538.0;872.0
404.0;382.0;641.0;164.0;806;877.0;-316.0;263.0;518.0;941.0
-17.0;397.0;470.0;222.0;806;687.0;-224.0;193.0;622.0;777.0
307.0;478.0;487.0;231.0;804;821.0;-263.0;232.0;560.0;943.0
384.0;457.0;506.0;185.0;796;856.0;-300.0;216.0;535.0;973.0
451.0;463.0;495.0;171.0;799;865.0;-334.0;255.0;604.0;989.0
324.0;311.0;424.0;172.0;637;1000.0;-260.0;80.0;771.0;945.0
242.0;363.0;603.0;308.0;1323;741.0;-238.0;318.0;648.0;1057.0
226.0;326.0;542.0;156.0;798;911.0;-465.0;435.0;573.0;904.0
280.0;330.0;513.0;193.0;807;858.0;-343.0;337.0;539.0;952.0
245.0;318.0;428.0;301.0;828;931.0;-450.0;328.0;464.0;915.0
434.0;378.0;546.0;501.0;1463;780.0;-337.0;291.0;765.0;829.0
347.0;432.0;570.0;310.0;808;812.0;-316.0;224.0;737.0;881.0
337.0;428.0;530.0;203.0;775;847.0;-261.0;314.0;745.0;802.0
243.0;362.0;458.0;256.0;805;868.0;-265.0;196.0;541.0;937.0
417.0;261.0;421.0;277.0;942;987.0;-480.0;267.0;442.0;889.0
370.0;336.0;481.0;226.0;797;843.0;-312.0;222.0;506.0;888.0
377.0;314.0;484.0;229.0;799;827.0;-308.0;203.0;513.0;830.0
396.0;291.0;668.0;523.0;646;811.0;-509.0;33.0;744.0;886.0
237.0;272.0;546.0;316.0;778;856.0;-389.0;165.0;758.0;939.0
273.0;393.0;674.0;155.0;809;854.0;-331.0;265.0;387.0;933.0
247.0;492.0;626.0;207.0;805;865.0;-449.0;367.0;584.0;959.0
244.0;394.0;783.0;162.0;799;935.0;-406.0;278.0;598.0;989.0
282.0;298.0;547.0;9.0;970;947.0;-167.0;436.0;780.0;983.0
181.0;441.0;603.0;100.0;813;1060.0;-556.0;308.0;859.0;1066.0
415.0;365.0;427.0;358.0;797;858.0;-342.0;142.0;932.0;937.0
311.0;381.0;532.0;413.0;795;883.0;-365.0;131.0;992.0;937.0
251.0;284.0;497.0;480.0;720;1000.0;-223.0;-21.0;864.0;933.0
319.0;342.0;509.0;403.0;794;866.0;-334.0;112.0;816.0;931.0
226.0;293.0;446.0;450.0;748;901.0;-285.0;84.0;661.0;969.0
341.0;378.0;779.0;269.0;792;840.0;-341.0;219.0;869.0;952.0
