InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
-12;-4;-131;19;-71.0;-36.0;-22;43.0;28;750
-27;17;-158;18;-61.0;-28.0;48;55.0;7;664
-4;5;-158;20;-59.0;-17.0;4;32.0;4;661
5;-2;-163;16;17.0;37.0;22;43.0;16;660
-22;23;-162;15;-82.0;22.0;-8;-19.0;21;663
27;-1;-158;16;-46.0;0.0;-25;17.0;-22;665
-15;13;-158;19;-35.0;-8.0;-6;2.0;34;660
-4;9;-156;17;-64.0;14.0;-13;54.0;-6;667
11;-10;-156;20;-34.0;-39.0;26;67.0;5;664
-45;-21;-157;16;-215.0;-294.0;-99;-16.0;996;662
-26;-30;-158;17;-50.0;0.0;12;-15.0;14;664
19;16;-158;20;-37.0;-2.0;14;-18.0;-14;659
25;1;-158;19;-10.0;-2.0;22;-24.0;-10;665
13;3;-162;11;-81.0;-13.0;-4;51.0;-20;667
-8;-19;-162;18;-66.0;-4.0;17;7.0;34;655
12;8;-162;16;-3.0;-50.0;-15;39.0;-10;654
2;3;-162;16;-14.0;-25.0;-6;-7.0;-9;655
-17;6;-158;25;-86.0;33.0;-13;1.0;10;656
-6;28;-158;18;-48.0;-2.0;-21;-11.0;5;659
6;1;-162;20;-202.0;-8.0;-14;-23.0;-11;658
21;9;-158;27;-61.0;21.0;-7;-17.0;-4;651
-4;11;-133;14;-77.0;7.0;21;32.0;1;757
14;3;-157;19;-44.0;18.0;-27;0.0;-22;655
-15;-21;-157;20;-72.0;26.0;15;41.0;-10;650
-13;2;-133;7;-52.0;-18.0;12;31.0;-8;760
-14;20;-157;23;-66.0;18.0;1;27.0;16;647
-6;9;-157;20;-59.0;18.0;15;14.0;-11;651
9;-20;-157;19;-48.0;31.0;-18;-6.0;24;653
-13;6;-157;20;2.0;0.0;15;12.0;4;651
-3;6;-157;20;-17.0;41.0;-14;21.0;-20;650
-9;0;-133;13;-56.0;8.0;20;12.0;9;752
9;14;-157;16;-3.0;33.0;-23;23.0;15;651
12;-21;-157;13;-14.0;-43.0;0;15.0;10;654
-26;-13;-157;17;-34.0;52.0;-10;24.0;-12;652
-26;12;-157;18;-34.0;3.0;12;35.0;-32;646
9;25;-133;15;-39.0;22.0;-16;30.0;16;755
-18;-8;-157;19;-22.0;-2.0;24;0.0;-7;653
-5;2;-158;20;-42.0;7.0;-16;-13.0;-31;661
-31;24;-158;19;-42.0;-39.0;-7;-8.0;-14;660
10;5;-157;15;-1.0;-23.0;15;22.0;-16;655
-1;-5;-158;21;-68.0;-11.0;-11;12.0;17;659
-8;-14;-133;16;-61.0;21.0;20;14.0;12;751
-18;3;-133;9;-47.0;-18.0;-19;18.0;11;756
-19;-15;-155;20;-20.0;20.0;-20;-2.0;54;667
-5;-5;-133;12;-15.0;-5.0;19;18.0;10;754
1;18;-158;20;-12.0;-1.0;19;-9.0;22;661
