InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
-27;17;-158;18;-61.0;-28.0;48;55.0;7;664
12;20;-162;17;-47.0;67.0;-637;51.0;-183;671
-22;-18;-134;12;-133.0;-11.0;0;55.0;7;749
-19;-15;-134;10;-144.0;-1.0;17;36.0;2;750
6;-8;-134;15;-267.0;36.0;-56;-99.0;-26;747
-22;-35;-156;17;-26.0;162.0;-11;72.0;74;711
-20;-22;-134;15;-36.0;6.0;3;-39.0;-6;752
-20;1;-134;15;-44.0;2.0;-56;-23.0;-26;750
-3;-28;-133;14;11.0;14.0;9;31.0;-35;754
-2;-34;-156;16;37.0;-118.0;45;25.0;-25;712
24;-50;-133;14;-19.0;13.0;-12;29.0;-16;756
18;0;-159;21;-74.0;-142.0;4;59.0;22;638
10;0;-160;18;-56.0;-203.0;6;-121.0;-1;643
3;-37;-133;5;-39.0;-11.0;12;28.0;-19;760
-23;3;-133;13;-76.0;20.0;7;17.0;-15;754
10;-31;-133;16;-118.0;6.0;-10;0.0;-27;753
-38;6;-133;13;-15.0;7.0;5;26.0;-7;754
-5;14;-133;15;35.0;39.0;6;22.0;-11;754
-31;-9;-164;22;-45.0;-247.0;-4;125.0;-35;663
6;11;-133;14;78.0;8.0;-5;4.0;-1;754
-12;2;-133;13;10.0;-1.0;-16;-24.0;24;758
-4;11;-133;14;-77.0;7.0;21;32.0;1;757
-1;13;-133;14;-54.0;5.0;11;1.0;-43;757
-2;14;-133;14;-17.0;13.0;1;0.0;9;757
-13;2;-133;7;-52.0;-18.0;12;31.0;-8;760
-23;24;-133;11;-92.0;1.0;-7;16.0;-18;758
-12;41;-133;12;-32.0;32.0;0;24.0;21;756
0;31;-133;11;-42.0;40.0;10;26.0;11;755
-25;-8;-133;11;-24.0;46.0;-19;23.0;-48;755
-41;-11;-133;13;-22.0;1.0;-3;1.0;9;754
-9;0;-133;13;-56.0;8.0;20;12.0;9;752
24;16;-133;12;-34.0;40.0;-30;16.0;-18;751
17;12;-133;12;-32.0;44.0;-3;0.0;4;752
18;12;-133;12;-41.0;37.0;-4;-12.0;3;752
-18;5;-133;13;-21.0;31.0;-9;-20.0;-27;755
9;25;-133;15;-39.0;22.0;-16;30.0;16;755
3;6;-133;12;27.0;34.0;-13;31.0;-30;756
-30;0;-133;17;-49.0;8.0;-72;0.0;0;753
-4;-12;-133;17;-25.0;29.0;-39;12.0;7;753
18;4;-133;10;-32.0;22.0;19;6.0;-26;757
-22;13;-133;15;-27.0;27.0;3;21.0;0;756
