Accelerometer LH accX;Accelerometer LUA_ accZ;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer RWR accZ;Accelerometer LUA_ accY
408.0;319.0;510.0;291.0;732;924.0;-366.0;185.0;566.0;922.0
526.0;427.0;442.0;276.0;784;783.0;-380.0;237.0;705.0;905.0
578.0;426.0;453.0;246.0;789;830.0;-433.0;205.0;699.0;924.0
565.0;413.0;446.0;276.0;777;822.0;-349.0;203.0;682.0;929.0
550.0;441.0;471.0;239.0;779;831.0;-452.0;204.0;696.0;947.0
514.0;392.0;459.0;234.0;779;818.0;-436.0;224.0;697.0;940.0
557.0;387.0;445.0;283.0;781;812.0;-384.0;243.0;683.0;962.0
569.0;423.0;464.0;179.0;787;807.0;-398.0;235.0;680.0;926.0
509.0;409.0;549.0;250.0;777;846.0;-429.0;223.0;685.0;962.0
254.0;434.0;578.0;350.0;773;780.0;-227.0;188.0;513.0;884.0
291.0;356.0;695.0;259.0;809;925.0;-311.0;222.0;713.0;947.0
307.0;345.0;686.0;246.0;805;902.0;-323.0;204.0;712.0;944.0
433.0;346.0;494.0;113.0;796;789.0;-432.0;290.0;562.0;874.0
283.0;357.0;701.0;248.0;805;868.0;-314.0;212.0;591.0;949.0
491.0;486.0;561.0;367.0;754;873.0;-323.0;189.0;628.0;809.0
569.0;422.0;449.0;253.0;773;824.0;-461.0;244.0;669.0;940.0
596.0;361.0;382.0;289.0;809;955.0;-468.0;255.0;647.0;1012.0
306.0;113.0;661.0;234.0;1262;864.0;-278.0;-70.0;539.0;949.0
207.0;459.0;473.0;327.0;852;773.0;-384.0;235.0;515.0;845.0
302.0;380.0;337.0;235.0;799;848.0;-440.0;265.0;656.0;933.0
286.0;418.0;329.0;236.0;764;858.0;-420.0;263.0;721.0;931.0
262.0;403.0;312.0;241.0;745;871.0;-400.0;239.0;710.0;928.0
426.0;321.0;586.0;252.0;801;881.0;-323.0;158.0;755.0;1017.0
507.0;347.0;449.0;274.0;781;784.0;-368.0;243.0;676.0;888.0
414.0;424.0;371.0;347.0;808;874.0;-348.0;117.0;748.0;917.0
493.0;348.0;461.0;275.0;792;767.0;-384.0;246.0;732.0;935.0
427.0;442.0;418.0;378.0;800;874.0;-349.0;149.0;622.0;917.0
240.0;407.0;467.0;225.0;824;978.0;-325.0;173.0;591.0;980.0
406.0;342.0;432.0;256.0;808;916.0;-287.0;213.0;702.0;983.0
375.0;342.0;408.0;228.0;810;904.0;-312.0;178.0;692.0;1028.0
332.0;330.0;482.0;259.0;811;889.0;-331.0;159.0;705.0;986.0
276.0;338.0;404.0;254.0;810;897.0;-329.0;206.0;667.0;958.0
622.0;328.0;455.0;258.0;784;849.0;-398.0;138.0;663.0;994.0
239.0;340.0;487.0;235.0;809;883.0;-317.0;196.0;650.0;952.0
271.0;333.0;463.0;258.0;814;882.0;-283.0;242.0;704.0;933.0
272.0;351.0;460.0;260.0;810;898.0;-283.0;223.0;625.0;947.0
281.0;351.0;476.0;251.0;811;904.0;-278.0;204.0;780.0;956.0
520.0;388.0;535.0;226.0;790;891.0;-379.0;267.0;609.0;1005.0
508.0;378.0;553.0;230.0;799;871.0;-399.0;271.0;582.0;980.0
489.0;388.0;560.0;228.0;800;879.0;-457.0;225.0;576.0;963.0
