Accelerometer RUA^ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
1121.0;-588.0;426.0;80.0;-868.0;906.0;19.0
834.0;-675.0;762.0;508.0;-1058.0;419.0;154.0
1163.0;-815.0;329.0;202.0;-876.0;851.0;86.0
1067.0;-795.0;246.0;391.0;-933.0;926.0;166.0
1050.0;-694.0;199.0;182.0;-858.0;1135.0;272.0
1061.0;-725.0;184.0;234.0;-851.0;943.0;217.0
1057.0;-698.0;368.0;341.0;-874.0;867.0;291.0
1052.0;-772.0;374.0;274.0;-885.0;910.0;271.0
980.0;-797.0;207.0;337.0;-877.0;884.0;97.0
1030.0;-739.0;258.0;298.0;-911.0;887.0;174.0
1115.0;-701.0;280.0;337.0;-864.0;881.0;249.0
1076.0;-786.0;411.0;172.0;-1009.0;971.0;62.0
1036.0;-750.0;406.0;322.0;-977.0;911.0;138.0
1070.0;-798.0;363.0;278.0;-974.0;957.0;160.0
1070.0;-800.0;328.0;276.0;-976.0;972.0;151.0
1079.0;-806.0;328.0;270.0;-981.0;970.0;157.0
1066.0;-806.0;348.0;281.0;-984.0;971.0;160.0
1116.0;-788.0;303.0;293.0;-969.0;965.0;60.0
1071.0;-778.0;367.0;284.0;-975.0;954.0;202.0
1044.0;-779.0;396.0;288.0;-974.0;943.0;219.0
1055.0;-795.0;386.0;283.0;-998.0;959.0;185.0
1080.0;-778.0;383.0;306.0;-975.0;949.0;205.0
1046.0;-764.0;388.0;370.0;-952.0;905.0;247.0
1037.0;-806.0;357.0;284.0;-974.0;939.0;180.0
1062.0;-752.0;407.0;287.0;-992.0;895.0;304.0
1056.0;-792.0;281.0;251.0;-919.0;931.0;249.0
1036.0;-196.0;830.0;311.0;-974.0;556.0;170.0
942.0;-701.0;324.0;207.0;-904.0;920.0;218.0
1218.0;-618.0;569.0;532.0;-966.0;870.0;135.0
1029.0;-582.0;612.0;432.0;-938.0;820.0;331.0
1118.0;-602.0;298.0;213.0;-905.0;1024.0;298.0
1073.0;-732.0;300.0;265.0;-903.0;858.0;111.0
1100.0;-764.0;364.0;328.0;-938.0;919.0;336.0
1020.0;-735.0;323.0;56.0;-952.0;842.0;297.0
1079.0;-367.0;670.0;269.0;-844.0;767.0;346.0
1063.0;-578.0;603.0;10.0;-916.0;790.0;165.0
1085.0;-605.0;433.0;284.0;-892.0;856.0;154.0
941.0;-778.0;438.0;357.0;-979.0;930.0;235.0
1004.0;-794.0;361.0;263.0;-982.0;934.0;192.0
1074.0;-908.0;397.0;216.0;-1003.0;971.0;62.0
1080.0;-811.0;319.0;277.0;-978.0;972.0;195.0
1090.0;-811.0;321.0;256.0;-972.0;968.0;188.0
1070.0;-801.0;330.0;247.0;-980.0;954.0;207.0
1059.0;-802.0;355.0;227.0;-971.0;958.0;185.0
1092.0;-794.0;311.0;221.0;-969.0;960.0;157.0
1108.0;-793.0;337.0;103.0;-995.0;1029.0;168.0
1090.0;-783.0;322.0;237.0;-954.0;970.0;168.0
1077.0;-777.0;303.0;230.0;-946.0;952.0;149.0
1073.0;-785.0;298.0;235.0;-962.0;952.0;167.0
1057.0;-739.0;281.0;370.0;-897.0;906.0;292.0
1091.0;-753.0;308.0;205.0;-902.0;918.0;149.0
1057.0;-807.0;374.0;232.0;-975.0;955.0;196.0
1059.0;-806.0;328.0;268.0;-991.0;946.0;229.0
1070.0;-804.0;367.0;225.0;-983.0;964.0;221.0
1053.0;-797.0;316.0;278.0;-948.0;953.0;214.0
1029.0;-796.0;339.0;288.0;-945.0;943.0;213.0
1068.0;-813.0;328.0;238.0;-933.0;967.0;169.0
1084.0;-885.0;486.0;178.0;-1057.0;926.0;204.0
1083.0;-784.0;340.0;219.0;-964.0;969.0;194.0
1096.0;-774.0;339.0;252.0;-958.0;962.0;181.0
1080.0;-795.0;385.0;267.0;-976.0;960.0;222.0
1054.0;-785.0;320.0;290.0;-928.0;908.0;184.0
1072.0;-803.0;310.0;296.0;-955.0;954.0;228.0
1067.0;-795.0;381.0;257.0;-975.0;970.0;212.0
1062.0;-787.0;368.0;280.0;-970.0;954.0;220.0
1150.0;-779.0;382.0;101.0;-979.0;1016.0;146.0
1081.0;-791.0;378.0;273.0;-968.0;943.0;228.0
1012.0;-747.0;335.0;330.0;-930.0;911.0;241.0
1080.0;-795.0;368.0;264.0;-976.0;952.0;231.0
1091.0;-792.0;361.0;256.0;-980.0;950.0;212.0
1067.0;-798.0;388.0;256.0;-978.0;933.0;211.0
1057.0;-780.0;375.0;266.0;-976.0;944.0;229.0
1073.0;-780.0;382.0;256.0;-984.0;941.0;214.0
1068.0;-776.0;385.0;283.0;-968.0;949.0;221.0
1061.0;-787.0;379.0;277.0;-969.0;945.0;221.0
1081.0;-821.0;289.0;217.0;-950.0;955.0;147.0
1069.0;-769.0;419.0;266.0;-956.0;922.0;237.0
1070.0;-739.0;349.0;237.0;-943.0;870.0;179.0
942.0;-741.0;304.0;317.0;-830.0;836.0;231.0
920.0;-743.0;220.0;237.0;-806.0;805.0;136.0
1038.0;-800.0;278.0;268.0;-937.0;948.0;204.0
1052.0;-806.0;269.0;237.0;-940.0;939.0;181.0
1071.0;-814.0;274.0;289.0;-952.0;955.0;209.0
1068.0;-785.0;336.0;258.0;-957.0;972.0;180.0
1080.0;-788.0;320.0;277.0;-966.0;966.0;172.0
1070.0;-791.0;345.0;256.0;-968.0;964.0;180.0
1067.0;-815.0;291.0;270.0;-955.0;961.0;230.0
1057.0;-809.0;297.0;291.0;-953.0;957.0;239.0
1071.0;-823.0;282.0;272.0;-959.0;961.0;217.0
1082.0;-792.0;341.0;247.0;-968.0;971.0;178.0
1090.0;-791.0;346.0;261.0;-962.0;983.0;176.0
1099.0;-766.0;336.0;248.0;-947.0;1055.0;168.0
1078.0;-819.0;291.0;268.0;-957.0;961.0;214.0
1068.0;-815.0;270.0;250.0;-951.0;959.0;191.0
1058.0;-803.0;257.0;254.0;-942.0;953.0;201.0
1273.0;-756.0;229.0;269.0;-877.0;1013.0;185.0
1068.0;-804.0;173.0;277.0;-922.0;960.0;154.0
1054.0;-818.0;249.0;203.0;-938.0;978.0;136.0
1041.0;-816.0;272.0;277.0;-961.0;949.0;207.0
1088.0;-821.0;272.0;266.0;-944.0;949.0;184.0
1448.0;-790.0;297.0;115.0;-935.0;1041.0;194.0
1017.0;-910.0;262.0;154.0;-960.0;905.0;133.0
1099.0;-707.0;479.0;149.0;-981.0;892.0;40.0
1089.0;-809.0;286.0;219.0;-934.0;973.0;121.0
1053.0;-783.0;293.0;246.0;-923.0;944.0;211.0
