Accelerometer RKN_ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Compass;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Body_Ax
?;-44;48.0;-178;?;335.0;?;3;27;60.0;-255.0;-63.0;310
-108.0;5;51.0;-178;5;268.0;-7;1;27;?;-99.0;-85.0;306
-103.0;15;92.0;-179;15;261.0;-7;-6;?;455.0;3.0;-126.0;307
-115.0;?;65.0;-178;-21;361.0;-7;-6;27;185.0;-19.0;-80.0;309
-168.0;-17;118.0;-178;?;350.0;-7;4;27;114.0;-146.0;-67.0;317
-154.0;?;126.0;?;2;342.0;-7;1;?;?;?;-266.0;?
?;-12;116.0;-178;-12;271.0;-7;-2;27;442.0;-18.0;-429.0;308
-140.0;0;60.0;-178;0;193.0;-7;4;?;354.0;-37.0;-533.0;312
-110.0;25;-14.0;-179;25;290.0;-7;2;27;770.0;-99.0;-528.0;305
-87.0;-7;237.0;-178;-7;431.0;-7;3;27;-819.0;458.0;764.0;308
-78.0;-19;235.0;-178;-19;299.0;-7;9;27;-1166.0;492.0;711.0;316
-94.0;-29;234.0;-178;-29;486.0;-7;1;27;-1225.0;519.0;628.0;?
-95.0;-22;227.0;-178;-22;399.0;-7;-4;?;-1215.0;568.0;468.0;311
?;4;223.0;-178;4;322.0;-7;-3;27;-1079.0;739.0;283.0;313
-134.0;25;133.0;-179;25;379.0;?;-6;27;-831.0;879.0;277.0;310
-151.0;-10;141.0;-178;-10;471.0;-7;-4;27;-619.0;949.0;183.0;308
-141.0;-10;77.0;-178;-10;619.0;-7;?;?;-316.0;951.0;116.0;313
-126.0;22;192.0;?;22;708.0;-7;4;27;-70.0;860.0;80.0;314
-144.0;-2;160.0;-178;-2;792.0;-7;-2;27;?;630.0;23.0;311
?;-41;128.0;-178;-41;?;-7;-1;27;-9.0;329.0;-48.0;310
-99.0;-45;136.0;-179;?;732.0;-7;-6;27;-91.0;219.0;-120.0;313
-102.0;-22;121.0;-178;-22;?;-7;?;27;?;214.0;-115.0;?
-95.0;8;82.0;-178;8;518.0;-7;3;27;-186.0;113.0;-148.0;310
-100.0;19;31.0;-178;19;?;-7;-3;27;?;41.0;-191.0;308
-130.0;26;111.0;-178;26;419.0;-7;-6;27;287.0;8.0;-188.0;308
-131.0;-5;89.0;-178;-5;413.0;-7;3;27;371.0;-51.0;-166.0;304
-149.0;-25;105.0;-179;-25;380.0;-7;-3;27;524.0;-197.0;-139.0;307
-137.0;21;?;-178;21;417.0;-7;-1;27;1479.0;-153.0;?;?
-114.0;-4;-21.0;-178;-4;333.0;-7;1;27;1050.0;-161.0;-35.0;307
-106.0;-33;40.0;-178;-33;?;-7;-2;27;?;-189.0;61.0;307
-87.0;-5;38.0;?;?;359.0;-7;9;27;47.0;?;124.0;310
-120.0;6;16.0;-178;6;312.0;-7;12;27;145.0;-335.0;?;310
-120.0;4;48.0;-179;4;287.0;-7;2;27;-224.0;-8.0;?;?
-127.0;-15;77.0;-178;-15;309.0;-7;-2;27;18.0;48.0;17.0;313
-94.0;8;71.0;-178;8;312.0;-7;-4;27;320.0;97.0;-112.0;309
-118.0;27;-44.0;-178;27;273.0;-7;-1;27;391.0;246.0;-228.0;?
-145.0;-4;-68.0;-178;?;276.0;-7;0;27;219.0;258.0;-339.0;316
-147.0;23;6.0;-178;23;355.0;-7;-3;27;398.0;225.0;-422.0;314
-139.0;57;28.0;-178;57;?;-7;1;27;730.0;149.0;?;?
-119.0;1;28.0;-178;1;471.0;-7;-1;27;649.0;67.0;-295.0;307
-124.0;-28;?;-178;-28;554.0;-7;2;27;770.0;-78.0;-268.0;304
-137.0;-32;?;-178;-32;62.0;-7;-5;27;?;385.0;608.0;312
-120.0;21;244.0;-178;21;329.0;-7;-6;27;-775.0;371.0;641.0;311
-133.0;-23;?;-178;-23;346.0;-7;-6;27;-1091.0;431.0;637.0;308
-154.0;-67;187.0;-179;-67;431.0;-7;-8;27;-1087.0;515.0;576.0;307
?;-31;222.0;-178;-31;371.0;?;3;?;-989.0;572.0;480.0;313
-107.0;-18;166.0;-178;-18;352.0;?;1;27;-853.0;678.0;448.0;314
-104.0;33;144.0;-178;33;413.0;-7;-6;?;-768.0;724.0;364.0;310
-112.0;45;215.0;-178;45;?;-7;?;27;-704.0;784.0;?;312
-95.0;-23;261.0;-178;-23;586.0;-7;0;27;?;851.0;139.0;309
-122.0;-6;?;-179;-6;655.0;-7;0;27;-451.0;791.0;46.0;303
-125.0;12;?;-178;?;779.0;-7;4;?;-410.0;?;-34.0;308
-148.0;-9;114.0;-178;-9;772.0;-7;-6;?;-226.0;537.0;-146.0;314
-122.0;?;147.0;-178;34;?;-7;-7;27;-74.0;416.0;-221.0;312
-119.0;14;102.0;-178;14;679.0;-7;?;27;46.0;311.0;-209.0;306
-116.0;-36;101.0;-178;?;626.0;-7;-3;27;225.0;155.0;-247.0;303
-125.0;3;63.0;-178;3;586.0;-7;-5;27;328.0;2.0;-182.0;310
-126.0;16;9.0;-178;16;504.0;-7;-2;?;385.0;-117.0;-171.0;313
-135.0;25;47.0;-178;25;452.0;-7;?;?;308.0;-237.0;-149.0;309
-128.0;34;-67.0;-178;34;402.0;-7;1;27;1369.0;-347.0;-110.0;309
?;8;11.0;-178;8;404.0;-7;?;27;1458.0;-287.0;-43.0;311
-109.0;?;37.0;?;6;350.0;-7;-3;27;303.0;?;?;312
-119.0;15;113.0;-178;15;334.0;-7;1;?;289.0;-458.0;100.0;305
-129.0;12;28.0;-178;12;352.0;-7;5;27;2.0;-408.0;138.0;299
-147.0;?;51.0;-178;-19;?;-7;?;27;144.0;-52.0;51.0;307
-141.0;?;45.0;-178;-19;293.0;-7;2;27;108.0;-63.0;-87.0;310
-121.0;-4;62.0;-178;-4;377.0;-7;-4;27;79.0;21.0;-168.0;306
-105.0;8;38.0;-178;8;?;-7;-5;27;140.0;68.0;-237.0;311
-118.0;43;48.0;-178;43;?;-7;0;27;344.0;124.0;-359.0;309
-129.0;34;?;-178;34;352.0;-7;-3;27;520.0;212.0;-459.0;?
-123.0;15;59.0;-178;15;386.0;-7;-3;27;852.0;81.0;-512.0;310
-110.0;11;92.0;-178;11;489.0;-7;0;27;1100.0;-54.0;-494.0;308
-152.0;43;144.0;-178;43;237.0;-7;2;27;-610.0;476.0;8.0;308
-105.0;33;208.0;-178;33;364.0;-7;-3;27;-394.0;432.0;?;322
-90.0;19;?;-178;19;507.0;-7;-3;27;-483.0;389.0;-152.0;310
-96.0;45;138.0;?;45;?;-7;6;27;-411.0;354.0;44.0;306
-125.0;-5;144.0;-178;?;527.0;?;1;27;112.0;311.0;-175.0;309
-125.0;-13;139.0;-178;-13;567.0;?;-4;27;102.0;218.0;-203.0;308
?;-6;167.0;-178;-6;553.0;-7;-1;?;398.0;48.0;-282.0;308
-121.0;21;136.0;-178;21;552.0;-7;-1;27;631.0;-14.0;-326.0;309
-118.0;27;73.0;?;27;532.0;-7;?;27;?;-128.0;8.0;308
-116.0;?;89.0;-179;-34;470.0;?;3;27;636.0;?;110.0;308
-125.0;-44;142.0;?;?;?;-7;0;27;780.0;-605.0;316.0;319
-121.0;-117;78.0;-181;-117;293.0;-7;1;27;852.0;-770.0;212.0;319
-118.0;-47;?;-175;?;194.0;-7;?;27;669.0;-563.0;?;320
-118.0;68;?;-183;68;357.0;-8;-13;27;510.0;-500.0;-9.0;322
-118.0;-27;81.0;-176;-27;361.0;-8;3;27;203.0;-507.0;-41.0;326
-127.0;-40;93.0;-176;-40;?;-8;-11;27;-141.0;-394.0;-45.0;343
-173.0;-26;163.0;-190;-26;249.0;-8;-16;27;?;-233.0;-76.0;349
-149.0;-41;141.0;-156;-41;?;?;49;27;-150.0;-26.0;-53.0;349
-116.0;43;111.0;-218;43;705.0;-8;-54;27;-75.0;11.0;2.0;328
-107.0;?;81.0;-104;53;786.0;-8;123;27;51.0;-30.0;84.0;315
-110.0;-19;63.0;192;?;640.0;-8;?;27;154.0;-43.0;117.0;?
-90.0;-9;61.0;188;-9;448.0;-8;-38;26;212.0;-14.0;107.0;328
-111.0;6;82.0;?;?;375.0;-8;-216;24;223.0;20.0;97.0;328
-138.0;?;64.0;204;14;275.0;-8;-120;23;198.0;20.0;44.0;336
-142.0;28;33.0;148;28;245.0;?;-31;23;164.0;16.0;-28.0;322
-133.0;9;0.0;208;9;?;-8;138;22;148.0;11.0;-80.0;318
-138.0;-6;-17.0;162;-6;242.0;-8;84;22;71.0;?;-73.0;327
-135.0;-40;-26.0;-144;-40;282.0;-8;43;22;88.0;?;-68.0;323
-130.0;-75;-30.0;-209;?;365.0;-8;80;21;101.0;-16.0;-68.0;326
-146.0;-66;-28.0;-157;-66;412.0;-8;-141;20;155.0;-23.0;-66.0;333
-128.0;-57;-38.0;-192;-57;?;-8;-192;19;?;-48.0;-46.0;322
-127.0;?;-20.0;-173;-70;399.0;-8;-33;19;95.0;-64.0;-42.0;338
?;-56;20.0;-180;-56;354.0;?;-45;18;?;-63.0;-50.0;362
?;?;61.0;-181;-29;309.0;-8;9;18;?;-56.0;-46.0;345
-129.0;-31;88.0;-177;-31;?;-8;40;18;56.0;-40.0;-50.0;342
-148.0;-34;95.0;?;-34;301.0;-8;-39;?;38.0;-36.0;-26.0;342
-138.0;4;48.0;?;4;?;-8;-68;17;1.0;-37.0;23.0;333
-130.0;40;11.0;-180;40;?;-8;-72;17;-10.0;?;67.0;346
?;46;55.0;-180;46;313.0;-8;-121;17;1.0;-19.0;58.0;?
-124.0;30;68.0;-179;30;323.0;-8;-140;16;44.0;0.0;59.0;324
-110.0;21;63.0;-179;21;?;-8;18;17;62.0;16.0;70.0;322
-121.0;?;47.0;-179;71;334.0;-8;119;17;?;15.0;76.0;336
?;76;27.0;-179;76;?;-8;81;17;36.0;5.0;50.0;329
-136.0;30;44.0;?;30;340.0;-8;?;17;30.0;6.0;22.0;323
-121.0;25;42.0;-179;25;329.0;?;-4;17;?;16.0;5.0;332
-126.0;24;29.0;-179;?;340.0;-8;-38;16;68.0;?;-5.0;323
-110.0;47;20.0;-179;47;331.0;-7;?;16;93.0;7.0;?;?
-126.0;55;19.0;-179;55;332.0;-7;-53;16;108.0;-14.0;-56.0;314
?;44;49.0;-179;44;338.0;-7;32;?;-1.0;-26.0;-9.0;303
-46.0;44;69.0;-179;44;345.0;-7;?;15;133.0;-21.0;14.0;313
-89.0;26;89.0;-179;26;381.0;-7;-123;15;159.0;-29.0;64.0;323
-110.0;4;?;-179;?;353.0;-7;-137;14;113.0;-34.0;-90.0;306
-171.0;-21;100.0;-179;-21;323.0;-7;-447;15;?;-52.0;-213.0;352
?;33;56.0;-178;33;?;-7;127;15;172.0;-80.0;94.0;305
-256.0;40;224.0;-177;40;?;-7;599;15;51.0;?;310.0;193
-484.0;-41;454.0;-178;-41;314.0;-7;58;15;234.0;-51.0;?;289
-372.0;-1;338.0;-178;-1;269.0;-7;43;15;382.0;-44.0;75.0;375
-203.0;78;143.0;-178;78;249.0;-7;71;15;191.0;-81.0;-42.0;294
-217.0;82;122.0;-178;82;326.0;-7;-2;15;-97.0;-129.0;-29.0;291
-179.0;41;80.0;-178;41;295.0;-7;29;15;-293.0;-170.0;-32.0;310
-140.0;9;69.0;-178;9;277.0;-7;-56;?;-275.0;-30.0;6.0;?
-220.0;4;?;-178;4;292.0;-7;-27;?;-216.0;171.0;3.0;323
-270.0;-4;48.0;-178;?;512.0;-7;-35;15;-54.0;184.0;28.0;312
-291.0;-5;67.0;-178;-5;670.0;-7;?;15;-9.0;88.0;29.0;296
-152.0;?;58.0;-178;-12;529.0;-7;-23;15;18.0;40.0;14.0;309
