InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
611.0;-554.0;722.0;232.0;-354.0;651.0;519.0;-834.0;63.0;-43.0;-23.0;-129.0
626.0;-514.0;654.0;381.0;-435.0;620.0;485.0;-770.0;105.0;75.0;50.0;-54.0
441.0;-635.0;781.0;-79.0;-227.0;821.0;522.0;-842.0;36.0;-320.0;-60.0;-496.0
604.0;-542.0;689.0;306.0;-399.0;626.0;507.0;-815.0;39.0;37.0;103.0;-103.0
473.0;-580.0;752.0;307.0;-300.0;651.0;559.0;-875.0;-16.0;-301.0;126.0;-259.0
593.0;-564.0;702.0;331.0;-391.0;667.0;496.0;-825.0;100.0;19.0;24.0;-50.0
582.0;-548.0;742.0;210.0;-315.0;653.0;542.0;-847.0;16.0;-64.0;93.0;-166.0
554.0;-609.0;641.0;317.0;-412.0;686.0;491.0;-811.0;84.0;-24.0;26.0;-93.0
528.0;-555.0;767.0;50.0;-244.0;633.0;578.0;-857.0;-36.0;-147.0;146.0;-331.0
-443.0;596.0;788.0;72.0;-111.0;-618.0;603.0;868.0;160.0;188.0;-278.0;465.0
622.0;-614.0;698.0;205.0;-366.0;721.0;498.0;-818.0;117.0;14.0;-165.0;-143.0
604.0;-541.0;715.0;216.0;-343.0;637.0;519.0;-833.0;122.0;-8.0;-93.0;-121.0
602.0;-537.0;744.0;258.0;-321.0;631.0;524.0;-824.0;64.0;-33.0;-25.0;-145.0
605.0;-541.0;747.0;246.0;-319.0;632.0;524.0;-823.0;42.0;-29.0;-4.0;-157.0
638.0;-603.0;753.0;146.0;-316.0;674.0;527.0;-803.0;-29.0;54.0;49.0;-184.0
53.0;-645.0;838.0;134.0;-30.0;607.0;541.0;-872.0;-151.0;-411.0;259.0;-575.0
606.0;-513.0;764.0;237.0;-259.0;615.0;563.0;-823.0;98.0;-10.0;2.0;-145.0
645.0;-364.0;732.0;221.0;-297.0;566.0;561.0;-825.0;507.0;4.0;-413.0;110.0
572.0;-600.0;-652.0;184.0;396.0;543.0;-547.0;-845.0;495.0;-36.0;-301.0;-222.0
636.0;-496.0;622.0;360.0;-463.0;597.0;446.0;-771.0;152.0;86.0;-6.0;-46.0
411.0;-250.0;-912.0;-205.0;166.0;341.0;-330.0;-874.0;-259.0;-264.0;468.0;-659.0
425.0;-610.0;607.0;666.0;-466.0;695.0;455.0;-745.0;200.0;23.0;-104.0;198.0
530.0;-612.0;755.0;125.0;-233.0;683.0;586.0;-803.0;-78.0;-384.0;158.0;-232.0
614.0;-494.0;746.0;170.0;-439.0;659.0;342.0;-825.0;48.0;-137.0;48.0;-207.0
607.0;-530.0;737.0;260.0;-406.0;649.0;456.0;-784.0;41.0;-215.0;31.0;-185.0
598.0;-537.0;763.0;167.0;-241.0;631.0;580.0;-833.0;21.0;-49.0;68.0;-213.0
578.0;-579.0;748.0;142.0;-255.0;671.0;576.0;-853.0;92.0;-75.0;-35.0;-212.0
619.0;-518.0;742.0;258.0;-411.0;641.0;451.0;-772.0;40.0;-232.0;43.0;-178.0
620.0;-517.0;744.0;256.0;-410.0;641.0;451.0;-771.0;39.0;-235.0;48.0;-178.0
624.0;-516.0;748.0;250.0;-406.0;641.0;454.0;-765.0;25.0;-253.0;70.0;-185.0
589.0;-467.0;791.0;201.0;-411.0;633.0;328.0;-850.0;-1.0;-300.0;120.0;-252.0
608.0;-520.0;760.0;252.0;-376.0;646.0;478.0;-761.0;-7.0;-286.0;109.0;-208.0
466.0;-487.0;874.0;146.0;-122.0;541.0;457.0;-866.0;-292.0;-436.0;417.0;-477.0
480.0;-565.0;767.0;489.0;-306.0;666.0;528.0;-806.0;-2.0;-249.0;65.0;-291.0
