Accelerometer RKN_ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Compass;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Body_Ax
-129.0;-8;153.0;-177;-8;315.0;-7;5;16;96.0;-5.0;13.0;309
-124.0;-2;156.0;-176;-2;343.0;-7;-2;16;11.0;24.0;39.0;305
-19.0;101;154.0;-172;101;341.0;-10;17;74;162.0;109.0;-1.0;223
38.0;8;273.0;-176;8;486.0;-143;7;-147;139.0;-162.0;-200.0;285
-105.0;15;127.0;-176;15;318.0;-7;11;16;63.0;-16.0;37.0;299
0.0;338;160.0;-179;338;242.0;-36;65;-60;-54.0;-106.0;-52.0;301
-86.0;-3;135.0;-176;-3;338.0;-7;-6;16;37.0;11.0;30.0;308
-109.0;-1;148.0;-176;-1;305.0;-7;2;16;53.0;4.0;13.0;305
-93.0;9;164.0;-176;9;309.0;-7;2;16;51.0;1.0;-5.0;304
-106.0;-19;164.0;-176;-19;345.0;-7;-1;16;50.0;-12.0;3.0;307
-118.0;18;178.0;-176;18;312.0;-7;1;16;76.0;6.0;-17.0;305
-118.0;-16;165.0;-176;-16;322.0;-7;-7;16;90.0;11.0;-12.0;304
-120.0;10;162.0;-176;10;361.0;-7;0;16;100.0;38.0;1.0;307
-114.0;6;151.0;-176;6;361.0;-7;3;16;78.0;36.0;8.0;306
-125.0;-48;186.0;-178;-48;407.0;-7;9;16;70.0;52.0;6.0;313
-109.0;9;211.0;-176;9;344.0;-7;4;16;66.0;26.0;25.0;303
-123.0;-20;202.0;-176;-20;331.0;-7;4;16;55.0;33.0;17.0;304
-121.0;5;203.0;-176;5;336.0;-7;4;16;59.0;18.0;16.0;305
-109.0;-31;155.0;-176;-31;341.0;-7;2;16;43.0;23.0;12.0;301
-92.0;23;174.0;-176;23;348.0;-7;-2;16;48.0;30.0;6.0;302
-121.0;-9;161.0;-176;-9;355.0;-7;-6;16;21.0;14.0;13.0;304
-127.0;5;160.0;-176;5;335.0;-7;4;16;62.0;28.0;29.0;309
-99.0;12;169.0;-176;12;352.0;-7;3;16;58.0;37.0;10.0;308
-117.0;13;163.0;-176;13;346.0;-7;-1;16;63.0;41.0;38.0;310
