InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
645.0;-364.0;732.0;221.0;-297.0;566.0;561.0;-825.0;507.0;4.0;-413.0;110.0
633.0;-637.0;671.0;319.0;-406.0;732.0;485.0;-796.0;131.0;-14.0;-84.0;-113.0
137.0;-759.0;817.0;499.0;-6.0;682.0;573.0;-864.0;-154.0;44.0;223.0;-243.0
133.0;-756.0;816.0;494.0;-3.0;677.0;574.0;-867.0;-156.0;41.0;227.0;-243.0
129.0;-749.0;816.0;488.0;3.0;670.0;576.0;-870.0;-160.0;12.0;234.0;-255.0
121.0;-741.0;813.0;475.0;11.0;665.0;580.0;-875.0;-165.0;-45.0;240.0;-284.0
114.0;-738.0;811.0;462.0;15.0;662.0;585.0;-876.0;-166.0;-97.0;242.0;-307.0
56.0;-646.0;839.0;134.0;-32.0;605.0;540.0;-873.0;-152.0;-412.0;262.0;-574.0
57.0;-646.0;839.0;132.0;-32.0;606.0;540.0;-873.0;-153.0;-413.0;263.0;-576.0
56.0;-646.0;839.0;133.0;-32.0;606.0;539.0;-873.0;-152.0;-412.0;263.0;-576.0
56.0;-647.0;839.0;132.0;-32.0;606.0;539.0;-872.0;-152.0;-412.0;263.0;-576.0
56.0;-646.0;839.0;132.0;-32.0;605.0;539.0;-873.0;-152.0;-413.0;262.0;-575.0
57.0;-646.0;839.0;132.0;-30.0;605.0;540.0;-873.0;-154.0;-413.0;262.0;-575.0
53.0;-645.0;838.0;134.0;-30.0;607.0;541.0;-872.0;-151.0;-411.0;259.0;-575.0
54.0;-645.0;838.0;134.0;-30.0;607.0;541.0;-872.0;-151.0;-411.0;258.0;-575.0
54.0;-645.0;838.0;134.0;-31.0;607.0;541.0;-872.0;-151.0;-411.0;257.0;-576.0
54.0;-644.0;838.0;135.0;-30.0;607.0;541.0;-873.0;-151.0;-411.0;257.0;-575.0
54.0;-644.0;838.0;136.0;-30.0;607.0;541.0;-872.0;-151.0;-411.0;256.0;-575.0
54.0;-644.0;838.0;137.0;-30.0;607.0;541.0;-873.0;-152.0;-410.0;256.0;-575.0
55.0;-644.0;838.0;137.0;-27.0;609.0;541.0;-872.0;-153.0;-410.0;256.0;-574.0
55.0;-644.0;838.0;138.0;-27.0;609.0;541.0;-873.0;-153.0;-410.0;257.0;-574.0
55.0;-643.0;838.0;138.0;-26.0;608.0;541.0;-872.0;-154.0;-411.0;255.0;-574.0
56.0;-643.0;838.0;138.0;-26.0;607.0;541.0;-872.0;-154.0;-411.0;255.0;-573.0
57.0;-644.0;838.0;138.0;-25.0;608.0;541.0;-872.0;-154.0;-412.0;253.0;-573.0
56.0;-646.0;838.0;137.0;-25.0;608.0;541.0;-872.0;-156.0;-412.0;250.0;-573.0
55.0;-649.0;838.0;135.0;-31.0;611.0;541.0;-872.0;-154.0;-414.0;246.0;-577.0
102.0;-702.0;803.0;403.0;-36.0;667.0;595.0;-901.0;-172.0;-151.0;299.0;-377.0
107.0;-700.0;805.0;424.0;-41.0;632.0;591.0;-897.0;-171.0;-125.0;282.0;-349.0
106.0;-701.0;805.0;423.0;-41.0;634.0;591.0;-898.0;-171.0;-124.0;281.0;-349.0
102.0;-720.0;807.0;409.0;-36.0;693.0;589.0;-910.0;-172.0;-65.0;282.0;-343.0
103.0;-721.0;807.0;411.0;-36.0;682.0;587.0;-910.0;-173.0;-50.0;269.0;-339.0
106.0;-721.0;808.0;417.0;-37.0;675.0;587.0;-908.0;-173.0;-40.0;262.0;-333.0
105.0;-719.0;805.0;427.0;-37.0;668.0;590.0;-903.0;-167.0;-19.0;245.0;-321.0
103.0;-718.0;805.0;422.0;-37.0;666.0;591.0;-906.0;-165.0;-21.0;243.0;-323.0
100.0;-717.0;804.0;417.0;-36.0;664.0;593.0;-908.0;-164.0;-21.0;242.0;-324.0
70.0;-714.0;799.0;379.0;-22.0;666.0;600.0;-921.0;-157.0;-56.0;223.0;-356.0
58.0;-713.0;797.0;371.0;-16.0;663.0;603.0;-921.0;-156.0;-81.0;215.0;-374.0
34.0;-704.0;795.0;358.0;-5.0;658.0;607.0;-915.0;-157.0;-132.0;205.0;-411.0
21.0;-697.0;793.0;348.0;0.0;656.0;610.0;-911.0;-158.0;-161.0;201.0;-433.0
10.0;-693.0;790.0;328.0;6.0;657.0;612.0;-910.0;-157.0;-190.0;197.0;-454.0
-312.0;603.0;757.0;-474.0;-109.0;-615.0;642.0;875.0;208.0;101.0;-331.0;147.0
-114.0;647.0;-679.0;-843.0;278.0;-692.0;-647.0;356.0;20.0;401.0;-154.0;-10.0
-504.0;206.0;-50.0;-781.0;595.0;-357.0;108.0;280.0;-551.0;-374.0;608.0;-565.0
97.0;-672.0;754.0;373.0;-23.0;703.0;652.0;-874.0;-188.0;-299.0;280.0;-492.0
118.0;-652.0;753.0;442.0;-16.0;635.0;653.0;-864.0;-197.0;-239.0;261.0;-424.0
164.0;-638.0;756.0;463.0;-27.0;616.0;650.0;-858.0;-197.0;-222.0;264.0;-383.0
177.0;-634.0;758.0;462.0;-26.0;614.0;648.0;-857.0;-198.0;-229.0;265.0;-370.0
163.0;-632.0;764.0;466.0;-20.0;615.0;640.0;-847.0;-203.0;-255.0;270.0;-402.0
178.0;-631.0;763.0;470.0;-30.0;610.0;643.0;-851.0;-197.0;-234.0;270.0;-387.0
165.0;-628.0;765.0;467.0;-23.0;623.0;639.0;-841.0;-204.0;-274.0;273.0;-404.0
164.0;-632.0;765.0;458.0;-25.0;622.0;639.0;-845.0;-202.0;-274.0;271.0;-421.0
192.0;-633.0;772.0;446.0;-39.0;630.0;631.0;-817.0;-207.0;-363.0;272.0;-428.0
