Accelerometer RKN_ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Compass;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Body_Ax
-97.0;-33;175.0;-175;-33;391.0;-58;-1;-154;115.0;100.0;-65.0;325
-79.0;-432;548.0;166;-432;638.0;-2;4;33;8.0;-303.0;-49.0;520
-133.0;108;521.0;-171;108;290.0;-9;397;0;50.0;-15.0;19.0;254
9.0;-13;350.0;-177;-13;430.0;-7;-3;113;65.0;86.0;76.0;278
-7.0;-913;149.0;165;-913;446.0;-44;561;24;-16.0;11.0;174.0;2811
25.0;-17;344.0;-177;-17;477.0;-7;-4;113;76.0;95.0;103.0;283
-200.0;484;146.0;-2;484;506.0;-79;-91;-142;74.0;122.0;114.0;1777
-287.0;62;303.0;-170;62;345.0;-2;24;101;1.0;96.0;107.0;210
-10.0;-71;282.0;-179;-71;330.0;-11;34;167;-4.0;39.0;59.0;256
-107.0;-12;70.0;-178;-12;279.0;-7;-23;15;16.0;67.0;-13.0;308
-52.0;20;120.0;160;20;275.0;-11;313;15;91.0;-26.0;-53.0;262
17.0;-37;404.0;-177;-37;466.0;-5;-1;114;12.0;78.0;133.0;275
-100.0;-34;527.0;-174;-34;482.0;-78;3;120;164.0;-26.0;90.0;294
-36.0;-10;143.0;174;-10;407.0;0;-3;105;-154.0;-418.0;-464.0;253
18.0;-21;261.0;-178;-21;398.0;-7;-1;113;91.0;76.0;92.0;281
-109.0;11;140.0;-177;11;434.0;-76;-22;133;133.0;-54.0;4.0;300
3.0;8;327.0;-178;8;447.0;-7;0;113;71.0;53.0;113.0;279
7.0;11;289.0;-177;11;446.0;-7;3;113;44.0;65.0;116.0;285
-348.0;53;57.0;-71;53;372.0;-5;-109;46;121.0;101.0;-151.0;276
13.0;2;312.0;-177;2;418.0;-7;-4;113;45.0;88.0;97.0;274
35.0;-20;272.0;-177;-20;401.0;-7;-3;113;47.0;75.0;92.0;281
37.0;-7;314.0;-177;-7;422.0;-7;-2;113;31.0;93.0;96.0;276
32.0;-10;306.0;-177;-10;447.0;-7;-3;113;92.0;94.0;77.0;276
-134.0;469;446.0;-165;469;634.0;1;-19;54;-161.0;179.0;245.0;423
-38.0;2549;384.0;-174;2549;404.0;10;-36;125;76.0;-71.0;55.0;688
-83.0;11;481.0;-177;11;388.0;-76;2;132;200.0;-108.0;-42.0;270
20.0;-20;295.0;-177;-20;423.0;-7;5;113;67.0;87.0;69.0;281
20.0;-20;279.0;-178;-20;412.0;-7;1;113;110.0;74.0;67.0;281
-124.0;30;68.0;-179;30;323.0;-8;-140;16;44.0;0.0;59.0;324
-126.0;55;19.0;-179;55;332.0;-7;-53;16;108.0;-14.0;-56.0;314
379.0;83;74.0;-157;83;248.0;-23;-911;-161;115.0;-56.0;0.0;269
37.0;-66;673.0;-175;-66;749.0;9;2;152;-179.0;-8.0;264.0;266
-369.0;21;203.0;-76;21;224.0;9;1025;161;193.0;-25.0;-163.0;207
-363.0;-21;-11.0;-176;-21;296.0;19;-2;135;-355.0;18.0;-186.0;209
45.0;-9;316.0;-177;-9;451.0;-7;-2;113;37.0;87.0;113.0;284
-116.0;-36;231.0;-177;-36;337.0;-7;-4;16;-608.0;261.0;319.0;301
-170.0;9;88.0;-178;9;258.0;-7;-16;15;60.0;94.0;-6.0;309
-277.0;-5;43.0;-177;-5;245.0;-94;-2;-175;69.0;-31.0;-58.0;243
-172.0;11;104.0;-178;11;284.0;-7;-16;15;152.0;-7.0;-39.0;309
-67.0;-19;96.0;-178;-19;295.0;-7;0;15;153.0;-24.0;-46.0;312
-2.0;-178;111.0;-161;-178;143.0;-8;11;20;256.0;-215.0;-36.0;214
-27.0;-21;97.0;-177;-21;303.0;-7;37;15;159.0;-64.0;8.0;322
-56.0;53;26.0;-190;53;303.0;-20;328;189;267.0;-55.0;-44.0;265
-217.0;82;122.0;-178;82;326.0;-7;-2;15;-97.0;-129.0;-29.0;291
11.0;-20;318.0;-177;-20;450.0;-7;-4;113;80.0;81.0;78.0;286
26.0;31;284.0;-178;31;445.0;-7;-6;113;57.0;97.0;54.0;276
-55.0;-205;257.0;-178;-205;499.0;0;38;103;-52.0;18.0;141.0;184
-92.0;45;135.0;179;45;628.0;-131;-8;-17;-603.0;405.0;350.0;305
-145.0;22;200.0;178;22;365.0;-7;2;15;60.0;60.0;28.0;310
-172.0;-29;197.0;175;-29;332.0;-7;3;15;64.0;55.0;31.0;303
-180.0;16;208.0;155;16;351.0;-7;21;15;98.0;42.0;4.0;307
-414.0;-4;21.0;186;-4;326.0;-25;-296;-3;103.0;-7.0;-167.0;301
-209.0;14;238.0;-152;14;265.0;-108;-1790;-127;29.0;-141.0;-43.0;234
-118.0;-38;287.0;-170;-38;448.0;-70;110;42;196.0;-20.0;117.0;261
-178.0;-316;194.0;-164;-316;285.0;12;27;111;-87.0;-359.0;-280.0;503
-103.0;-37;166.0;-179;-37;323.0;-8;-52;14;91.0;-16.0;27.0;318
-180.0;-25;124.0;-181;-25;304.0;-8;-52;14;97.0;-22.0;10.0;328
-86.0;1198;335.0;-165;1198;372.0;-24;58;-11;49.0;139.0;50.0;367
0.0;338;160.0;-179;338;242.0;-36;65;-60;-54.0;-106.0;-52.0;301
-116.0;20;39.0;-179;20;298.0;-8;-25;15;4.0;-2.0;22.0;317
-36.0;36;56.0;-178;36;311.0;-8;47;15;79.0;23.0;-10.0;319
-140.0;12;34.0;-178;12;334.0;-7;-15;14;52.0;0.0;48.0;304
11.0;-10;305.0;-178;-10;479.0;-7;-1;113;-2.0;97.0;106.0;281
-157.0;36;235.0;-178;36;549.0;-7;21;14;29.0;134.0;61.0;313
-116.0;43;111.0;-218;43;705.0;-8;-54;27;-75.0;11.0;2.0;328
-124.0;26;154.0;-178;26;400.0;-7;-18;15;80.0;45.0;35.0;306
-200.0;-9;129.0;-177;-9;311.0;-7;-74;14;70.0;-10.0;32.0;305
3.0;32;366.0;-177;32;517.0;-7;-4;113;2.0;116.0;125.0;278
2.0;329;101.0;178;329;391.0;-3;-39;106;156.0;98.0;-19.0;283
-97.0;24;18.0;-177;24;315.0;-7;-27;15;109.0;2.0;10.0;310
-257.0;-61;48.0;-216;-61;304.0;-21;-195;-69;44.0;22.0;-161.0;272
