InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit BACK magneticX;Accelerometer BACK accZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA magneticY;Accelerometer HIP accZ
88.0;138.0;-1.0;533.0;-319.0;-431.0;529.0;319.0
-25.0;99.0;13.0;524.0;-362.0;-438.0;550.0;339.0
204.0;66.0;7.0;?;-381.0;-439.0;575.0;347.0
37.0;50.0;15.0;?;-310.0;-437.0;?;286.0
93.0;53.0;1.0;517.0;-305.0;-437.0;587.0;316.0
84.0;66.0;9.0;515.0;-370.0;-440.0;580.0;288.0
46.0;87.0;-5.0;513.0;-387.0;-441.0;?;291.0
63.0;113.0;?;?;-429.0;-441.0;552.0;294.0
93.0;154.0;?;510.0;-337.0;?;524.0;303.0
-18.0;587.0;-22.0;503.0;-106.0;-406.0;-196.0;402.0
-31.0;602.0;-42.0;504.0;-130.0;-410.0;-196.0;416.0
-12.0;603.0;-33.0;506.0;-132.0;-408.0;-192.0;390.0
-31.0;595.0;-9.0;505.0;-159.0;-411.0;?;?
?;595.0;-7.0;504.0;-124.0;-409.0;-180.0;384.0
-39.0;596.0;-2.0;505.0;-130.0;-411.0;?;428.0
-52.0;609.0;-16.0;506.0;-204.0;-411.0;?;419.0
-60.0;619.0;-50.0;506.0;-106.0;-409.0;-150.0;430.0
-50.0;628.0;-37.0;508.0;-42.0;-406.0;-127.0;411.0
-64.0;?;?;510.0;-3.0;-403.0;-97.0;364.0
-22.0;633.0;15.0;511.0;?;-407.0;-52.0;396.0
-100.0;624.0;-18.0;516.0;-185.0;-409.0;-2.0;425.0
-110.0;?;-50.0;515.0;-219.0;-411.0;48.0;399.0
-54.0;?;-23.0;518.0;-276.0;-415.0;106.0;402.0
15.0;512.0;-38.0;518.0;-329.0;-419.0;173.0;372.0
?;453.0;-40.0;522.0;-220.0;-426.0;245.0;344.0
67.0;386.0;-10.0;?;-176.0;-430.0;?;351.0
108.0;323.0;-22.0;524.0;-423.0;-433.0;379.0;374.0
47.0;268.0;-30.0;523.0;-410.0;-433.0;427.0;346.0
71.0;211.0;?;521.0;-281.0;-432.0;?;299.0
131.0;153.0;-14.0;523.0;-420.0;-431.0;510.0;329.0
?;95.0;-16.0;518.0;-391.0;?;539.0;340.0
145.0;48.0;-13.0;514.0;-411.0;?;563.0;307.0
72.0;13.0;-20.0;512.0;-337.0;?;579.0;314.0
?;-4.0;-22.0;512.0;-346.0;-430.0;592.0;334.0
76.0;-2.0;-10.0;509.0;-341.0;-435.0;?;371.0
44.0;18.0;?;506.0;-355.0;-436.0;581.0;375.0
11.0;40.0;?;507.0;-353.0;-438.0;570.0;302.0
59.0;55.0;-51.0;506.0;-366.0;-440.0;565.0;321.0
73.0;70.0;-31.0;507.0;-409.0;-432.0;549.0;338.0
58.0;89.0;-40.0;511.0;-389.0;-429.0;536.0;316.0
94.0;119.0;?;?;-369.0;-424.0;519.0;336.0
3.0;578.0;-1.0;504.0;?;-401.0;-212.0;418.0
4.0;597.0;-11.0;506.0;-126.0;-402.0;-215.0;406.0
9.0;600.0;-2.0;?;-117.0;-406.0;-216.0;413.0
4.0;589.0;26.0;505.0;-150.0;-407.0;-208.0;425.0
-1.0;589.0;-13.0;505.0;-181.0;-410.0;-203.0;425.0
-12.0;593.0;2.0;504.0;-124.0;-407.0;?;422.0
-20.0;606.0;?;503.0;-70.0;-406.0;-199.0;409.0
-14.0;615.0;-21.0;504.0;-26.0;-403.0;-189.0;448.0
?;617.0;-10.0;503.0;?;-404.0;-172.0;428.0
-59.0;627.0;21.0;501.0;58.0;-402.0;-154.0;426.0
-72.0;631.0;38.0;502.0;-91.0;-397.0;?;405.0
-73.0;?;-5.0;500.0;-125.0;?;-73.0;416.0
-137.0;613.0;-20.0;504.0;-116.0;-395.0;-13.0;413.0
-84.0;582.0;-3.0;509.0;-183.0;-390.0;48.0;388.0
-62.0;536.0;10.0;514.0;-270.0;-398.0;118.0;396.0
-17.0;482.0;17.0;517.0;-289.0;-403.0;193.0;356.0
23.0;417.0;30.0;521.0;-284.0;?;267.0;377.0
89.0;355.0;12.0;528.0;-308.0;-413.0;329.0;379.0
115.0;295.0;10.0;531.0;?;-419.0;386.0;381.0
117.0;235.0;10.0;534.0;-334.0;-415.0;431.0;378.0
127.0;?;5.0;534.0;-439.0;-414.0;473.0;334.0
?;125.0;-10.0;533.0;-425.0;-411.0;510.0;385.0
153.0;79.0;-2.0;529.0;-411.0;-410.0;?;338.0
125.0;38.0;8.0;?;-408.0;-412.0;548.0;339.0
74.0;16.0;20.0;523.0;-408.0;-415.0;?;355.0
105.0;7.0;10.0;523.0;-362.0;-418.0;?;368.0
89.0;13.0;9.0;520.0;-383.0;-419.0;569.0;354.0
?;27.0;3.0;518.0;-414.0;-422.0;563.0;347.0
