Accelerometer RUA^ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
1073.0;-818.0;300.0;281.0;-952.0;962.0;235.0
956.0;-816.0;324.0;388.0;-947.0;1054.0;251.0
1183.0;-701.0;180.0;104.0;-848.0;950.0;157.0
1082.0;-791.0;310.0;242.0;-954.0;952.0;180.0
1303.0;-744.0;357.0;226.0;-855.0;951.0;153.0
1054.0;-655.0;215.0;230.0;-723.0;813.0;166.0
1054.0;-770.0;264.0;349.0;-897.0;1029.0;203.0
1044.0;-792.0;265.0;275.0;-932.0;946.0;211.0
1078.0;-836.0;271.0;207.0;-973.0;990.0;187.0
939.0;-755.0;212.0;235.0;-817.0;821.0;105.0
1289.0;-666.0;254.0;347.0;-787.0;893.0;288.0
1082.0;-792.0;341.0;247.0;-968.0;971.0;178.0
1070.0;-791.0;345.0;256.0;-968.0;964.0;180.0
1045.0;-749.0;425.0;304.0;-995.0;915.0;113.0
1080.0;-788.0;320.0;277.0;-966.0;966.0;172.0
1099.0;-766.0;336.0;248.0;-947.0;1055.0;168.0
1054.0;-818.0;249.0;203.0;-938.0;978.0;136.0
1008.0;-799.0;258.0;245.0;-939.0;968.0;193.0
1055.0;-795.0;386.0;283.0;-998.0;959.0;185.0
1070.0;-739.0;349.0;237.0;-943.0;870.0;179.0
1068.0;-776.0;385.0;283.0;-968.0;949.0;221.0
1093.0;-743.0;432.0;251.0;-939.0;909.0;273.0
1073.0;-780.0;382.0;256.0;-984.0;941.0;214.0
1000.0;-956.0;287.0;297.0;-1029.0;908.0;-63.0
1100.0;-764.0;364.0;328.0;-938.0;919.0;336.0
1057.0;-780.0;375.0;266.0;-976.0;944.0;229.0
1031.0;-854.0;464.0;241.0;-1020.0;905.0;252.0
841.0;-906.0;156.0;227.0;-954.0;855.0;-13.0
1090.0;-301.0;689.0;234.0;-919.0;808.0;293.0
1080.0;-801.0;379.0;237.0;-976.0;960.0;222.0
1185.0;-672.0;341.0;207.0;-854.0;967.0;293.0
1054.0;-787.0;282.0;278.0;-866.0;875.0;15.0
970.0;-755.0;252.0;326.0;-902.0;881.0;236.0
1080.0;-795.0;368.0;264.0;-976.0;952.0;231.0
1153.0;-596.0;431.0;241.0;-861.0;706.0;323.0
1235.0;-734.0;388.0;3.0;-996.0;1173.0;151.0
1062.0;-787.0;368.0;280.0;-970.0;954.0;220.0
1083.0;-750.0;282.0;306.0;-932.0;915.0;209.0
822.0;-945.0;255.0;282.0;-1013.0;710.0;35.0
1137.0;-656.0;392.0;83.0;-1014.0;952.0;163.0
1178.0;-829.0;233.0;-24.0;-943.0;1056.0;134.0
1068.0;-813.0;328.0;238.0;-933.0;967.0;169.0
1069.0;-830.0;317.0;233.0;-975.0;975.0;235.0
1059.0;-907.0;353.0;207.0;-991.0;975.0;147.0
1145.0;-862.0;392.0;75.0;-987.0;1001.0;72.0
1077.0;-856.0;172.0;41.0;-941.0;1280.0;67.0
1090.0;-783.0;322.0;237.0;-954.0;970.0;168.0
1124.0;-884.0;183.0;148.0;-1005.0;1017.0;129.0
1072.0;-793.0;313.0;218.0;-967.0;970.0;160.0
1028.0;-707.0;496.0;354.0;-944.0;854.0;292.0
1065.0;-742.0;320.0;250.0;-925.0;905.0;162.0
1106.0;-459.0;611.0;-46.0;-983.0;660.0;-181.0
1058.0;-778.0;386.0;317.0;-969.0;970.0;219.0
986.0;-1220.0;90.0;97.0;-1353.0;900.0;211.0
1060.0;-912.0;411.0;180.0;-1069.0;926.0;168.0
1011.0;-842.0;175.0;226.0;-888.0;890.0;138.0
1146.0;-1089.0;198.0;132.0;-1200.0;1330.0;189.0
1028.0;-853.0;315.0;432.0;-957.0;927.0;242.0
1051.0;-806.0;61.0;236.0;-963.0;980.0;223.0
1085.0;-846.0;252.0;237.0;-979.0;997.0;178.0
1146.0;-681.0;244.0;84.0;-822.0;1350.0;203.0
1241.0;-891.0;430.0;113.0;-1042.0;1416.0;278.0
1049.0;-805.0;312.0;346.0;-953.0;962.0;264.0
1036.0;-767.0;582.0;275.0;-1027.0;791.0;-18.0
1008.0;-706.0;333.0;237.0;-849.0;1141.0;300.0
1059.0;-344.0;810.0;296.0;-963.0;613.0;152.0
917.0;-743.0;290.0;137.0;-909.0;877.0;309.0
1070.0;-800.0;328.0;276.0;-976.0;972.0;151.0
1152.0;-796.0;337.0;277.0;-960.0;972.0;347.0
998.0;-778.0;369.0;323.0;-973.0;936.0;223.0
