InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
44;-14;-159;22;431.0;-943.0;-22;687.0;?;638
26;?;-159;21;764.0;-1134.0;-8;532.0;-20;645
0;0;-160;22;?;-565.0;6;352.0;-22;643
-4;19;-159;21;-22.0;-83.0;?;?;-25;639
12;?;-159;21;-363.0;198.0;2;99.0;2;645
-1;15;-159;21;-330.0;178.0;-5;54.0;4;644
-7;?;?;?;-359.0;90.0;-6;-4.0;-16;642
12;-46;-159;19;?;160.0;28;?;-9;644
1;-23;-160;18;-344.0;257.0;7;110.0;-11;644
17;-37;?;21;?;-162.0;23;0.0;11;646
14;-21;-159;19;?;-213.0;40;21.0;-1;650
47;22;?;20;10.0;-243.0;18;-90.0;6;645
-16;23;-159;20;145.0;-251.0;4;-256.0;5;644
-15;33;?;19;259.0;-377.0;-10;?;-14;650
39;?;-160;21;383.0;-319.0;-23;-404.0;1;644
-21;-33;?;13;-10.0;199.0;4;-349.0;29;?
-17;-17;-159;?;-375.0;526.0;-6;-343.0;11;650
?;-10;-159;26;?;758.0;-15;-294.0;?;642
-16;?;-159;25;-678.0;928.0;-22;-261.0;20;641
-9;?;-159;?;-774.0;1092.0;-46;-176.0;-1;647
-10;10;-160;14;-670.0;973.0;-34;-212.0;-21;650
15;-23;-159;12;?;872.0;-26;-248.0;16;?
23;5;-159;14;-63.0;734.0;-4;-270.0;11;649
19;-1;-159;14;24.0;644.0;12;-124.0;27;649
-6;-5;-159;20;-13.0;644.0;-1;111.0;32;?
-43;8;-159;22;?;?;-30;396.0;-19;?
-21;-32;-160;18;?;915.0;-35;797.0;-32;646
-15;-22;-159;25;-374.0;1020.0;2;1123.0;-33;642
-31;14;-159;21;?;992.0;-2;1363.0;-10;643
7;-4;-159;23;?;453.0;4;1557.0;?;638
11;-7;-159;29;-415.0;-239.0;-4;1560.0;-52;638
-22;-1;-159;20;468.0;?;-7;?;-10;644
-11;0;-160;22;952.0;-632.0;64;749.0;20;641
?;?;?;25;727.0;-107.0;62;407.0;-12;?
-4;9;-159;17;148.0;159.0;1;182.0;16;643
-3;7;-159;19;-326.0;161.0;-19;75.0;?;644
-10;42;-159;?;-304.0;-167.0;-9;-74.0;-31;644
1;14;-159;16;-182.0;-257.0;6;-184.0;-24;645
9;-21;?;15;-186.0;-138.0;-3;-208.0;-33;648
?;12;-159;16;-246.0;-47.0;-13;?;33;648
15;25;-159;20;-339.0;21.0;-17;-65.0;?;642
10;11;-159;15;-377.0;-160.0;7;?;-1;642
-23;6;-159;19;-147.0;?;18;?;-5;641
18;0;-159;21;-74.0;-142.0;4;59.0;22;638
10;0;-160;18;-56.0;-203.0;6;-121.0;-1;643
-18;-11;-159;23;25.0;-276.0;-1;-281.0;-21;645
-21;-3;-159;23;173.0;?;-15;-429.0;-26;639
-24;-1;-159;18;?;-133.0;-44;-448.0;-34;640
-32;?;-159;21;-125.0;245.0;-50;-465.0;-8;645
-1;10;-159;19;?;544.0;-35;-495.0;8;644
40;0;-160;?;-396.0;691.0;-64;-496.0;-21;650
18;10;-159;15;?;721.0;?;-481.0;-27;650
?;4;-159;18;-206.0;713.0;3;-472.0;-2;640
