Accelerometer LH accX;Accelerometer LUA_ accZ;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer RWR accZ;Accelerometer LUA_ accY
466.0;428.0;534.0;-71.0;802;745.0;-287.0;277.0;665.0;916.0
262.0;403.0;312.0;241.0;745;871.0;-400.0;239.0;710.0;928.0
465.0;457.0;240.0;242.0;-2783;960.0;-418.0;315.0;518.0;1107.0
248.0;261.0;538.0;276.0;838;914.0;-510.0;75.0;449.0;783.0
358.0;402.0;498.0;240.0;801;841.0;-340.0;204.0;595.0;933.0
-2.0;285.0;458.0;273.0;786;644.0;-166.0;75.0;529.0;671.0
283.0;362.0;657.0;276.0;796;881.0;-359.0;181.0;907.0;964.0
264.0;381.0;498.0;158.0;801;886.0;-352.0;270.0;579.0;959.0
295.0;394.0;492.0;170.0;796;876.0;-336.0;310.0;628.0;919.0
350.0;377.0;455.0;170.0;807;867.0;-285.0;283.0;556.0;970.0
322.0;214.0;401.0;12.0;777;1333.0;-237.0;237.0;719.0;1409.0
364.0;366.0;457.0;205.0;806;878.0;-331.0;245.0;592.0;960.0
402.0;494.0;350.0;208.0;-379;900.0;-392.0;237.0;462.0;1060.0
361.0;371.0;456.0;197.0;801;846.0;-304.0;245.0;581.0;945.0
352.0;345.0;452.0;202.0;797;882.0;-311.0;259.0;602.0;953.0
300.0;264.0;473.0;186.0;809;934.0;-275.0;260.0;560.0;1047.0
271.0;333.0;463.0;258.0;814;882.0;-283.0;242.0;704.0;933.0
303.0;350.0;464.0;194.0;803;884.0;-324.0;255.0;603.0;945.0
380.0;372.0;447.0;190.0;799;865.0;-317.0;243.0;580.0;943.0
629.0;416.0;478.0;382.0;781;658.0;-357.0;186.0;718.0;812.0
393.0;355.0;457.0;164.0;802;925.0;-264.0;211.0;549.0;1001.0
338.0;337.0;454.0;226.0;796;868.0;-291.0;230.0;627.0;953.0
