InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit BACK magneticX;Accelerometer BACK accZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA magneticY;Accelerometer HIP accZ
95.0;-61.0;-173.0;522.0;-497.0;-395.0;-377.0;274.0
209.0;-604.0;452.0;371.0;-628.0;431.0;-32.0;354.0
139.0;95.0;97.0;434.0;-550.0;-352.0;-225.0;425.0
201.0;-388.0;187.0;543.0;-582.0;-56.0;-122.0;338.0
188.0;448.0;430.0;481.0;-511.0;-269.0;515.0;407.0
-9.0;417.0;187.0;483.0;-401.0;-341.0;425.0;457.0
219.0;498.0;-24.0;432.0;-542.0;-397.0;345.0;386.0
274.0;13.0;322.0;536.0;-486.0;-259.0;314.0;228.0
120.0;70.0;137.0;1078.0;-622.0;33.0;676.0;406.0
187.0;-43.0;150.0;932.0;-503.0;146.0;551.0;380.0
261.0;-63.0;131.0;970.0;-429.0;-36.0;207.0;342.0
241.0;29.0;91.0;1098.0;-662.0;-26.0;526.0;309.0
397.0;-636.0;-286.0;940.0;-477.0;443.0;235.0;202.0
231.0;-24.0;-380.0;1025.0;-449.0;-7.0;366.0;222.0
158.0;50.0;-336.0;509.0;-618.0;221.0;615.0;189.0
210.0;-399.0;864.0;354.0;-405.0;487.0;546.0;177.0
171.0;382.0;272.0;395.0;-462.0;-201.0;462.0;387.0
306.0;297.0;-97.0;654.0;-501.0;-37.0;694.0;328.0
391.0;-313.0;80.0;432.0;-670.0;112.0;-367.0;356.0
306.0;-348.0;105.0;461.0;-672.0;109.0;-291.0;66.0
270.0;-544.0;417.0;428.0;-626.0;101.0;-382.0;327.0
385.0;-662.0;260.0;291.0;-668.0;396.0;-399.0;124.0
386.0;-533.0;191.0;416.0;-724.0;330.0;-80.0;352.0
572.0;-527.0;256.0;128.0;-536.0;277.0;-420.0;434.0
364.0;-354.0;155.0;414.0;-711.0;180.0;-62.0;285.0
508.0;123.0;93.0;620.0;-640.0;56.0;676.0;-81.0
238.0;-609.0;124.0;507.0;-661.0;152.0;-199.0;366.0
238.0;-521.0;87.0;92.0;-694.0;69.0;-3.0;138.0
512.0;6.0;43.0;571.0;-756.0;139.0;368.0;9.0
535.0;-226.0;261.0;833.0;-682.0;204.0;430.0;221.0
490.0;-40.0;121.0;548.0;-715.0;171.0;303.0;74.0
201.0;232.0;863.0;505.0;-637.0;93.0;-18.0;456.0
308.0;-118.0;977.0;1088.0;-458.0;18.0;243.0;259.0
93.0;-43.0;380.0;971.0;-573.0;17.0;143.0;232.0
492.0;-54.0;201.0;531.0;-768.0;177.0;304.0;148.0
511.0;173.0;-325.0;639.0;-718.0;-97.0;365.0;-162.0
484.0;21.0;315.0;531.0;-813.0;117.0;317.0;165.0
849.0;-209.0;311.0;726.0;-828.0;308.0;555.0;-89.0
767.0;-430.0;997.0;753.0;-1033.0;245.0;594.0;-158.0
739.0;197.0;208.0;626.0;-894.0;-81.0;660.0;16.0
849.0;306.0;366.0;612.0;-992.0;-153.0;366.0;-20.0
400.0;112.0;397.0;495.0;-805.0;49.0;298.0;110.0
125.0;-657.0;1017.0;936.0;-797.0;373.0;14.0;303.0
387.0;85.0;885.0;607.0;-776.0;86.0;281.0;405.0
516.0;259.0;219.0;605.0;-755.0;-179.0;394.0;-58.0
316.0;326.0;377.0;454.0;-688.0;-149.0;429.0;404.0
278.0;285.0;853.0;466.0;-512.0;-87.0;600.0;385.0
509.0;468.0;111.0;558.0;-692.0;-251.0;528.0;153.0
103.0;522.0;137.0;513.0;-448.0;-438.0;520.0;427.0
204.0;400.0;65.0;525.0;-557.0;-259.0;511.0;354.0
194.0;402.0;29.0;511.0;-562.0;-465.0;103.0;450.0
281.0;272.0;46.0;441.0;-610.0;33.0;582.0;408.0
368.0;-342.0;82.0;421.0;-703.0;167.0;-55.0;272.0
377.0;-342.0;127.0;418.0;-707.0;164.0;-46.0;261.0
391.0;-338.0;130.0;412.0;-675.0;161.0;-9.0;268.0
409.0;-339.0;79.0;412.0;-699.0;161.0;-9.0;289.0
387.0;-424.0;18.0;418.0;-728.0;205.0;-37.0;276.0
325.0;240.0;356.0;489.0;-589.0;-24.0;640.0;244.0
430.0;-626.0;-22.0;343.0;-669.0;430.0;67.0;192.0
36.0;103.0;434.0;371.0;-419.0;-165.0;643.0;454.0
180.0;13.0;227.0;572.0;-429.0;146.0;564.0;329.0
161.0;-504.0;257.0;490.0;-508.0;165.0;-371.0;455.0
174.0;-230.0;-238.0;584.0;-568.0;-173.0;-244.0;354.0
214.0;503.0;-244.0;559.0;-594.0;-452.0;430.0;204.0
226.0;287.0;615.0;462.0;-418.0;-500.0;-197.0;296.0
236.0;306.0;-148.0;547.0;-441.0;-484.0;15.0;329.0
267.0;-46.0;162.0;558.0;-321.0;-251.0;21.0;330.0
233.0;-15.0;385.0;561.0;-400.0;-269.0;57.0;306.0
227.0;-72.0;263.0;424.0;-366.0;-211.0;-153.0;314.0
171.0;-107.0;285.0;426.0;-478.0;-205.0;-149.0;263.0
875.0;-563.0;448.0;-328.0;-821.0;414.0;-624.0;-340.0
352.0;272.0;110.0;555.0;-647.0;-326.0;225.0;187.0
116.0;-657.0;-32.0;537.0;-474.0;501.0;683.0;447.0
149.0;-535.0;-354.0;596.0;-600.0;503.0;158.0;232.0
206.0;-386.0;92.0;410.0;-504.0;641.0;442.0;377.0
269.0;-311.0;97.0;456.0;-453.0;131.0;92.0;507.0
194.0;-697.0;-40.0;149.0;-425.0;441.0;-358.0;392.0
68.0;-237.0;11.0;840.0;-617.0;90.0;131.0;600.0
104.0;-623.0;131.0;816.0;-429.0;433.0;-51.0;347.0
104.0;-82.0;1776.0;963.0;-629.0;-5.0;306.0;271.0
97.0;-134.0;195.0;415.0;-736.0;-189.0;-176.0;284.0
143.0;-253.0;-8.0;365.0;-471.0;-224.0;-549.0;485.0
143.0;-515.0;478.0;886.0;-827.0;345.0;541.0;344.0
253.0;-226.0;398.0;761.0;-460.0;57.0;-98.0;240.0
182.0;-129.0;-48.0;1067.0;-520.0;-154.0;137.0;337.0
128.0;-164.0;816.0;331.0;-643.0;-182.0;-296.0;282.0
345.0;-592.0;1118.0;412.0;-630.0;206.0;-248.0;137.0
231.0;2.0;613.0;986.0;-497.0;60.0;570.0;255.0
422.0;380.0;541.0;529.0;-693.0;-324.0;232.0;49.0
278.0;-249.0;863.0;508.0;-670.0;324.0;181.0;393.0
377.0;15.0;-154.0;1036.0;-411.0;22.0;673.0;256.0
419.0;335.0;589.0;564.0;-760.0;-189.0;536.0;-1.0
64.0;440.0;-58.0;402.0;-464.0;-145.0;608.0;463.0
443.0;233.0;125.0;595.0;-673.0;-241.0;291.0;166.0
237.0;-35.0;21.0;471.0;-497.0;320.0;684.0;307.0
861.0;-746.0;259.0;114.0;-873.0;700.0;223.0;-240.0
415.0;-531.0;-314.0;411.0;-621.0;174.0;-232.0;176.0
249.0;-545.0;22.0;451.0;-543.0;226.0;-310.0;334.0
267.0;-594.0;-80.0;806.0;-510.0;402.0;-135.0;407.0
336.0;-619.0;-75.0;272.0;-683.0;124.0;-336.0;332.0
