InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit BACK magneticX;Accelerometer BACK accZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA magneticY;Accelerometer HIP accZ
206.0;-373.0;342.0;367.0;-485.0;-17.0;-57.0;330.0
166.0;30.0;7.0;894.0;-480.0;6.0;153.0;507.0
165.0;9.0;151.0;925.0;-724.0;13.0;158.0;475.0
172.0;28.0;-44.0;885.0;-454.0;6.0;143.0;402.0
18.0;-390.0;123.0;417.0;-565.0;113.0;-9.0;333.0
59.0;-402.0;97.0;251.0;-542.0;151.0;-311.0;276.0
104.0;-19.0;192.0;946.0;-685.0;14.0;152.0;188.0
100.0;-32.0;335.0;957.0;-558.0;14.0;148.0;82.0
93.0;-43.0;380.0;971.0;-573.0;17.0;143.0;232.0
221.0;22.0;-88.0;876.0;-433.0;7.0;130.0;430.0
73.0;-25.0;196.0;749.0;-564.0;57.0;236.0;417.0
175.0;-1.0;20.0;946.0;-571.0;66.0;441.0;467.0
307.0;-73.0;41.0;644.0;-482.0;180.0;433.0;271.0
198.0;1.0;30.0;945.0;-583.0;67.0;464.0;462.0
93.0;5.0;297.0;582.0;-378.0;155.0;600.0;324.0
83.0;28.0;68.0;567.0;-528.0;141.0;590.0;185.0
198.0;163.0;-139.0;517.0;-452.0;49.0;464.0;548.0
367.0;242.0;65.0;509.0;-405.0;21.0;455.0;282.0
207.0;-34.0;22.0;944.0;-562.0;101.0;481.0;464.0
206.0;-41.0;55.0;945.0;-540.0;113.0;475.0;476.0
211.0;-60.0;44.0;944.0;-552.0;130.0;454.0;441.0
206.0;-68.0;32.0;941.0;-556.0;145.0;460.0;436.0
208.0;-71.0;125.0;940.0;-564.0;146.0;468.0;417.0
202.0;-70.0;166.0;940.0;-572.0;147.0;481.0;440.0
195.0;-67.0;147.0;939.0;-560.0;151.0;491.0;431.0
193.0;-67.0;73.0;938.0;-545.0;149.0;502.0;441.0
186.0;-63.0;102.0;934.0;-570.0;157.0;515.0;446.0
158.0;-70.0;144.0;927.0;-571.0;162.0;474.0;481.0
198.0;-65.0;109.0;931.0;-568.0;155.0;484.0;485.0
222.0;-69.0;127.0;933.0;-525.0;153.0;515.0;441.0
187.0;-43.0;150.0;932.0;-503.0;146.0;551.0;380.0
201.0;232.0;863.0;505.0;-637.0;93.0;-18.0;456.0
111.0;-3.0;477.0;638.0;-665.0;-116.0;72.0;219.0
91.0;-70.0;287.0;646.0;-772.0;-78.0;47.0;174.0
70.0;-212.0;-10.0;658.0;-799.0;1.0;-36.0;551.0
25.0;19.0;224.0;915.0;-581.0;-133.0;139.0;120.0
56.0;-4.0;234.0;898.0;-537.0;-157.0;82.0;404.0
224.0;-78.0;6.0;794.0;-393.0;-124.0;-106.0;334.0
187.0;-90.0;88.0;783.0;-396.0;-108.0;-94.0;351.0
82.0;-143.0;-548.0;861.0;-766.0;-161.0;-129.0;381.0
242.0;-513.0;-29.0;708.0;-515.0;136.0;-164.0;1346.0
56.0;-204.0;142.0;651.0;-730.0;34.0;13.0;652.0
77.0;-236.0;265.0;623.0;-585.0;54.0;-8.0;289.0
150.0;-258.0;689.0;599.0;-586.0;72.0;-38.0;153.0
837.0;302.0;486.0;616.0;-920.0;-127.0;413.0;11.0
544.0;166.0;-10.0;634.0;-622.0;-122.0;356.0;178.0
198.0;-531.0;7.0;514.0;-560.0;187.0;-335.0;304.0
510.0;201.0;151.0;624.0;-600.0;-156.0;371.0;225.0
282.0;299.0;163.0;586.0;-509.0;-224.0;428.0;385.0
218.0;330.0;120.0;566.0;-483.0;-245.0;444.0;455.0
71.0;392.0;91.0;513.0;-431.0;-288.0;463.0;479.0
72.0;279.0;179.0;508.0;-375.0;37.0;529.0;303.0
248.0;-520.0;286.0;475.0;-552.0;227.0;-254.0;366.0
455.0;8.0;-47.0;765.0;-366.0;-133.0;96.0;138.0
631.0;8.0;315.0;749.0;-424.0;-137.0;137.0;166.0
188.0;42.0;486.0;670.0;-692.0;-176.0;197.0;643.0
155.0;46.0;425.0;652.0;-585.0;-183.0;173.0;-49.0
76.0;356.0;222.0;545.0;-623.0;-323.0;366.0;448.0
131.0;347.0;229.0;549.0;-650.0;-323.0;361.0;409.0
175.0;331.0;265.0;557.0;-664.0;-313.0;341.0;313.0
179.0;326.0;266.0;561.0;-712.0;-308.0;339.0;321.0
343.0;289.0;547.0;584.0;-686.0;-271.0;346.0;198.0
429.0;253.0;90.0;598.0;-710.0;-243.0;333.0;144.0
440.0;249.0;174.0;596.0;-701.0;-241.0;330.0;143.0
638.0;389.0;389.0;585.0;-1065.0;-240.0;469.0;36.0
579.0;194.0;736.0;606.0;-643.0;-200.0;271.0;-26.0
457.0;224.0;227.0;597.0;-696.0;-233.0;299.0;154.0
458.0;217.0;162.0;601.0;-659.0;-226.0;284.0;108.0
485.0;215.0;128.0;599.0;-692.0;-227.0;284.0;176.0
481.0;216.0;115.0;598.0;-710.0;-228.0;282.0;179.0
443.0;233.0;125.0;595.0;-673.0;-241.0;291.0;166.0
415.0;242.0;131.0;590.0;-641.0;-249.0;291.0;166.0
409.0;247.0;65.0;588.0;-634.0;-255.0;289.0;163.0
420.0;260.0;44.0;579.0;-606.0;-284.0;274.0;182.0
363.0;-431.0;316.0;489.0;-672.0;321.0;-125.0;330.0
415.0;264.0;45.0;571.0;-553.0;-292.0;265.0;171.0
391.0;-425.0;283.0;477.0;-671.0;272.0;-106.0;345.0
426.0;-432.0;227.0;469.0;-722.0;258.0;-62.0;314.0
389.0;268.0;86.0;565.0;-619.0;-305.0;256.0;163.0
416.0;-502.0;158.0;499.0;-776.0;383.0;3.0;312.0
372.0;-417.0;145.0;455.0;-749.0;256.0;-15.0;293.0
332.0;-419.0;111.0;454.0;-761.0;250.0;-23.0;263.0
405.0;-424.0;17.0;446.0;-750.0;243.0;8.0;281.0
471.0;-467.0;-70.0;397.0;-656.0;320.0;94.0;261.0
352.0;272.0;110.0;555.0;-647.0;-326.0;225.0;187.0
331.0;271.0;42.0;539.0;-510.0;-347.0;166.0;371.0
308.0;269.0;87.0;532.0;-526.0;-354.0;149.0;405.0
233.0;253.0;109.0;513.0;-480.0;-373.0;74.0;462.0
169.0;255.0;70.0;470.0;-545.0;-436.0;31.0;449.0
191.0;85.0;295.0;426.0;-582.0;-326.0;-236.0;523.0
181.0;375.0;282.0;420.0;-567.0;-487.0;92.0;178.0
151.0;216.0;144.0;471.0;-493.0;-393.0;187.0;195.0
146.0;398.0;573.0;527.0;-438.0;-502.0;131.0;392.0
180.0;232.0;116.0;485.0;-418.0;-396.0;184.0;346.0
72.0;555.0;109.0;519.0;-410.0;-485.0;171.0;454.0
298.0;207.0;297.0;509.0;-552.0;44.0;613.0;272.0
227.0;-72.0;263.0;424.0;-366.0;-211.0;-153.0;314.0
254.0;-90.0;289.0;426.0;-395.0;-206.0;-150.0;310.0
171.0;-107.0;285.0;426.0;-478.0;-205.0;-149.0;263.0
103.0;-128.0;282.0;502.0;-480.0;-127.0;-269.0;318.0
97.0;-134.0;195.0;415.0;-736.0;-189.0;-176.0;284.0
84.0;-143.0;111.0;408.0;-583.0;-188.0;-196.0;376.0
43.0;-122.0;-40.0;394.0;-680.0;-127.0;-109.0;337.0
