InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-58.0;-207.0;-683.0;86.0;367.0;230.0;-558.0;-863.0;674.0;-266.0;-583.0;-448.0
-52.0;-195.0;-672.0;76.0;376.0;222.0;-562.0;-871.0;666.0;-271.0;-583.0;-469.0
-51.0;-184.0;?;68.0;378.0;211.0;-561.0;-875.0;663.0;-272.0;-578.0;-477.0
-53.0;-177.0;-672.0;?;380.0;199.0;-563.0;?;669.0;?;-582.0;?
-53.0;?;-670.0;72.0;382.0;192.0;-565.0;-870.0;678.0;?;-596.0;-470.0
-52.0;?;?;81.0;383.0;193.0;-566.0;-864.0;686.0;-288.0;-611.0;-459.0
-50.0;-191.0;-665.0;94.0;384.0;194.0;?;-856.0;692.0;-297.0;-620.0;-445.0
-47.0;-201.0;-665.0;110.0;385.0;192.0;-570.0;?;699.0;-306.0;?;-427.0
-44.0;-218.0;-668.0;127.0;383.0;196.0;?;-836.0;704.0;-317.0;-635.0;-402.0
458.0;-658.0;-658.0;700.0;390.0;582.0;-594.0;-329.0;302.0;-596.0;-246.0;251.0
455.0;-658.0;-657.0;702.0;?;581.0;-594.0;-331.0;304.0;?;-246.0;251.0
448.0;-654.0;-657.0;705.0;391.0;580.0;-593.0;-338.0;307.0;-585.0;-246.0;251.0
434.0;-645.0;?;710.0;391.0;?;-592.0;-350.0;313.0;?;-245.0;247.0
412.0;-631.0;-657.0;?;392.0;561.0;-592.0;-370.0;322.0;-547.0;?;238.0
389.0;-610.0;-656.0;717.0;?;545.0;-591.0;-394.0;335.0;-524.0;-245.0;222.0
362.0;-588.0;-656.0;711.0;394.0;525.0;-593.0;?;355.0;?;?;195.0
331.0;-567.0;-657.0;696.0;392.0;503.0;-593.0;-463.0;382.0;-479.0;-268.0;161.0
297.0;?;-657.0;674.0;393.0;475.0;?;-506.0;?;-455.0;-292.0;117.0
264.0;-520.0;-656.0;641.0;396.0;445.0;-591.0;-555.0;449.0;-432.0;-322.0;67.0
227.0;-496.0;-657.0;?;397.0;?;-588.0;-604.0;483.0;?;?;14.0
187.0;-465.0;-658.0;554.0;398.0;?;?;-653.0;518.0;-388.0;?;-41.0
150.0;-431.0;-656.0;503.0;401.0;381.0;-583.0;-698.0;547.0;-366.0;-408.0;-96.0
112.0;-394.0;-656.0;451.0;402.0;349.0;-581.0;-740.0;570.0;-341.0;-430.0;-148.0
77.0;-357.0;-657.0;400.0;403.0;314.0;-575.0;-776.0;?;?;-449.0;?
44.0;?;?;349.0;?;283.0;-571.0;-806.0;607.0;-280.0;-465.0;-246.0
14.0;-291.0;-661.0;296.0;402.0;254.0;-567.0;-830.0;619.0;-250.0;?;-288.0
-12.0;-266.0;-662.0;243.0;400.0;234.0;-565.0;-847.0;630.0;-224.0;?;-329.0
-33.0;-246.0;-664.0;193.0;396.0;222.0;-565.0;?;639.0;-210.0;-521.0;-370.0
-50.0;-229.0;-666.0;153.0;393.0;208.0;-563.0;-862.0;648.0;?;-539.0;?
-62.0;-214.0;-672.0;124.0;385.0;190.0;?;-865.0;653.0;-222.0;-557.0;-445.0
-68.0;-198.0;-674.0;105.0;377.0;173.0;-568.0;-870.0;656.0;-223.0;-573.0;-472.0
-65.0;-186.0;-675.0;93.0;371.0;178.0;-572.0;-878.0;649.0;-218.0;-583.0;-492.0
-62.0;-180.0;-674.0;88.0;372.0;187.0;-572.0;-882.0;641.0;-214.0;-586.0;-500.0
-62.0;-179.0;-672.0;88.0;374.0;188.0;-572.0;-880.0;637.0;-220.0;-587.0;-496.0
-59.0;-180.0;-671.0;92.0;375.0;189.0;-572.0;-875.0;640.0;-230.0;-592.0;-486.0
-54.0;?;-670.0;99.0;376.0;187.0;?;-868.0;648.0;-242.0;-599.0;-472.0
-48.0;-195.0;-669.0;110.0;377.0;183.0;-573.0;-864.0;?;-256.0;-606.0;-461.0
-40.0;-201.0;-671.0;121.0;375.0;183.0;-573.0;-862.0;655.0;-264.0;-613.0;-450.0
-35.0;?;-675.0;?;?;185.0;-571.0;-861.0;657.0;-264.0;-618.0;-442.0
-33.0;-211.0;-679.0;141.0;367.0;182.0;-571.0;-858.0;664.0;-267.0;-621.0;-434.0
-30.0;-222.0;-682.0;153.0;365.0;179.0;-570.0;-852.0;674.0;?;-630.0;-421.0
425.0;-659.0;-665.0;?;369.0;616.0;-601.0;-376.0;271.0;-571.0;-262.0;243.0
423.0;-660.0;-664.0;690.0;369.0;614.0;-601.0;-376.0;273.0;-566.0;-263.0;243.0
420.0;-659.0;-664.0;694.0;370.0;613.0;-600.0;-377.0;276.0;?;-262.0;243.0
416.0;?;-664.0;?;?;607.0;-599.0;-380.0;281.0;-555.0;-263.0;?
407.0;-648.0;-664.0;701.0;371.0;599.0;?;-389.0;290.0;-544.0;-264.0;241.0
392.0;-635.0;-664.0;705.0;372.0;585.0;-599.0;-404.0;301.0;-526.0;?;236.0
374.0;-618.0;-663.0;?;373.0;570.0;-600.0;-422.0;316.0;-506.0;-273.0;223.0
354.0;-599.0;-661.0;702.0;?;558.0;-602.0;-445.0;337.0;-487.0;-278.0;201.0
327.0;-578.0;-659.0;691.0;373.0;541.0;-605.0;-475.0;363.0;?;-288.0;171.0
295.0;-553.0;?;674.0;374.0;521.0;-607.0;-511.0;395.0;-442.0;-304.0;134.0
?;-524.0;-658.0;649.0;375.0;?;-609.0;-553.0;429.0;-418.0;?;92.0
225.0;-489.0;-658.0;614.0;375.0;466.0;-609.0;-599.0;463.0;-393.0;?;46.0
188.0;-451.0;-660.0;572.0;?;439.0;-606.0;-645.0;?;-369.0;-364.0;-3.0
151.0;-412.0;-662.0;524.0;378.0;412.0;-602.0;-690.0;524.0;-344.0;-384.0;-55.0
113.0;-374.0;-663.0;472.0;381.0;?;-595.0;-733.0;549.0;-319.0;-406.0;-110.0
79.0;-338.0;-664.0;413.0;383.0;351.0;?;-771.0;570.0;-294.0;-428.0;-166.0
45.0;-306.0;-667.0;352.0;?;325.0;-581.0;-804.0;590.0;-272.0;-452.0;-220.0
15.0;-278.0;-671.0;291.0;384.0;302.0;-573.0;-830.0;606.0;-253.0;-477.0;-272.0
-9.0;-255.0;-676.0;234.0;381.0;286.0;-567.0;-850.0;621.0;?;-501.0;-321.0
-28.0;-235.0;-680.0;181.0;377.0;271.0;?;-865.0;636.0;?;-527.0;-366.0
-40.0;-220.0;-684.0;136.0;371.0;247.0;-562.0;?;648.0;-224.0;-552.0;-407.0
-45.0;-205.0;-686.0;102.0;366.0;226.0;-565.0;-882.0;653.0;-226.0;-575.0;-440.0
-44.0;-190.0;-686.0;78.0;361.0;?;-569.0;-886.0;649.0;-230.0;?;-464.0
-39.0;?;-686.0;63.0;362.0;234.0;-569.0;-890.0;642.0;-231.0;-595.0;-479.0
-35.0;-175.0;-683.0;57.0;366.0;229.0;-569.0;?;638.0;-233.0;?;-483.0
-33.0;-172.0;-682.0;58.0;368.0;222.0;-569.0;-890.0;640.0;-239.0;-595.0;-478.0
-32.0;-174.0;-680.0;?;370.0;?;-569.0;-886.0;646.0;-246.0;-599.0;-470.0
-30.0;-177.0;-679.0;?;371.0;210.0;-570.0;-880.0;649.0;-255.0;-604.0;-461.0
-29.0;-182.0;-677.0;85.0;372.0;?;-570.0;-876.0;653.0;?;-605.0;-451.0
-28.0;-187.0;-678.0;100.0;372.0;203.0;-570.0;-870.0;660.0;-265.0;-609.0;-439.0
-25.0;-199.0;-679.0;117.0;371.0;200.0;-570.0;-862.0;672.0;-274.0;-619.0;-422.0
488.0;-674.0;-671.0;684.0;374.0;587.0;-577.0;-381.0;257.0;-605.0;-285.0;205.0
480.0;-663.0;-671.0;692.0;373.0;584.0;-579.0;-397.0;259.0;-587.0;-279.0;198.0
474.0;-648.0;-670.0;698.0;?;580.0;-581.0;-421.0;259.0;-564.0;-269.0;184.0
471.0;-630.0;-667.0;698.0;?;580.0;-585.0;?;255.0;-544.0;-254.0;159.0
469.0;-612.0;-665.0;692.0;?;587.0;-588.0;-485.0;249.0;-526.0;-234.0;122.0
466.0;-596.0;-664.0;680.0;374.0;603.0;-589.0;-523.0;238.0;-509.0;-212.0;79.0
464.0;-582.0;-666.0;?;374.0;629.0;-586.0;-568.0;223.0;-492.0;-183.0;32.0
463.0;-572.0;-667.0;623.0;?;661.0;-584.0;-620.0;205.0;-476.0;-148.0;-12.0
466.0;-563.0;-668.0;571.0;373.0;?;-582.0;-674.0;183.0;-459.0;?;-53.0
?;-560.0;-668.0;506.0;373.0;711.0;-579.0;-722.0;?;-438.0;-83.0;-89.0
470.0;-562.0;-670.0;441.0;371.0;717.0;-578.0;-761.0;154.0;-404.0;?;-119.0
483.0;-567.0;-671.0;379.0;?;719.0;?;-796.0;152.0;-355.0;-11.0;?
499.0;-573.0;-672.0;321.0;366.0;712.0;-573.0;-821.0;153.0;-306.0;17.0;-172.0
?;-583.0;-674.0;262.0;365.0;?;?;-834.0;?;-265.0;34.0;-196.0
525.0;-588.0;-677.0;203.0;363.0;664.0;-564.0;-841.0;139.0;-232.0;46.0;-220.0
537.0;-585.0;-680.0;149.0;360.0;645.0;-560.0;-843.0;132.0;-204.0;49.0;-247.0
545.0;-579.0;-683.0;99.0;358.0;636.0;-555.0;-841.0;130.0;-185.0;45.0;-275.0
550.0;-570.0;-686.0;?;355.0;635.0;-550.0;-837.0;130.0;-171.0;40.0;-297.0
?;-563.0;-689.0;29.0;354.0;640.0;-545.0;-834.0;?;-157.0;35.0;?
555.0;-559.0;?;10.0;353.0;648.0;-539.0;-832.0;134.0;-146.0;28.0;-330.0
555.0;-560.0;-693.0;0.0;352.0;658.0;?;-829.0;136.0;-135.0;17.0;-337.0
555.0;-566.0;-695.0;0.0;350.0;668.0;-530.0;-830.0;?;-123.0;4.0;-338.0
556.0;-573.0;-697.0;8.0;?;677.0;-530.0;-832.0;140.0;?;-8.0;?
?;?;-698.0;19.0;341.0;686.0;-531.0;-835.0;137.0;?;?;-329.0
556.0;-589.0;-699.0;33.0;?;?;?;-838.0;131.0;-105.0;-15.0;?
555.0;-597.0;?;47.0;332.0;701.0;-536.0;-842.0;122.0;-111.0;?;-316.0
552.0;-604.0;-700.0;63.0;326.0;708.0;-539.0;-845.0;115.0;-121.0;-19.0;-312.0
548.0;-610.0;-700.0;78.0;321.0;716.0;-543.0;?;109.0;-134.0;-26.0;-310.0
543.0;-615.0;-701.0;91.0;314.0;724.0;-547.0;-851.0;105.0;-147.0;?;?
539.0;-619.0;-701.0;101.0;309.0;732.0;-551.0;-854.0;104.0;-158.0;-50.0;-302.0
536.0;-625.0;-701.0;110.0;303.0;740.0;-555.0;-855.0;105.0;-165.0;?;-298.0
535.0;-630.0;-701.0;119.0;299.0;?;-557.0;-856.0;107.0;-167.0;-74.0;-292.0
535.0;-634.0;-700.0;125.0;297.0;750.0;-560.0;-857.0;109.0;-164.0;-81.0;-285.0
536.0;-637.0;-699.0;130.0;296.0;753.0;-560.0;-858.0;110.0;-157.0;-84.0;-279.0
537.0;-640.0;-699.0;133.0;295.0;754.0;-560.0;-859.0;109.0;-147.0;-83.0;-275.0
538.0;?;-699.0;133.0;296.0;755.0;-559.0;-859.0;107.0;?;-78.0;-274.0
540.0;-644.0;-699.0;129.0;297.0;754.0;-557.0;-859.0;103.0;-126.0;-70.0;-273.0
542.0;-645.0;-701.0;123.0;298.0;?;-554.0;-858.0;100.0;-114.0;-61.0;-271.0
545.0;-644.0;-703.0;?;299.0;751.0;-551.0;-857.0;94.0;-101.0;-50.0;-271.0
547.0;-644.0;-706.0;111.0;298.0;747.0;-548.0;-856.0;88.0;?;-38.0;-273.0
548.0;-643.0;-708.0;104.0;297.0;742.0;-547.0;?;82.0;-78.0;-25.0;-276.0
?;-643.0;-709.0;98.0;297.0;733.0;-546.0;-853.0;77.0;-70.0;-11.0;-280.0
549.0;-641.0;-710.0;93.0;297.0;724.0;-544.0;-853.0;?;?;2.0;-283.0
549.0;-639.0;-712.0;89.0;297.0;715.0;-543.0;-852.0;74.0;-62.0;12.0;-286.0
?;-635.0;-713.0;87.0;298.0;707.0;-542.0;-852.0;72.0;-59.0;19.0;-287.0
549.0;-630.0;-713.0;88.0;298.0;700.0;-543.0;-852.0;71.0;?;22.0;-289.0
549.0;-626.0;-712.0;89.0;?;694.0;-543.0;-852.0;71.0;-60.0;23.0;-290.0
?;-621.0;-711.0;92.0;301.0;?;-545.0;?;75.0;-64.0;20.0;-290.0
548.0;-617.0;-709.0;94.0;303.0;687.0;-546.0;-853.0;81.0;-68.0;13.0;-289.0
?;-614.0;-706.0;?;306.0;685.0;-547.0;-853.0;88.0;?;2.0;-287.0
549.0;-612.0;-704.0;103.0;309.0;685.0;-547.0;?;?;?;-11.0;-283.0
?;-610.0;-701.0;110.0;314.0;686.0;?;-851.0;107.0;-71.0;-23.0;-277.0
552.0;-609.0;-698.0;119.0;318.0;687.0;-547.0;-849.0;116.0;-69.0;-28.0;-270.0
555.0;-608.0;-696.0;130.0;322.0;690.0;-547.0;-847.0;120.0;-65.0;-29.0;-261.0
559.0;-610.0;?;143.0;326.0;691.0;-545.0;-846.0;?;?;-31.0;-253.0
562.0;-613.0;-693.0;155.0;329.0;694.0;-543.0;-845.0;?;-58.0;-33.0;-244.0
561.0;?;?;168.0;328.0;698.0;?;-845.0;122.0;-60.0;-41.0;-243.0
?;-626.0;-690.0;176.0;?;704.0;-539.0;-844.0;131.0;?;-43.0;-230.0
569.0;-636.0;-681.0;181.0;343.0;706.0;-543.0;?;131.0;-56.0;-41.0;-214.0
569.0;-646.0;-678.0;186.0;349.0;?;-547.0;-848.0;129.0;-52.0;-39.0;-212.0
565.0;-655.0;-675.0;187.0;352.0;725.0;-551.0;?;129.0;?;-41.0;-212.0
559.0;-660.0;-675.0;?;352.0;739.0;-553.0;-854.0;122.0;-64.0;-42.0;-216.0
554.0;-662.0;-678.0;185.0;348.0;749.0;-554.0;-857.0;110.0;?;-40.0;-221.0
548.0;-665.0;-682.0;179.0;342.0;752.0;-552.0;-859.0;?;-89.0;?;-225.0
546.0;-668.0;-685.0;172.0;?;?;-553.0;-860.0;100.0;-96.0;-23.0;-226.0
547.0;-672.0;-685.0;167.0;336.0;754.0;-555.0;-859.0;97.0;-99.0;-18.0;-227.0
548.0;-673.0;-684.0;165.0;335.0;753.0;-557.0;-858.0;92.0;-98.0;-16.0;-228.0
550.0;-673.0;-683.0;166.0;334.0;748.0;-558.0;-856.0;88.0;-93.0;-11.0;-229.0
552.0;-671.0;-684.0;163.0;?;741.0;-558.0;-855.0;86.0;-87.0;?;-231.0
554.0;-669.0;-685.0;157.0;332.0;734.0;-559.0;-854.0;86.0;-83.0;?;-235.0
555.0;-666.0;-686.0;149.0;332.0;729.0;?;?;88.0;-81.0;2.0;?
557.0;-663.0;-686.0;141.0;332.0;723.0;-559.0;-852.0;91.0;-79.0;2.0;-243.0
557.0;-658.0;-687.0;134.0;330.0;718.0;-560.0;-852.0;93.0;-78.0;2.0;-246.0
557.0;-654.0;-689.0;128.0;329.0;712.0;-560.0;-852.0;95.0;-76.0;4.0;-251.0
556.0;-651.0;-691.0;123.0;327.0;706.0;-559.0;-853.0;97.0;-76.0;6.0;-255.0
554.0;-647.0;-693.0;119.0;326.0;700.0;-559.0;-853.0;97.0;-76.0;10.0;-258.0
554.0;-645.0;-695.0;116.0;324.0;696.0;-558.0;-854.0;97.0;-77.0;13.0;-261.0
553.0;-642.0;-697.0;114.0;322.0;692.0;-557.0;-854.0;95.0;-78.0;17.0;-263.0
552.0;-641.0;-701.0;110.0;320.0;688.0;-555.0;-854.0;93.0;-79.0;21.0;-265.0
552.0;-638.0;-703.0;107.0;317.0;688.0;-554.0;-854.0;90.0;-79.0;23.0;-268.0
552.0;-636.0;-706.0;105.0;315.0;689.0;-553.0;-854.0;88.0;-80.0;25.0;-271.0
?;?;-709.0;104.0;313.0;690.0;-551.0;-854.0;83.0;-81.0;27.0;?
552.0;-634.0;-712.0;105.0;310.0;693.0;-549.0;-853.0;78.0;-82.0;29.0;-275.0
553.0;-633.0;-715.0;105.0;306.0;694.0;-546.0;-852.0;74.0;-83.0;31.0;-277.0
554.0;-633.0;-718.0;105.0;304.0;697.0;-543.0;-851.0;70.0;-82.0;33.0;?
556.0;-633.0;?;106.0;302.0;699.0;-540.0;-850.0;65.0;-78.0;33.0;-278.0
?;-633.0;-721.0;109.0;300.0;702.0;?;-849.0;62.0;-74.0;33.0;-277.0
561.0;-634.0;-721.0;115.0;299.0;704.0;-536.0;-847.0;59.0;-68.0;32.0;?
564.0;-634.0;-720.0;123.0;299.0;706.0;-534.0;-845.0;58.0;-61.0;30.0;-274.0
566.0;?;-719.0;129.0;298.0;708.0;?;-844.0;56.0;-56.0;30.0;-274.0
566.0;-637.0;-718.0;133.0;?;708.0;-533.0;?;54.0;-53.0;30.0;-274.0
