InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit BACK magneticX;Accelerometer BACK accZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA magneticY;Accelerometer HIP accZ
206.0;-373.0;342.0;367.0;-485.0;-17.0;-57.0;330.0
221.0;22.0;-88.0;876.0;-433.0;7.0;130.0;430.0
165.0;9.0;151.0;925.0;-724.0;13.0;158.0;475.0
204.0;-26.0;-113.0;1031.0;-355.0;-98.0;205.0;317.0
109.0;-532.0;106.0;276.0;-473.0;132.0;-7.0;338.0
112.0;-580.0;5.0;272.0;-449.0;289.0;-497.0;347.0
104.0;-19.0;192.0;946.0;-685.0;14.0;152.0;188.0
102.0;-65.0;467.0;993.0;-529.0;21.0;134.0;16.0
308.0;-118.0;977.0;1088.0;-458.0;18.0;243.0;259.0
197.0;-47.0;-119.0;1053.0;-541.0;-180.0;-27.0;495.0
73.0;-25.0;196.0;749.0;-564.0;57.0;236.0;417.0
195.0;109.0;130.0;1055.0;-399.0;-146.0;468.0;564.0
307.0;-73.0;41.0;644.0;-482.0;180.0;433.0;271.0
65.0;66.0;21.0;1006.0;-700.0;-79.0;656.0;631.0
67.0;144.0;481.0;369.0;-420.0;237.0;745.0;375.0
130.0;50.0;17.0;466.0;-637.0;216.0;649.0;129.0
160.0;142.0;-243.0;520.0;-604.0;61.0;469.0;525.0
367.0;242.0;65.0;509.0;-405.0;21.0;455.0;282.0
179.0;2.0;-69.0;948.0;-584.0;73.0;498.0;446.0
198.0;1.0;30.0;945.0;-583.0;67.0;464.0;462.0
211.0;-60.0;44.0;944.0;-552.0;130.0;454.0;441.0
206.0;-68.0;32.0;941.0;-556.0;145.0;460.0;436.0
208.0;-71.0;125.0;940.0;-564.0;146.0;468.0;417.0
202.0;-70.0;166.0;940.0;-572.0;147.0;481.0;440.0
187.0;-43.0;150.0;932.0;-503.0;146.0;551.0;380.0
193.0;-67.0;73.0;938.0;-545.0;149.0;502.0;441.0
137.0;-125.0;144.0;890.0;-827.0;215.0;734.0;582.0
135.0;-649.0;215.0;1077.0;-794.0;500.0;815.0;703.0
