Accelerometer LH accX;Accelerometer LUA_ accZ;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LWR accY;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer RWR accZ;Accelerometer LUA_ accY
-23.0;751.0;75.0;-223.0;?;-1248.0;-628.0;835.0;540.0;-736.0
?;691.0;341.0;-291.0;797;-1129.0;-732.0;848.0;538.0;-743.0
38.0;699.0;435.0;-461.0;801;-1011.0;-710.0;931.0;533.0;-695.0
?;753.0;387.0;-499.0;797;?;?;1017.0;471.0;-803.0
-71.0;804.0;327.0;-380.0;791;-889.0;-641.0;1144.0;427.0;-1004.0
-147.0;796.0;358.0;-197.0;797;-906.0;-710.0;1219.0;344.0;-1025.0
-47.0;926.0;376.0;-97.0;800;-1156.0;-709.0;1210.0;335.0;-804.0
?;927.0;343.0;?;796;-1278.0;-620.0;1068.0;351.0;-739.0
218.0;861.0;274.0;-151.0;797;-1249.0;?;1072.0;496.0;-633.0
610.0;952.0;?;-93.0;797;-587.0;-632.0;1033.0;406.0;-151.0
747.0;943.0;431.0;-70.0;795;-413.0;-664.0;893.0;513.0;-300.0
676.0;?;539.0;63.0;793;-330.0;-773.0;1007.0;536.0;-325.0
661.0;932.0;672.0;219.0;792;-375.0;-828.0;967.0;590.0;-461.0
622.0;921.0;846.0;397.0;793;?;-891.0;1005.0;497.0;-443.0
472.0;931.0;1079.0;516.0;?;-471.0;-999.0;972.0;472.0;-438.0
454.0;872.0;1091.0;506.0;798;-593.0;-1026.0;941.0;511.0;-464.0
660.0;850.0;974.0;344.0;792;-572.0;-1001.0;892.0;492.0;-532.0
783.0;832.0;863.0;228.0;796;-601.0;-999.0;850.0;543.0;-489.0
600.0;768.0;812.0;?;797;-646.0;-977.0;746.0;664.0;-512.0
385.0;758.0;690.0;-39.0;795;-668.0;-979.0;805.0;683.0;?
346.0;714.0;647.0;-15.0;797;-657.0;?;817.0;752.0;-465.0
?;697.0;645.0;-25.0;793;-652.0;-1036.0;863.0;757.0;-441.0
367.0;652.0;585.0;-41.0;795;-636.0;-989.0;?;750.0;-478.0
451.0;?;604.0;-98.0;794;-588.0;-895.0;909.0;709.0;-558.0
426.0;629.0;651.0;-167.0;793;-591.0;-811.0;?;606.0;-811.0
164.0;663.0;667.0;-230.0;797;-664.0;-773.0;?;465.0;-1163.0
-233.0;678.0;566.0;-228.0;793;-832.0;-639.0;911.0;358.0;?
-598.0;787.0;371.0;-178.0;795;-1175.0;-677.0;867.0;298.0;-1227.0
-226.0;877.0;?;-171.0;797;?;-696.0;824.0;324.0;-957.0
91.0;927.0;-73.0;-197.0;795;-1492.0;-617.0;782.0;356.0;-824.0
311.0;925.0;-122.0;-224.0;794;?;?;776.0;384.0;-679.0
184.0;?;137.0;-371.0;795;-1207.0;-432.0;750.0;465.0;-611.0
196.0;801.0;271.0;-524.0;797;-1024.0;-753.0;772.0;463.0;?
26.0;662.0;?;-463.0;799;-880.0;-870.0;902.0;479.0;-673.0
-42.0;647.0;405.0;-298.0;804;-795.0;-968.0;1059.0;515.0;-771.0
-13.0;690.0;385.0;-103.0;797;?;-982.0;1297.0;489.0;?
-65.0;685.0;435.0;120.0;789;-909.0;-859.0;1374.0;383.0;-861.0
41.0;715.0;567.0;205.0;796;-1013.0;-802.0;1247.0;322.0;-733.0
81.0;830.0;579.0;145.0;801;-1073.0;-663.0;1068.0;343.0;?
305.0;888.0;477.0;-101.0;?;-1017.0;-605.0;989.0;436.0;-704.0
?;863.0;381.0;-324.0;794;-989.0;-581.0;871.0;562.0;-787.0
292.0;876.0;468.0;-30.0;798;-751.0;-723.0;1051.0;?;-330.0
465.0;920.0;?;-85.0;?;-683.0;-699.0;718.0;353.0;-278.0
496.0;906.0;483.0;-40.0;796;-529.0;-720.0;995.0;426.0;-330.0
560.0;917.0;524.0;58.0;797;-431.0;-785.0;896.0;501.0;-379.0
649.0;904.0;628.0;148.0;799;-430.0;?;1007.0;519.0;-371.0
676.0;935.0;800.0;283.0;?;-435.0;?;989.0;486.0;-384.0
547.0;947.0;978.0;367.0;797;-484.0;-890.0;970.0;463.0;-387.0
500.0;994.0;1024.0;409.0;795;-494.0;-943.0;944.0;470.0;-413.0
?;909.0;979.0;374.0;795;-493.0;-984.0;944.0;491.0;-398.0
742.0;890.0;926.0;300.0;797;-524.0;-1008.0;871.0;561.0;-379.0
?;858.0;?;216.0;791;-564.0;?;782.0;627.0;-409.0
744.0;796.0;844.0;148.0;796;-529.0;-1018.0;?;650.0;-429.0
685.0;?;?;72.0;796;-559.0;-1069.0;875.0;703.0;-409.0
696.0;703.0;?;-14.0;793;-553.0;?;855.0;710.0;-476.0
507.0;653.0;706.0;-80.0;801;-526.0;-1137.0;890.0;?;-568.0
?;656.0;651.0;-131.0;799;-562.0;-1045.0;861.0;635.0;-767.0
287.0;709.0;542.0;-191.0;795;-686.0;-961.0;?;577.0;-1093.0
?;774.0;416.0;?;793;-755.0;-867.0;857.0;540.0;-1112.0
-419.0;790.0;331.0;-238.0;797;-1140.0;-719.0;813.0;493.0;-1121.0
-45.0;824.0;222.0;-265.0;?;?;-715.0;812.0;474.0;-957.0
408.0;830.0;136.0;-266.0;?;-1369.0;-636.0;?;471.0;-856.0
223.0;816.0;96.0;?;801;-1343.0;-486.0;795.0;557.0;-737.0
104.0;762.0;127.0;-222.0;797;-1206.0;-501.0;751.0;627.0;-672.0
37.0;?;202.0;-357.0;798;-1030.0;-890.0;817.0;626.0;-682.0
82.0;639.0;417.0;?;801;-914.0;?;872.0;591.0;-756.0
-22.0;642.0;?;-286.0;800;-836.0;-944.0;1044.0;541.0;-870.0
-50.0;760.0;537.0;-118.0;?;-889.0;-855.0;1197.0;433.0;-978.0
?;855.0;501.0;77.0;793;-1006.0;-754.0;1300.0;348.0;-971.0
68.0;923.0;489.0;62.0;798;-1161.0;-730.0;1200.0;?;-934.0
173.0;922.0;384.0;-89.0;802;-1256.0;-590.0;1084.0;457.0;-828.0
333.0;947.0;274.0;-284.0;800;-1277.0;-544.0;981.0;644.0;-777.0
71.0;644.0;408.0;161.0;803;45.0;-712.0;1037.0;392.0;-2.0
17.0;697.0;504.0;278.0;785;93.0;-647.0;726.0;360.0;-87.0
?;762.0;?;?;?;183.0;-482.0;972.0;344.0;-224.0
11.0;?;612.0;?;805;269.0;-414.0;874.0;270.0;246.0
?;886.0;532.0;292.0;798;?;-448.0;795.0;459.0;567.0
1122.0;1005.0;451.0;191.0;795;652.0;-406.0;?;545.0;962.0
1630.0;?;364.0;69.0;804;968.0;-341.0;?;654.0;1097.0
2102.0;771.0;437.0;-156.0;798;1386.0;-367.0;488.0;974.0;?
1668.0;838.0;348.0;-283.0;796;1562.0;-649.0;494.0;1349.0;1447.0
1696.0;596.0;201.0;-295.0;803;1710.0;?;541.0;?;?
1738.0;546.0;387.0;-126.0;793;1770.0;-1087.0;630.0;1306.0;1253.0
1668.0;507.0;642.0;52.0;804;1585.0;-1188.0;940.0;1299.0;1156.0
1580.0;579.0;586.0;14.0;769;1316.0;-1314.0;998.0;1203.0;1115.0
1395.0;554.0;675.0;87.0;749;971.0;-1287.0;863.0;1097.0;1043.0
?;568.0;789.0;367.0;809;?;-989.0;734.0;1161.0;986.0
770.0;548.0;715.0;582.0;816;?;-1028.0;?;1154.0;929.0
718.0;502.0;644.0;571.0;791;812.0;?;546.0;994.0;919.0
?;469.0;708.0;381.0;789;765.0;-888.0;389.0;1010.0;973.0
669.0;440.0;724.0;?;794;748.0;-779.0;487.0;972.0;1081.0
602.0;371.0;664.0;100.0;?;791.0;-701.0;306.0;893.0;1120.0
523.0;322.0;?;?;?;893.0;-612.0;210.0;820.0;1070.0
?;303.0;728.0;40.0;?;1006.0;?;344.0;791.0;1067.0
398.0;281.0;688.0;93.0;797;1025.0;-659.0;?;?;1019.0
346.0;321.0;694.0;?;793;1025.0;-610.0;397.0;721.0;982.0
282.0;308.0;670.0;182.0;797;?;-534.0;?;582.0;997.0
225.0;303.0;658.0;229.0;805;965.0;-441.0;358.0;579.0;967.0
200.0;314.0;611.0;254.0;792;962.0;-340.0;?;563.0;956.0
195.0;339.0;548.0;241.0;789;948.0;-281.0;304.0;518.0;889.0
185.0;367.0;514.0;206.0;798;935.0;-249.0;232.0;529.0;?
128.0;383.0;492.0;179.0;784;908.0;-250.0;164.0;536.0;892.0
100.0;370.0;473.0;150.0;787;848.0;-254.0;192.0;543.0;861.0
96.0;?;?;171.0;784;814.0;?;142.0;497.0;868.0
145.0;405.0;460.0;185.0;765;820.0;?;147.0;523.0;900.0
187.0;?;490.0;191.0;785;829.0;-211.0;134.0;552.0;872.0
231.0;454.0;?;179.0;791;813.0;-230.0;168.0;582.0;914.0
268.0;450.0;491.0;180.0;?;816.0;?;?;607.0;923.0
306.0;413.0;490.0;?;785;797.0;-241.0;161.0;?;957.0
358.0;397.0;?;190.0;780;855.0;-243.0;230.0;579.0;962.0
420.0;?;520.0;191.0;785;896.0;-272.0;?;620.0;990.0
?;395.0;?;185.0;795;899.0;?;245.0;601.0;1001.0
503.0;381.0;537.0;162.0;799;908.0;-380.0;276.0;597.0;1019.0
553.0;383.0;564.0;162.0;794;921.0;-421.0;285.0;576.0;1007.0
560.0;372.0;557.0;188.0;786;914.0;-411.0;271.0;637.0;1011.0
520.0;388.0;535.0;226.0;790;891.0;-379.0;267.0;609.0;1005.0
508.0;378.0;553.0;230.0;799;871.0;-399.0;271.0;582.0;980.0
489.0;388.0;560.0;228.0;800;879.0;-457.0;225.0;576.0;963.0
454.0;344.0;543.0;207.0;?;854.0;-451.0;226.0;610.0;914.0
453.0;315.0;537.0;185.0;?;847.0;-397.0;245.0;580.0;885.0
514.0;326.0;531.0;172.0;800;842.0;-387.0;215.0;575.0;?
444.0;?;?;168.0;798;793.0;-413.0;198.0;571.0;841.0
?;228.0;519.0;170.0;801;787.0;-404.0;221.0;546.0;627.0
264.0;?;498.0;164.0;801;?;-382.0;215.0;582.0;907.0
356.0;414.0;471.0;180.0;783;626.0;-315.0;222.0;571.0;1429.0
236.0;422.0;515.0;186.0;805;585.0;-361.0;215.0;483.0;1252.0
395.0;272.0;520.0;118.0;?;1184.0;-393.0;232.0;606.0;905.0
434.0;359.0;520.0;136.0;?;1289.0;-337.0;244.0;793.0;835.0
532.0;404.0;465.0;?;786;?;-304.0;256.0;612.0;815.0
669.0;473.0;495.0;-47.0;803;779.0;-251.0;223.0;428.0;903.0
496.0;?;686.0;139.0;795;827.0;-410.0;245.0;488.0;956.0
269.0;459.0;493.0;?;797;810.0;-312.0;194.0;469.0;940.0
?;424.0;408.0;?;800;900.0;-255.0;226.0;?;906.0
183.0;430.0;431.0;429.0;799;?;-338.0;493.0;534.0;908.0
355.0;440.0;?;155.0;?;820.0;-620.0;?;558.0;945.0
349.0;422.0;?;?;793;821.0;-524.0;292.0;555.0;958.0
260.0;387.0;376.0;19.0;799;839.0;-269.0;309.0;581.0;952.0
263.0;375.0;378.0;99.0;804;?;-297.0;281.0;571.0;929.0
317.0;393.0;407.0;152.0;794;?;-387.0;206.0;582.0;893.0
336.0;407.0;469.0;164.0;797;863.0;-415.0;363.0;617.0;917.0
350.0;408.0;?;143.0;797;834.0;-371.0;403.0;613.0;942.0
331.0;?;499.0;?;796;833.0;-303.0;274.0;628.0;943.0
333.0;408.0;528.0;138.0;805;841.0;-299.0;273.0;662.0;952.0
375.0;?;562.0;153.0;?;855.0;-330.0;275.0;652.0;964.0
426.0;418.0;?;?;803;851.0;-353.0;276.0;638.0;1006.0
445.0;413.0;573.0;109.0;807;858.0;-362.0;273.0;637.0;1023.0
455.0;396.0;566.0;98.0;799;875.0;-358.0;294.0;659.0;950.0
463.0;400.0;549.0;99.0;791;911.0;-363.0;294.0;656.0;?
487.0;413.0;529.0;103.0;?;?;-374.0;266.0;?;933.0
487.0;?;535.0;?;?;839.0;-382.0;290.0;591.0;918.0
443.0;383.0;535.0;?;790;?;-376.0;308.0;588.0;956.0
422.0;?;526.0;141.0;789;831.0;-392.0;325.0;?;?
