InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
631.0;-392.0;842.0;208.0;-400.0;558.0;289.0;-815.0;-57.0;-375.0;219.0;-233.0
335.0;-611.0;741.0;195.0;-251.0;721.0;588.0;-946.0;22.0;-183.0;41.0;-284.0
331.0;-595.0;747.0;217.0;-270.0;711.0;567.0;-942.0;25.0;-171.0;36.0;-267.0
369.0;-577.0;752.0;259.0;-295.0;663.0;547.0;-927.0;35.0;-165.0;60.0;-267.0
390.0;-564.0;756.0;282.0;-307.0;642.0;533.0;-920.0;36.0;-162.0;76.0;-270.0
439.0;-573.0;750.0;347.0;-337.0;674.0;522.0;-894.0;68.0;-133.0;16.0;-300.0
589.0;-575.0;761.0;44.0;-208.0;694.0;594.0;-856.0;284.0;-106.0;-140.0;-195.0
645.0;-364.0;732.0;221.0;-297.0;566.0;561.0;-825.0;507.0;4.0;-413.0;110.0
605.0;-187.0;718.0;463.0;-356.0;520.0;521.0;-715.0;520.0;152.0;-422.0;395.0
425.0;-580.0;749.0;277.0;-322.0;679.0;540.0;-905.0;53.0;-217.0;26.0;-347.0
450.0;-624.0;778.0;-90.0;-218.0;811.0;536.0;-841.0;32.0;-303.0;-50.0;-501.0
545.0;-595.0;744.0;233.0;-323.0;681.0;544.0;-788.0;15.0;33.0;68.0;-301.0
594.0;-602.0;731.0;302.0;-331.0;675.0;552.0;-769.0;32.0;69.0;47.0;-224.0
591.0;-602.0;729.0;302.0;-333.0;677.0;552.0;-777.0;37.0;58.0;39.0;-222.0
580.0;-603.0;727.0;302.0;-336.0;681.0;552.0;-794.0;45.0;26.0;25.0;-216.0
564.0;-600.0;723.0;420.0;-342.0;682.0;542.0;-766.0;67.0;-51.0;-8.0;-159.0
606.0;-513.0;764.0;237.0;-259.0;615.0;563.0;-823.0;98.0;-10.0;2.0;-145.0
583.0;-487.0;726.0;175.0;-292.0;598.0;572.0;-856.0;272.0;-80.0;-127.0;-137.0
586.0;-574.0;743.0;114.0;-258.0;659.0;580.0;-850.0;192.0;-85.0;-128.0;-216.0
514.0;-615.0;653.0;539.0;-398.0;746.0;499.0;-760.0;105.0;-245.0;-81.0;42.0
394.0;-627.0;706.0;834.0;-282.0;778.0;623.0;-524.0;3.0;-126.0;12.0;-11.0
598.0;-594.0;726.0;655.0;-365.0;682.0;509.0;-649.0;60.0;-87.0;19.0;-185.0
581.0;-585.0;751.0;292.0;-303.0;664.0;530.0;-757.0;9.0;-289.0;70.0;-127.0
549.0;-606.0;745.0;164.0;-280.0;686.0;564.0;-792.0;-18.0;-344.0;92.0;-156.0
543.0;-618.0;748.0;158.0;-265.0;704.0;570.0;-800.0;-34.0;-336.0;102.0;-168.0
598.0;-537.0;763.0;167.0;-241.0;631.0;580.0;-833.0;21.0;-49.0;68.0;-213.0
576.0;-523.0;747.0;191.0;-270.0;641.0;570.0;-857.0;108.0;-60.0;-52.0;-151.0
351.0;-618.0;737.0;199.0;-252.0;705.0;592.0;-943.0;18.0;-183.0;59.0;-288.0
574.0;-544.0;741.0;167.0;-271.0;659.0;572.0;-857.0;102.0;-72.0;-41.0;-178.0
578.0;-579.0;748.0;142.0;-255.0;671.0;576.0;-853.0;92.0;-75.0;-35.0;-212.0
566.0;-625.0;774.0;-20.0;-175.0;709.0;600.0;-843.0;104.0;-136.0;-103.0;-284.0
360.0;-618.0;736.0;201.0;-252.0;698.0;594.0;-941.0;20.0;-184.0;66.0;-291.0
368.0;-615.0;735.0;202.0;-252.0;694.0;596.0;-938.0;25.0;-184.0;70.0;-293.0
388.0;-608.0;730.0;204.0;-257.0;682.0;601.0;-933.0;39.0;-185.0;78.0;-296.0
599.0;-522.0;709.0;293.0;-361.0;619.0;516.0;-829.0;142.0;-22.0;-95.0;-93.0
599.0;-527.0;677.0;243.0;-387.0;612.0;500.0;-836.0;202.0;-30.0;-147.0;-119.0
609.0;-569.0;693.0;193.0;-365.0;645.0;510.0;-830.0;169.0;-18.0;-136.0;-171.0
603.0;-603.0;702.0;145.0;-353.0;667.0;520.0;-832.0;118.0;-32.0;-106.0;-220.0
397.0;-605.0;727.0;202.0;-260.0;670.0;603.0;-931.0;38.0;-189.0;89.0;-299.0
407.0;-602.0;727.0;201.0;-260.0;660.0;604.0;-928.0;37.0;-191.0;101.0;-297.0
53.0;-645.0;838.0;134.0;-30.0;607.0;541.0;-872.0;-151.0;-411.0;259.0;-575.0
-443.0;596.0;788.0;72.0;-111.0;-618.0;603.0;868.0;160.0;188.0;-278.0;465.0
-411.0;271.0;-1.0;-814.0;467.0;-374.0;137.0;221.0;-480.0;-443.0;608.0;-591.0
428.0;-587.0;736.0;210.0;-254.0;644.0;599.0;-921.0;29.0;-193.0;122.0;-287.0
446.0;-583.0;742.0;208.0;-251.0;643.0;597.0;-918.0;18.0;-190.0;137.0;-290.0
473.0;-590.0;747.0;304.0;-302.0;674.0;563.0;-889.0;-10.0;-258.0;107.0;-224.0
471.0;-586.0;749.0;311.0;-300.0;664.0;562.0;-886.0;-14.0;-266.0;116.0;-231.0
362.0;-661.0;715.0;347.0;-286.0;672.0;571.0;-768.0;2.0;-524.0;130.0;-254.0
545.0;-564.0;759.0;217.0;-319.0;639.0;538.0;-842.0;1.0;-353.0;119.0;-335.0
609.0;-590.0;730.0;287.0;-342.0;671.0;521.0;-825.0;-18.0;-52.0;63.0;-93.0
631.0;-571.0;731.0;258.0;-364.0;642.0;507.0;-803.0;-5.0;62.0;118.0;-134.0
630.0;-576.0;737.0;224.0;-356.0;642.0;508.0;-804.0;-15.0;56.0;125.0;-161.0
611.0;-613.0;700.0;213.0;-361.0;675.0;529.0;-819.0;56.0;5.0;50.0;-191.0
610.0;-599.0;695.0;238.0;-368.0;679.0;523.0;-818.0;78.0;-9.0;32.0;-161.0
588.0;-611.0;758.0;46.0;-285.0;673.0;540.0;-825.0;11.0;-47.0;40.0;-291.0
615.0;-577.0;754.0;100.0;-317.0;666.0;521.0;-822.0;-35.0;-13.0;52.0;-208.0
620.0;-569.0;739.0;162.0;-332.0;660.0;524.0;-827.0;-8.0;-15.0;50.0;-177.0
616.0;-560.0;727.0;212.0;-349.0;654.0;521.0;-831.0;38.0;-35.0;2.0;-144.0
611.0;-554.0;722.0;232.0;-354.0;651.0;519.0;-834.0;63.0;-43.0;-23.0;-129.0
597.0;-541.0;710.0;259.0;-368.0;637.0;511.0;-843.0;112.0;-58.0;-72.0;-90.0
602.0;-552.0;696.0;211.0;-370.0;637.0;511.0;-844.0;144.0;-55.0;-104.0;-119.0
593.0;-564.0;702.0;331.0;-391.0;667.0;496.0;-825.0;100.0;19.0;24.0;-50.0
140.0;-638.0;763.0;435.0;-25.0;601.0;644.0;-858.0;-219.0;-273.0;269.0;-448.0
338.0;-552.0;783.0;287.0;-222.0;625.0;570.0;-928.0;-74.0;-139.0;175.0;-374.0
363.0;-547.0;785.0;298.0;-240.0;634.0;558.0;-920.0;-59.0;-130.0;152.0;-355.0
391.0;-549.0;782.0;318.0;-258.0;648.0;550.0;-915.0;-43.0;-135.0;125.0;-360.0
393.0;-554.0;779.0;342.0;-271.0;665.0;544.0;-907.0;-28.0;-147.0;99.0;-369.0
409.0;-561.0;776.0;368.0;-281.0;676.0;539.0;-899.0;-19.0;-152.0;83.0;-371.0
413.0;-563.0;775.0;378.0;-284.0;678.0;537.0;-894.0;-18.0;-162.0;80.0;-374.0
381.0;-611.0;742.0;433.0;-87.0;814.0;665.0;-813.0;-185.0;-289.0;204.0;-367.0
356.0;-621.0;730.0;711.0;-223.0;789.0;635.0;-643.0;-105.0;-268.0;114.0;-144.0
480.0;-565.0;767.0;489.0;-306.0;666.0;528.0;-806.0;-2.0;-249.0;65.0;-291.0
527.0;-549.0;768.0;427.0;-332.0;650.0;507.0;-818.0;12.0;-222.0;54.0;-197.0
553.0;-522.0;775.0;331.0;-363.0;637.0;463.0;-803.0;46.0;-263.0;24.0;-167.0
553.0;-522.0;775.0;338.0;-363.0;637.0;461.0;-799.0;47.0;-261.0;24.0;-171.0
554.0;-524.0;775.0;358.0;-362.0;637.0;461.0;-795.0;46.0;-247.0;26.0;-175.0
559.0;-527.0;774.0;381.0;-360.0;641.0;462.0;-787.0;44.0;-239.0;24.0;-187.0
494.0;-520.0;766.0;597.0;-378.0;646.0;463.0;-649.0;-1.0;-444.0;150.0;-176.0
619.0;-566.0;658.0;534.0;-480.0;758.0;379.0;-672.0;91.0;-255.0;12.0;-165.0
589.0;-541.0;774.0;358.0;-345.0;660.0;476.0;-761.0;36.0;-306.0;27.0;-240.0
590.0;-538.0;778.0;302.0;-339.0;654.0;479.0;-743.0;29.0;-356.0;36.0;-242.0
608.0;-547.0;771.0;102.0;-340.0;667.0;506.0;-762.0;2.0;-443.0;91.0;-278.0
589.0;-538.0;779.0;226.0;-334.0;655.0;483.0;-712.0;19.0;-413.0;43.0;-265.0
587.0;-540.0;777.0;237.0;-334.0;657.0;485.0;-708.0;20.0;-411.0;41.0;-273.0
570.0;-596.0;750.0;299.0;-321.0;679.0;538.0;-693.0;-1.0;-396.0;93.0;-351.0
591.0;-568.0;756.0;620.0;-334.0;670.0;512.0;-663.0;36.0;-160.0;18.0;-252.0
472.0;-488.0;865.0;172.0;-96.0;527.0;478.0;-868.0;-301.0;-415.0;428.0;-496.0
604.0;-604.0;716.0;135.0;-338.0;664.0;527.0;-839.0;84.0;-50.0;-80.0;-220.0
600.0;-566.0;708.0;328.0;-386.0;668.0;498.0;-817.0;87.0;23.0;32.0;-67.0
614.0;-573.0;731.0;219.0;-352.0;660.0;520.0;-815.0;15.0;26.0;106.0;-168.0
610.0;-572.0;705.0;206.0;-388.0;659.0;512.0;-816.0;51.0;81.0;49.0;-152.0
606.0;-592.0;725.0;137.0;-371.0;685.0;513.0;-816.0;46.0;52.0;22.0;-216.0
594.0;-519.0;764.0;264.0;-357.0;638.0;492.0;-763.0;-32.0;-299.0;141.0;-222.0
608.0;-520.0;760.0;252.0;-376.0;646.0;478.0;-761.0;-7.0;-286.0;109.0;-208.0
613.0;-521.0;757.0;249.0;-384.0;647.0;472.0;-761.0;2.0;-278.0;96.0;-200.0
624.0;-516.0;748.0;250.0;-406.0;641.0;454.0;-765.0;25.0;-253.0;70.0;-185.0
620.0;-517.0;744.0;256.0;-410.0;641.0;451.0;-771.0;39.0;-235.0;48.0;-178.0
619.0;-518.0;742.0;258.0;-411.0;641.0;451.0;-772.0;40.0;-232.0;43.0;-178.0
607.0;-530.0;737.0;260.0;-406.0;649.0;456.0;-784.0;41.0;-215.0;31.0;-185.0
601.0;-534.0;736.0;261.0;-404.0;653.0;457.0;-789.0;40.0;-205.0;25.0;-187.0
606.0;-598.0;721.0;130.0;-371.0;688.0;518.0;-812.0;39.0;47.0;19.0;-227.0
593.0;-643.0;701.0;167.0;-355.0;722.0;524.0;-834.0;80.0;4.0;-28.0;-196.0
617.0;-611.0;695.0;211.0;-372.0;695.0;516.0;-818.0;88.0;6.0;-38.0;-174.0
621.0;-613.0;687.0;225.0;-382.0;692.0;512.0;-814.0;90.0;15.0;-36.0;-164.0
622.0;-578.0;732.0;693.0;-376.0;671.0;492.0;-608.0;71.0;-1.0;-16.0;-122.0
626.0;-504.0;643.0;470.0;-448.0;576.0;447.0;-728.0;136.0;10.0;37.0;-11.0
433.0;-262.0;-955.0;-179.0;109.0;317.0;-235.0;-886.0;-337.0;-242.0;520.0;-672.0
636.0;-496.0;622.0;360.0;-463.0;597.0;446.0;-771.0;152.0;86.0;-6.0;-46.0
641.0;-500.0;616.0;326.0;-467.0;602.0;442.0;-775.0;167.0;126.0;-40.0;-49.0
609.0;-609.0;664.0;326.0;-414.0;677.0;474.0;-799.0;167.0;18.0;-104.0;-121.0
609.0;-612.0;668.0;325.0;-409.0;676.0;475.0;-799.0;169.0;6.0;-108.0;-125.0
610.0;-616.0;670.0;323.0;-408.0;676.0;477.0;-798.0;171.0;-1.0;-110.0;-128.0
646.0;-591.0;697.0;285.0;-400.0;697.0;466.0;-782.0;74.0;100.0;-15.0;-99.0
644.0;-584.0;691.0;298.0;-408.0;685.0;462.0;-778.0;81.0;112.0;-1.0;-91.0
611.0;-498.0;659.0;350.0;-438.0;606.0;448.0;-799.0;176.0;91.0;-59.0;-46.0
605.0;-498.0;653.0;340.0;-438.0;609.0;463.0;-811.0;190.0;74.0;-67.0;-50.0
598.0;-524.0;647.0;316.0;-433.0;621.0;474.0;-820.0;188.0;42.0;-63.0;-82.0
613.0;-559.0;650.0;326.0;-442.0;648.0;475.0;-818.0;105.0;26.0;37.0;-55.0
