NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
150.0;1056.0;?;13.6;48.9;0.7578;?;1360.0;1046.0;1268.0;2.6;113.0;166.0
?;?;9.4;13.3;47.7;?;1559.0;1292.0;955.0;972.0;2.0;92.0;103.0
88.0;1140.0;9.0;11.9;54.0;0.7502;1555.0;1402.0;939.0;?;?;114.0;?
80.0;1092.0;9.2;11.0;?;0.7867;1584.0;1376.0;948.0;?;2.2;?;?
51.0;1205.0;6.5;11.2;?;0.7888;1490.0;1272.0;836.0;1110.0;1.6;116.0;131.0
38.0;1337.0;4.7;11.2;?;0.7848;1393.0;?;750.0;949.0;1.2;96.0;89.0
31.0;1462.0;3.6;11.3;56.8;0.7603;1333.0;?;690.0;733.0;1.2;77.0;62.0
?;1453.0;3.3;?;60.0;0.7702;1333.0;1136.0;672.0;730.0;1.0;76.0;62.0
24.0;1579.0;2.3;10.7;59.7;0.7648;1276.0;1094.0;609.0;620.0;0.9;60.0;45.0
?;1705.0;1.7;10.3;60.2;0.7517;?;?;561.0;501.0;0.6;?;-200.0
14.0;1818.0;1.3;10.1;60.5;0.7465;1197.0;1011.0;527.0;445.0;-200.0;34.0;21.0
?;?;1.1;?;?;?;1182.0;1066.0;512.0;422.0;0.7;28.0;16.0
?;1738.0;1.6;10.5;?;0.7353;1221.0;1052.0;553.0;?;0.7;?;34.0
?;?;3.2;?;59.6;0.7417;?;1144.0;667.0;730.0;1.1;82.0;98.0
64.0;?;8.0;?;57.4;?;?;1333.0;900.0;1102.0;2.0;112.0;174.0
87.0;1079.0;9.5;10.5;60.6;0.7691;1583.0;1351.0;960.0;1028.0;?;101.0;129.0
77.0;1218.0;6.3;10.8;58.4;0.7552;1446.0;1233.0;?;860.0;1.7;98.0;?
43.0;1328.0;5.0;10.5;57.9;0.7352;1362.0;1179.0;?;671.0;1.5;92.0;95.0
61.0;1301.0;?;9.5;66.8;?;1401.0;1236.0;774.0;664.0;1.6;95.0;?
63.0;1162.0;7.3;8.3;?;0.8393;?;1286.0;869.0;799.0;1.9;112.0;?
164.0;983.0;11.5;?;81.1;0.8736;1730.0;?;1034.0;1037.0;2.9;?;?
79.0;1082.0;?;8.3;?;0.8778;1647.0;?;?;?;2.2;126.0;?
95.0;1103.0;?;9.7;71.2;0.8569;1591.0;1292.0;912.0;957.0;2.2;?;193.0
150.0;1008.0;11.2;9.8;67.6;0.8185;1719.0;1383.0;?;1104.0;2.9;135.0;243.0
307.0;799.0;20.8;10.3;64.2;0.8065;?;1581.0;?;1409.0;4.8;151.0;281.0
461.0;702.0;27.4;9.7;69.3;0.8319;2333.0;1776.0;1488.0;1704.0;6.9;?;383.0
?;?;24.0;?;67.8;0.8133;2191.0;1640.0;1404.0;1654.0;6.1;165.0;351.0
197.0;957.0;12.8;9.1;64.0;?;1707.0;1313.0;1076.0;1285.0;?;136.0;240.0
61.0;1325.0;4.7;8.2;?;0.6905;1333.0;965.0;749.0;821.0;1.5;85.0;94.0
26.0;?;?;8.2;60.8;0.6657;1252.0;913.0;629.0;?;1.0;?;47.0
55.0;1254.0;5.9;?;58.5;?;1375.0;1080.0;805.0;?;1.7;97.0;122.0
53.0;1247.0;6.4;7.7;59.7;0.6308;1378.0;1044.0;829.0;832.0;1.9;110.0;133.0
