NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;840.0;8.8;23.6;33.8;0.9685;1522.0;927.0;930.0;1026.0;1.4;89.0;108.0
-200.0;886.0;8.7;21.5;44.5;1.129;1665.0;993.0;927.0;842.0;1.8;96.0;151.0
-200.0;728.0;8.3;12.7;84.4;1.2352;1356.0;1131.0;912.0;987.0;2.3;120.0;444.0
-200.0;651.0;6.2;15.4;54.0;0.9385;1262.0;1144.0;821.0;988.0;1.5;123.0;214.0
-200.0;862.0;9.0;30.1;30.9;1.2958;1703.0;1032.0;940.0;733.0;1.7;85.0;102.0
-200.0;796.0;6.5;12.4;80.1;1.1462;1263.0;1015.0;835.0;911.0;1.5;94.0;260.0
-200.0;922.0;6.3;26.9;39.7;1.3898;1618.0;1048.0;828.0;683.0;1.1;59.0;52.0
-200.0;892.0;8.6;37.0;20.1;1.2423;1683.0;1062.0;924.0;777.0;1.2;76.0;69.0
-200.0;708.0;6.0;10.1;58.9;0.7301;1182.0;1133.0;811.0;1031.0;1.6;136.0;215.0
-200.0;709.0;14.5;17.4;61.1;1.206;1920.0;1167.0;1134.0;1083.0;3.0;113.0;182.0
-200.0;669.0;11.6;13.3;38.7;0.5867;1167.0;1217.0;1037.0;1452.0;2.9;138.0;443.0
-200.0;890.0;3.5;11.3;80.1;1.0741;1166.0;1053.0;680.0;807.0;1.3;108.0;166.0
-200.0;654.0;7.5;4.3;80.9;0.6791;1206.0;1213.0;877.0;1282.0;2.3;158.0;336.0
-200.0;655.0;20.5;33.7;20.0;1.0275;1845.0;1124.0;1309.0;1170.0;3.6;183.0;236.0
-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;1.9;88.0;103.0
-200.0;653.0;11.3;7.7;41.9;0.4409;1147.0;1125.0;1025.0;1200.0;2.6;207.0;356.0
-200.0;732.0;7.6;17.8;66.9;1.3464;1363.0;1050.0;881.0;982.0;1.3;69.0;162.0
-200.0;474.0;25.1;16.6;56.5;1.0551;1852.0;1422.0;1432.0;1636.0;5.4;212.0;620.0
-200.0;665.0;10.7;17.5;73.2;1.4515;1542.0;1071.0;1003.0;1045.0;2.2;58.0;252.0
-200.0;608.0;10.0;22.2;25.5;0.6752;1234.0;1171.0;977.0;905.0;2.2;142.0;292.0
-200.0;566.0;16.6;21.9;61.8;1.6021;1746.0;1246.0;1197.0;1278.0;3.0;119.0;429.0
-200.0;826.0;11.2;31.8;25.6;1.1868;1747.0;1040.0;1022.0;812.0;1.7;98.0;115.0
-200.0;752.0;7.6;18.2;76.4;1.5787;1472.0;983.0;881.0;928.0;1.6;56.0;227.0
-200.0;703.0;10.0;15.5;77.2;1.3502;1506.0;1055.0;977.0;1013.0;1.6;61.0;326.0
-200.0;864.0;8.0;22.9;43.6;1.1974;1631.0;965.0;900.0;968.0;1.2;83.0;79.0
-200.0;794.0;6.2;4.7;50.8;0.4398;1025.0;1006.0;822.0;897.0;1.1;151.0;232.0
-200.0;894.0;10.9;40.3;16.1;1.1896;1665.0;1076.0;1012.0;816.0;1.8;116.0;113.0
-200.0;776.0;12.5;15.0;52.3;0.8881;1764.0;1425.0;1068.0;1341.0;2.6;107.0;166.0
47.0;1228.0;5.1;6.3;71.9;0.6932;1409.0;1112.0;770.0;940.0;1.5;77.0;139.0
-200.0;800.0;6.0;19.1;70.0;1.5331;1418.0;989.0;814.0;915.0;1.0;51.0;146.0
-200.0;995.0;2.6;4.4;77.1;0.6523;986.0;935.0;628.0;611.0;0.9;111.0;126.0
-200.0;762.0;6.5;20.3;62.5;1.472;1423.0;1040.0;836.0;974.0;1.2;53.0;111.0
-200.0;802.0;11.1;33.3;23.9;1.2085;1732.0;1075.0;1020.0;797.0;2.1;103.0;109.0
-200.0;611.0;12.9;26.3;43.7;1.4718;1642.0;1214.0;1080.0;1190.0;2.5;87.0;323.0
-200.0;573.0;15.2;10.5;55.1;0.6993;1391.0;1279.0;1154.0;1544.0;3.0;179.0;515.0
-200.0;862.0;9.2;23.7;29.6;0.8537;1328.0;964.0;947.0;907.0;1.7;123.0;327.0
-200.0;724.0;11.1;18.3;75.4;1.5682;1632.0;1134.0;1017.0;981.0;2.2;107.0;268.0
-200.0;674.0;8.7;5.4;78.2;0.7074;1220.0;1174.0;926.0;1020.0;-200.0;157.0;245.0
-200.0;942.0;7.9;19.7;58.4;1.3254;1702.0;963.0;894.0;1065.0;1.2;91.0;131.0
-200.0;863.0;7.7;18.6;60.0;1.2757;1451.0;969.0;886.0;953.0;1.3;68.0;179.0
-200.0;1035.0;5.5;24.4;39.1;1.1784;1350.0;969.0;787.0;799.0;1.0;75.0;101.0
267.0;837.0;13.4;13.1;54.8;0.8234;1746.0;1209.0;1097.0;1147.0;2.7;129.0;207.0
-200.0;818.0;8.9;20.1;57.0;1.3216;1743.0;1028.0;934.0;987.0;1.6;88.0;141.0
-200.0;854.0;9.7;19.7;57.8;1.3112;1544.0;1036.0;965.0;987.0;2.2;91.0;342.0
-200.0;707.0;15.5;13.5;58.2;0.8944;1503.0;1085.0;1164.0;1155.0;2.4;120.0;368.0
-200.0;1433.0;0.6;5.8;59.4;0.5502;788.0;842.0;454.0;292.0;0.5;32.0;33.0
114.0;957.0;7.1;9.6;76.0;0.9088;1510.0;1107.0;861.0;879.0;1.9;101.0;118.0
65.0;1266.0;3.2;11.9;46.5;0.6449;1224.0;960.0;666.0;544.0;1.1;80.0;63.0
-200.0;585.0;10.2;18.8;31.5;0.6752;1252.0;1201.0;985.0;996.0;1.1;156.0;289.0
565.0;614.0;23.1;21.7;44.0;1.1242;2151.0;1554.0;1379.0;1693.0;4.4;138.0;266.0
-200.0;703.0;10.2;27.3;38.3;1.3669;1546.0;1081.0;983.0;1079.0;2.1;64.0;145.0
-200.0;671.0;9.5;23.7;55.4;1.6031;1637.0;1046.0;960.0;899.0;1.9;96.0;189.0
-200.0;715.0;6.8;5.4;65.8;0.5935;1132.0;1136.0;849.0;1216.0;2.1;164.0;344.0
-200.0;639.0;10.9;25.2;50.1;1.58;1655.0;1073.0;1009.0;955.0;2.0;105.0;206.0
-200.0;858.0;5.6;37.7;27.7;1.778;1549.0;980.0;793.0;654.0;1.1;43.0;32.0
-200.0;1012.0;5.5;25.4;39.2;1.2534;1585.0;928.0;787.0;606.0;1.3;68.0;85.0
-200.0;759.0;8.7;30.5;44.4;1.9076;1722.0;1031.0;929.0;809.0;1.4;77.0;79.0
-200.0;888.0;4.2;25.8;64.6;2.1195;1651.0;931.0;721.0;799.0;0.7;37.0;47.0
-200.0;824.0;5.8;38.0;30.7;2.0022;1620.0;1056.0;802.0;670.0;1.3;47.0;52.0
-200.0;774.0;6.3;25.5;61.6;1.9804;1637.0;967.0;824.0;862.0;1.1;51.0;40.0
-200.0;765.0;13.8;25.0;28.7;0.8944;1670.0;1054.0;1110.0;1167.0;2.6;130.0;174.0
-200.0;861.0;8.2;29.2;37.8;1.5098;1686.0;1079.0;909.0;928.0;1.8;99.0;107.0
-200.0;750.0;7.0;15.0;59.3;1.0045;1231.0;1092.0;855.0;1061.0;1.7;84.0;194.0
-200.0;771.0;7.3;22.6;58.8;1.5903;1666.0;975.0;871.0;942.0;1.2;71.0;72.0
-200.0;1006.0;3.6;36.9;27.1;1.6683;1438.0;896.0;687.0;493.0;0.7;46.0;33.0
-200.0;1035.0;2.7;25.1;42.3;1.326;1402.0;825.0;634.0;606.0;-200.0;37.0;29.0
-200.0;786.0;10.1;35.3;16.7;0.9402;1480.0;998.0;981.0;797.0;-200.0;117.0;116.0
-200.0;831.0;7.8;24.6;38.0;1.158;1474.0;931.0;890.0;841.0;-200.0;-200.0;-200.0
-200.0;819.0;10.6;28.4;24.7;0.9404;1536.0;933.0;1001.0;776.0;-200.0;111.0;109.0
-200.0;813.0;8.0;27.7;37.9;1.3842;1613.0;997.0;898.0;856.0;-200.0;97.0;65.0
