NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
24.0;1579.0;2.3;10.7;59.7;0.7648;1276.0;1094.0;609.0;620.0;0.9;60.0;45.0
14.0;1818.0;1.3;10.1;60.5;0.7465;1197.0;1011.0;527.0;445.0;-200.0;34.0;21.0
53.0;1247.0;6.4;7.7;59.7;0.6308;1378.0;1044.0;829.0;832.0;1.9;110.0;133.0
21.0;1680.0;1.9;7.0;62.3;0.6261;1187.0;889.0;574.0;512.0;0.8;-200.0;-200.0
333.0;752.0;20.1;12.1;53.3;0.7536;1941.0;1598.0;1299.0;1627.0;4.4;149.0;274.0
47.0;1228.0;5.1;6.3;71.9;0.6932;1409.0;1112.0;770.0;940.0;1.5;77.0;139.0
111.0;1004.0;10.2;17.6;35.1;0.7012;1554.0;1306.0;987.0;1078.0;2.5;124.0;138.0
191.0;831.0;15.5;16.1;41.0;0.7451;1779.0;1473.0;1163.0;1395.0;3.2;148.0;227.0
132.0;921.0;9.7;11.6;63.4;0.8674;1620.0;1344.0;968.0;1278.0;2.4;-200.0;-200.0
32.0;1272.0;3.7;11.5;63.1;0.8533;1377.0;1062.0;691.0;929.0;1.2;70.0;53.0
93.0;1084.0;7.5;21.2;31.4;0.7812;1525.0;1281.0;880.0;980.0;2.0;104.0;113.0
44.0;1150.0;4.0;12.3;65.4;0.9351;1468.0;1078.0;711.0;1013.0;-200.0;71.0;66.0
438.0;622.0;26.6;17.4;45.6;0.8993;2262.0;1771.0;1470.0;1973.0;5.8;157.0;394.0
538.0;565.0;31.0;18.3;52.6;1.0945;2443.0;1895.0;1573.0;1992.0;6.5;165.0;320.0
50.0;1162.0;5.1;11.0;66.5;0.8705;1467.0;1171.0;770.0;930.0;1.3;70.0;99.0
199.0;898.0;15.8;28.0;19.1;0.7098;1739.0;1389.0;1173.0;1363.0;2.9;133.0;190.0
-200.0;764.0;21.5;23.0;26.8;0.7446;1957.0;1513.0;1338.0;1397.0;3.7;156.0;214.0
-200.0;814.0;14.1;16.0;48.4;0.8768;1732.0;1430.0;1121.0;1322.0;3.2;135.0;178.0
-200.0;776.0;12.5;15.0;52.3;0.8881;1764.0;1425.0;1068.0;1341.0;2.6;107.0;166.0
-200.0;734.0;16.6;17.4;51.6;1.0159;1919.0;1633.0;1199.0;1417.0;3.5;136.0;215.0
267.0;837.0;13.4;13.1;54.8;0.8234;1746.0;1209.0;1097.0;1147.0;2.7;129.0;207.0
118.0;944.0;8.7;12.0;61.1;0.8537;1570.0;1132.0;927.0;781.0;2.0;100.0;128.0
35.0;1320.0;2.7;11.3;60.0;0.8025;1326.0;948.0;634.0;715.0;0.9;61.0;43.0
263.0;828.0;12.0;10.7;68.5;0.8794;1722.0;1260.0;1050.0;979.0;2.7;111.0;156.0
458.0;795.0;14.4;10.8;65.7;0.8486;1744.0;1273.0;1130.0;1071.0;3.5;136.0;190.0
214.0;928.0;9.4;10.3;66.3;0.8336;1571.0;1179.0;955.0;899.0;2.6;125.0;169.0
143.0;976.0;8.8;13.4;41.0;0.6292;1454.0;1093.0;933.0;777.0;1.9;87.0;112.0
