adbr;bfo1;cfo1;arnd;asin1;asin2;bfo2;bso3;cso1;amud;bso1
1.0;10.744219936960084;20.45626084430472;11.253658783629971;-0.5733818719904229;-0.1759865990365776;45.48381373442056;0.3272219120775689;?;27.0;26.51861849649057
1.0;10.755461614073228;?;?;-0.5733982576406564;-0.1757897170057224;45.55845164954923;0.3279318798114274;72.18979423317748;27.0;26.53408059751792
?;10.765141789822792;20.38302099473008;11.244320974409158;-0.573414643061519;-0.1755928279431666;45.6329073335203;0.3286410983425498;72.2758223523451;27.0;?
?;10.778402966163892;20.348265597830704;11.434847137690976;-0.5734310282530275;-0.1753959318570097;45.7071812302645;0.3293495684596054;72.36108568852252;?;26.56453365619193
?;10.789697813303697;20.314723312856653;11.348805618386445;?;?;45.781273782631146;0.3300572909507941;72.44566781165688;27.0;26.579490023221062
1.0;10.80070243897296;?;11.34544383931507;-0.5734637979479088;-0.1750021186449482;45.85518543239072;0.3307642666037791;72.52964554082291;27.0;?
1.0;10.81206627108766;20.2511404383348;11.374588929794728;?;-0.1748052015347962;45.92891662023754;0.3314704962056323;72.61308855974332;?;?
1.0;10.82314579300583;?;11.371594663231424;-0.5734965667252482;-0.1746082774325481;46.00246778579239;0.3321759805427905;72.6960591334488;27.0;26.62309088489983
1.0;10.835374596354924;20.1919469066674;11.44071465122996;-0.5735129507698173;?;?;?;72.7786119218912;27.0;26.637155074738228
?;10.846651209057992;20.163900683979183;11.404856361684056;?;-0.174214408282824;?;0.3335847165653857;72.86079388915587;27.0;26.650963475111883
1.0;?;20.136855767631985;?;?;-0.1740174632512147;46.2220455288642;?;72.94264430408754;?;26.66450477003951
1.0;10.868698481953734;?;?;-0.5735621015270908;-0.1738205112587949;46.29488098007904;0.3349904809491599;73.024194825965;27.0;26.67776850606011
1.0;10.87806702739126;20.085683462422573;11.341820032415542;-0.5735784846540115;-0.1736235523136667;46.36753859109368;0.3356922507350127;73.10546967327737;27.0;26.69074507482718
1.0;10.888917410141849;20.061491589342424;11.426023524732797;-0.5735948675514893;-0.1734265864234844;46.44001879514227;0.3363932799598654;?;27.0;?
1.0;10.90024060923722;20.03815963036641;?;-0.5736112502195407;-0.1732296135963507;?;0.3370935694050134;73.2672535432333;27.0;?
1.0;10.91159172229742;20.01565541901303;11.473484732922444;-0.573627632658136;-0.1730326338399205;46.58444871000347;0.3377931198509656;73.34777633002174;?;26.72786798687969
1.0;10.922938210965803;19.9939483435049;11.4846023025734;-0.5736440148672919;-0.1728356471622969;46.6563992820177;0.3384919320774373;?;27.0;26.739616060527045
1.0;?;?;11.433007971973998;-0.5736603968469784;-0.1726386535711355;46.72817416947424;0.3391900068633464;73.5080718358716;27.0;26.751040949656748
?;10.937605684892144;19.95305234310112;11.163690732664756;-0.5736767785972126;-0.1724416530745399;?;0.3398873449868088;73.58782338150104;27.0;?
?;10.937184228215488;19.9340801737062;10.916322586162876;-0.573693160117976;?;46.87119860160317;0.3405839472251361;?;27.0;26.77290213779085
1.0;10.938031052790963;19.916028011842563;10.979947938092325;-0.5737095414092505;-0.1720476313961188;46.8425707690812;0.3411787237542154;73.74631756270436;27.0;26.78333066746953
?;10.93970836969438;19.89879285533481;11.022735264677925;-0.5737259224710528;?;?;?;73.82462446676345;?;26.79342043139652
?;10.940580657540494;?;10.98375794673874;-0.5737423033033531;-0.171653582190077;46.785522924939286;?;73.90191302189595;27.0;?
1.0;10.938482046266248;19.866647998090723;10.834600406181533;-0.5737586839061681;-0.1714565472839567;46.75710257595927;0.3420245164347817;?;27.0;26.81257535658
?;10.940193861164442;?;11.024928461480403;-0.573775064279468;-0.1712595055194625;46.728751051484494;0.3420841358182345;74.05221168488865;27.0;26.82163789833119
?;10.939727197220815;19.83719154408435;10.916627845163884;?;-0.1710624569047001;46.70046818386047;0.3420658024263996;74.1246005653364;?;26.83035639158397
1.0;10.938484626867108;19.823402690443576;10.876978280625776;-0.5738078243375428;-0.1708654014474394;46.6722538058411;0.3419840248300425;?;27.0;26.838730961165435
