MotorData.Motor_Pos4reached;MotorData.ActPosition;PLC_PRG.MaterialIsMetal;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall
0;229071;0;1;0
0;228868;0;1;0
0;227302;0;1;0
0;229158;0;1;0
0;230115;0;1;0
0;233073;0;1;0
0;231855;0;1;0
0;232812;0;1;0
0;227476;0;1;0
0;230985;0;1;0
0;229796;0;1;0
0;232899;0;1;0
0;232261;0;1;0
0;232261;0;1;0
0;228984;0;1;0
0;227795;0;1;0
0;228868;0;1;0
0;229303;0;1;0
0;229709;0;1;0
0;230028;0;1;0
0;232899;0;1;0
0;228868;0;1;0
0;227534;0;1;0
0;228984;0;1;0
0;227853;0;1;0
0;230492;0;1;0
0;232551;0;1;0
0;230492;0;1;0
0;229013;0;1;0
0;229013;0;1;0
0;227940;0;1;0
0;231797;0;1;0
0;229535;0;1;0
0;228984;0;1;0
0;232551;0;1;0
0;227476;0;1;0
0;233102;0;1;0
0;230347;0;1;0
0;230347;0;1;0
0;233102;0;1;0
0;230695;0;1;0
0;227795;0;1;0
0;231391;0;1;0
0;230347;0;1;0
0;230347;0;1;0
0;230347;0;1;0
0;231391;0;1;0
0;230347;0;1;0
0;231391;0;1;0
0;230666;0;1;0
0;232174;0;1;0
0;227824;0;1;0
0;228839;0;1;0
0;233218;0;1;0
0;230260;0;1;0
0;230347;0;1;0
0;226635;0;1;0
0;228868;0;1;0
0;227186;0;1;0
0;228694;0;1;0
0;230144;0;1;0
0;232348;0;1;0
0;230579;0;1;0
0;230492;0;1;0
0;229390;0;1;0
0;231130;0;1;0
0;229941;0;1;0
0;230463;0;1;0
0;230463;0;1;0
0;233218;0;1;0
0;240903;0;1;0
0;379204;1;0;1
0;250589;0;1;0
0;244586;0;1;0
0;220748;0;1;0
0;233392;0;1;0
0;140012;0;1;0
0;233653;0;1;0
0;233595;0;1;0
0;153120;0;1;0
0;217790;0;1;0
0;238264;0;1;0
0;233537;0;1;0
0;233537;0;1;0
0;233595;0;1;0
0;166924;0;1;0
0;180670;0;1;0
0;28565;0;1;0
0;191371;0;1;0
0;235973;0;1;0
0;234581;0;1;0
0;233537;0;1;0
0;234146;0;1;0
0;233305;0;1;0
0;200854;0;1;0
0;226026;0;1;0
0;208017;0;1;0
0;224344;0;1;0
0;213469;0;1;0
0;260014;0;1;0
