MotorData.Motor_Pos4reached;MotorData.ActPosition;PLC_PRG.MaterialIsMetal;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;?
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;?;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;?
0;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;?;0
0;268975;0;?;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;1;?
0;?;0;1;0
0;268975;0;1;0
?;?;0;1;?
0;268975;0;1;0
0;?;0;1;?
0;268975;0;?;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;?;0;1;0
0;268975;0;1;0
?;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;?;?;0
0;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;?;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;?;0;1;0
0;268975;0;?;0
0;?;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;?;0;1;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;?
?;268975;0;1;0
?;268975;?;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;?;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;1;0
0;268975;0;?;0
0;268975;0;?;?
0;?;?;1;0
0;268975;0;1;0
0;268975;?;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;1;?
0;268975;?;?;?
0;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;1;0
0;?;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;1;0
0;?;0;1;0
0;?;0;1;0
0;268975;0;1;0
0;?;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;1;0
0;?;0;1;0
?;?;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;?;0
0;268975;0;1;0
0;?;0;1;0
0;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;?;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;?;0;1;0
0;?;0;?;0
?;268975;0;1;?
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;?;0;1;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;?;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;?;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;?;0
0;?;0;1;0
0;268975;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;?;0;1;0
0;268975;0;1;0
0;268975;0;1;0
?;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;0;1;0
0;268975;?;1;0
0;?;0;1;?
0;268975;0;1;0
0;268975;0;1;0
0;?;?;1;0
0;268917;0;1;?
0;263378;0;1;0
?;260420;0;1;0
0;260420;0;1;0
0;253634;0;1;0
0;247312;0;1;0
0;244093;0;1;0
0;237452;0;1;0
0;237452;0;1;0
0;234030;0;1;0
0;227708;?;1;0
0;?;?;1;0
0;224431;0;1;0
0;224431;0;1;0
0;217384;0;1;0
0;211294;0;1;0
0;208017;?;1;?
0;201231;0;1;0
0;201231;0;1;0
0;198186;?;1;0
0;191313;0;1;0
0;185368;0;1;0
0;182323;0;1;0
0;182323;?;1;0
0;176494;0;1;0
0;176494;?;1;0
0;172492;0;1;0
0;166576;0;1;0
0;160747;0;1;0
0;160747;0;1;0
0;157122;0;?;0
?;150974;0;1;0
0;144565;0;1;?
0;?;0;?;0
?;?;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;?;?;1;?
0;140012;0;1;0
?;140012;0;?;0
?;140012;0;1;0
?;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
?;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;?;?;0
0;140012;0;1;0
0;140012;0;1;0
0;?;0;1;0
0;140012;0;1;0
0;140012;0;1;?
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;?;0;1;?
?;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;?
0;140012;0;1;?
0;140012;0;1;0
0;140012;0;1;?
?;140012;0;?;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
?;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;?
0;140012;0;1;0
0;140012;?;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;?;1;0
0;140012;0;1;?
0;140012;0;1;?
0;140012;0;1;0
0;140012;0;1;0
0;?;0;1;?
0;140012;0;1;0
?;140012;0;?;0
0;140012;?;1;?
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;?;0
0;140012;0;1;0
0;140012;0;?;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;140012;0;1;0
0;?;0;1;0
0;138504;0;1;0
0;132356;0;1;0
0;132356;0;1;0
0;132356;0;1;0
0;126034;0;1;0
0;122264;0;?;0
0;115797;0;1;0
0;112752;0;1;0
0;112752;0;1;0
