NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
150.0;1056.0;11.9;13.6;48.9;0.7578;1692.0;1360.0;1046.0;1268.0;2.6;113.0;166.0
112.0;1174.0;?;13.3;47.7;0.7255;1559.0;1292.0;955.0;972.0;2.0;92.0;103.0
88.0;1140.0;9.0;11.9;54.0;0.7502;1555.0;1402.0;939.0;1074.0;2.2;114.0;131.0
80.0;1092.0;9.2;11.0;60.0;0.7867;1584.0;1376.0;948.0;1203.0;2.2;122.0;172.0
51.0;1205.0;6.5;11.2;59.6;?;1490.0;1272.0;836.0;1110.0;?;116.0;131.0
38.0;1337.0;4.7;11.2;59.2;0.7848;1393.0;1197.0;750.0;949.0;1.2;96.0;89.0
31.0;?;3.6;11.3;56.8;0.7603;1333.0;1185.0;690.0;733.0;1.2;77.0;62.0
31.0;1453.0;3.3;10.7;60.0;0.7702;1333.0;1136.0;672.0;730.0;1.0;76.0;62.0
24.0;1579.0;2.3;10.7;59.7;0.7648;1276.0;1094.0;609.0;620.0;0.9;60.0;45.0
19.0;1705.0;1.7;10.3;60.2;0.7517;1235.0;1010.0;561.0;501.0;0.6;-200.0;-200.0
?;1818.0;1.3;10.1;60.5;0.7465;1197.0;1011.0;527.0;445.0;-200.0;34.0;21.0
8.0;1918.0;1.1;11.0;56.2;0.7366;1182.0;1066.0;512.0;422.0;0.7;28.0;16.0
16.0;1738.0;?;10.5;58.1;0.7353;?;1052.0;553.0;472.0;0.7;48.0;34.0
29.0;1490.0;3.2;10.2;59.6;0.7417;1339.0;1144.0;667.0;730.0;1.1;82.0;98.0
64.0;1136.0;8.0;10.8;57.4;0.7408;1517.0;1333.0;900.0;1102.0;2.0;112.0;174.0
87.0;1079.0;9.5;10.5;?;0.7691;1583.0;1351.0;960.0;1028.0;2.2;101.0;129.0
77.0;1218.0;6.3;10.8;58.4;0.7552;1446.0;1233.0;?;860.0;1.7;98.0;112.0
43.0;1328.0;5.0;10.5;57.9;0.7352;1362.0;1179.0;762.0;671.0;1.5;92.0;95.0
61.0;1301.0;5.2;9.5;66.8;0.7951;1401.0;?;774.0;664.0;1.6;95.0;104.0
63.0;1162.0;7.3;8.3;76.4;0.8393;1537.0;1286.0;869.0;799.0;1.9;112.0;146.0
164.0;?;11.5;8.0;81.1;0.8736;1730.0;1371.0;1034.0;1037.0;2.9;128.0;207.0
79.0;1082.0;8.8;8.3;79.8;0.8778;1647.0;1310.0;933.0;946.0;2.2;126.0;184.0
95.0;1103.0;8.3;9.7;71.2;0.8569;1591.0;1292.0;912.0;957.0;2.2;131.0;193.0
150.0;1008.0;11.2;9.8;67.6;0.8185;1719.0;?;1020.0;1104.0;2.9;135.0;243.0
307.0;799.0;20.8;10.3;64.2;0.8065;2083.0;1581.0;1319.0;1409.0;4.8;151.0;281.0
461.0;702.0;27.4;9.7;69.3;?;2333.0;1776.0;?;1704.0;6.9;172.0;383.0
401.0;743.0;24.0;9.6;67.8;0.8133;2191.0;1640.0;1404.0;1654.0;6.1;165.0;351.0
197.0;957.0;12.8;9.1;64.0;0.7419;1707.0;1313.0;1076.0;1285.0;3.9;136.0;240.0
61.0;1325.0;4.7;8.2;63.4;0.6905;1333.0;965.0;749.0;821.0;1.5;85.0;94.0
26.0;1565.0;2.6;8.2;60.8;?;1252.0;913.0;?;552.0;1.0;53.0;47.0
55.0;1254.0;5.9;8.3;58.5;0.6438;1375.0;1080.0;805.0;816.0;1.7;97.0;122.0
53.0;1247.0;6.4;7.7;59.7;0.6308;1378.0;1044.0;829.0;832.0;1.9;110.0;133.0
40.0;1396.0;4.1;7.1;61.8;?;1304.0;988.0;718.0;692.0;1.4;91.0;?
21.0;1680.0;1.9;7.0;62.3;0.6261;1187.0;889.0;574.0;512.0;?;-200.0;-200.0
10.0;1893.0;1.1;6.1;65.9;0.6248;1134.0;831.0;506.0;384.0;-200.0;32.0;21.0
7.0;1895.0;1.0;6.3;65.0;0.6233;1155.0;847.0;501.0;394.0;0.6;44.0;30.0
?;1685.0;1.8;?;62.9;0.6234;1223.0;927.0;571.0;487.0;0.8;71.0;56.0
33.0;1387.0;4.4;6.4;65.1;?;?;1091.0;730.0;748.0;1.4;104.0;109.0
202.0;897.0;17.9;7.3;63.1;0.6499;1900.0;1587.0;1236.0;1400.0;4.4;141.0;307.0
-200.0;767.0;22.1;9.2;56.2;0.6561;2058.0;1545.0;1353.0;1588.0;-200.0;-200.0;?
208.0;912.0;14.0;13.2;41.7;0.632;1712.0;1350.0;1118.0;1237.0;3.1;122.0;187.0
166.0;969.0;11.6;14.3;38.4;0.6243;1598.0;1263.0;1037.0;1167.0;2.7;143.0;216.0
114.0;1035.0;?;15.0;36.5;0.6195;1537.0;1206.0;986.0;959.0;2.1;113.0;143.0
140.0;1008.0;?;16.1;34.5;0.6262;1593.0;1252.0;1016.0;983.0;2.5;116.0;160.0
169.0;949.0;12.8;16.3;35.7;?;?;1287.0;1078.0;1061.0;2.7;123.0;163.0
185.0;922.0;14.2;15.8;37.0;0.661;1740.0;1353.0;1122.0;1139.0;2.9;126.0;190.0
165.0;954.0;12.7;15.9;37.2;0.6657;1657.0;1309.0;1073.0;1112.0;2.8;120.0;178.0
133.0;1006.0;11.7;16.9;34.3;0.6549;1610.0;1274.0;?;994.0;2.4;119.0;150.0
233.0;812.0;19.3;15.1;39.6;0.6766;1910.0;1510.0;1277.0;1410.0;3.9;149.0;206.0
242.0;821.0;18.2;14.4;43.4;0.7084;1847.0;1525.0;1246.0;1448.0;3.7;145.0;202.0
488.0;624.0;32.6;12.9;50.5;0.7478;2390.0;1843.0;1610.0;1887.0;6.6;?;340.0
?;752.0;20.1;12.1;53.3;0.7536;1941.0;1598.0;1299.0;1627.0;4.4;149.0;274.0
