NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;800.0;6.0;19.1;70.0;1.5331;1418.0;989.0;814.0;915.0;1.0;51.0;146.0
-200.0;796.0;6.9;17.5;59.4;1.1768;1305.0;992.0;853.0;930.0;1.4;79.0;177.0
-200.0;854.0;7.4;24.2;37.3;1.1118;1528.0;953.0;874.0;899.0;1.1;84.0;72.0
-200.0;819.0;9.9;41.8;15.0;1.1989;1525.0;1076.0;972.0;923.0;1.3;109.0;111.0
-200.0;780.0;5.1;21.3;63.9;1.5951;1450.0;1062.0;770.0;922.0;0.9;48.0;96.0
-200.0;765.0;6.3;22.2;65.2;1.7256;1521.0;1049.0;826.0;917.0;1.1;51.0;150.0
-200.0;849.0;9.0;25.3;30.0;0.9508;1488.0;951.0;939.0;868.0;1.4;101.0;96.0
-200.0;781.0;7.3;17.3;57.0;1.1137;1320.0;1117.0;871.0;986.0;1.8;94.0;182.0
-200.0;734.0;9.0;11.3;44.1;0.5909;1175.0;1035.0;941.0;965.0;-200.0;-200.0;-200.0
-200.0;830.0;8.7;29.7;24.2;0.9926;1475.0;1050.0;927.0;836.0;1.9;106.0;88.0
-200.0;853.0;5.8;27.5;34.0;1.231;1507.0;962.0;803.0;1066.0;0.6;60.0;43.0
110.0;887.0;6.7;13.4;69.6;1.0688;1566.0;1189.0;844.0;1049.0;1.9;93.0;96.0
254.0;827.0;10.8;16.8;44.0;0.8341;1604.0;1192.0;1007.0;1223.0;2.5;124.0;154.0
-200.0;806.0;6.1;20.8;68.6;1.6719;1517.0;1049.0;817.0;882.0;1.3;63.0;168.0
-200.0;767.0;6.7;20.8;68.1;1.6585;1527.0;1069.0;844.0;883.0;1.5;63.0;185.0
-200.0;995.0;11.5;27.1;24.2;0.856;1586.0;1100.0;1034.0;958.0;-200.0;-200.0;-200.0
-200.0;952.0;7.1;13.7;60.3;0.9405;1519.0;1063.0;859.0;949.0;-200.0;-200.0;-200.0
-200.0;757.0;7.2;18.6;74.9;1.5918;1486.0;1041.0;865.0;902.0;1.1;53.0;164.0
155.0;968.0;8.2;22.8;29.1;0.796;1455.0;1061.0;908.0;890.0;1.9;99.0;141.0
-200.0;743.0;8.9;19.0;66.1;1.4415;1525.0;1057.0;934.0;1041.0;1.9;57.0;206.0
-200.0;846.0;6.5;18.8;60.9;1.3032;1381.0;952.0;833.0;881.0;1.3;57.0;143.0
88.0;986.0;5.6;13.3;58.8;0.8922;1442.0;1072.0;795.0;1048.0;1.3;93.0;84.0
-200.0;737.0;7.9;18.8;59.1;1.2702;1359.0;1061.0;895.0;944.0;1.6;73.0;197.0
-200.0;919.0;7.1;17.0;43.3;0.8341;1450.0;998.0;859.0;1045.0;1.5;88.0;90.0
-200.0;719.0;7.6;16.8;73.3;1.3915;1430.0;1010.0;884.0;938.0;1.5;59.0;216.0
-200.0;699.0;8.8;18.5;69.5;1.4657;1481.0;1061.0;931.0;1015.0;1.6;65.0;195.0
-200.0;750.0;8.0;17.0;70.1;1.3512;1438.0;1019.0;901.0;960.0;1.3;64.0;231.0
-200.0;776.0;7.7;23.1;47.0;1.3122;1485.0;1016.0;888.0;1040.0;1.3;64.0;169.0
-200.0;752.0;7.6;18.2;76.4;1.5787;1472.0;983.0;881.0;928.0;1.6;56.0;227.0
100.0;1031.0;5.1;11.5;63.9;0.8652;1425.0;1044.0;770.0;944.0;1.2;70.0;85.0
-200.0;932.0;8.2;27.1;31.0;1.0991;1354.0;1017.0;908.0;880.0;1.4;119.0;194.0
-200.0;775.0;10.8;18.4;49.9;1.0453;1391.0;1166.0;1007.0;1227.0;1.9;117.0;289.0
-200.0;744.0;8.6;19.5;70.0;1.5711;1494.0;1100.0;924.0;963.0;1.9;82.0;236.0
-200.0;735.0;8.4;23.5;57.7;1.6515;1467.0;1039.0;917.0;934.0;1.4;77.0;169.0
-200.0;883.0;6.9;16.3;57.0;1.0484;1538.0;1014.0;853.0;975.0;1.3;91.0;75.0
-200.0;796.0;7.0;16.0;75.9;1.3721;1388.0;968.0;858.0;894.0;1.3;60.0;147.0
-200.0;748.0;8.0;17.8;71.2;1.4396;1442.0;990.0;898.0;1006.0;1.4;75.0;176.0
-200.0;846.0;9.4;16.7;47.2;0.892;1570.0;1074.0;954.0;956.0;2.2;112.0;136.0
-200.0;832.0;9.2;26.6;32.1;1.102;1447.0;1050.0;947.0;912.0;2.0;122.0;266.0
-200.0;885.0;7.5;23.5;40.6;1.1588;1404.0;997.0;879.0;887.0;1.5;109.0;181.0
-200.0;816.0;9.0;22.8;43.4;1.1915;1456.0;1042.0;938.0;1004.0;1.7;109.0;210.0
-200.0;863.0;7.7;18.6;60.0;1.2757;1451.0;969.0;886.0;953.0;1.3;68.0;179.0
-200.0;806.0;8.8;22.2;48.0;1.2678;1465.0;1027.0;933.0;1050.0;1.7;85.0;224.0
-200.0;758.0;7.9;19.8;63.7;1.4524;1468.0;1055.0;895.0;1043.0;1.4;79.0;175.0
-200.0;863.0;5.7;22.7;53.8;1.4666;1407.0;980.0;800.0;903.0;1.1;79.0;100.0
-200.0;756.0;7.4;24.8;47.9;1.4819;1421.0;1058.0;875.0;877.0;1.4;70.0;151.0
-200.0;809.0;7.7;22.1;58.4;1.5393;1491.0;1018.0;885.0;864.0;1.3;77.0;112.0
-200.0;811.0;5.9;25.3;46.7;1.4874;1376.0;1000.0;807.0;825.0;1.1;52.0;95.0
-200.0;732.0;7.8;19.1;70.0;1.5366;1477.0;1080.0;891.0;1001.0;1.4;59.0;175.0
157.0;869.0;8.8;15.0;53.1;0.8993;1588.0;1112.0;931.0;1011.0;2.0;84.0;124.0
-200.0;704.0;8.1;17.5;76.6;1.5174;1481.0;1037.0;902.0;984.0;1.5;48.0;196.0
-200.0;709.0;7.5;17.3;78.4;1.532;1451.0;1029.0;880.0;965.0;1.2;47.0;182.0
-200.0;724.0;7.6;18.1;72.3;1.4927;1473.0;1039.0;882.0;1002.0;1.2;52.0;217.0
-200.0;853.0;7.4;26.0;35.7;1.1842;1580.0;1012.0;876.0;967.0;1.3;87.0;89.0
-200.0;810.0;5.5;24.6;52.2;1.5881;1597.0;967.0;789.0;995.0;0.8;61.0;61.0
-200.0;872.0;5.4;12.9;70.5;1.0442;1209.0;968.0;785.0;826.0;1.6;111.0;239.0
-200.0;957.0;6.6;27.7;28.1;1.0272;1319.0;930.0;838.0;680.0;1.4;78.0;189.0
-200.0;813.0;10.5;24.0;39.6;1.1662;1726.0;1004.0;997.0;1018.0;1.7;96.0;104.0
-200.0;802.0;5.8;18.7;74.4;1.5861;1435.0;960.0;804.0;886.0;0.9;49.0;198.0
-200.0;967.0;5.9;22.0;52.8;1.3752;1598.0;919.0;807.0;775.0;1.0;66.0;48.0
-200.0;876.0;4.6;18.1;72.1;1.4834;1381.0;925.0;742.0;842.0;0.7;43.0;127.0
-200.0;931.0;4.9;25.8;41.0;1.3461;1497.0;917.0;761.0;893.0;0.9;75.0;55.0
-200.0;988.0;3.7;25.3;39.7;1.2656;1377.0;859.0;693.0;710.0;0.7;43.0;24.0
-200.0;690.0;9.9;17.4;57.3;1.1328;1418.0;1092.0;975.0;990.0;2.3;125.0;310.0
-200.0;859.0;6.5;22.7;53.7;1.458;1437.0;969.0;835.0;773.0;1.0;64.0;97.0
-200.0;688.0;11.9;23.4;59.9;1.6992;1638.0;1110.0;1045.0;1058.0;2.2;115.0;213.0
-200.0;876.0;9.8;19.5;33.0;0.7384;1312.0;987.0;971.0;891.0;2.4;68.0;218.0
-200.0;848.0;10.8;19.3;32.3;0.7163;1321.0;1004.0;1007.0;926.0;2.7;81.0;241.0
-200.0;892.0;6.3;21.3;63.2;1.5794;1491.0;961.0;828.0;837.0;0.9;66.0;132.0
-200.0;784.0;10.5;14.4;39.2;0.6407;1201.0;1009.0;995.0;1016.0;3.1;140.0;386.0
-200.0;927.0;7.7;13.4;64.6;0.9864;1568.0;1027.0;887.0;876.0;2.0;97.0;133.0
-200.0;853.0;4.8;20.0;66.7;1.5401;1359.0;920.0;755.0;880.0;0.9;45.0;108.0
-200.0;616.0;12.4;12.4;59.3;0.853;1370.0;1215.0;1063.0;1214.0;-200.0;-200.0;-200.0
-200.0;954.0;7.3;13.3;63.6;0.9677;1531.0;1025.0;869.0;851.0;2.1;101.0;144.0
-200.0;872.0;7.8;15.6;51.9;0.9135;1287.0;915.0;893.0;953.0;1.4;90.0;205.0
-200.0;892.0;5.0;18.1;72.5;1.4876;1415.0;922.0;764.0;905.0;0.8;69.0;162.0
-200.0;651.0;14.8;33.1;28.3;1.4121;1832.0;1156.0;1144.0;1216.0;2.5;115.0;154.0
-200.0;830.0;5.6;13.5;78.3;1.2097;1282.0;1054.0;794.0;887.0;1.9;93.0;235.0
173.0;898.0;12.0;25.4;24.2;0.7733;1560.0;1120.0;1048.0;870.0;2.0;95.0;121.0
-200.0;816.0;5.8;25.8;43.1;1.4113;1545.0;1026.0;801.0;1094.0;-200.0;63.0;45.0
-200.0;830.0;9.3;28.2;36.6;1.3781;1636.0;1018.0;950.0;914.0;1.7;99.0;100.0
-200.0;878.0;4.4;16.5;75.5;1.4056;1353.0;891.0;735.0;933.0;0.9;44.0;112.0
-200.0;571.0;17.5;21.4;55.6;1.4015;1731.0;1260.0;1224.0;1301.0;2.9;113.0;412.0
-200.0;771.0;11.7;23.3;47.1;1.3281;1609.0;1044.0;1039.0;1076.0;2.1;127.0;333.0
-200.0;749.0;7.2;15.8;79.6;1.417;1440.0;1020.0;866.0;1087.0;1.2;59.0;253.0
-200.0;1483.0;1.5;14.6;53.3;0.8807;1252.0;758.0;546.0;396.0;0.5;33.0;27.0
-200.0;697.0;7.3;21.1;64.5;1.594;1502.0;1150.0;871.0;1030.0;1.4;58.0;155.0
-200.0;673.0;10.1;20.4;66.7;1.583;1518.0;1146.0;983.0;1136.0;1.7;71.0;201.0
-200.0;835.0;5.9;14.8;79.4;1.3312;1355.0;902.0;809.0;834.0;0.9;46.0;138.0
