NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;760.0;7.6;7.0;64.9;0.6512;1203.0;1098.0;881.0;974.0;0.7;128.0;265.0
-200.0;652.0;10.3;24.0;54.4;1.6049;1559.0;1230.0;990.0;1111.0;1.5;71.0;151.0
-200.0;673.0;8.6;21.9;61.5;1.5967;1519.0;1158.0;923.0;1072.0;1.3;62.0;142.0
-200.0;697.0;7.3;21.1;64.5;1.594;1502.0;1150.0;871.0;1030.0;1.4;58.0;155.0
-200.0;780.0;5.1;21.3;63.9;1.5951;1450.0;1062.0;770.0;922.0;0.9;48.0;96.0
-200.0;765.0;6.3;22.2;65.2;1.7256;1521.0;1049.0;826.0;917.0;1.1;51.0;150.0
-200.0;865.0;4.4;18.2;70.3;1.4498;1360.0;954.0;731.0;839.0;0.8;43.0;88.0
-200.0;651.0;6.2;15.4;54.0;0.9385;1262.0;1144.0;821.0;988.0;1.5;123.0;214.0
-200.0;762.0;6.5;20.3;62.5;1.472;1423.0;1040.0;836.0;974.0;1.2;53.0;111.0
-200.0;768.0;5.9;21.0;76.8;1.8881;1546.0;1107.0;807.0;836.0;1.6;73.0;214.0
-200.0;815.0;5.8;19.4;80.5;1.7917;1510.0;1155.0;804.0;773.0;1.8;81.0;232.0
-200.0;784.0;6.6;19.6;79.1;1.7877;1531.0;1131.0;841.0;811.0;1.7;82.0;254.0
-200.0;726.0;8.3;21.1;68.3;1.6914;1563.0;1169.0;910.0;992.0;2.2;87.0;334.0
-200.0;806.0;6.1;20.8;68.6;1.6719;1517.0;1049.0;817.0;882.0;1.3;63.0;168.0
-200.0;767.0;6.7;20.8;68.1;1.6585;1527.0;1069.0;844.0;883.0;1.5;63.0;185.0
-200.0;799.0;6.1;20.1;70.5;1.6384;1502.0;1039.0;817.0;836.0;1.3;55.0;132.0
-200.0;794.0;6.0;20.2;67.9;1.5901;1502.0;1021.0;811.0;837.0;1.4;52.0;135.0
-200.0;757.0;7.2;18.6;74.9;1.5918;1486.0;1041.0;865.0;902.0;1.1;53.0;164.0
-200.0;700.0;10.3;20.0;63.3;1.4672;1556.0;1052.0;987.0;1102.0;1.9;62.0;224.0
-200.0;743.0;8.9;19.0;66.1;1.4415;1525.0;1057.0;934.0;1041.0;1.9;57.0;206.0
-200.0;846.0;6.5;18.8;60.9;1.3032;1381.0;952.0;833.0;881.0;1.3;57.0;143.0
-200.0;919.0;5.1;18.9;60.7;1.311;1340.0;911.0;769.0;791.0;1.1;54.0;113.0
-200.0;915.0;4.6;18.1;65.2;1.343;1345.0;898.0;742.0;796.0;1.0;50.0;93.0
-200.0;881.0;6.0;17.8;60.6;1.2276;1356.0;935.0;810.0;835.0;1.2;74.0;243.0
-200.0;674.0;9.8;18.8;71.8;1.5372;1568.0;1124.0;972.0;1092.0;1.6;69.0;279.0
-200.0;687.0;9.7;19.4;69.3;1.5418;1557.0;1137.0;967.0;1091.0;1.6;74.0;140.0
-200.0;678.0;11.2;24.6;44.1;1.3477;1510.0;1200.0;1021.0;1157.0;1.7;101.0;223.0
-200.0;869.0;5.7;19.4;50.3;1.1201;1276.0;947.0;798.0;943.0;0.9;79.0;108.0
-200.0;812.0;7.1;20.3;47.8;1.1281;1298.0;981.0;860.0;1059.0;1.2;101.0;150.0
-200.0;879.0;5.9;17.2;53.9;1.0498;1270.0;929.0;805.0;974.0;1.1;86.0;146.0
-200.0;883.0;5.7;18.6;49.1;1.0435;1263.0;930.0;796.0;977.0;1.1;85.0;135.0
-200.0;890.0;7.3;12.1;62.6;0.8825;1253.0;875.0;871.0;890.0;1.2;82.0;241.0
-200.0;891.0;6.8;16.7;46.6;0.8793;1253.0;897.0;849.0;910.0;1.3;90.0;157.0
-200.0;837.0;8.4;17.4;42.8;0.8463;1298.0;932.0;914.0;1000.0;1.5;105.0;192.0
-200.0;852.0;9.1;22.3;29.5;0.7838;1276.0;937.0;942.0;773.0;1.9;90.0;226.0
-200.0;886.0;8.3;21.9;30.7;0.7961;1275.0;917.0;910.0;744.0;1.6;95.0;252.0
-200.0;847.0;9.1;22.2;33.6;0.8886;1351.0;992.0;943.0;936.0;1.9;103.0;325.0
-200.0;801.0;9.0;14.4;60.3;0.9802;1399.0;988.0;941.0;1035.0;1.5;99.0;361.0
-200.0;889.0;5.6;14.1;61.7;0.9844;1266.0;894.0;794.0;908.0;0.9;71.0;179.0
-200.0;754.0;6.6;21.4;69.3;1.7515;1473.0;1015.0;839.0;970.0;-200.0;59.0;99.0
-200.0;921.0;5.0;14.9;58.9;0.9891;1247.0;884.0;764.0;900.0;1.0;75.0;110.0
-200.0;891.0;5.8;15.9;55.2;0.9881;1265.0;919.0;802.0;940.0;1.3;81.0;142.0
-200.0;829.0;8.6;18.0;42.7;0.8745;1351.0;1010.0;925.0;996.0;1.9;115.0;294.0
-200.0;853.0;7.7;18.7;39.7;0.8482;1311.0;963.0;887.0;938.0;1.8;112.0;268.0
-200.0;911.0;7.3;19.6;36.3;0.8193;1287.0;971.0;870.0;798.0;2.1;98.0;266.0
-200.0;908.0;7.8;21.5;31.4;0.7943;1278.0;990.0;891.0;765.0;2.2;99.0;261.0
-200.0;823.0;10.3;23.1;27.0;0.7538;1327.0;992.0;987.0;781.0;2.7;95.0;234.0
-200.0;872.0;7.8;15.6;51.9;0.9135;1287.0;915.0;893.0;953.0;1.4;90.0;205.0
-200.0;794.0;10.9;17.0;43.0;0.8242;1350.0;1067.0;1013.0;1133.0;2.4;97.0;330.0
-200.0;840.0;10.3;17.8;36.5;0.7366;1358.0;1002.0;989.0;1011.0;2.2;99.0;279.0
-200.0;848.0;10.8;19.3;32.3;0.7163;1321.0;1004.0;1007.0;926.0;2.7;81.0;241.0
-200.0;876.0;9.8;19.5;33.0;0.7384;1312.0;987.0;971.0;891.0;2.4;68.0;218.0
-200.0;849.0;4.6;19.6;71.3;1.612;1392.0;930.0;741.0;843.0;-200.0;48.0;125.0
-200.0;802.0;5.8;18.7;74.4;1.5861;1435.0;960.0;804.0;886.0;0.9;49.0;198.0
-200.0;669.0;9.7;21.2;65.7;1.6319;1502.0;1132.0;965.0;1211.0;1.6;74.0;164.0
-200.0;673.0;10.1;20.4;66.7;1.583;1518.0;1146.0;983.0;1136.0;1.7;71.0;201.0
-200.0;895.0;5.8;15.4;76.6;1.3334;1390.0;985.0;805.0;785.0;2.0;107.0;240.0
-200.0;736.0;10.5;15.6;75.7;1.3345;1552.0;1103.0;997.0;914.0;2.9;109.0;293.0
-200.0;800.0;6.0;19.1;70.0;1.5331;1418.0;989.0;814.0;915.0;1.0;51.0;146.0
-200.0;872.0;4.0;19.6;66.9;1.5125;1341.0;910.0;712.0;836.0;-200.0;42.0;94.0
-200.0;876.0;4.6;18.1;72.1;1.4834;1381.0;925.0;742.0;842.0;0.7;43.0;127.0
-200.0;724.0;7.6;18.1;72.3;1.4927;1473.0;1039.0;882.0;1002.0;1.2;52.0;217.0
-200.0;908.0;4.6;22.3;55.8;1.4828;1394.0;923.0;744.0;815.0;0.7;64.0;80.0
-200.0;915.0;5.3;21.5;57.9;1.4658;1419.0;942.0;780.0;737.0;0.9;59.0;83.0
-200.0;859.0;6.5;22.7;53.7;1.458;1437.0;969.0;835.0;773.0;1.0;64.0;97.0
-200.0;721.0;10.3;24.1;50.7;1.4959;1559.0;1111.0;991.0;1028.0;2.1;109.0;218.0
-200.0;709.0;7.5;17.3;78.4;1.532;1451.0;1029.0;880.0;965.0;1.2;47.0;182.0
-200.0;704.0;8.1;17.5;76.6;1.5174;1481.0;1037.0;902.0;984.0;1.5;48.0;196.0
-200.0;892.0;6.3;21.3;63.2;1.5794;1491.0;961.0;828.0;837.0;0.9;66.0;132.0
-200.0;702.0;11.5;22.5;62.6;1.6883;1650.0;1110.0;1032.0;1002.0;2.1;98.0;183.0
-200.0;688.0;11.9;23.4;59.9;1.6992;1638.0;1110.0;1045.0;1058.0;2.2;115.0;213.0
-200.0;853.0;4.8;20.0;66.7;1.5401;1359.0;920.0;755.0;880.0;0.9;45.0;108.0
-200.0;732.0;7.8;19.1;70.0;1.5366;1477.0;1080.0;891.0;1001.0;1.4;59.0;175.0
-200.0;661.0;9.7;21.4;61.7;1.5547;1542.0;1152.0;966.0;1137.0;2.1;84.0;266.0
-200.0;811.0;5.9;25.3;46.7;1.4874;1376.0;1000.0;807.0;825.0;1.1;52.0;95.0
-200.0;892.0;5.0;18.1;72.5;1.4876;1415.0;922.0;764.0;905.0;0.8;69.0;162.0
-200.0;949.0;3.8;18.3;70.8;1.4794;1373.0;878.0;702.0;822.0;0.6;44.0;59.0
-200.0;809.0;7.7;22.1;58.4;1.5393;1491.0;1018.0;885.0;864.0;1.3;77.0;112.0
-200.0;756.0;7.4;24.8;47.9;1.4819;1421.0;1058.0;875.0;877.0;1.4;70.0;151.0
-200.0;670.0;9.7;26.5;44.9;1.5278;1533.0;1189.0;965.0;1060.0;2.0;87.0;239.0
-200.0;768.0;7.1;20.2;65.8;1.535;1450.0;1010.0;860.0;1212.0;1.2;62.0;118.0
-200.0;878.0;4.4;16.5;75.5;1.4056;1353.0;891.0;735.0;933.0;0.9;44.0;112.0
