NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;762.0;6.5;20.3;62.5;1.472;1423.0;1040.0;836.0;974.0;1.2;53.0;111.0
-200.0;1025.0;3.0;2.9;48.7;0.3706;833.0;888.0;652.0;547.0;1.1;96.0;150.0
-200.0;882.0;6.8;20.6;57.4;1.3753;1640.0;936.0;849.0;886.0;1.0;61.0;70.0
-200.0;720.0;11.7;29.7;28.1;1.1544;1641.0;1051.0;1039.0;916.0;-200.0;118.0;107.0
-200.0;807.0;7.7;15.0;74.8;1.2672;1446.0;1029.0;886.0;926.0;-200.0;-200.0;-200.0
-200.0;719.0;7.5;22.9;65.7;1.8148;1580.0;1062.0;880.0;924.0;1.5;62.0;161.0
-200.0;807.0;7.1;21.2;41.2;1.0246;1488.0;918.0;860.0;943.0;-200.0;72.0;74.0
-200.0;750.0;6.3;14.0;61.4;0.9773;1222.0;1120.0;826.0;974.0;1.7;127.0;242.0
-200.0;794.0;6.0;4.0;69.5;0.5706;1019.0;1028.0;813.0;1076.0;1.7;-200.0;-200.0
-200.0;856.0;9.5;33.9;18.4;0.9587;1544.0;995.0;959.0;690.0;1.5;116.0;111.0
-200.0;853.0;5.8;27.5;34.0;1.231;1507.0;962.0;803.0;1066.0;0.6;60.0;43.0
-200.0;505.0;23.6;19.9;61.7;1.4193;1967.0;1402.0;1393.0;1542.0;-200.0;-200.0;-200.0
220.0;812.0;14.3;11.5;58.2;0.7867;1722.0;1309.0;1126.0;1205.0;3.3;128.0;166.0
-200.0;794.0;6.0;20.2;67.9;1.5901;1502.0;1021.0;811.0;837.0;1.4;52.0;135.0
-200.0;784.0;6.6;19.6;79.1;1.7877;1531.0;1131.0;841.0;811.0;1.7;82.0;254.0
-200.0;866.0;8.9;13.8;59.8;0.9398;1606.0;1123.0;937.0;941.0;-200.0;-200.0;-200.0
-200.0;990.0;5.7;12.2;64.1;0.9062;1474.0;977.0;800.0;926.0;-200.0;-200.0;-200.0
-200.0;757.0;7.2;18.6;74.9;1.5918;1486.0;1041.0;865.0;902.0;1.1;53.0;164.0
-200.0;1955.0;3.8;9.1;80.0;0.9299;1127.0;900.0;701.0;749.0;1.2;76.0;117.0
-200.0;609.0;14.5;21.6;53.6;1.3669;1640.0;1165.0;1131.0;1196.0;2.6;99.0;332.0
-200.0;891.0;5.8;15.9;55.2;0.9881;1265.0;919.0;802.0;940.0;1.3;81.0;142.0
88.0;1015.0;6.7;8.5;66.3;0.7375;1438.0;1122.0;842.0;974.0;1.6;90.0;132.0
-200.0;641.0;7.5;14.0;47.8;0.7582;1224.0;1177.0;878.0;844.0;0.8;152.0;289.0
157.0;869.0;8.8;15.0;53.1;0.8993;1588.0;1112.0;931.0;1011.0;2.0;84.0;124.0
-200.0;750.0;8.0;17.0;70.1;1.3512;1438.0;1019.0;901.0;960.0;1.3;64.0;231.0
-200.0;526.0;19.1;22.9;61.6;1.7014;1869.0;1394.0;1272.0;1442.0;3.9;135.0;461.0
-200.0;707.0;8.2;12.6;76.5;1.1106;1317.0;1170.0;906.0;1046.0;2.4;125.0;322.0
-200.0;758.0;7.9;19.8;63.7;1.4524;1468.0;1055.0;895.0;1043.0;1.4;79.0;175.0
-200.0;752.0;7.6;18.2;76.4;1.5787;1472.0;983.0;881.0;928.0;1.6;56.0;227.0
61.0;1208.0;3.6;9.4;62.6;0.7398;1313.0;974.0;690.0;733.0;1.2;83.0;67.0
-200.0;1049.0;1.8;6.7;75.0;0.7418;993.0;909.0;567.0;694.0;0.7;63.0;100.0
-200.0;536.0;18.1;10.6;55.3;0.7058;1454.0;1355.0;1244.0;1715.0;4.4;212.0;644.0
-200.0;592.0;14.1;21.5;42.7;1.0837;1503.0;1267.0;1118.0;1310.0;3.6;166.0;473.0
-200.0;735.0;8.4;23.5;57.7;1.6515;1467.0;1039.0;917.0;934.0;1.4;77.0;169.0
-200.0;883.0;6.9;16.3;57.0;1.0484;1538.0;1014.0;853.0;975.0;1.3;91.0;75.0
-200.0;796.0;7.0;16.0;75.9;1.3721;1388.0;968.0;858.0;894.0;1.3;60.0;147.0
-200.0;748.0;8.0;17.8;71.2;1.4396;1442.0;990.0;898.0;1006.0;1.4;75.0;176.0
-200.0;735.0;13.4;20.7;42.4;1.0248;1797.0;1131.0;1097.0;1027.0;2.4;93.0;137.0
-200.0;829.0;8.6;18.0;42.7;0.8745;1351.0;1010.0;925.0;996.0;1.9;115.0;294.0
-200.0;932.0;8.2;27.1;31.0;1.0991;1354.0;1017.0;908.0;880.0;1.4;119.0;194.0
-200.0;872.0;10.0;22.3;42.2;1.1209;1448.0;991.0;977.0;923.0;2.2;110.0;272.0
-200.0;863.0;7.7;18.6;60.0;1.2757;1451.0;969.0;886.0;953.0;1.3;68.0;179.0
-200.0;806.0;8.8;22.2;48.0;1.2678;1465.0;1027.0;933.0;1050.0;1.7;85.0;224.0
-200.0;713.0;10.7;22.8;43.0;1.1731;1628.0;1079.0;1004.0;1302.0;2.0;111.0;175.0
-200.0;893.0;4.7;22.6;31.0;0.8372;1417.0;982.0;750.0;881.0;0.6;85.0;84.0
-200.0;796.0;5.7;14.4;57.1;0.9309;1193.0;1045.0;800.0;839.0;1.5;109.0;206.0
-200.0;788.0;8.5;30.4;30.9;1.3219;1543.0;1005.0;919.0;871.0;1.6;87.0;81.0
-200.0;1070.0;2.0;10.1;65.9;0.8148;1041.0;892.0;587.0;623.0;-200.0;-200.0;-200.0
-200.0;673.0;8.6;21.9;61.5;1.5967;1519.0;1158.0;923.0;1072.0;1.3;62.0;142.0
-200.0;879.0;9.9;20.2;34.3;0.8017;1552.0;1101.0;972.0;1001.0;1.6;97.0;95.0
-200.0;653.0;10.8;18.2;70.0;1.4519;1589.0;1147.0;1009.0;1096.0;1.7;50.0;279.0
-200.0;704.0;8.1;17.5;76.6;1.5174;1481.0;1037.0;902.0;984.0;1.5;48.0;196.0
-200.0;700.0;10.3;20.0;63.3;1.4672;1556.0;1052.0;987.0;1102.0;1.9;62.0;224.0
-200.0;824.0;6.9;21.9;57.0;1.4742;1700.0;1030.0;851.0;983.0;1.2;68.0;102.0
-200.0;891.0;7.4;25.7;33.0;1.0763;1525.0;957.0;875.0;871.0;1.6;102.0;172.0
-200.0;902.0;5.1;18.6;60.4;1.2817;1357.0;924.0;766.0;752.0;-200.0;-200.0;-200.0
-200.0;835.0;6.7;33.9;32.3;1.6809;1567.0;982.0;844.0;638.0;1.2;71.0;52.0
-200.0;888.0;5.6;24.8;50.6;1.5654;1629.0;993.0;795.0;770.0;0.8;63.0;60.0
-200.0;802.0;5.8;18.7;74.4;1.5861;1435.0;960.0;804.0;886.0;0.9;49.0;198.0
